"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",11.2008844764222,23.9797187254635,35.8622852632375,17.1185682884125,23.8324409654533,24.4898912255006,11.0275138966286,13.6092250157595,20.3627434262546,16.6025007145474,10.3397851713647,11.4684051262733,13.9577734288663,5.41517857393738,13.8940196563408,6.17695674495045,14.6051590177896,-0.372495259105487,7.55133520506479,11.589633015869,8.32519159233283,18.2953000469228,4.89208041203286,15.9107148327639,9.71533362994706,0.8164657442425,12.7078933014134,13.5323683171054,17.7913823593354,9.58650759484988,3.44345363194411,9.26207717171777,9.05183773308982,1.86402665581742,-1.48408812944694
"IS-NLE",23.9797187254635,94.2772836148489,114.381824298523,62.9428522050099,84.7847731500176,88.7549911561426,17.1067738693549,35.7626014434958,58.986196509935,63.3956476009416,31.6250192556624,38.6476006342891,43.504195879519,8.57776080309944,38.6401137669279,14.2152129351397,42.3590614353488,-3.99242515302228,25.6741313537961,36.4420492999101,27.841176703565,57.4320930261333,14.7108033826752,42.039234965162,36.1081222248095,2.86111171178245,37.5902545478723,37.2072372711793,51.8296754703135,27.515292920127,5.11765659181746,24.9181818752527,25.6186807949044,1.25366084983013,-6.80573088890428
"IS-PNS",35.8622852632375,114.381824298523,174.626701383501,87.5786954900821,122.206177730662,125.043018322916,50.0524764516752,50.595077062198,89.1816513788955,70.8271717899496,44.2480184258456,50.2075914546856,55.1539377887525,11.9865138272724,53.3432767506612,18.7204601366696,57.5420425706744,-8.97598622178295,39.6874858280408,42.6956732575103,40.0214423382301,79.6890850626303,22.1303553813594,53.6687630689876,47.1484563996586,3.78962178796633,51.3049271191313,53.4283623142554,71.9782128390438,37.9118949448998,6.32487313773838,37.7855780614657,33.0712852050582,1.65602477669137,-11.7024725544071
"PM-ZS",17.1185682884125,62.9428522050099,87.5786954900821,54.8322065134684,70.6974358427008,70.4235050515406,27.9929154056838,34.6329448752404,51.0097806798761,43.5859755100962,20.9975020054897,28.2833180721889,27.1092124401955,3.7397791704456,27.3185549638533,8.47188466568737,29.7812233039865,-6.26871031124446,17.4221924142676,22.556103787306,21.6216219956214,40.9538073306988,13.4074810803375,33.8150730794364,27.0540795114712,2.30738910584397,27.7653025562731,25.0296381292672,36.6781590776003,18.1938352946586,-0.0424584002973022,16.2377377023743,17.9977686705817,0.978709472374304,-7.81681601287654
"PM-ZI",23.8324409654533,84.7847731500176,122.206177730662,70.6974358427008,99.6131320336796,96.883187622748,40.0611715110013,41.9068483432315,70.4788994027789,57.8714351126665,29.2096245863621,38.883688081537,38.0299226378082,5.84870852697756,37.7988932663052,13.7007051500704,43.3121101932151,-8.05202112633869,30.3108919508633,31.7718505929574,27.0633062682437,54.9199390198972,17.3814758350291,45.7411137764002,35.4162761967633,3.64903633070597,37.7533733873848,35.9853960399041,52.4214690868073,26.3388583609265,0.412858799731533,24.5819000092489,24.6999055319807,-0.463038314433611,-8.86238248923348
"PM-MT",24.4898912255006,88.7549911561426,125.043018322916,70.4235050515406,96.883187622748,101.312748248161,35.9494470269963,39.2727291782896,68.765592657179,59.5701427335732,30.1766467389167,40.9886686678514,40.6125657921688,5.2699307130836,39.1594149315392,12.9250019945934,43.7453960879466,-9.79886793324558,30.5440988781413,33.2079565109604,30.1617137367271,58.1391155696969,17.1190377231459,45.2677819312032,38.0299782722569,3.84064046014415,40.3424543214358,37.3966615262684,54.4723585818245,28.5611270699496,0.631214336506686,26.55356599349,25.8024596761582,1.31531875370475,-8.52285137550472
"NLE-NON",11.0275138966286,17.1067738693549,50.0524764516752,27.9929154056838,40.0611715110013,35.9494470269963,74.1497101407188,21.443429051059,37.2949287863443,-20.4057709286267,9.48359437541695,9.29940303043641,6.56351399198117,0.490396619984194,8.64153540658767,1.16898781241804,15.4200341149479,-7.51034571585001,14.2419916865145,7.2709138003453,12.1139705097866,20.8690152669677,10.2427821615124,21.8105229893224,6.24538162430177,1.19713369224057,15.7385462326611,10.4954430992959,17.5450960329157,6.98254354386458,-1.08761660540033,11.8509288326276,3.20387782883453,4.81473158287765,-6.33808178775784
"NLE-ZS",13.6092250157595,35.7626014434958,50.595077062198,34.6329448752404,41.9068483432315,39.2727291782896,21.443429051059,32.8222837931858,35.0239841197846,25.5878790605397,14.3594430608247,16.5846206884251,17.9382965906293,6.59198667530988,19.4232004975611,8.94388089982981,20.2813838039544,-0.43798176706288,4.43354803575668,14.6969857932493,12.2508328224242,24.1723376789803,9.16019936187976,26.7998005287472,15.428360139091,1.71016091649984,19.0375381045456,15.4889290503422,22.5260641360345,11.8633286056745,0.598086795819331,9.7468100520473,14.0457350695346,4.13463865199344,-4.1099456081839
"NLE-ZI",20.3627434262546,58.986196509935,89.1816513788955,51.0097806798761,70.4788994027789,68.765592657179,37.2949287863443,35.0239841197846,57.6436552801756,42.0144276182761,24.4691087269172,29.7018326996468,29.5693360764488,6.98656739288313,28.5362133167383,11.2888918282143,33.0143097929882,-5.35138702135799,22.8171049147014,24.7100686656105,20.4917559979752,41.8439136729436,14.1908010029481,36.2087209852246,23.4689714987544,1.5697016997069,28.0652646230269,27.2056966056372,39.3639961695939,20.5650583244738,2.47539224067509,19.9268039219301,18.987764171447,1.90477053896448,-5.03438184777909
"NON-BR",16.6025007145474,63.3956476009416,70.8271717899496,43.5859755100962,57.8714351126665,59.5701427335732,-20.4057709286267,25.5878790605397,42.0144276182761,92.9469518773586,24.8624695386201,34.6279571226297,34.6378571977269,9.16562684520488,32.1105822391584,13.81497127407,31.2028266281501,0.58205218721677,16.7432644033212,29.2803688138786,16.9426191087742,39.3680195180979,8.68525582911688,33.1137884912354,27.7036989361622,-0.561388443538592,25.5356201952814,27.9563365962988,37.9050731762734,19.1512727534841,-0.325243455689429,13.5047724925034,21.3954769066052,-3.70778718030612,-2.74362439566371
