"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.286868113894124,0.449295318908472,1.08516050604317,0.521247496022837,0.488296687689928,0.619610273320912,0.239719868107944,0.690594891416117,0.629668034020593,0.674993179284551,0.548457381220854,0.151785686784056,0.163658974458218,0.133678258722047,0.646759574323471,0.331033042019987,0.602096884983193,-0.106262338959518,-0.1208824585916,0.604722933423281,0.45539320347006,0.694942865573787,0.203158826044105,-0.00665942925369316,0.521994609365419,-0.0794144724984452,0.653424796820396,0.223107242658673,0.638826081668548,0.39111704542288,0.420521544873535,0.166066808235337,0.631134346453342,-0.0763892266519292,0.011707068242376
"IS-NLE",0.449295318908472,1.78821244816312,2.50785519758338,1.61103160180932,1.82044803708204,1.8641333056541,0.632995316346771,1.83348535088792,2.11358688252364,1.64430936183514,1.41624134156103,0.597546101737257,0.669740664909184,0.365924849607795,1.60517596544838,1.04404566554895,1.84227777706563,-0.228551852553071,0.331025358418239,1.30283547283998,0.916861867547537,1.54852164299852,0.536059518972819,0.314122281265986,1.27124587343251,0.062513988228771,1.77140319861914,0.943315309258002,1.92863415106788,1.49599545205962,0.633438101972726,1.00462667490622,1.70115567276356,-0.0088529116717549,0.0533427470708248
"IS-PNS",1.08516050604317,2.50785519758338,6.87711995376335,3.04423012621015,3.45008850052308,4.23729513676612,1.04410878744424,3.58362234493052,3.92020014462857,3.85348709992822,4.18369280736284,0.33049426680492,1.08879765753919,1.24938519730921,4.07790957001662,2.26057839126828,3.34918730920424,-0.756229592448399,0.0696704050749007,3.31964840999641,2.59728117689405,4.29868289876788,1.8265193176721,0.0567740073884519,2.72885095175005,-0.353250748773194,3.73307185315024,2.04718836371369,3.63889592153448,2.63065065155028,2.70204013657125,1.60559290021782,4.04241087699804,-0.298789424290043,0.136531456263084
"PM-ZS",0.521247496022837,1.61103160180932,3.04423012621015,2.39134407071393,2.28356973701617,2.36956203902678,0.709404848257291,2.5351158723616,2.55963829567124,1.82519132400041,1.83709584397519,0.526462309203944,0.985362252893073,0.730515616275941,2.03320465942415,1.24590136884323,1.82260233576425,-0.613706099217841,0.0591691247946946,1.40254665076652,0.586072577840866,1.8699391932468,0.78115693327974,0.429660315792082,1.25631154487063,-0.207499256446325,1.95022820907778,1.68243764978267,2.22228354700395,1.75251238871651,1.46190109470438,1.1831759339175,2.30452115218189,0.164914439794923,0.0823740938404032
"PM-ZI",0.488296687689928,1.82044803708204,3.45008850052308,2.28356973701617,2.89677188342306,2.59068583272372,0.877702063412386,2.53907828042892,3.13280916990517,2.31059305154553,2.13223148870839,0.694897921660931,1.19576565203124,0.816796327661018,2.05662783381632,1.55470596965459,2.07013694643791,-0.497627306195013,0.531136553424606,1.70602692732592,0.923996795154819,2.03803085433584,0.930081602369665,0.74175616727946,1.17956526103745,-0.194008239180083,2.04617459114731,1.18927147234627,2.28802310598895,1.92420320277926,1.24034103653137,1.21224769380697,2.55323894417196,0.0466781283368681,0.286404181079487
"PM-MT",0.619610273320912,1.8641333056541,4.23729513676612,2.36956203902678,2.59068583272372,3.57431876315616,0.897480595004277,2.5698809352288,2.89275374714903,2.03878198771892,2.5748132121282,0.403524519926049,1.04303048969888,1.05104457423005,2.87272415653375,1.74497417179435,2.24312676143699,-0.417676606045701,0.234698203102993,2.35074745232433,1.11283962335121,2.6361652263154,0.763593132093077,0.296138448182232,1.7381467922642,-0.214921993188603,2.63871763911869,1.82219289519421,2.51681737836537,1.85439795084989,1.95248291316126,1.39642693748444,3.27138550237119,0.173581567193182,-0.0866162509215456
"NLE-NON",0.239719868107944,0.632995316346771,1.04410878744424,0.709404848257291,0.877702063412386,0.897480595004277,1.87449383191959,0.466450125052468,1.15438100392732,1.45056987792522,0.180145857627205,0.833005895340053,0.172611544785985,0.134953178511729,0.169445123243707,0.66242999101341,0.83234803327722,0.516628188142587,0.874662975786985,0.79994495498043,0.415836364165414,1.04696415317991,-0.0301269279120586,0.629622462651469,-0.000873778568412949,0.162744893638712,0.199835212845242,0.825032224529325,0.785064637767091,0.426352594501759,-1.24528577370826,0.424035336150751,0.499937931238719,-0.0147071767593276,0.141448374588582
"NLE-ZS",0.690594891416117,1.83348535088792,3.58362234493052,2.5351158723616,2.53907828042892,2.5698809352288,0.466450125052468,4.01277307824352,3.19832632694073,2.06787897942576,2.30933910607387,0.685047709965539,1.440891496007,0.541990858706209,2.09891442065642,0.898738949113164,2.20654548037338,-0.84355311431597,-0.906077365104739,1.7222624337131,0.942862801713767,2.41925530768572,0.876039579237459,0.503490921990296,1.76931855622042,-0.413222822166259,2.508636344097,1.38950570270638,2.69218679724915,2.02360004222326,2.01162436333178,1.15903727217953,2.03968629194775,-0.0436996174833449,0.367912914004542
"NLE-ZI",0.629668034020593,2.11358688252364,3.92020014462857,2.55963829567124,3.13280916990517,2.89275374714903,1.15438100392732,3.19832632694073,3.9859840657244,3.36060299641595,2.59209401483774,1.26500158967581,1.47037442038975,0.767694203577674,2.18247514177178,1.58053209863586,2.5418636529135,-0.494638661806411,0.881795863915279,1.92382431775456,1.33727208440021,2.62036105784918,1.03546169255478,0.98262454299511,1.47777631363866,-0.113860172507967,2.45006830602874,1.34688811176687,2.79385977710693,2.26563885624549,0.914414153201093,1.48692353412572,2.56586067008727,0.071959679637321,0.381332340098914
"NON-BR",0.674993179284551,1.64430936183514,3.85348709992822,1.82519132400041,2.31059305154553,2.03878198771892,1.45056987792522,2.06787897942576,3.36060299641595,9.37375943156189,2.32623397012653,2.8656232455219,0.546747280473529,0.753884373183554,1.18039417460033,1.07154602923459,1.74998265178643,-0.0834157995538133,1.58462901707218,1.61614432942755,1.75873606480228,3.30334297894751,1.06256412283149,1.42983816168659,0.541187262515262,0.267784896009449,1.51312749977385,1.62992587099281,1.98307871986183,2.0312348364776,-3.95777158207325,1.80201929229058,1.50768449655806,-0.023923732303753,-0.197301273948546
"NON-PNS",0.548457381220854,1.41624134156103,4.18369280736284,1.83709584397519,2.13223148870839,2.5748132121282,0.180145857627205,2.30933910607387,2.59209401483774,2.32623397012653,3.11015242481625,0.242539489409018,0.927406210640762,0.631975865445097,2.15554217023513,0.910600271941827,1.9660382181724,-0.590555983612162,0.270617183541324,1.90210659777722,1.59763689188223,2.62629548224682,1.31976191164495,-0.053384632566128,1.51980171089006,-0.269042925218595,2.24901953443694,1.21545305327182,2.19843844325837,1.65434967363424,1.82912285923176,1.1122434002106,1.9069862622896,-0.0437006384396052,0.182786830579137
"BR-PT",0.151785686784056,0.597546101737257,0.33049426680492,0.526462309203944,0.694897921660931,0.403524519926049,0.833005895340053,0.685047709965539,1.26500158967581,2.8656232455219,0.242539489409018,2.60282646178582,1.04068988661307,-0.399132968890222,-0.913158435194232,-0.480384358710004,0.515311216135369,0.641050145031128,1.12755811004334,0.390897584248594,0.0657312997932529,0.430480125817695,-0.0933271424030142,0.632813710987042,-0.498808752760119,0.14189753905865,-0.154276827048238,0.683651281635427,0.611507979226938,0.834462926178761,-2.40007551549748,0.790547589276789,-1.17005032599147,0.131316493053265,0.366386282869425
"BR-APET",0.163658974458218,0.669740664909184,1.08879765753919,0.985362252893073,1.19576565203124,1.04303048969888,0.172611544785985,1.440891496007,1.47037442038975,0.546747280473529,0.927406210640762,1.04068988661307,1.71155709964834,0.336460328759161,0.319237188257775,0.121696892558206,1.06290163764266,0.0883787241732164,0.231705789011757,0.715996098092501,0.152932604503537,0.626508874573516,0.24202637876113,0.604351295482023,0.120585545462084,-0.132953252476031,0.81004943232791,0.55035942740701,1.16129469777884,1.00237810970187,0.808672067331764,0.542343118483365,0.189649854801386,0.237784636800221,0.459776838508286
"PT-APET",0.133678258722047,0.365924849607795,1.24938519730921,0.730515616275941,0.816796327661018,1.05104457423005,0.134953178511729,0.541990858706209,0.767694203577674,0.753884373183554,0.631975865445097,-0.399132968890222,0.336460328759161,1.81373764702405,2.45459527518424,1.83443061242308,0.50123822666956,-0.488806185834015,-0.0567895046696335,0.476472384145077,0.436438929409148,0.13511287552808,0.30120950103126,0.958049028217931,0.430427460653247,0.131929127227891,1.10282869076962,0.328596654188708,0.339672824241518,0.510847845302845,1.3148840561101,0.3007700623159,3.32321948283003,0.479238254085367,-0.238428080154072
