"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.415115318814371,0.733317475618178,1.33239041439429,0.471377725930252,0.713087733787084,0.776072509430352,0.464808147523528,0.655448014207419,1.22386293506394,1.17527750589093,1.06910742014057,0.202628181668849,0.376433450772555,0.387064778312392,0.959636188667166,0.456327163890951,0.824984735603074,0.186667543061307,0.612882293233372,0.722351863726552,1.03599812852687,1.17396383227966,0.269847410026675,0.805510390401183,0.470646083106188,0.0536515439461448,0.885049673668153,0.382584553254253,0.698029806656919,0.877756182417267,0.935975267589931,0.724825059536849,0.9289156482897,0.0760009459268699,0.256752776460623
"IS-NLE",0.733317475618178,2.73865884186929,3.85721770659219,1.54367489065982,2.04649773903624,2.35073316904825,1.29465633606818,1.36438650720279,2.81709583152351,3.50439467177729,2.82727472122145,1.11590652588322,1.43359142750424,1.45604601882262,2.48801412419163,1.33923662864723,1.87077533697683,0.365045045916971,1.67662799391192,1.55159660962429,2.47280282396225,2.73027852983229,0.983124970205084,1.91930770113812,0.832031863825569,0.225572706937073,2.10692617000328,1.33750933166036,1.71108674712847,1.94296803863562,1.34661684517637,1.59194374900048,2.34266576187987,0.347613629767178,0.552786745212144
"IS-PNS",1.33239041439429,3.85721770659219,7.5707090385056,2.88848774462447,4.19692290576336,4.81004330220402,2.63623400316489,2.79902029273076,5.56965704254528,7.85200326693135,5.42495579654262,2.50280874375048,2.35904812441163,2.36209627700765,4.70221808709226,2.07755521632853,3.41830071419211,0.865112558079353,3.24618015906705,3.0433961093095,4.8389804606451,5.22889254859294,1.74031356567068,2.94165062852,2.14200367739166,0.659267047300288,4.24267943954563,1.89215137564057,2.97958453962089,3.79783893164577,1.36067112463553,2.99483423400381,4.06311574022715,0.469357216232027,0.871820319948475
"PM-ZS",0.471377725930252,1.54367489065982,2.88848774462447,2.23085730151568,2.2239988615715,2.4048571698597,1.41608377302853,1.93194266382707,2.69119750095004,3.92216884913092,2.07009438648665,1.45895195637412,1.00619585557546,0.812031217645614,1.75874877027294,0.812621510729065,1.13494478088406,0.22808770075073,1.18827162266968,1.17646994611829,2.05349580120342,2.08389833544149,0.288241103180545,1.56679933924368,0.835580699505977,0.034376534849418,1.53803788333002,0.774997800952179,0.97526338771856,1.83505488298393,-0.0188593775347671,1.59714147447846,1.56451894613491,0.195496760966208,0.629530890853007
"PM-ZI",0.713087733787084,2.04649773903624,4.19692290576336,2.2239988615715,3.65802895940457,3.38829089440317,1.48820270058666,2.1623072188007,4.21296028498779,4.67974122136762,3.04543404211626,1.62797752359441,1.4658401894646,1.18565873985617,2.82142929137137,1.32387871905446,1.97850976374308,0.318422241769207,2.37931593945684,2.04094826033516,1.85405154877541,2.33928986935403,0.589342195106087,2.13784042984319,1.4038107022501,0.395739928361602,2.58681271399173,1.17630119041391,1.81615198306696,2.45091821499235,1.72675749794134,2.00936359410831,2.3633211111314,0.422403774022212,0.399801546228703
"PM-MT",0.776072509430352,2.35073316904825,4.81004330220402,2.4048571698597,3.38829089440317,4.07313510736642,1.99348765324667,2.22899165261336,4.08884793587713,5.45361403103979,3.34790023994056,2.10619121755141,1.68462640215132,1.48715331841029,3.3081952019341,1.53326571932957,2.10045708023632,0.470720812419852,2.36988197794345,2.16801756022729,3.19925855469654,3.15294209274597,0.545941030963144,2.2204356478061,1.6464320157387,0.577503155214093,2.9559748735783,1.0833127728431,1.79085888493725,2.68064847440911,0.990967784624915,2.04500029859178,2.75481672988899,0.363927993182841,0.724073336727566
"NLE-NON",0.464808147523528,1.29465633606818,2.63623400316489,1.41608377302853,1.48820270058666,1.99348765324667,2.72455652496453,1.02445223688679,1.93969697471766,2.06743781399458,1.03887068636283,1.62766826225436,1.35584828466718,0.740815374552188,1.43351772308645,0.817647435832389,0.801943213259046,0.14439667450873,1.21667319312011,0.984965110588208,2.31007083088945,2.48685960315818,0.52536706787059,1.59955886496139,0.69764328240426,0.00735778180264637,1.24285088419903,0.862886288056786,0.673712454092981,1.38057566596182,0.273045310937012,1.23343022721539,2.00858345517885,0.577576901334945,0.548298009631532
"NLE-ZS",0.655448014207419,1.36438650720279,2.79902029273076,1.93194266382707,2.1623072188007,2.22899165261336,1.02445223688679,3.29597991529055,3.31429727686,5.1174327210869,2.56943563609266,1.31176310363949,0.615647370113962,0.756253403090157,2.18263792463598,1.1280770588255,2.08563885899508,0.382418176644081,0.186384256929897,1.79284992850932,2.40523425683167,2.67129102640111,0.216101726197662,2.17308075141676,1.18077962873451,0.114884170408439,2.07483612883201,0.856812111957645,1.8101428336468,2.22500162771784,0.34772324979455,1.40051329373172,1.49619538459564,-0.105426187979395,0.859369606457192
"NLE-ZI",1.22386293506394,2.81709583152351,5.56965704254528,2.69119750095004,4.21296028498779,4.08884793587713,1.93969697471766,3.31429727686,5.99227287823899,6.32301655862245,4.56728406593023,1.62841879449415,1.62336685663102,1.41505984974923,3.84698186472403,2.06775263020602,3.31848329041016,0.578554902017566,3.03819932993974,2.999816349597,3.42004144310721,3.98477607154032,0.848282177925749,2.96153506824841,2.05922152426286,0.404755683408822,3.58496762236134,1.70635898338365,2.93667062535083,3.60150241528306,2.89730594660374,2.82491756029817,3.39802515577856,0.256528270265026,0.733473090154503
"NON-BR",1.17527750589093,3.50439467177729,7.85200326693135,3.92216884913092,4.67974122136762,5.45361403103979,2.06743781399458,5.1174327210869,6.32301655862245,25.6037378667018,6.77667206589935,6.72393122114321,0.269969885339492,2.1775428796823,6.66546783856467,1.71384650225197,6.0690559289713,1.81869143290708,1.38893724875018,4.09195870662133,6.25967007485551,7.94599579064021,1.44873461593499,3.36673231584902,4.80028202336538,1.11732812958603,7.7957200180281,2.39520945972105,5.44262583275193,4.85978716695475,-10.2098401431142,3.69385364783018,2.78498606191411,-1.88698115742887,0.761370951937438
