"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.389497692466508,0.421167796951042,0.889799006091375,0.209254808183534,0.360413027308477,0.431597154650407,0.0958437070567078,0.213298391159963,0.621679042962955,0.600339516420414,0.575697504901254,0.267289957798381,0.344028428458216,-0.0922265196474486,0.638669067455437,0.304380141229527,0.795728691261226,0.141340386931026,0.469968052374057,0.42679041474097,0.515849978840968,0.639761552901289,0.130211812388202,0.219222359151007,0.824364629375675,-0.0895152467470022,0.583311296788432,0.596862515871472,0.782488930613452,0.634463403821159,0.425583329672616,0.499663440005405,0.36558775485307,0.606840510509954,0.00233892954087736
"IS-NLE",0.421167796951042,1.46400335180641,1.66597910005549,0.67223375261065,1.00054203237229,0.927026739985272,-0.234007751055826,0.290975830514761,1.24278746729594,1.44025981581501,1.50174323981331,0.842853012197579,1.0256915189185,0.127066856494143,1.71615182557204,0.792260952465808,1.6213772899269,-0.101444138944966,1.07448015617803,0.891803845130581,1.1541543544535,0.730750948083046,0.39312870770207,0.492461251314995,1.58053387974056,0.146411244478595,1.42246240949112,0.634767753337531,1.55150281200635,1.16381601498885,1.00493685607051,1.01121546961495,1.21903527180878,1.08737869685393,0.120620138010328
"IS-PNS",0.889799006091375,1.66597910005549,4.08904178563406,1.31771641805808,2.47511866366939,2.20458752743422,0.772519033186769,1.22269152559107,2.64415453274027,3.63342596657373,2.91339145217493,1.44511918873223,2.04602606160571,0.361138631741691,3.73609925385258,1.83459902584545,2.88310649881743,0.442966131834895,1.43011264492245,1.98695007547066,2.16696438549655,2.48722537548897,1.02526951770032,1.11707972358783,3.68537692188561,0.231868490769534,2.80862122017074,2.11636739771056,2.58022220362121,2.50409328162141,2.77486529069997,1.43181892669103,2.3575615538763,1.37074379163964,0.256303354234067
"PM-ZS",0.209254808183534,0.67223375261065,1.31771641805808,0.885765241133705,1.26034104434787,0.931170501368209,-0.0916404583786906,0.807672192966408,1.20116401759965,1.99765367970116,1.42596940223365,0.565066719587651,0.831681897564657,0.40657276639577,1.32113988335524,0.756741422878517,1.16065331430005,0.096317785294017,0.386088693289044,0.885847729928154,0.858533567591819,0.759151810497366,0.263534309021126,0.805630206235932,0.926254568420312,0.179891212804261,1.03132283655487,0.473672275025017,1.03568215868915,0.777533996021347,1.1445109837547,0.348239096506821,1.10108473085869,0.401908325722354,0.079264021947576
"PM-ZI",0.360413027308477,1.00054203237229,2.47511866366939,1.26034104434787,3.20960644099566,1.85541952754657,0.540248717655408,0.924201015181507,2.74903612708946,1.23686748179439,1.89269476668128,0.369611696451876,1.4869994547722,0.381840805397317,2.06803528342668,1.29571767208167,1.49976280897147,0.11690833347263,1.53586591633906,1.70316699330189,0.400031657602091,0.76967779282702,0.539293157151143,1.05982773251705,1.66583083168574,0.682716362302591,1.53489586044304,0.883677845432678,1.23119016210926,1.38161840683359,4.15672246486973,0.274724462571879,2.07532791125574,0.339940731241979,0.483554979743877
"PM-MT",0.431597154650407,0.927026739985272,2.20458752743422,0.931170501368209,1.85541952754657,1.83004439076934,0.338835579470652,0.958971390964562,1.84996429834224,2.08213434233063,1.67014132283156,0.556923637075362,1.12587475302896,0.307405566687589,2.12348415201527,1.22800074783874,1.86492157251047,0.191468871474994,0.812548348963998,1.62635468682109,1.28109926129813,1.22174637632678,0.0394778015078545,0.861222686381885,1.90414852580888,0.351429491509999,1.65558703222091,0.870261749558216,1.60725713705355,1.3087688124199,1.81520534548077,0.810113689307303,1.66848123304734,0.851749002275439,0.31208530003021
"NLE-NON",0.0958437070567078,-0.234007751055826,0.772519033186769,-0.0916404583786906,0.540248717655408,0.338835579470652,2.89864371947873,-0.392477988502084,0.610756760629981,-2.34817399413167,-0.792117762500904,-0.0130108391146135,0.456497151415346,-0.443953421769084,0.565450852516274,0.0605625986052245,-0.676626200327323,-0.1501055903837,1.10014073361374,-0.300968291651151,0.0241346676249625,0.305887042783881,0.22064679503491,0.208584172949224,1.22181664254203,-0.110717860699974,0.165562706640037,0.218254108945921,-0.695617658033647,-0.0193153580009553,1.20355146268124,-0.445802144092264,0.265183000971389,-0.0936835068190413,-0.0951334115914871
"NLE-ZS",0.213298391159963,0.290975830514761,1.22269152559107,0.807672192966408,0.924201015181507,0.958971390964562,-0.392477988502084,1.81878404577892,1.04781279999176,3.25075160964515,1.56350380785636,0.597802215599381,0.497619801501471,0.269935661014706,1.53709285310953,0.858388121314291,1.41688055062667,0.232036133182243,-0.870966166180196,0.967774245297308,1.49351255750637,1.02814000465174,0.128563884080019,0.499555923172629,1.42681580720387,0.0383491191509223,1.16900252840814,0.34433446731656,1.08768666533295,0.912626507524756,0.262042447520219,0.365475856165238,1.21086135177636,0.187600566243889,0.206495817526216
"NLE-ZI",0.621679042962955,1.24278746729594,2.64415453274027,1.20116401759965,2.74903612708946,1.84996429834224,0.610756760629981,1.04781279999176,3.04837068805794,1.44144166884769,2.18452695790536,0.677867424624148,1.58584137987585,0.0512827250551638,2.16546388306911,1.37361074856111,2.33621840213526,0.119978023154096,1.91414393213422,1.81488180791446,1.15151859225849,1.14709164397527,0.469806048549315,0.953732257458958,2.06868210352573,0.50197035205488,1.77125623624671,0.943132341031647,2.06805871875671,1.75065634425211,3.52558180342687,0.66600858852884,1.959422487641,1.00149188257338,0.526782788903628
"NON-BR",0.600339516420414,1.44025981581501,3.63342596657373,1.99765367970116,1.23686748179439,2.08213434233063,-2.34817399413167,3.25075160964515,1.44144166884769,14.5169227808726,4.74441988009254,3.36067014265379,1.34794459316275,1.30341930223208,4.24992765963153,1.90086613530914,4.27662755514903,1.00273234578583,-1.96408019182987,2.74636921124298,4.21640689404996,4.44819846139115,0.635955498217331,2.39643760860444,3.29172012825781,0.206223530741338,3.68507994678346,2.51440497517882,3.90183267384668,2.75444872942939,-2.96673998148208,1.6507927897931,1.65253202224098,0.963810809594816,-0.181921677653798
"NON-PNS",0.575697504901254,1.50174323981331,2.91339145217493,1.42596940223365,1.89269476668128,1.67014132283156,-0.792117762500904,1.56350380785636,2.18452695790536,4.74441988009254,3.48480013642872,1.59310877353764,1.90975273927383,0.620977008357697,2.91795952281315,1.60404135134288,3.13736096654448,0.470916287598192,0.605775031376412,2.07818260925569,2.11821716933941,1.95453119696427,0.768298915522265,0.913869895181808,2.32685393078899,0.288313032615066,2.26847312295924,1.5433532173983,2.86100537973855,2.24233817373447,1.85135758842669,1.29515029268636,1.95793388267757,0.876937718777164,0.363859673323122
"BR-PT",0.267289957798381,0.842853012197579,1.44511918873223,0.565066719587651,0.369611696451876,0.556923637075362,-0.0130108391146135,0.597802215599381,0.677867424624148,3.36067014265379,1.59310877353764,2.0436696320317,1.32678026640191,0.712128034159446,1.83449596919544,0.947091152055098,1.11950913502229,0.273130225149242,0.295712462201375,0.61511157160407,1.26278008141866,0.904280052804021,0.53650916365713,0.562899067871422,1.14590445669067,0.157585446501461,1.09257822628842,0.831332277113847,0.979077268221511,1.36759291451317,-0.966764309623228,0.880785946566347,0.903248602092674,0.490616680084853,0.0806992356089629
"BR-APET",0.344028428458216,1.0256915189185,2.04602606160571,0.831681897564657,1.4869994547722,1.12587475302896,0.456497151415346,0.497619801501471,1.58584137987585,1.34794459316275,1.90975273927383,1.32678026640191,2.13765070417423,1.016651673245,2.0509059547717,1.32860695282884,1.32769135759841,0.164525353718778,1.152723151167,1.26934980384872,0.889719156564216,0.808456571284463,0.619093065158884,0.875857303780665,1.05118740409847,0.316025011412532,1.16001145893234,0.848104221382949,1.16008500674787,1.69993464175528,1.82312725144714,0.872668039484248,1.72356171537564,0.701997364062975,0.504609985365518
"PT-APET",-0.0922265196474486,0.127066856494143,0.361138631741691,0.40657276639577,0.381840805397317,0.307405566687589,-0.443953421769084,0.269935661014706,0.0512827250551638,1.30341930223208,0.620977008357697,0.712128034159446,1.016651673245,1.87205981399496,0.975335184115244,0.994216298675404,-0.13286251511818,0.263998024184438,-0.228753789012961,0.397774184529504,0.188571844496927,0.0806564144547793,0.186042941188784,1.02754183062119,-0.9201752798367,0.214705970911876,0.156043263602177,-0.124845842688779,-0.341449734064005,0.35842485403917,0.0366807565646144,0.207212386282474,0.93258938616897,0.317273567215222,0.142532594675048
"PT-BA",0.638669067455437,1.71615182557204,3.73609925385258,1.32113988335524,2.06803528342668,2.12348415201527,0.565450852516274,1.53709285310953,2.16546388306911,4.24992765963153,2.91795952281315,1.83449596919544,2.0509059547717,0.975335184115244,5.60471455644068,2.605774150549,3.18195200149076,0.781749083202266,0.708799067930862,2.13983397962617,3.35386868560928,2.72534333142132,0.973464578765676,1.55204901015896,4.91217667673476,0.342070574791487,3.71108643142382,1.82200387582859,2.3915174327875,2.43481308790693,2.60073113733052,1.61028659894187,3.52209849609827,1.33497285863336,0.0326136060167143
"PT-EAM",0.304380141229527,0.792260952465808,1.83459902584545,0.756741422878517,1.29571767208167,1.22800074783874,0.0605625986052245,0.858388121314291,1.37361074856111,1.90086613530914,1.60404135134288,0.947091152055098,1.32860695282884,0.994216298675404,2.605774150549,1.94222549822477,1.459361889425,0.356734774982837,0.550473261909599,1.0852252473341,1.44280205868595,0.810373321682983,0.44566014758933,0.815805160332263,1.60701995822631,0.402691927800904,1.25294911798393,0.639477614407125,0.984601257503607,1.26681837506426,1.61147536143141,0.758367783502261,2.36672791638514,0.931663797264237,0.385268326052759
"PT-ZYGI",0.795728691261226,1.6213772899269,2.88310649881743,1.16065331430005,1.49976280897147,1.86492157251047,-0.676626200327323,1.41688055062667,2.33621840213526,4.27662755514903,3.13736096654448,1.11950913502229,1.32769135759841,-0.13286251511818,3.18195200149076,1.459361889425,4.41973330984405,0.625782938708002,1.0117098646655,2.5304609591137,3.10937464845895,2.69228324837798,0.34013480510405,0.873223561987084,3.35113066422151,0.155809779964086,3.02559700685955,1.59750420263101,4.06060621071047,2.50513856576176,1.40550439744476,1.93480295995074,1.58881671946373,1.43441285521107,0.298064788341973
"PT-TSP",0.141340386931026,-0.101444138944966,0.442966131834895,0.096317785294017,0.11690833347263,0.191468871474994,-0.1501055903837,0.232036133182243,0.119978023154096,1.00273234578583,0.470916287598192,0.273130225149242,0.164525353718778,0.263998024184438,0.781749083202266,0.356734774982837,0.625782938708002,0.712632552779222,-0.124693130159999,0.42196315808034,0.42437105554359,0.901471572569367,0.128348689166255,0.322297141015847,0.559524442848716,-0.065974251021245,0.484116215635868,0.776716147550826,0.490658289736819,0.537229769946457,0.299641094050985,0.348933188402641,0.202601854460098,-0.131731381914154,-0.0974584967133693
"ZS-ZI",0.469968052374057,1.07448015617803,1.43011264492245,0.386088693289044,1.53586591633906,0.812548348963998,1.10014073361374,-0.870966166180196,1.91414393213422,-1.96408019182987,0.605775031376412,0.295712462201375,1.152723151167,-0.228753789012961,0.708799067930862,0.550473261909599,1.0117098646655,-0.124693130159999,2.99891712463157,0.625799003968347,-0.0641104724141393,0.184517551333818,0.374776603793793,0.487722117844915,0.72588355108552,0.397969570409308,0.636517600792597,0.651103269682455,1.11244561061459,0.898072860770782,2.83028788936875,0.50860831313634,0.75553432553186,1.10216690067689,0.235927392537128
"ZI-MT",0.42679041474097,0.891803845130581,1.98695007547066,0.885847729928154,1.70316699330189,1.62635468682109,-0.300968291651151,0.967774245297308,1.81488180791446,2.74636921124298,2.07818260925569,0.61511157160407,1.26934980384872,0.397774184529504,2.13983397962617,1.0852252473341,2.5304609591137,0.42196315808034,0.625799003968347,2.3789329666267,1.38570945096758,1.57277456626933,-0.0170728577123362,0.891548647480003,1.75029724814369,0.2634313820587,1.89809627657234,0.937604927191625,2.19138422827474,1.6676080765675,2.01829934552505,1.03510236090357,1.2979917647274,0.674776513617013,0.402103056232019
"ZI-ZYGI",0.515849978840968,1.1541543544535,2.16696438549655,0.858533567591819,0.400031657602091,1.28109926129813,0.0241346676249625,1.49351255750637,1.15151859225849,4.21640689404996,2.11821716933941,1.26278008141866,0.889719156564216,0.188571844496927,3.35386868560928,1.44280205868595,3.10937464845895,0.42437105554359,-0.0641104724141393,1.38570945096758,4.03758777624966,2.57989176763678,0.334563014675923,1.28103707529276,3.35312264056646,-0.00741656929548132,2.70236191864411,0.817354708896586,2.65019610093813,1.76557535567502,-0.226576343837376,1.36995686450887,1.57207481617406,1.04612551752299,0.207259737956509
"ZI-TSP",0.639761552901289,0.730750948083046,2.48722537548897,0.759151810497366,0.76967779282702,1.22174637632678,0.305887042783881,1.02814000465174,1.14709164397527,4.44819846139115,1.95453119696427,0.904280052804021,0.808456571284463,0.0806564144547793,2.72534333142132,0.810373321682983,2.69228324837798,0.901471572569367,0.184517551333818,1.57277456626933,2.57989176763678,3.55691931971499,0.489880870128911,1.54273197899025,3.02195020044175,-0.228678359547017,2.54717757264361,2.22235723232623,2.57974475884031,1.78989415311037,0.741494461029577,1.17881071029935,0.789587632396183,0.779255740355258,-0.226777385440703
"MT-PNS",0.130211812388202,0.39312870770207,1.02526951770032,0.263534309021126,0.539293157151143,0.0394778015078545,0.22064679503491,0.128563884080019,0.469806048549315,0.635955498217331,0.768298915522265,0.53650916365713,0.619093065158884,0.186042941188784,0.973464578765676,0.44566014758933,0.34013480510405,0.128348689166255,0.374776603793793,-0.0170728577123362,0.334563014675923,0.489880870128911,0.883579998674992,0.0746329657970837,0.854859397430548,0.00875718631585047,0.531414558867617,0.657702587121715,0.290418354327703,0.62150446977663,1.08946581535128,0.129945425798472,0.504690312714202,-0.00541867268889355,0.0105637403119703
"PNS-APET",0.219222359151007,0.492461251314995,1.11707972358783,0.805630206235932,1.05982773251705,0.861222686381885,0.208584172949224,0.499555923172629,0.953732257458958,2.39643760860444,0.913869895181808,0.562899067871422,0.875857303780665,1.02754183062119,1.55204901015896,0.815805160332263,0.873223561987084,0.322297141015847,0.487722117844915,0.891548647480003,1.28103707529276,1.54273197899025,0.0746329657970837,2.27197791388182,0.549498224737625,0.0675093029706056,1.20951101128171,0.627350194660251,0.776758584835117,0.789683553915774,1.02478812832453,0.244040586381249,0.920443407796726,0.532084789543378,0.000744763876541506
"APET-BA",0.824364629375675,1.58053387974056,3.68537692188561,0.926254568420312,1.66583083168574,1.90414852580888,1.22181664254203,1.42681580720387,2.06868210352573,3.29172012825781,2.32685393078899,1.14590445669067,1.05118740409847,-0.9201752798367,4.91217667673476,1.60701995822631,3.35113066422151,0.559524442848716,0.72588355108552,1.75029724814369,3.35312264056646,3.02195020044175,0.854859397430548,0.549498224737625,6.33618623722715,0.0798875563901967,3.84164650467335,2.16686386635886,2.76906008030599,2.20573699907166,2.29728172509815,1.55660358825238,2.74107690671356,1.15293013955325,-0.200346905194262
"APET-TS",-0.0895152467470022,0.146411244478595,0.231868490769534,0.179891212804261,0.682716362302591,0.351429491509999,-0.110717860699974,0.0383491191509223,0.50197035205488,0.206223530741338,0.288313032615066,0.157585446501461,0.316025011412532,0.214705970911876,0.342070574791487,0.402691927800904,0.155809779964086,-0.065974251021245,0.397969570409308,0.2634313820587,-0.00741656929548132,-0.228678359547017,0.00875718631585047,0.0675093029706056,0.0798875563901967,0.676998905323324,0.166861169399728,-0.171556806046008,0.0748970703798617,0.166010237374063,0.389809641472726,0.121509010893713,0.775697262282913,0.0479355867039014,0.283315372582566
