"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.39511700056542,1.23960134224979,3.05105467235424,1.12537026963706,1.63841222482491,1.43235348733977,1.22821508197028,1.43166525204145,2.06821257026207,0.915897388997927,0.711750341495039,-0.309318370917997,0.320544945040507,0.647105354997648,1.7766977171423,1.73689457205564,1.04858203502803,1.3565759761766,0.778827233663461,0.145982442640767,1.05175433418233,1.75186622473513,0.353681093443778,1.091308749094,1.03028253956983,0.189213028572466,0.604358655241618,0.443276861035113,0.631142432483374,0.344833399835731,1.89481077972653,0.494161676396401,1.61945701024847,0.354103747554218,0.162609174839341
"IS-NLE",1.23960134224979,2.00214108861095,3.39755193604751,1.97837864881885,2.00235263622262,2.0342245234415,0.812460167267876,1.43784025129155,1.94885894177706,1.40480073620461,1.07050211971098,-0.0685014559132763,0.663823742992234,0.53135905204895,2.01319416400839,1.85425547123754,1.90928805597049,1.40052517984404,0.78682164028315,0.331617408895681,2.011168377828,2.21934912434643,0.318363071209636,1.15586534831427,1.51436948968845,0.375677007873324,0.967833532528001,0.458592870743346,1.33599575551106,0.344543469319748,2.14612797569774,0.440568601762578,1.75880115463737,0.352757945200693,0.341999371524206
"IS-PNS",3.05105467235424,3.39755193604751,12.6088081431634,6.12025238852576,6.7026887713141,7.19694311292139,5.81951309562459,6.23503966774588,7.44621363115656,3.31366531810305,4.01192110648982,-0.865929064836093,1.8834830334464,2.20534488847587,5.46293890674422,5.16265815014965,5.23455302273212,4.0097144000328,2.06292725100082,0.699059928462458,5.82253237947545,7.44034521678749,0.99769607120409,1.91141687645586,3.60835063877372,0.750729508547184,2.33665623844784,2.29095310295895,4.02096844727696,1.88054810642796,4.45770597059551,2.97655119106293,4.82628526836213,1.3557242973147,0.58172795864322
"PM-ZS",1.12537026963706,1.97837864881885,6.12025238852576,5.86512179480265,3.82005787544534,4.48315948775852,4.79251602456479,4.935331379031,3.89325114206955,1.91357416117315,1.91422591526363,0.023961161417281,2.18632308725272,1.77819877599644,3.60225688557876,2.93857129858553,4.22697356502462,1.8386971715858,1.17602027597537,0.533196308961275,5.09761064823215,5.61574386953293,0.54681595744414,2.98884905283191,2.39909008980217,0.279455858225732,1.81813229445831,1.80958253324455,3.34528461071659,0.640185199179654,2.39876833783693,1.66145193294607,3.01003648373745,1.5236668040708,0.329598944391794
"PM-ZI",1.63841222482491,2.00235263622262,6.7026887713141,3.82005787544534,5.588295737103,4.51001245027178,2.91026425802201,3.68969457762919,5.3960878799637,1.67226410810002,1.81122429752539,-0.851366554512717,0.953437529202419,2.10987210886478,4.45209295128821,4.06606571887225,3.24686893903056,3.38281876667989,1.31188806332255,0.694355446463813,1.78215298173199,2.13059331238573,0.390408531295186,1.55443071950699,2.27520670405836,0.524337877271367,1.49194232650698,0.612915845352697,1.6475176405056,1.20429368947746,2.8130780267398,1.54139244234001,3.93508250006467,0.858553487693802,0.383225952195971
"PM-MT",1.43235348733977,2.0342245234415,7.19694311292139,4.48315948775852,4.51001245027178,5.17744125042681,3.6231727844185,3.94589145318993,4.51324804874896,1.9564192689498,2.41159217641393,-0.413353244951631,1.37228116709108,1.53595937568283,3.66311719115246,3.26273139369811,3.82765249990886,2.32427648144593,1.31541952026927,0.788240370557245,4.04010657849515,4.79539158636842,0.600403710069466,1.71113842616289,2.54487025922007,0.589840598818737,1.65276285801434,1.77528710140814,2.98983772806279,1.56122304682073,2.61414210163175,1.86619332430196,2.7957518279418,0.555933412493345,0.433091534624637
"NLE-NON",1.22821508197028,0.812460167267876,5.81951309562459,4.79251602456479,2.91026425802201,3.6231727844185,8.80927692836987,5.54386604700728,4.17911034319201,-0.657972364538625,1.87758258502183,-0.531051417484753,1.56911115599851,2.08189479466466,3.07129305586461,2.4333615250645,2.74611746922755,1.86429727199108,1.13444987522887,0.128332284192253,4.54103107982571,6.45509445379907,0.579556515534717,3.06255805356809,1.39328842440437,0.251738057666482,1.52111615668264,1.24135565147398,2.30770891242651,1.3645205282555,1.98523469148199,1.92386043517937,2.58821461537037,1.15855530457166,0.22715834764326
"NLE-ZS",1.43166525204145,1.43784025129155,6.23503966774588,4.935331379031,3.68969457762919,3.94589145318993,5.54386604700728,5.24437546937477,4.51394565511552,1.39769902869593,1.72246032624407,-0.468854751854548,1.64670352982304,1.99110646631634,3.6362155516354,3.05073640357089,3.35018509519298,2.08133149161358,0.976733264409627,0.388658014175818,3.89041034303797,4.96426594724328,0.594405969790851,2.52614456066141,2.16946413845622,0.262665354205789,1.47734087018366,1.64627304776798,2.47956104757452,0.932571596342058,2.18066730231983,1.83561383706815,2.95488072078113,1.2754546869962,0.215138363307059
"NLE-ZI",2.06821257026207,1.94885894177706,7.44621363115656,3.89325114206955,5.3960878799637,4.51324804874896,4.17911034319201,4.51394565511552,6.10049131274082,1.60649700813353,2.15151034633509,-0.813485984926132,1.08969031880363,2.1069246019323,4.53600659088891,4.17993730323594,3.38822431306336,3.44537706025037,1.57955153459053,0.627068969751964,2.36992305348055,3.20925166052651,0.575264733403163,1.7704989134796,2.37072184660916,0.519390918323072,1.49542192692287,1.05187223769309,1.9681052547731,1.61512300435832,2.96846506031255,2.02598115102772,4.0695521100528,0.785171718308545,0.38700410599622
"NON-BR",0.915897388997927,1.40480073620461,3.31366531810305,1.91357416117315,1.67226410810002,1.9564192689498,-0.657972364538625,1.39769902869593,1.60649700813353,5.88132165108027,0.662650528863464,1.09625459157109,0.969309969716056,-0.20294240507009,1.23375237941149,1.04107859570844,2.06209709276822,0.155601050465669,0.457657044251004,0.143461189678556,2.42863397506533,2.43277545306036,0.409385207869723,1.26230504333259,2.18130111268331,0.133649548179302,0.921159360164894,2.11483160037547,2.18026203554939,0.839319494939909,-0.511887247925857,1.06693569335464,0.538794071098598,-0.0156304516648805,-0.202571218050647
"NON-PNS",0.711750341495039,1.07050211971098,4.01192110648982,1.91422591526363,1.81122429752539,2.41159217641393,1.87758258502183,1.72246032624407,2.15151034633509,0.662650528863464,2.42605317976333,0.32359230882344,1.18270657507385,0.496034622530979,1.20905305518575,1.24527241015475,2.07955552896243,0.934715865732035,0.794421136133333,0.310852922030939,2.46359739420404,2.75139066393228,0.264732846820846,0.236554844858197,0.701725133946816,0.305536049735638,0.672175322621327,1.03786682794237,1.91623463323386,0.938629976894379,1.38679687791649,1.05091386589623,1.08102949731747,-0.0636603848105146,0.468468706617786
"BR-PT",-0.309318370917997,-0.0685014559132763,-0.865929064836093,0.023961161417281,-0.851366554512717,-0.413353244951631,-0.531051417484753,-0.468854751854548,-0.813485984926132,1.09625459157109,0.32359230882344,2.16662198949998,0.938216195742696,-1.31048498247187,-1.8071149807179,-1.72746530137855,0.0691214509755996,-1.20511307946252,0.0940274826877305,-0.0220416001179209,0.83335713601097,0.301543270877603,-0.0188419936546053,0.313321532393323,-0.638903722726457,-0.304428345080724,-0.0940034916862399,0.677256220093858,1.00532756125848,0.0151649014540219,-1.31593083667982,-0.0274780068842285,-0.81464555499663,-0.0571871673479209,-0.111983056863135
"BR-APET",0.320544945040507,0.663823742992234,1.8834830334464,2.18632308725272,0.953437529202419,1.37228116709108,1.56911115599851,1.64670352982304,1.08969031880363,0.969309969716056,1.18270657507385,0.938216195742696,2.17931178341222,0.945885681954119,1.03672970903455,0.900456366579904,2.13637280213722,0.577064671389602,0.531853845447817,0.259661111830203,2.60835525578711,2.67288654076349,0.166652838363519,1.84694232234301,0.237219747311492,-0.0381564286388162,0.607990185218375,0.933989933722679,1.81692273787187,0.381449750005721,0.823575400524788,0.763366144423089,0.743839677510771,0.406405410186475,0.144459611488181
"PT-APET",0.647105354997648,0.53135905204895,2.20534488847587,1.77819877599644,2.10987210886478,1.53595937568283,2.08189479466466,1.99110646631634,2.1069246019323,-0.20294240507009,0.496034622530979,-1.31048498247187,0.945885681954119,3.06379422194565,3.68045979392138,3.39707091789067,1.41466609903907,2.31684959064355,0.313896646672237,0.172159729208992,0.48568234225908,0.960866355824946,0.119546770275636,1.61197915352032,0.698691510618898,0.27481956048428,0.507908940223792,-0.145384249635822,-0.213891543265141,0.893896492450493,1.61696613236544,0.684104698485265,2.02505620616655,-0.0670382061179808,0.189222421729274
"PT-BA",1.7766977171423,2.01319416400839,5.46293890674422,3.60225688557876,4.45209295128821,3.66311719115246,3.07129305586461,3.6362155516354,4.53600659088891,1.23375237941149,1.20905305518575,-1.8071149807179,1.03672970903455,3.68045979392138,7.0972998118852,6.48165643855585,3.42604972284326,4.08535893692222,1.41162610643179,0.665695228420112,2.21890966644906,2.50109763925074,0.336808052753481,2.65672735150932,3.25268155392162,0.579526517520532,1.67256832843477,0.5143410287362,0.921261753926333,1.81597605613367,3.56581364428365,1.92528123631112,5.29575380461169,0.50643976028644,0.392544208246297
"PT-EAM",1.73689457205564,1.85425547123754,5.16265815014965,2.93857129858553,4.06606571887225,3.26273139369811,2.4333615250645,3.05073640357089,4.17993730323594,1.04107859570844,1.24527241015475,-1.72746530137855,0.900456366579904,3.39707091789067,6.48165643855585,6.22779182338924,3.16638978387767,4.09030670455263,1.33433099153338,0.57260933182857,1.88485269274457,1.99340812329391,0.285727173763937,2.18636354078156,2.68294428244023,0.50518937795905,1.40642072230362,0.347074295857009,0.671670516246795,1.52554738937351,3.43980822419367,1.68824032573032,5.16573801817542,0.394822703484085,0.428713978636383
"PT-ZYGI",1.04858203502803,1.90928805597049,5.23455302273212,4.22697356502462,3.24686893903056,3.82765249990886,2.74611746922755,3.35018509519298,3.38822431306336,2.06209709276822,2.07955552896243,0.0691214509755996,2.13637280213722,1.41466609903907,3.42604972284326,3.16638978387767,5.20402390596047,2.16993152504696,1.33602622181381,0.932362551581704,5.06935438379597,4.88135225716371,0.460525161689065,2.49222202844622,2.43081301163912,0.484593520408974,1.84149620152928,1.95736498689159,3.79333312406757,0.671151214006756,2.78860622675151,1.19435418150854,2.75444925760459,0.734164976838461,0.544905055414537
"PT-TSP",1.3565759761766,1.40052517984404,4.0097144000328,1.8386971715858,3.38281876667989,2.32427648144593,1.86429727199108,2.08133149161358,3.44537706025037,0.155601050465669,0.934715865732035,-1.20511307946252,0.577064671389602,2.31684959064355,4.08535893692222,4.09030670455263,2.16993152504696,4.45397838125608,0.817682542621257,0.378762203240835,0.700312420368572,1.30189290070823,0.0962049243364508,1.34241844696649,0.894928727499697,0.504343402743258,1.02645653503584,-0.404518762588065,0.105069154721367,0.42642523097531,3.11349690089912,0.767256990623438,4.28999139390581,0.666154316173155,0.346767501561693
