"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.71892263691297,1.46966052901352,4.22123192769125,2.57145415215782,3.08740921844249,2.54147852931111,3.52413550242075,2.82482605670524,3.45731595162608,0.843625781753119,1.23803149980063,-0.162489241445831,0.844860880193529,0.942869627894296,2.18172621850856,1.20505960519815,1.70080920165036,0.520567804568995,0.921480879074469,0.573754831152386,2.09077252763417,1.88127326112084,0.747138005122964,2.98725938604893,1.19470922691096,0.134067345562252,1.45802457922077,1.31391396026098,1.41972983462562,0.22759172207625,0.985664393797864,1.09752176930787,1.56997213275303,0.752052980148307,0.453053573638112
"IS-NLE",1.46966052901352,2.30445060004366,4.84542285763874,3.44095282940985,3.43799735625733,3.20165869481252,4.1030797931513,2.83993045258625,3.27990075371678,0.866360052747724,1.45473933084951,0.0658561207721826,1.0811341567523,0.71059425875591,2.23417634904381,1.15225882346022,1.99715870286321,0.999291761989849,0.881080106342096,0.74277492251007,2.70050639306879,3.09535982972828,0.804187120024865,3.32593406520034,1.53634958692924,0.167218926238371,1.66421008823107,1.64921892925698,1.65418062792743,0.366892999686301,0.710352096030221,1.24381161205226,1.77927426661827,0.799055152607131,0.197226882167225
"IS-PNS",4.22123192769125,4.84542285763874,15.3450280335079,9.52299649608093,10.2880050342416,10.2368189766876,11.9862739605155,9.23224748634017,10.4463926537809,2.66612925270742,4.95573990778548,-0.255037740654353,2.94569948365512,2.64375021430721,6.73960331987483,3.95167690676516,6.09138307065554,2.75148533916772,2.25013145070362,2.12458348327086,7.87564957324482,7.91624239372343,2.0065349712946,7.74256587471804,4.48085010287567,0.4152058345115,4.29369561988224,4.58595551950077,4.78996988927578,0.339508307380552,3.92497107073853,2.50619440791338,5.13883235687721,2.27644648497821,1.05579311833484
"PM-ZS",2.57145415215782,3.44095282940985,9.52299649608093,7.86953659984056,6.8731652723839,6.96210901457532,8.19604808633395,6.88461928041821,6.66643939262749,2.3301708396497,2.68052831014034,-0.0125357030099408,1.95566940410686,1.38246138505722,3.92587060552724,2.16608558759399,3.88825845258008,1.77421666103348,1.46949586290663,1.14097584886869,5.84671375544216,6.04121066966729,1.4028651583328,6.23800368820208,2.87072704457774,0.318648620075444,2.69305511186461,3.15793280105647,3.0503710339069,-0.1408362615396,2.17001303512921,1.51458868957255,3.4236677711366,1.45837107965566,0.350677802963016
"PM-ZI",3.08740921844249,3.43799735625733,10.2880050342416,6.8731652723839,9.05069395289314,7.4484396085715,9.46181822020056,6.75698580188608,8.90632502411574,1.69039548694332,2.71840843227129,0.0168607757594138,2.05969764727858,1.83511015615689,4.39144009713295,2.73839145385917,3.94886902305682,1.68967038700261,2.3518606433191,1.32293630719261,3.84221645736821,3.55105283282396,1.48489259944261,6.33463534176586,2.69874768691344,0.167631528489223,2.70327200706193,3.20861792489009,2.81956706096532,0.500133917006241,1.53397491356046,2.38998401032156,3.85663353576023,1.82907603388299,0.708250817093458
"PM-MT",2.54147852931111,3.20165869481252,10.2368189766876,6.96210901457532,7.4484396085715,8.10611295603733,8.9441047941254,6.61413448781518,7.4492003805047,1.76538476574522,3.17707941053708,-0.0837713273098677,2.09474380860158,1.89790106012309,4.38598291578621,2.83245449741266,4.24191227756773,2.19348364053359,1.65307246580976,1.52756933977421,5.60002668876567,5.43731261198888,1.49876231642115,5.57925532318815,2.89638408519456,0.23868197300888,2.65818212637514,2.97596555337751,3.00322990754268,0.471216944423989,2.3418562162345,1.66569449458877,3.43565188506341,1.46870990972139,0.448024400752931
"NLE-NON",3.52413550242075,4.1030797931513,11.9862739605155,8.19604808633395,9.46181822020056,8.9441047941254,12.6821058824508,8.052859962411,9.5583180728171,1.02786670287055,3.46934166652907,-0.0660342967205143,2.34112285587515,2.18461624174079,5.17607699555046,3.16676496643392,5.08250346881442,2.33834525120309,2.30101249030191,1.61111301591636,6.04273330535343,5.9891111101302,1.92941487722859,7.35674984116935,3.38339147247095,0.179479730433878,3.35630530573203,3.53908577034281,3.76025745852803,0.777018731681713,1.56696770149945,2.58534059294962,4.34086999053372,2.20991876210909,0.882635949030784
"NLE-ZS",2.82482605670524,2.83993045258625,9.23224748634017,6.88461928041821,6.75698580188608,6.61413448781518,8.052859962411,7.11756070632818,7.26441653492277,2.3553772535313,2.60188972816256,-0.246920072078031,1.85951046405536,1.77637922263288,4.1485023264561,2.47034346560523,3.83215137463908,1.39137865184,1.33391276862728,1.0743491659111,5.09978938921803,4.72931650140295,1.39522424004372,5.90026381158023,2.58114319858676,0.182701759263954,2.54464807412657,2.88636246701179,2.90482774215291,-0.142137100850203,2.32711895262519,1.47574925829335,3.25330838389696,1.48093657839812,0.577185514744183
"NLE-ZI",3.45731595162608,3.27990075371678,10.4463926537809,6.66643939262749,8.90632502411574,7.4492003805047,9.5583180728171,7.26441653492277,9.46512504232034,1.90811304862893,2.93600026276514,-0.15583710017478,2.11561750216855,2.20764776379187,4.82506851928377,3.01945720603251,4.22554917417589,1.47794846043635,2.47398228142499,1.44516780079787,3.95366772030164,3.42290845981678,1.62502627083921,6.52137979480147,2.70558186799764,0.171027666423386,2.91259105379994,3.21185913363578,3.11935658048022,0.437104487162535,1.97115950424618,2.34070582917934,3.93941825091859,1.90068523725455,0.809227528712202
"NON-BR",0.843625781753119,0.866360052747724,2.66612925270742,2.3301708396497,1.69039548694332,1.76538476574522,1.02786670287055,2.3553772535313,1.90811304862893,4.53949552884407,0.731048574148583,0.83114201668286,1.6589071372911,0.886102900515046,1.30797181884622,1.10913864231408,1.48497260598076,0.280244171523331,0.137885287712669,0.236553630687446,2.87508365401575,3.01052854163987,0.311021760720344,2.5901667048212,0.838524995232132,0.423879480424506,0.552873937853175,0.918554229302401,1.32734548801398,-0.627234264397873,1.25055794649455,-0.00488704741068859,1.77552238372836,0.918979413095467,0.141973895771534
