"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.37965781315849,0.837463212011982,3.82785835832373,1.76036609582908,1.88037541127815,1.96023141501528,2.89309901472956,2.55049209753818,2.63285040449643,1.1761064978969,1.22924885658335,-0.0295553712292533,0.491434814160849,0.823677007753901,1.42159752765798,1.16880871002779,0.834587932280472,0.644356830954334,0.328267036455714,0.20504259577387,1.26770873727034,1.88403345735532,0.0223156018743201,0.919922002431384,0.716965704669535,0.0330630237756205,0.497638091998683,1.01259196182914,0.731457540601387,0.269785380073813,0.179914419305965,0.903615531448576,1.31031736586225,0.620254072718969,0.0117288324626293
"IS-NLE",0.837463212011982,2.31628759273299,2.84275712298909,2.17030456484444,1.67202993894745,2.01632492708753,2.05782514801748,1.39287922882685,1.4458293730431,1.39333174298197,1.47573496277462,0.517674539778495,1.01405216100769,0.689268313518661,1.34996904275899,1.2138437794867,0.934261891938052,0.757145020071243,0.544025341961383,0.544452168752946,1.76998994229568,2.29450451170869,0.30086101573341,1.37741229288127,0.466616865313082,0.226724179790917,0.739355334631956,0.857143249520845,0.845405832513586,0.139733369747952,1.46269406142844,0.350616304063123,1.19652708721889,0.569399901223819,0.215380087586001
"IS-PNS",3.82785835832373,2.84275712298909,14.5584696889798,7.95660192382412,7.69974132869419,8.90953943717158,10.3172718574857,9.39887726469073,9.17559038188968,4.89612437003281,4.71238187251951,0.90306137468051,2.61483179149678,2.21764178471044,4.45861618027529,3.48815682096214,3.11391205317381,1.71343913058826,0.898114785842818,1.57864492700023,6.05077960814738,8.46793985513231,0.463928119145583,4.28729570644631,2.76864972967673,0.0168392478111265,2.528901720323,4.51451141268572,3.42867661625938,0.744227808713599,1.60855556572553,3.24639705053623,4.39475497537673,2.72594878480384,-0.0577870535342022
"PM-ZS",1.76036609582908,2.17030456484444,7.95660192382412,7.56309010835715,5.73946760235144,6.52652125343187,7.42448554573593,7.13040732255477,5.66042518878684,3.45327267232309,2.18599214835151,0.809203400311574,1.77063066827545,1.21156989036269,3.08899831137487,2.19107854634301,2.26920353287664,1.26738688184276,0.449842099624931,0.840782807651899,4.92651475572387,6.07084471769983,0.674175936662051,5.12317467027421,2.17701552913144,0.0453100472771316,2.05734595025563,2.97429275519997,2.37048754736598,-0.129776743217952,1.89684191898943,1.77840613072808,3.29423454281795,2.21890691274616,-0.120495125873158
"PM-ZI",1.88037541127815,1.67202993894745,7.69974132869419,5.73946760235144,6.67541352387348,5.94085934743008,6.67380968776272,6.09838412794996,6.80760082798782,3.42924875416945,2.10859452044556,0.248896063276726,1.35135191827573,1.26293176619221,3.06128370524796,2.52828527377119,2.59897496452206,1.09052964051619,1.15583660710001,0.675991025494513,3.07441306164562,4.41079056561665,0.359399737430343,4.65470483912812,2.19855238682972,0.183761259683788,1.80361317540438,2.50633069186784,2.5973488073003,0.536670543280055,0.947240827685889,2.03607738184297,2.67149569712066,1.46950093301042,-0.000870157049980803
"PM-MT",1.96023141501528,2.01632492708753,8.90953943717158,6.52652125343187,5.94085934743008,7.08603819727169,7.43093134798573,6.59110996494313,6.20136730215101,3.54648084073998,2.6552621503869,0.769453763269559,1.91499175695134,1.2030368437799,2.90196971871897,2.31867383173336,2.56891453229048,1.10367511591837,0.773175778931983,1.15877409424275,4.87385120032975,6.38068675189525,0.736858538464367,4.62548594344776,2.14827965993777,0.129950692153099,2.13767215685151,3.22663718839971,2.7950876194364,-0.074071469023042,2.01948519745288,1.49320691166949,3.01858428560318,2.08243972884286,-0.0414580839464635
"NLE-NON",2.89309901472956,2.05782514801748,10.3172718574857,7.42448554573593,6.67380968776272,7.43093134798573,12.6500631670068,8.45521665235728,7.56092610315577,1.71051922857923,2.68620787597251,0.705988515040483,2.39124120011218,2.11968857620796,4.04982850109347,3.41035391188379,2.69250972821527,1.97491809332138,0.835458959473933,0.958762032138972,5.36849193444663,7.71746959858569,0.796340209199612,5.2320836175556,2.47190133939678,0.198775764299614,2.2097827145868,3.67317514331584,2.85835737571742,0.759996615746001,1.40385059604001,2.89454373374963,4.13645175507897,2.73013779519379,-0.143373835268877
"NLE-ZS",2.55049209753818,1.39287922882685,9.39887726469073,7.13040732255477,6.09838412794996,6.59110996494313,8.45521665235728,8.50109583056311,7.29701636101528,3.82715490116165,2.19022599162976,0.427865632235153,1.38777051396996,1.55762843288543,3.48017219487097,2.59599997535769,2.27119910875226,1.4431647208678,0.334654643068922,0.415924247271921,4.75138376215095,5.69886543924037,0.47929049047254,4.57308571371405,2.36450667739693,0.0433466629161637,1.83662590331421,2.942439194024,2.10809577139055,0.226989332346847,0.956015367458101,2.2798062225397,3.56173130323006,2.00463919979842,-0.220734301789021
"NLE-ZI",2.63285040449643,1.4458293730431,9.17559038188968,5.66042518878684,6.80760082798782,6.20136730215101,7.56092610315577,7.29701636101528,8.15801664067881,4.00363294701455,2.52095753818623,0.2178657211626,1.39436989148793,1.61715847261522,3.48764914261134,2.92356251613226,2.96340129946464,1.4324481924349,1.2417245504191,0.457090949347916,3.54795870993263,4.75445983516025,0.273301253242364,4.34620912126053,2.27758327287223,0.181950663336032,1.76820680230814,2.68088304570285,2.69657480111897,0.922879756690749,0.74184419594861,2.40618078073328,3.00083078224212,1.25937664503435,-0.0249523957579162
"NON-BR",1.1761064978969,1.39333174298197,4.89612437003281,3.45327267232309,3.42924875416945,3.54648084073998,1.71051922857923,3.82715490116165,4.00363294701455,9.05730570176164,2.37509600957053,0.9372445238182,0.814176898127173,0.169305967986425,0.730216380937704,0.786926619042095,1.24327000146783,0.366713548146335,0.312709001079067,0.158681797995451,3.20748209672781,3.97121893833397,0.454446322570153,2.98850056856926,0.820765012705073,-0.0455605947516533,1.25030795556217,0.715536544508864,1.40830148603458,0.311880210444312,-1.14203568240351,0.260195341085583,1.45936171401977,1.14081232146909,0.540037102439983
"NON-PNS",1.22924885658335,1.47573496277462,4.71238187251951,2.18599214835151,2.10859452044556,2.6552621503869,2.68620787597251,2.19022599162976,2.52095753818623,2.37509600957053,3.32107904611222,0.593910732947515,1.46661961267895,0.892667680524677,1.47666435724116,1.14799972673596,0.953503156317033,0.786779814246893,0.513314001255684,0.794954474752558,1.96044702894493,3.62579837065864,0.230808327601195,1.15009986480815,0.833458895582555,-0.0249216911642598,1.05509826173164,1.72606237227533,1.29170423337949,-0.0100589138764673,1.4467970777046,0.69417007359228,1.55323294977664,1.30712668728506,0.344047557659964
"BR-PT",-0.0295553712292533,0.517674539778495,0.90306137468051,0.809203400311574,0.248896063276726,0.769453763269559,0.705988515040483,0.427865632235153,0.2178657211626,0.9372445238182,0.593910732947515,1.42320152556275,1.24314141057421,-0.159994734866214,-0.135719398528046,-0.0864341560853902,0.577440969846624,-0.118357998903812,0.11353865956243,0.362621601856843,1.26853827851984,1.02222602867305,0.205193702369274,0.380255298424611,-0.0156180994190934,0.0535593724353757,0.365754617895817,0.574924125206419,0.648755688910374,1.02334075605756,-0.118487346902119,0.661495672817448,0.00905644920844552,-0.109225319270422,0.111775929227322
"BR-APET",0.491434814160849,1.01405216100769,2.61483179149678,1.77063066827545,1.35135191827573,1.91499175695134,2.39124120011218,1.38777051396996,1.39436989148793,0.814176898127173,1.46661961267895,1.24314141057421,2.27729743674033,0.965101046745093,1.1718354656701,1.06376112026478,1.70160705344558,0.461477620578861,0.314110700059998,0.764651189108978,1.72209698465047,2.54304991302578,0.280427381786749,1.40804491410331,0.165751441335169,0.0405053204032589,0.914334975496439,1.44776875631432,1.79508520259262,1.01452047104151,1.1249327849115,1.1734250717949,1.17376072777801,0.633778435274876,0.300096413398871
"PT-APET",0.823677007753901,0.689268313518661,2.21764178471044,1.21156989036269,1.26293176619221,1.2030368437799,2.11968857620796,1.55762843288543,1.61715847261522,0.169305967986425,0.892667680524677,-0.159994734866214,0.965101046745093,2.15221248614588,2.36848065712908,2.17176723182249,1.42172424643057,1.51472722068744,0.0483168566512704,0.0415364539989831,0.46212060719746,1.45882422719332,0.0240173775502146,1.01031033057992,-0.0374846977346272,-0.0971349218983364,0.289900496304456,0.929901743741728,0.91662250339598,0.167118264758064,0.513015465859532,0.827523033048805,2.21798878839024,0.781904141342171,0.355577668344363
"PT-BA",1.42159752765798,1.34996904275899,4.45861618027529,3.08899831137487,3.06128370524796,2.90196971871897,4.04982850109347,3.48017219487097,3.48764914261134,0.730216380937704,1.47666435724116,-0.135719398528046,1.1718354656701,2.36848065712908,4.05549237228083,3.56198445680031,2.48483274307875,2.22133435816414,0.40410547368491,0.132793802339897,1.66800198055113,2.53954094435695,0.177047835412575,2.418235899384,1.08155022424267,0.111302795861908,1.0411784688891,1.83753818626236,1.72886414523284,0.18533008654469,1.37000108702637,1.6466737060886,3.68458803147381,1.13706398545797,0.209628052389719
"PT-EAM",1.16880871002779,1.2138437794867,3.48815682096214,2.19107854634301,2.52828527377119,2.31867383173336,3.41035391188379,2.59599997535769,2.92356251613226,0.786926619042095,1.14799972673596,-0.0864341560853902,1.06376112026478,2.17176723182249,3.56198445680031,3.88284847363694,2.75711083378935,2.47595906722652,0.489957490332369,-0.0526191601455743,1.26984348168199,1.99290365815581,0.230212503105194,1.97300159133455,0.534850495219926,0.258346288285077,0.661186722690613,1.49382507046004,1.75782257055348,0.394257675512893,0.350732750600925,1.59801190239478,3.68653662462888,0.969318813232981,0.263945413392432
"PT-ZYGI",0.834587932280472,0.934261891938052,3.11391205317381,2.26920353287664,2.59897496452206,2.56891453229048,2.69250972821527,2.27119910875226,2.96340129946464,1.24327000146783,0.953503156317033,0.577440969846624,1.70160705344558,1.42172424643057,2.48483274307875,2.75711083378935,4.00805815722775,1.17852855902305,0.925485497755568,0.440815803639983,2.39691691660995,2.63061920602848,0.289604629506352,2.86211238675821,0.477155942567196,0.253046940067923,0.984914016842367,1.65253598085976,3.38446198581442,0.782004628483512,1.10412790538298,1.191529369686,2.21307243638181,0.239881724224393,0.18805545498716
"PT-TSP",0.644356830954334,0.757145020071243,1.71343913058826,1.26738688184276,1.09052964051619,1.10367511591837,1.97491809332138,1.4431647208678,1.4324481924349,0.366713548146335,0.786779814246893,-0.118357998903812,0.461477620578861,1.51472722068744,2.22133435816414,2.47595906722652,1.17852855902305,3.12146181428941,0.220413043718584,-0.298047547991125,0.409531086806359,1.44955945711219,0.0631309881046778,0.714217826661916,-0.233305179275229,-0.15380172492619,0.116436739737031,0.639575113816834,0.123296677065016,0.371470052284094,-0.535410985293945,1.22828072967668,2.77291724604813,0.844878832526826,0.343553830280263
"ZS-ZI",0.328267036455714,0.544025341961383,0.898114785842818,0.449842099624931,1.15583660710001,0.773175778931983,0.835458959473933,0.334654643068922,1.2417245504191,0.312709001079067,0.513314001255684,0.11353865956243,0.314110700059998,0.0483168566512704,0.40410547368491,0.489957490332369,0.925485497755568,0.220413043718584,0.922422593846652,0.077311321039604,0.283260782252091,0.474667207895607,0.0603719477733586,0.691350616214185,0.291624799738875,0.16476019877004,0.294544013484737,0.223099513276005,0.800437421925008,0.479950027483296,0.422183040769174,0.365922139913886,0.116124915683178,-0.201378821770699,0.0227714587102826
