"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.517990167290095,0.285045885789311,1.44310557455439,0.694955262018928,0.82015570557359,1.01074581805793,1.2487761940674,1.03063284132978,1.18154395338596,0.499554547399341,0.543289261828818,0.229785737112938,0.335768484231863,0.0707937399621374,0.396917916048649,0.118422795154718,0.307206696372211,-0.140964449729966,0.178893336547437,0.32192201382744,0.813796140994238,0.738570496974789,0.0790216698768183,0.878128479173699,0.344715156939401,0.0349865414684438,0.417177072671671,0.40647188612117,0.380945741282639,0.233170044893452,0.363839506876738,0.329038377393972,0.280581978963661,0.146452379323097,0.188872618941356
"IS-NLE",0.285045885789311,1.1192438358739,1.65703952917321,1.19634843494604,1.56255834815668,1.43985102842792,0.378553391900392,0.475088191707783,1.08963920458265,0.732451308690795,0.662278063520021,0.205683016794524,0.324352876739838,-0.105834293573716,0.285045620309347,-0.00714573030421111,0.273641853387389,-0.0621844509385691,0.506887978957022,0.409878454385406,0.801130668471708,0.85213207736395,0.10474243049636,1.07335673656436,0.441968578676501,0.119720609562978,0.427150850089977,0.573863055251524,0.462792538287461,-0.0167090105258467,0.761236854903707,0.193207541740255,0.0938305861844696,0.0929268816827099,0.137916067799237
"IS-PNS",1.44310557455439,1.65703952917321,10.1332181928055,5.63316183337326,7.08085468403871,7.6790655850085,8.8789713070169,5.8845303500584,7.05665803661202,3.48943574042128,3.02447710446163,0.518791797426346,1.37569566559137,0.703399721266905,2.67812500313661,1.27278562250633,2.33451237297007,0.113630876754186,1.20952955592026,1.52189720358808,5.43191128215455,5.31902049353565,0.682759586810425,4.0181827894166,2.35354705257273,0.875445624092749,2.49051076723736,2.31895648813149,2.33795889462768,1.04566347285733,1.45354367370777,1.95471887879871,2.25758891595541,1.35093890096034,0.673801515942344
"PM-ZS",0.694955262018928,1.19634843494604,5.63316183337326,4.51965881803066,4.42226642439902,4.52024114819499,4.82133752122326,4.01015907666608,4.07342871307685,2.21849561572947,1.85736321342391,0.0456798894150665,0.886261689835388,0.266872540470036,1.27357472978309,0.447295376100148,1.11516807366081,-0.243216437365492,0.582452917717993,0.678045342305815,3.12951447690552,2.9361730675972,0.321931299695934,2.66593341668043,1.45283675626155,0.356525532882758,1.36493026554536,1.25595213709919,1.22186709902122,0.6373975799476,0.966112812380987,1.26658208473232,0.808034758390054,0.570666491851134,0.13614419482616
"PM-ZI",0.82015570557359,1.56255834815668,7.08085468403871,4.42226642439902,6.35432002424726,6.06705145204871,5.99036037937601,3.88148852393042,5.62529454795022,2.72882023987125,2.08241382460948,0.207371313125075,1.05119688116365,0.564788405302842,1.92277772310504,0.87887684835943,1.64957498065816,0.39482680317103,1.4260739324112,1.0642278750109,3.45441947245523,3.48952927369458,0.620375200463341,3.57292224860214,1.8217049272054,0.753570902901832,1.8503746687443,1.73058442591665,1.61290091580991,0.918978417464999,1.17645927766081,1.49739278059688,1.46990317684371,0.740046742229603,0.357503933200902
"PM-MT",1.01074581805793,1.43985102842792,7.6790655850085,4.52024114819499,6.06705145204871,6.63727467569294,6.61630679380399,4.40681944610903,5.7059872997452,3.21139607397836,2.12627615989936,0.424791238337224,1.08984842226697,0.424006127623143,1.87334418674725,0.870052217017561,1.80144397114569,0.291001569309198,1.1483246564253,1.19241425765297,4.36421970342852,4.55213276006079,0.548329170542112,3.5336083498089,2.0832673484072,0.800120533883754,1.93309238695553,1.76108689427166,1.91876954952683,0.845822358874167,1.39532974950756,1.52972889987983,1.77606182614172,1.03524134990359,0.554665703494146
"NLE-NON",1.2487761940674,0.378553391900392,8.8789713070169,4.82133752122326,5.99036037937601,6.61630679380399,10.7991179657929,6.12707440999634,6.68851466955822,2.22554943641549,2.49497348731024,0.556699759449334,1.42413538547697,0.963854123983522,2.69905855939686,1.22862457732468,2.15990599905555,0.237604574539669,0.786033910237708,1.05982779389553,5.32773864609279,5.10626999136289,0.754282397551758,3.68139592280731,2.31875057246177,0.852023092026779,2.32796769851978,1.8738639029543,1.94617233004201,0.926634550265702,1.24070763184305,1.57806573012216,2.25874301033367,1.3062384712591,0.671589355814272
"NLE-ZS",1.03063284132978,0.475088191707783,5.8845303500584,4.01015907666608,3.88148852393042,4.40681944610903,6.12707440999634,4.90920427384621,4.677380432043,2.50187976440486,1.88671112878769,0.364018923400738,1.09246779786161,0.518802621311565,1.58341016154823,0.702872849075485,1.50254812347331,-0.313471151694739,0.330250177215532,0.746123875539903,3.73463248708213,3.41733991124917,0.37449931274057,2.82882081580863,1.50268074400121,0.334789884963305,1.49752430728353,1.3559772483163,1.55234349348821,0.618403020078483,0.908765605044727,1.23267796342058,1.27804176968123,0.857530125120221,0.2705793312227
"NLE-ZI",1.18154395338596,1.08963920458265,7.05665803661202,4.07342871307685,5.62529454795022,5.7059872997452,6.68851466955822,4.677380432043,6.0901273050394,2.96926111892652,2.32555417800852,0.53840791360732,1.31586669014217,0.66920581214864,2.11690157034008,0.996322871739742,1.94526377791167,0.122514189791632,1.33196451477037,1.15648088361709,4.00242215246737,3.9412170759072,0.649039403977796,3.83213945062968,1.89392144868494,0.591768348729631,1.96145185133479,1.87955229391225,1.96521006038072,0.746667537722576,1.47420323232026,1.34894564062034,1.67509664453806,0.885519360644537,0.435375470938805
"NON-BR",0.499554547399341,0.732451308690795,3.48943574042128,2.21849561572947,2.72882023987125,3.21139607397836,2.22554943641549,2.50187976440486,2.96926111892652,3.73873501799917,1.18176371354795,0.691632855970652,0.891307407937533,0.211169183646396,0.895567628299526,0.648886971116729,1.63771690516251,0.355752107488398,0.484474340392604,0.57670906323379,3.04054684765984,3.2883458839188,0.357473973578613,2.03575528610254,1.19119980280985,0.35782769110803,0.926246333235747,1.05603700112625,1.71252424314881,0.4903518168067,0.439479939209137,0.947199949342934,1.08361223261861,0.630979186672062,0.158350300987025
"NON-PNS",0.543289261828818,0.662278063520021,3.02447710446163,1.85736321342391,2.08241382460948,2.12627615989936,2.49497348731024,1.88671112878769,2.32555417800852,1.18176371354795,1.64328472031054,0.156786376833076,0.57496580597251,0.175265162668673,0.887452269698553,0.332380327303545,0.736682200628477,-0.129877197074011,0.640239059393133,0.454544450483578,1.79187632786582,1.64697369042879,0.285178308963597,1.38807409060509,0.928587152625621,0.134169943992627,0.864560929266143,0.819808579243616,0.703487611118095,0.339703143498566,0.744376417933859,0.565419316615591,0.346771448585185,0.12375436417833,0.0884023078835501
