"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.571534243608981,0.28489021927288,0.647529796834947,0.214410338880545,-0.165688518094508,0.251092668373486,0.466482438456642,0.505686265537446,0.252798863756873,0.488200851003839,0.394208159475797,0.115818919012947,0.249976475721876,0.242354776048167,0.422998604287515,0.318839663746681,0.401700760785675,0.224743193314369,-0.318951831101035,0.122798579622354,0.942923907365906,1.04175997762163,0.222032867359666,0.703245668319223,0.281414011709583,0.0995736347698502,0.23759338672905,0.602891530038673,0.352218198023562,0.10346925420444,0.0882005287538781,0.239990959097595,0.134218294933339,0.116510128844643,0.00630975338787638
"IS-NLE",0.28489021927288,0.969451666156378,1.63523328313106,1.72732969645688,1.26940335925294,1.61767694967903,1.20425772816719,1.21254392704503,1.13479531679692,0.87369452276998,0.941420927557628,0.604517211594309,1.04478162934173,0.638578694939465,0.922429086803243,0.532815584740358,0.709778638688755,0.0346608185641644,0.179371465118224,0.573193256500368,1.37421017291063,1.51703375614101,0.363500485082509,1.3566665250045,0.526445785820659,0.0763753967573153,0.583998397175859,0.936071632988177,0.806305152619171,0.398099346098026,1.27919719442553,0.384182222417202,0.398359488242156,0.209386971210111,0.0946762719111264
"IS-PNS",0.647529796834947,1.63523328313106,7.29920755661986,5.36325578672808,5.37698005844194,5.88000191240036,5.57555072058616,5.22336716321222,5.39816591638449,3.10709901133688,2.93845698393503,1.87460485896114,2.94097559768724,1.22128726852259,2.2130518480963,1.20700466188305,1.74742591461545,0.321681129785593,1.03729289126982,1.74285775157804,3.37293037748169,3.59436362876469,0.685763135882162,3.14738875231868,0.66239242347334,-0.385648948614416,1.56256285704948,2.78555905847646,2.02387188898857,2.04293154158912,1.66160965502203,2.47846084262999,1.4529979110188,0.72788386439719,0.438203144391819
"PM-ZS",0.214410338880545,1.72732969645688,5.36325578672808,6.50978424477334,4.85109172827908,5.7881435554862,5.26285919374115,5.11539175625043,4.39251200510301,3.04944550407147,2.54800240700269,1.32010564495017,2.3367752454155,1.0151480901393,1.73228381345204,0.856789472636181,2.09100825575491,-0.252747535839079,1.1787750742454,1.7369017904014,3.69962633553647,4.4461128758875,0.766893334086828,3.86112377032765,0.831903431093365,-0.0443157607798879,1.44562139065724,2.69869065663924,2.77160643463246,1.14214189598079,2.82761465550866,1.14111563869142,0.894914830871549,0.745653129404662,0.547462531972478
"PM-ZI",-0.165688518094508,1.26940335925294,5.37698005844194,4.85109172827908,7.34835154543002,5.20647237938698,4.61704654847883,4.30156905172466,7.01415417292808,2.61552728308425,2.28540807787567,1.41971831110712,2.84209905079447,1.39067935557827,2.32233103655799,1.47322894476719,2.28796646180011,0.676506219163096,3.38715349785723,1.1052881965168,0.109340411424198,0.415735510239429,0.430292183223702,2.44466569036169,0.566627646714425,-0.303955109581053,1.40290993766118,1.01078857290282,1.85472283327229,1.54687363454781,2.18295801727039,1.6169008846109,2.01324740134233,1.0569057859241,0.671570443106269
"PM-MT",0.251092668373486,1.61767694967903,5.88000191240036,5.7881435554862,5.20647237938698,6.09289386204423,4.89201358345856,4.87812110437903,4.85848918340913,3.50907024019046,2.65980388330953,1.31063969164975,2.332274471793,1.20642783559518,2.22718867108288,1.43413467197915,2.061098758985,-0.02607222745096,1.28526596942494,1.83469352538654,3.4472787337847,3.96938050931452,0.731838404743082,3.59924792507815,0.865854449467537,-0.165113609163009,1.46887398092715,2.73429106740429,2.45187718660592,1.55829907231911,1.7468748335253,1.94178237678248,1.37082359881267,0.989197033305073,0.609863361127796
"NLE-NON",0.466482438456642,1.20425772816719,5.57555072058616,5.26285919374115,4.61704654847883,4.89201358345856,8.49130018397311,5.39594458900079,4.69029482607524,0.331850686496202,1.74740102012589,1.61126948640542,1.8795479068063,0.277117523638067,1.41681616399476,-0.113428376611752,1.12489406380676,-0.133239103505322,0.448677327791192,1.2036096759281,3.98417964072601,4.09333373661452,0.707149761109013,3.94875523461141,1.08683313485447,-0.360908789072423,1.83437447563748,2.15678753347472,1.83819156722703,1.51010342854271,0.6091498454167,2.28599056903885,0.983925186972115,1.13293378588999,0.28429558736226
"NLE-ZS",0.505686265537446,1.21254392704503,5.22336716321222,5.11539175625043,4.30156905172466,4.87812110437903,5.39594458900079,5.04972246479494,4.56201801530664,2.55827169631046,2.20690418150361,1.1053648448261,2.02476182092953,0.771660510444551,1.49602410494138,0.684264876638734,1.80069219381916,0.15703448822414,0.763539062833812,1.30946466972289,3.17709791340415,3.74412737662018,0.700353568137706,3.28615350656249,0.61527461027496,-0.182683667189621,1.31865158125779,2.24896191408967,2.21753055958737,1.2144984020738,1.8684678459226,1.17801869035308,1.00425782749519,0.544731067312254,0.526813491424276
"NLE-ZI",0.252798863756873,1.13479531679692,5.39816591638449,4.39251200510301,7.01415417292808,4.85848918340913,4.69029482607524,4.56201801530664,7.53003459910293,2.69273171941256,2.57023695980521,1.15092956263818,2.91789619028877,1.65361304452835,2.53962413260552,1.83751999493486,2.88604668666611,1.28315132211518,3.60466982605836,1.00259649488479,0.294932806704762,0.82457829859767,0.595375358551449,2.71509133357759,0.459434163990783,-0.300753279580119,1.39681673125417,1.17054974841491,2.0528030489003,1.72410712495818,2.1312751734366,1.81197269487915,2.3590188497634,1.03391460702501,0.586510628168636
"NON-BR",0.488200851003839,0.87369452276998,3.10709901133688,3.04944550407147,2.61552728308425,3.50907024019046,0.331850686496202,2.55827169631046,2.69273171941256,6.51672169687969,1.88764037454475,-0.127021937111201,0.622860954465847,1.02401435596209,1.55834115068437,1.80789090898111,1.83041739854475,-0.461498319863706,0.773941616839681,0.942709186223304,2.73054337804351,3.27571796098202,0.684117991425041,2.57867105092136,0.564543769013374,0.1606596057775,0.749912447845491,1.97583720906086,2.11505058362168,-0.0816145725656745,0.52829464170137,-0.206653635694491,0.620896043073214,0.54488652090038,0.778675267895983
