"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.01070718740912,2.16221902242085,2.82951547404637,1.39626094002831,0.739592221556105,0.65709086635936,2.32293714951101,1.99148933897982,1.84329002198897,1.28903942757919,1.66382471420877,0.219712686639032,0.88804702763347,0.417017767138467,0.862732484138869,0.812902137990025,1.7844148024243,0.0703584785640799,0.00405717012230279,0.546508478463911,1.22639704419521,1.94109881799481,0.543011828113155,1.11497350103461,0.735872645142656,-0.129772614352903,0.656735069821106,0.859435534903107,1.77298713013378,0.77945813723161,0.355891951570481,0.798135895461475,0.932545420347266,0.229877978963144,0.198653686511761
"IS-NLE",2.16221902242085,5.0398494586822,4.72825198462816,3.13239986725933,2.80812698622408,1.99844902261363,2.0976787118034,1.64852102959622,2.30247497050388,2.55244846503495,2.86243869817966,0.326003528832754,0.568208174402407,0.490704801221465,1.4373656302233,1.27111307298639,2.93807358944448,0.681387097824455,0.480232057492367,1.10778623005174,2.10838097750466,2.79947428792131,0.85117369260042,1.44195771872293,1.09848168122554,0.155046897577745,1.02926852522922,1.34319894837467,2.54763316550405,0.923622199094407,-0.033608597525138,0.419076568071299,1.65037077269679,0.353325580378649,0.517723457081022
"IS-PNS",2.82951547404637,4.72825198462816,9.1592843225334,5.55457352715079,5.3962795313819,5.09443234527826,4.39983574850394,4.47797617873982,5.04051455582788,4.35310126657549,5.41830091884086,0.669899270775814,2.47404356543371,2.2623030912665,4.46798990428525,3.80787473561762,4.83909801121609,2.01367410202953,1.10381395474601,1.14671357986629,4.40342686378999,4.69645812788588,1.81005374318868,2.34201868848835,2.60106054322961,0.125394658623745,1.99851173842823,2.85969807944518,3.58576408855116,2.34451194640127,0.884132255155671,1.78565684582891,3.72904263794194,0.78302961506526,1.41323369412775
"PM-ZS",1.39626094002831,3.13239986725933,5.55457352715079,7.19841782824799,5.04574313006109,3.10911598458265,3.918216246493,4.26629519685318,4.19352659056184,3.19136949809448,5.18740244035667,1.40604455490984,2.51841877217321,1.41976236977094,2.68444277393571,1.70039847729309,3.1557075544628,0.814482042262406,2.27614395257122,1.00096026803616,3.46205207986506,3.11313269279657,0.955878535919062,1.96726131133688,1.39852853809285,-0.225482287873752,1.5966246047025,1.06668171475943,2.59442826748336,0.884834535377943,2.94312471145178,-0.0445901952632652,2.31980265590862,1.51610214858371,1.69524806344575
"PM-ZI",0.739592221556105,2.80812698622408,5.3962795313819,5.04574313006109,6.43258080201664,4.22462572345362,2.28867214730554,2.62646105413228,4.52791769792607,2.17272442749394,4.7900842601394,1.4796282904446,2.59419273258258,1.6591457791381,3.20396061362046,2.47244632021278,2.7045917565394,1.16068774331639,1.82626609303431,0.768003275591403,1.66465798533792,1.12511165184644,0.996225338475393,1.92362437054645,1.61744660533684,0.421747781614965,1.2106287973111,1.7180221191597,1.80094189931453,1.66177007970529,2.57872218535305,1.19742499242593,3.02192292942302,1.45553767614002,1.39148841178823
"PM-MT",0.65709086635936,1.99844902261363,5.09443234527826,3.10911598458265,4.22462572345362,5.25819450907059,3.0999115128262,2.26765925547718,3.2582226952379,1.53471780836262,2.99187861353603,0.428784943579575,1.73710784295419,1.54082200504175,2.85862382423947,2.58704712333947,2.71454720811778,1.4022417069416,1.14517183105877,0.679307939732956,2.38053256632474,2.4737673472773,1.1367134714264,1.7982361024674,1.17897051481728,0.315172920073873,0.992073699860122,1.75455753183513,1.82938519945614,1.1596263349758,1.17295528821135,0.91782484777678,2.03122674744185,-0.067908074310046,0.828395627536111
"NLE-NON",2.32293714951101,2.0976787118034,4.39983574850394,3.918216246493,2.28867214730554,3.0999115128262,10.103518466026,6.07183216310258,5.05892871811425,-1.27981393858514,3.11742345685168,-0.197785410261222,1.5743704350578,0.656326012145221,0.973618881472759,1.377234598475,3.69897841562993,0.527737096949899,0.163308801139395,0.795683851262112,3.28789644928654,4.01906322345714,1.46089054832488,2.56043173314008,0.0136870802250777,-0.705980073753582,1.32320498380408,-0.458719621631801,3.09643253670996,-0.62697802280261,2.70899020293702,-0.921427754386658,1.68787346008832,0.837101389149954,0.844532154645476
"NLE-ZS",1.99148933897982,1.64852102959622,4.47797617873982,4.26629519685318,2.62646105413228,2.26765925547718,6.07183216310258,5.66103652881319,4.70521912300572,1.66534476902908,3.41345109865658,0.371538290311315,1.80043272027737,0.876831990628615,1.68096147819385,1.3866309089481,2.85576388502069,0.607566796913078,0.385505948065683,0.746194052439872,2.90674939975232,2.94146778485013,1.05633685847097,1.94174569602457,1.0181117708757,-0.407780623340014,1.3761279689682,0.407124485339097,2.38213094608644,0.527475891440954,2.53668635557476,-0.394365753634069,1.29936062383493,0.13518148097689,0.81004282913174
"NLE-ZI",1.84329002198897,2.30247497050388,5.04051455582788,4.19352659056184,4.52791769792607,3.2582226952379,5.05892871811425,4.70521912300572,5.80016028325701,1.24496920815833,4.39828253321001,1.28406679519188,2.79900971106041,1.38711002540228,2.7029415667571,2.13294299108072,3.25336496600594,0.612230034447295,1.43715960552225,1.00825165378942,2.36040188334073,1.97275243600824,1.07065360375554,2.43635938033392,1.43976763785339,0.139223736947666,1.37111753046073,1.27609100468713,2.68892003350741,1.19753039792813,3.66013911424557,0.754142331590522,2.5007145119953,0.713629356793618,1.03549761388251
"NON-BR",1.28903942757919,2.55244846503495,4.35310126657549,3.19136949809448,2.17272442749394,1.53471780836262,-1.27981393858514,1.66534476902908,1.24496920815833,8.30866655600932,2.84840368608292,0.253524036783232,0.00606017213422013,1.08552951882344,2.63573898479818,1.47053520090978,1.09774983472948,0.583285688044154,0.390211208643358,0.429243612847037,1.72106645474832,1.8064559923548,0.410479703310392,0.901535962906921,2.0826420323632,0.0447858258160822,1.22016947259865,1.43649041770512,0.96842617535828,1.90516937356923,-2.60053474732408,0.400113385159957,0.930313150139975,-0.824156017311444,0.87171739879888
"NON-PNS",1.66382471420877,2.86243869817966,5.41830091884086,5.18740244035667,4.7900842601394,2.99187861353603,3.11742345685168,3.41345109865658,4.39828253321001,2.84840368608292,7.32629409108682,1.87825255371426,2.77832651909555,1.34415924162393,2.98732492576926,2.50175869622056,3.07837964105528,0.357559153421409,2.10437981221783,1.30801756465493,2.92821189184265,2.38643111970894,1.24769229098637,2.57696825212369,1.45021348790786,0.462032427261862,1.49256112619847,2.58715548946829,2.73554783370912,1.38749194835624,3.22972168108394,1.9543223406129,3.70573327817026,1.88366258492709,1.01897880073937
"BR-PT",0.219712686639032,0.326003528832754,0.669899270775814,1.40604455490984,1.4796282904446,0.428784943579575,-0.197785410261222,0.371538290311315,1.28406679519188,0.253524036783232,1.87825255371426,3.56966852459974,2.61205294331857,-1.03070135385962,-1.073400165519,-1.53642429815312,-1.10211551871412,-1.09027805787181,1.0581570481431,0.0770753412720589,0.63950475688226,-0.285060445077659,0.826408136322255,0.369538851237428,0.380714538683088,0.0947138019217232,0.0452297697211958,1.21747959201163,-0.0673930325604265,1.19402464087862,1.86972902705922,0.766412980349107,0.13082881660551,0.534583548070132,0.185931593827432
"BR-APET",0.88804702763347,0.568208174402407,2.47404356543371,2.51841877217321,2.59419273258258,1.73710784295419,1.5743704350578,1.80043272027737,2.79900971106041,0.00606017213422013,2.77832651909555,2.61205294331857,4.8349045068181,1.45367603555339,1.62669444065499,1.28268623778608,1.62135384857277,-0.2047035729923,1.69629523053032,0.658461852155358,1.3590821042935,1.04497279609266,0.680162717900566,1.24410615922694,0.803418623586066,0.0907624721458874,0.742381152026983,1.42794505878979,1.76995992816377,1.04952048462658,4.98132882380453,1.62508227267695,1.77736672302534,1.57986550981225,0.977194947465603
"PT-APET",0.417017767138467,0.490704801221465,2.2623030912665,1.41976236977094,1.6591457791381,1.54082200504175,0.656326012145221,0.876831990628615,1.38711002540228,1.08552951882344,1.34415924162393,-1.03070135385962,1.45367603555339,3.36245400054224,4.20750875175231,3.63528860009922,2.97168024505986,1.47541610722591,1.06770417996364,0.670952592417348,1.00017945743569,0.925015554257859,-0.236908950364847,1.10903139942788,0.802551357169138,0.312702090121962,0.831256392917009,0.906992363341745,1.78570207591821,0.522369576540174,1.94897094105464,1.24340848906249,2.76128776653931,1.04960286476557,0.887213680118223
"PT-BA",0.862732484138869,1.4373656302233,4.46798990428525,2.68444277393571,3.20396061362046,2.85862382423947,0.973618881472759,1.68096147819385,2.7029415667571,2.63573898479818,2.98732492576926,-1.073400165519,1.62669444065499,4.20750875175231,6.56586684506857,5.21399441264327,4.06441684848861,2.16956841317026,1.6760220851441,0.918508327474486,2.16780771351714,1.35627261895665,0.0906327566853577,1.96894369640921,2.11235589087781,0.538701136025651,1.58278197049647,1.6737044685392,2.35924739242864,1.0068633755992,2.08617412214356,1.82156772864602,4.11647050480846,1.10348399455609,1.39438657924448
"PT-EAM",0.812902137990025,1.27111307298639,3.80787473561762,1.70039847729309,2.47244632021278,2.58704712333947,1.377234598475,1.3866309089481,2.13294299108072,1.47053520090978,2.50175869622056,-1.53642429815312,1.28268623778608,3.63528860009922,5.21399441264327,5.46228166918593,4.16093120531631,2.51453371883627,0.930844838863716,0.794659226253296,1.53449553255393,1.53911803554622,0.186549689353723,1.2958946377128,1.13777121580751,0.50790454368362,0.768624376392913,1.5659655159997,2.21175512199033,0.40579713321592,1.68015814182169,1.43641999544959,4.49322411788734,1.41795090798975,1.27325814016292
"PT-ZYGI",1.7844148024243,2.93807358944448,4.83909801121609,3.1557075544628,2.7045917565394,2.71454720811778,3.69897841562993,2.85576388502069,3.25336496600594,1.09774983472948,3.07837964105528,-1.10211551871412,1.62135384857277,2.97168024505986,4.06441684848861,4.16093120531631,5.70897817522977,2.01368927185788,1.27175986892047,1.48155608637976,3.2399587154603,3.57531898043567,0.509340910269773,1.69509981988643,0.893542111736594,0.288500963602444,1.34842209644191,1.18493913867662,4.06030790336817,0.6955719036558,2.70793666875001,1.0006697362597,3.64721722489964,1.25804018980944,1.30563575160571
"PT-TSP",0.0703584785640799,0.681387097824455,2.01367410202953,0.814482042262406,1.16068774331639,1.4022417069416,0.527737096949899,0.607566796913078,0.612230034447295,0.583285688044154,0.357559153421409,-1.09027805787181,-0.2047035729923,1.47541610722591,2.16956841317026,2.51453371883627,2.01368927185788,3.33588830911455,-0.0568324492391113,-0.0168557365433673,0.507744904228966,1.05369623428472,-0.0654181231714892,-0.198481549044621,0.241152432161949,0.177853762498733,0.0888703007243402,0.152948714942838,-0.0737411169948336,0.102551514665107,1.13461660936776,-1.02046506796471,2.00872350241889,-0.650788247589954,0.98574416002345
"ZS-ZI",0.00405717012230279,0.480232057492367,1.10381395474601,2.27614395257122,1.82626609303431,1.14517183105877,0.163308801139395,0.385505948065683,1.43715960552225,0.390211208643358,2.10437981221783,1.0581570481431,1.69629523053032,1.06770417996364,1.6760220851441,0.930844838863716,1.27175986892047,-0.0568324492391113,2.5604898732758,0.520132032763594,1.20001353769074,0.672956924646844,-0.209099281235896,0.984526031561876,0.45670334757343,0.21563252111538,0.416998883547515,0.655684023487709,1.26426764427224,-0.046904630554955,3.07959317862622,0.496622542589136,1.36223213423687,0.951828252272535,0.782630056666168
"ZI-MT",0.546508478463911,1.10778623005174,1.14671357986629,1.00096026803616,0.768003275591403,0.679307939732956,0.795683851262112,0.746194052439872,1.00825165378942,0.429243612847037,1.30801756465493,0.0770753412720589,0.658461852155358,0.670952592417348,0.918508327474486,0.794659226253296,1.48155608637976,-0.0168557365433673,0.520132032763594,1.22983006022188,1.02802291037497,0.707545867413633,0.0673080309943224,0.541566770913299,0.307765613566857,0.285701080421019,0.522046374048183,0.881852499011396,1.43629345823591,0.118536289289413,1.36137032971787,0.146232701955361,0.729934892300615,0.195549514966622,0.130033068196061
"ZI-ZYGI",1.22639704419521,2.10838097750466,4.40342686378999,3.46205207986506,1.66465798533792,2.38053256632474,3.28789644928654,2.90674939975232,2.36040188334073,1.72106645474832,2.92821189184265,0.63950475688226,1.3590821042935,1.00017945743569,2.16780771351714,1.53449553255393,3.2399587154603,0.507744904228966,1.20001353769074,1.02802291037497,5.91493000830383,4.39117789715557,1.6069058328077,1.37985086080154,1.50970595134832,-0.145767852633487,1.65457224853122,1.25358978847661,2.99051160522334,0.306047829343483,1.53615943580602,-0.182199668963745,1.71593320912229,0.75954934473798,0.899379236663015
