"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.04376845251725,1.48564578369362,2.6515351271022,2.18019670227034,1.98785373945613,2.03929995993048,1.43203548091812,1.49950987599187,2.18227084304393,1.62488365794315,1.7897470277508,0.876661763377777,1.28286367361758,0.62762358670864,1.74846996650355,0.820019507903686,1.7433487164994,0.0965527780228838,1.23760602735724,0.144618314431039,1.59768142504227,1.77218200102976,1.31476942504207,2.18655082452577,0.902915990906327,0.162320865094444,1.10842372135586,1.40331548547184,1.63182609601784,0.792679434725635,0.492212589593012,0.941240991242815,1.0521074057896,0.273401050898918,0.414664273538554
"IS-NLE",1.48564578369362,4.7890841887247,5.01297652677354,5.14844100728825,5.10913727697378,4.76575317775803,2.33937194657871,2.81281432398892,5.24972461107567,4.1514312506078,3.50654195729868,1.04299645896047,2.85683227237557,2.19727150012021,4.12713764409624,2.50798710817653,4.0316587092871,0.249081754701823,2.99544414402545,0.60386083761459,3.16146171709027,4.10797102404487,2.56405355748992,5.21023123709803,1.96210778579625,0.573231292983109,2.56672203156787,3.01108000842855,3.74530536190835,2.44059800175588,-0.0572131960343324,2.72413155066362,3.24244563316075,1.24145705533623,1.11078407073405
"IS-PNS",2.6515351271022,5.01297652677354,9.42470306133443,8.0809087779977,8.13076538484232,8.33382745497605,5.98685998132673,4.97880130887874,8.10500365674318,5.67683438650241,6.15819285095748,2.49254490403302,4.64050188800553,2.75524037694511,6.37153768469738,3.61803294215685,6.01538025561228,0.513626558328141,4.76066161500291,0.373663227046134,6.01634786873348,5.89524888416377,4.5459216931645,7.26455448892019,3.13317281194326,0.757480325337598,3.59894836696593,4.27137868870129,5.28749583926345,2.9926070497571,2.01935396425953,3.60867361006979,4.86183206812934,1.87658094651788,1.28157877989445
"PM-ZS",2.18019670227034,5.14844100728825,8.0809087779977,10.2069723289455,9.53951799487078,9.04085766274283,6.21340953676164,5.7830552937774,9.39712436952589,7.97836348050576,5.77865640171492,2.78910394065124,5.76633842822926,3.86441074535386,6.85876846940295,4.69236312195447,6.05065666382557,0.850011327266988,5.65704023487705,0.538804570623854,4.34294129142983,5.99059806021389,4.32631890055647,8.43786715136346,2.40850469895436,0.433249927841339,3.37729561766227,4.28175480069716,5.39572428685079,3.05332852795458,1.85200107603402,4.35787891143504,5.59663852771418,2.89004307701661,1.4634285431836
"PM-ZI",1.98785373945613,5.10913727697378,8.13076538484232,9.53951799487078,10.5906896945766,9.33325913752638,6.60479418111612,5.60499754447889,10.3257897917154,7.5208713494759,5.41773143538978,2.5787064327715,5.76012500412738,4.19107277342709,7.11070611885802,5.13335836436362,6.6765453518905,0.707044637844342,6.15681922108424,1.09977130895562,3.94998454455635,5.12241160581792,4.20163773572874,8.62267478020824,2.25973061684902,0.509955433728422,3.40577098754054,4.27878084991987,5.8360874726264,3.45355322514414,1.77828691377379,4.42885988010655,6.17130247229372,3.23242405100304,1.54852248531567
"PM-MT",2.03929995993048,4.76575317775803,8.33382745497605,9.04085766274283,9.33325913752638,9.94542207366202,6.4360346908516,5.53282211086313,9.06224576454801,7.29036858531722,5.44602185004551,2.40581682173782,5.68241560810008,3.71815097939844,6.56366374834325,4.50543710795672,6.01214498492574,0.69672813565932,4.98346794459255,-0.0587249493850562,5.29541504072088,6.06952307456536,4.3672690357634,8.80836984223543,2.34394218844161,0.530412940072782,3.40937295765516,4.05150536795565,5.27866634357651,3.55656584103257,1.54497557011196,4.47162362505352,5.78303986695598,2.62148733971297,1.37157900548064
"NLE-NON",1.43203548091812,2.33937194657871,5.98685998132673,6.21340953676164,6.60479418111612,6.4360346908516,8.22707645663444,4.04354727506023,6.80521110978081,2.22371305706565,4.14327025450714,1.41106443905584,3.39197996844695,2.04671763439121,4.28355303522956,2.9999372535987,3.94211845840475,1.09935502708824,4.00007253338425,0.0800758787556744,3.07131258322242,3.17756939208234,2.45307485144081,4.95369555551659,1.77776298189776,0.257749962591428,2.055596957241,1.99584697408893,2.95105265913728,2.0903105393621,1.73539382283047,2.755199113858,4.08051915339964,2.23535714804701,0.710099344504023
"NLE-ZS",1.49950987599187,2.81281432398892,4.97880130887874,5.7830552937774,5.60499754447889,5.53282211086313,4.04354727506023,4.95976948467854,6.09909124798747,5.33032010757377,3.58665004608671,1.8452605773117,3.42270126068824,1.96837685365581,3.88058101179858,2.26008017691503,3.65438574183154,0.438702782867608,2.11446314563395,0.547839441729142,3.23860923560072,4.390380299931,2.09634213565058,5.59836557517284,2.02794907574757,0.119735064301048,2.29989338812023,2.69351096086925,3.27178927980776,1.46105908729919,1.58389604658492,2.47084954151334,2.9600564565918,1.79818736605966,0.828833052644131
"NLE-ZI",2.18227084304393,5.24972461107567,8.10500365674318,9.39712436952589,10.3257897917154,9.06224576454801,6.80521110978081,6.09909124798747,11.0466523221724,7.70819826536167,5.30221649719626,2.72259171318256,5.83911955914178,4.13385629092983,7.24849327963764,5.02431700640771,6.88335578324251,0.997932169374594,6.34252189375159,0.966197390538438,3.77013509084879,5.53661784530747,4.04896755138417,8.48384638178601,2.4433022493048,0.386160130672238,3.56670734355308,4.18305374105814,6.03732473627183,3.66732515194314,2.11799828284148,4.64363571976717,6.18543574861929,3.26427319859398,1.79913922085305
"NON-BR",1.62488365794315,4.1514312506078,5.67683438650241,7.97836348050576,7.5208713494759,7.29036858531722,2.22371305706565,5.33032010757377,7.70819826536167,13.8372375759636,5.11985981741438,3.33035166496695,4.74644032481172,2.84842356867234,5.67569103100507,3.79474033735561,5.16158346796474,-0.151037403380616,3.82638489115993,0.605532952607105,3.48913000268127,5.94643824091057,2.85876806663815,7.17760231810536,2.54770954151423,0.675030516856891,2.6972246807056,4.14073585589728,5.47612696400929,2.19993275295861,0.766562820850707,2.89481525939286,4.69531773350431,2.49469738175605,1.66167060610426
"NON-PNS",1.7897470277508,3.50654195729868,6.15819285095748,5.77865640171492,5.41773143538978,5.44602185004551,4.14327025450714,3.58665004608671,5.30221649719626,5.11985981741438,6.5700808670115,1.60649228396026,2.84858898909531,1.37742978473821,4.26778226274085,2.14584616890458,3.78978347024264,-0.197568685781264,2.85213732417197,0.680732028636282,4.32478334465057,4.3738468138179,2.52992886739514,4.91008359609531,2.78506318085272,0.661010191285848,2.70104732685801,2.41749588893766,3.67409314376274,1.60388105250213,0.759261289823088,2.79114517092696,3.07765698590176,1.74164496749577,0.547783099518473
"BR-PT",0.876661763377777,1.04299645896047,2.49254490403302,2.78910394065124,2.5787064327715,2.40581682173782,1.41106443905584,1.8452605773117,2.72259171318256,3.33035166496695,1.60649228396026,2.49139278116748,2.48744942043179,0.572447264055818,1.89400455048373,0.973635875582726,1.2658959520639,0.0709194999203952,1.70125210989137,0.287540826170508,0.842971023722224,0.719665405726595,1.31361876397312,1.77921955830155,0.652242451975394,0.0905516834261501,0.870314249294237,1.24472469571092,1.21099994640473,0.693947452600547,1.45416789705237,0.844897479048864,1.24699925352484,0.345823418180769,0.316455113883737
"BR-APET",1.28286367361758,2.85683227237557,4.64050188800553,5.76633842822926,5.76012500412738,5.68241560810008,3.39197996844695,3.42270126068824,5.83911955914178,4.74644032481172,2.84858898909531,2.48744942043179,5.88059825337217,3.90846038066417,5.13354455705446,4.05138266789754,4.51056858623439,0.618402662088483,3.70279225235417,0.60986787165737,2.23344525218905,3.87480580958272,2.77806826314538,5.37780337236717,0.796964955123733,-0.0283760698215088,1.96081542604622,3.03262737217727,3.89088640191173,2.07473455986703,3.28232438744776,2.40172825818395,3.62728045473082,1.86498440265244,1.31365134830202
"PT-APET",0.62762358670864,2.19727150012021,2.75524037694511,3.86441074535386,4.19107277342709,3.71815097939844,2.04671763439121,1.96837685365581,4.13385629092983,2.84842356867234,1.37742978473821,0.572447264055818,3.90846038066417,4.25822591308903,4.33104075101539,3.9723835537203,4.30776172004763,0.927649123813858,2.93383746787256,0.607184440541655,1.2465102312539,3.54283121615624,1.91650940375897,4.1430669840319,0.109413799999889,-0.00295535480937641,1.34521094042236,2.28360740713486,3.51345852425702,1.723609268208,2.3412158064768,1.81404265138514,3.12197979183209,1.7334177961804,1.35972995942213
"PT-BA",1.74846996650355,4.12713764409624,6.37153768469738,6.85876846940295,7.11070611885802,6.56366374834325,4.28355303522956,3.88058101179858,7.24849327963764,5.67569103100507,4.26778226274085,1.89400455048373,5.13354455705446,4.33104075101539,6.84324398564368,4.86100804539762,6.3361800611239,1.00631286453492,4.82882132610898,0.721219998741635,3.7600996044198,5.45286465785434,3.4381734413758,6.73740462693564,2.22401873007297,0.28609844208005,2.94768028808996,3.9270561577575,5.42112526918111,2.81160095414262,2.52022569563984,3.33705552862729,4.93344561110468,2.38297416539265,1.63535142389623
