"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.735178167179392,1.20526478791487,1.73291103026982,1.24411776606112,1.18409394848743,0.975495858939251,0.557897726571944,0.866008672501003,1.37169094146866,1.48156538175044,1.00731323809676,0.0970354450299486,0.430251384782246,0.169425693406615,0.927334260162428,0.367058627307315,0.756759463925452,0.0592407605429785,0.582423410456596,0.272289512797207,1.24616218447614,1.31707808855027,0.544745500106561,0.905220039464259,1.18790687568829,0.330146655930331,0.682874408389888,0.815102226178193,0.755896424881256,0.893699526889691,0.136750635774876,0.849366150471053,0.439148343630108,-0.207800840945556,0.189690049594881
"IS-NLE",1.20526478791487,3.51773194393713,4.05955580428389,2.8786005876414,2.95590325565115,2.36222649675886,1.1885621367061,2.20931225436584,3.33828659702062,3.31434151440931,2.45852367253066,0.18287951014109,0.952194325043294,0.458790411149752,2.5604087126989,0.949045840591149,2.04307004494813,0.131756164611783,1.10428054837152,1.04821337349784,2.72634970398811,3.47118731522566,0.974508892127525,2.5091662977584,2.92149499054589,0.488597301155246,1.69108817825785,2.19827420570499,2.21745775178289,2.06936574769938,0.891336866368957,1.58497421384953,0.920944880518876,-1.02686198502152,0.0282239302696553
"IS-PNS",1.73291103026982,4.05955580428389,7.07281985126595,4.27425436041155,4.0146626679284,3.87694508459439,2.77888495380686,3.33642166572732,4.54777663920902,3.55329614981169,4.30457997455512,-0.120109772929648,1.14703162066943,0.482931050367279,3.3332902008201,1.17076723350733,2.6154154337381,0.0964972858737604,1.56444289462023,0.656638320070346,4.74043222961187,5.02779950465333,1.79402121315425,2.32998197739907,4.23571590675822,0.822952516614375,2.60730872862075,2.37513626657895,2.65530033100436,2.47275525077788,2.70759346946155,1.84712686318036,0.70231598312233,-0.973997504413414,-0.319396565271776
"PM-ZS",1.24411776606112,2.8786005876414,4.27425436041155,4.21860327097433,3.32830381833125,3.17913899210332,2.61625750791074,2.67894189835088,3.81981990952764,3.01194804638731,2.81529370665822,-0.281877931720156,0.752279011090831,0.237845024484307,2.52302512627842,1.00569053610262,2.43600307380893,0.025950675534977,1.74236770861172,0.287845096621532,3.46599162256377,3.88705962535971,1.38781679025138,2.77380234811291,3.17952935928505,0.632207413332983,2.05088800078636,1.66856810386081,2.47963953997004,1.76466459607281,1.6610291529344,2.08022325861368,1.11231941209314,-0.676837387616919,-0.327735935990649
"PM-ZI",1.18409394848743,2.95590325565115,4.0146626679284,3.32830381833125,3.80739722537137,2.95351770954209,1.91254663993642,2.63625238981668,4.00080196785149,3.17303356397103,2.34344871096025,-0.388089031956078,0.593364525988917,0.468175894405892,2.51474675514644,1.06301331723231,2.48119182685145,-0.100374500504994,1.41243502691026,1.03140013821487,2.59750327109396,3.54788652642719,1.15354217872684,2.97626258094085,3.06435986121479,0.362913649934747,1.80885896087467,2.1091828404258,2.71966251304299,2.11858969111209,0.911019455263281,2.13078528621283,0.843378615401784,-0.884462975580934,-0.236845933356575
"PM-MT",0.975495858939251,2.36222649675886,3.87694508459439,3.17913899210332,2.95351770954209,3.58960544333631,1.81494408534376,2.2730115556668,2.90449265288894,2.26546636370942,2.51723732768223,-0.602614303859394,0.457562209562771,0.248938527510776,1.90357475858694,0.818910246085687,1.68366644127827,0.115897668631126,0.990286836451848,-0.189990312342683,3.13664307981908,3.27145024840392,1.2708459571908,2.38834669338115,2.49357142170798,0.358411673497622,1.61306191534552,0.999980716918015,1.73090176049545,1.86297751518067,2.21653529781648,1.07118341007496,0.097054384592528,-1.07681098125596,-0.495916704654838
"NLE-NON",0.557897726571944,1.1885621367061,2.77888495380686,2.61625750791074,1.91254663993642,1.81494408534376,3.81737276503439,1.97434538833956,2.23314259309897,0.896803840701739,2.05702229921087,-0.57278268599434,0.170489967778979,0.436895824754798,1.76370416315935,0.918819709499314,1.56677695571748,-0.187413661570706,0.75991044323501,0.0197788358514534,2.31099438291193,2.99007358460021,0.861199118258007,1.59016053195699,1.89307175536589,0.587199517284475,1.38135390516593,1.13830466218639,1.7165667010915,0.535056119441457,2.34959945100633,0.891447524786282,0.891958767591963,0.219801306705468,-0.26241281356845
"NLE-ZS",0.866008672501003,2.20931225436584,3.33642166572732,2.67894189835088,2.63625238981668,2.2730115556668,1.97434538833956,2.63182874125544,3.35424662575046,2.48439340672314,2.30676155174838,-0.164933133874689,0.629623660398183,0.525550869565974,2.50693963659751,1.03020748509357,2.09556761444956,0.247353913051489,0.79118712675925,0.738874230822721,2.5333656001923,2.86803184459145,0.818557223683628,2.12167621680093,2.6909265634564,0.354727668437773,1.66027978808534,1.59636766080686,1.99979545150769,1.75068375867432,0.939159322545242,1.55980079158961,0.779432753085913,-0.573229697598232,-0.284829925153894
"NLE-ZI",1.37169094146866,3.33828659702062,4.54777663920902,3.81981990952764,4.00080196785149,2.90449265288894,2.23314259309897,3.35424662575046,5.20114243186948,4.1389189177016,3.08124409245074,-0.225129860340066,0.980294007578724,0.861689164967795,3.40433754263113,1.50160011123051,3.32836390380557,0.123107149889124,1.90185920931002,1.41840664176652,2.86922175187973,3.90596462558352,1.18909883193193,2.91718684582678,3.64372603650633,0.555888293024952,2.20058581576502,2.48509285794709,3.34228835230331,2.45024761912027,0.778132553675142,2.39105389433368,1.27256903636427,-0.811517690069656,-0.253903420628334
"NON-BR",1.48156538175044,3.31434151440931,3.55329614981169,3.01194804638731,3.17303356397103,2.26546636370942,0.896803840701739,2.48439340672314,4.1389189177016,7.58094613574406,2.97105821799677,0.70076880011478,0.938200418801203,0.478016277132843,2.72136172157558,1.32281577915825,2.58718271656234,-0.114871211524904,1.81110271966229,0.86267338757731,2.40898262022423,3.75771119419464,1.43259339035827,2.98967412651064,2.88936791816466,0.555561374096866,1.75517805041453,2.35073175770135,2.90928801801813,2.59879516047063,-1.28132921580634,2.48739569687597,1.50056286006772,-0.694219252311653,0.47069967408028
"NON-PNS",1.00731323809676,2.45852367253066,4.30457997455512,2.81529370665822,2.34344871096025,2.51723732768223,2.05702229921087,2.30676155174838,3.08124409245074,2.97105821799677,4.14193837636036,0.152623568204064,1.24014245317772,0.627015731881903,2.02403167607895,0.682116284462307,1.80503416105217,0.183620153171513,1.1325649327211,0.447855223836029,2.89089641569483,3.64169250615832,1.26098127344263,1.06396034048435,2.4596394497528,0.581557022093968,1.8133954840934,1.38069527033523,1.75016535037959,1.97608132052419,2.00595061141806,0.978838205217434,-0.321535378255888,-0.882052767984782,-0.0118720153061465
"BR-PT",0.0970354450299486,0.18287951014109,-0.120109772929648,-0.281877931720156,-0.388089031956078,-0.602614303859394,-0.57278268599434,-0.164933133874689,-0.225129860340066,0.70076880011478,0.152623568204064,1.39848981924532,0.612968503651023,-0.65461801124236,-0.382822754463647,-0.780481455049706,-0.862488118193844,-0.253825184968363,-0.161105808169475,0.379338551492165,-0.0972996882405159,-0.656901517200862,-0.0373406576651597,-0.24238939232123,-0.091485671708895,-0.157667298207256,-0.0429333293563327,0.23699206089201,-0.676877057450198,0.154599152883512,-1.46740984725598,0.641250340574849,-0.0275439172358231,0.109137721288068,0.118171245963098
"BR-APET",0.430251384782246,0.952194325043294,1.14703162066943,0.752279011090831,0.593364525988917,0.457562209562771,0.170489967778979,0.629623660398183,0.980294007578724,0.938200418801203,1.24014245317772,0.612968503651023,1.60261512757283,0.725370625126176,0.899593402298186,0.484675533295391,0.759790498245069,0.286888697276329,0.309327548941342,0.762572966091226,0.931165836772413,1.35091946211073,0.278225234896407,0.535865918910471,0.482522442314104,-0.174065742940707,0.468104182432075,0.813733746482522,0.607541691581453,1.00232563721966,0.0507280607598346,0.922252250771313,0.07868604420747,-0.325578381912356,0.0573763773366361
"PT-APET",0.169425693406615,0.458790411149752,0.482931050367279,0.237845024484307,0.468175894405892,0.248938527510776,0.436895824754798,0.525550869565974,0.861689164967795,0.478016277132843,0.627015731881903,-0.65461801124236,0.725370625126176,1.80612963619242,1.53673309451559,1.67666309095644,1.62657433476929,0.652237099140227,0.209750770499985,0.652420133731021,0.186286626881157,1.41235620688966,-0.0390688716978141,0.470140321347495,0.17136416751381,0.119218643797615,0.233157714061614,0.75550418884443,1.30298287258603,0.782860161297073,0.691176927463207,0.0413847466373063,0.410888884931658,-0.189385914948577,0.0834653442874574
"PT-BA",0.927334260162428,2.5604087126989,3.3332902008201,2.52302512627842,2.51474675514644,1.90357475858694,1.76370416315935,2.50693963659751,3.40433754263113,2.72136172157558,2.02403167607895,-0.382822754463647,0.899593402298186,1.53673309451559,4.07937147332633,2.207735398076,3.11435890665728,0.50379588117992,0.96050322144046,0.912159089531948,2.39403248682846,3.44912530505892,0.589078992046551,2.65385910210061,3.17600674491605,0.499290775030689,2.02470253764873,2.40889576380519,2.92276400564296,2.1074218801425,0.872115959843023,1.95929087033714,1.88951756388202,-0.470572319083367,-0.221673942850831
"PT-EAM",0.367058627307315,0.949045840591149,1.17076723350733,1.00569053610262,1.06301331723231,0.818910246085687,0.918819709499314,1.03020748509357,1.50160011123051,1.32281577915825,0.682116284462307,-0.780481455049706,0.484675533295391,1.67666309095644,2.207735398076,2.19114569580083,2.11328469910097,0.618294815405622,0.449767394644444,0.556211199006193,0.546715215330625,1.66339719729089,0.190991306075162,1.07401217903718,0.878391436995506,0.316270889985275,0.482968617698475,1.31393019657715,1.88611923279761,1.08902293859491,0.463667042750076,0.445010581655329,1.23162409999615,-0.347745382268799,-0.0494723104385619
"PT-ZYGI",0.756759463925452,2.04307004494813,2.6154154337381,2.43600307380893,2.48119182685145,1.68366644127827,1.56677695571748,2.09556761444956,3.32836390380557,2.58718271656234,1.80503416105217,-0.862488118193844,0.759790498245069,1.62657433476929,3.11435890665728,2.11328469910097,3.76460114619941,0.317319965543498,1.36996578224439,0.940419000382965,1.57050028852988,3.44543109882918,0.699288647280269,2.25101872826509,2.40386608223732,0.424772285155044,1.57380205411889,2.31086599377793,3.64711243718829,1.65913009717168,1.16975642080515,1.45210552587892,1.55721396337977,-0.405229882242319,-0.0345761464741344
"PT-TSP",0.0592407605429785,0.131756164611783,0.0964972858737604,0.025950675534977,-0.100374500504994,0.115897668631126,-0.187413661570706,0.247353913051489,0.123107149889124,-0.114871211524904,0.183620153171513,-0.253825184968363,0.286888697276329,0.652237099140227,0.50379588117992,0.618294815405622,0.317319965543498,1.06891441377074,-0.191209271922598,0.209980475193465,-0.0509672777727267,0.344756282463097,-0.0765266885497461,-0.242248571948713,-0.0861705768981001,-0.0666729803898786,0.0115984316084494,0.0639718933718254,-0.173649737087769,0.35910634322235,0.104551264697894,-0.293749523446365,0.023242839725864,-0.281653043729916,0.0730527292383006
