"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.271611455617208,0.336784971208433,1.03043451062945,0.485797834977953,0.517749839660795,0.498479657684069,0.456578815182097,0.547545528916195,0.633131379318433,0.364614993624034,0.625832798528483,0.142050742840457,0.58523435704241,0.48935462064264,0.729223204879437,0.492063244376761,0.637134761834261,0.183035877156984,0.133591861904794,0.191149548385445,0.276375639859635,0.284697489099918,0.289258761474966,0.345159675016802,0.207347239466586,-0.0492378145377804,0.37312581330447,0.540540271352432,0.599303524580987,0.325453383158196,0.364954607187657,0.274077499173959,0.618068715849643,-0.108750782618816,0.0999202237664884
"IS-NLE",0.336784971208433,0.76222140956129,1.9259714233394,1.07083907644081,1.21147625200945,1.20058241193052,0.746385374848277,0.988567344222253,1.16319130361772,1.38404089727811,1.11819818854645,0.412211090950707,0.794930869703758,0.500364167410686,0.97121720123294,0.619857684508182,1.16097183212201,0.200794382354332,0.201003686440867,0.460674397299949,0.780747490369694,0.884850551686905,0.485072150467095,0.714121152792224,0.436094840627095,-0.0860921659623806,0.633544704410521,0.896929134032804,1.148984863496,0.360062229943964,0.206280482200144,0.381974071906856,0.819060396440146,0.094388571750258,0.144493905129467
"IS-PNS",1.03043451062945,1.9259714233394,6.84283208125011,3.34404850762701,4.00693753549713,3.99791203862485,2.71854140390135,3.22149067635602,3.99277599542569,4.1980136600647,3.99335951711128,1.42060520050111,2.74461298901082,1.4599545766975,2.90191130437788,1.74938884937086,3.54721569782005,0.539680566737059,0.861143017374001,1.35304681077826,2.3110329385684,2.83183353133585,1.95536602899415,1.59777453191194,1.41104966547228,-0.202618624363756,1.82981630757505,3.04096046251739,3.58091161849858,1.49465041601017,1.32071589997336,1.04809586704174,2.24963539880702,-0.0381654328115584,0.515736067390895
"PM-ZS",0.485797834977953,1.07083907644081,3.34404850762701,2.05737972303751,2.14613827597882,2.14714013521252,1.03139512242491,2.03855885500683,2.01542009692909,2.61980381436324,2.0554343398477,0.505268265574433,1.13168250102154,0.731372523896274,1.5404607003985,0.998944383792275,2.14272822191855,0.332019790740194,-0.0195993369336917,0.727347341926917,1.36214956816185,1.51323710563644,0.936332068162334,0.977619272474632,0.786339514726288,-0.104493146533675,1.03955094176894,1.54718815656767,2.08696948510421,0.630087621439257,0.426023818235375,0.472499070319277,1.2175983366672,-0.0337718704136112,0.230151824436457
"PM-ZI",0.517749839660795,1.21147625200945,4.00693753549713,2.14613827597882,2.7041681394961,2.57514393123861,1.5539788385885,1.89898240021285,2.50013761322976,2.97557325331661,2.29436699310251,0.967038293567811,1.49956308880539,0.618198719393576,1.53812357231646,0.936925033889894,2.14760708665633,0.271946802501866,0.612887164796243,0.857853752618316,1.39518443113653,1.78852898912315,1.04579631872695,1.12562617301628,0.889235937142111,-0.0901577762058158,1.06300838046023,1.7157074874664,2.15193290923316,0.765426705397536,0.643968549575757,0.601381722168442,1.2789564440199,0.194446034587196,0.270207848584224
"PM-MT",0.498479657684069,1.20058241193052,3.99791203862485,2.14714013521252,2.57514393123861,2.67497096995899,1.45427105107679,1.9651363826949,2.40056109293623,3.13492361364758,2.32555176925453,0.902996568995009,1.3194288593239,0.568323250923154,1.50823466796786,0.925959614107721,2.11033104548688,0.289116052351759,0.457008388910573,0.87338043715539,1.59477044797889,1.93777730793061,0.986218509897328,1.09615323780677,0.90211839135399,-0.111013292684572,1.03386666183843,1.66594394887713,2.09506435706989,0.701883893131424,0.434753539678816,0.535218356231413,1.17590443173036,0.180891072897828,0.254963586159786
"NLE-NON",0.456578815182097,0.746385374848277,2.71854140390135,1.03139512242491,1.5539788385885,1.45427105107679,2.43979261725403,0.944298697161192,1.68556159963061,0.223509134246652,1.16695074267698,0.822324315706887,1.45986398896498,0.670062475397402,1.1832191227385,0.67489175561052,1.23162714756348,0.0536110273225569,0.837965060841515,0.528314818584623,0.880298917184289,0.968089364048142,0.78257068841219,0.678385953090223,0.548350627938492,0.0143896798195502,0.727560487999271,0.953970519431656,1.18453247020882,0.915875047471553,0.504663718143603,0.627727967174027,0.806303983377221,-0.0561125469169984,0.31459811437331
"NLE-ZS",0.547545528916195,0.988567344222253,3.22149067635602,2.03855885500683,1.89898240021285,1.9651363826949,0.944298697161192,2.37195799780039,1.96269193161845,2.29455523620277,2.08042032142059,0.267762923013911,1.09773835419664,0.916568249137414,1.72950020053719,1.1323267641389,2.20855876548327,0.381035716831279,-0.408343298746733,0.696744785122145,1.41494944381341,1.41407623130168,0.974518897592966,0.944070960494738,0.797556384893906,-0.077941210286877,1.11225554540248,1.53909440481714,2.10686273445866,0.707273788816848,0.476111381450538,0.455916609118003,1.26075600693133,-0.301226874464837,0.214911621943173
"NLE-ZI",0.633131379318433,1.16319130361772,3.99277599542569,2.01542009692909,2.50013761322976,2.40056109293623,1.68556159963061,1.96269193161845,2.55303843914684,2.54760396428204,2.33207588225356,0.902556289079185,1.71100247525234,0.882236142771603,1.78880342700941,1.08416428535717,2.15690529762128,0.357051749102768,0.655603874667946,0.799828569445675,1.31071562468589,1.70856070181513,1.08166911332382,1.15437936761283,0.882928146687221,-0.0888926881013403,1.13488138600579,1.79392693215745,2.13397520311953,0.905242387896359,0.841728723731019,0.713495970712709,1.42775028727996,0.0245594202280226,0.281341718361303
"NON-BR",0.364614993624034,1.38404089727811,4.1980136600647,2.61980381436324,2.97557325331661,3.13492361364758,0.223509134246652,2.29455523620277,2.54760396428204,7.27398593409554,2.75089512293362,1.37820480353907,0.658498547281229,0.0352501810422593,1.12272764508782,0.605852529010659,1.95028165989993,0.489401667924473,0.180540941855329,1.00563753329214,2.0880662544784,3.05066596967713,0.928924357634455,1.40490787616018,1.16202938712894,-0.00828948247461108,1.08798736941823,1.6427554812656,2.18023093242531,0.218396489323506,-1.25121501321057,0.267438935113524,0.87247182347755,0.614595440250737,0.0482517703395011
