"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.385444642893701,0.472660023668883,1.39897036119405,0.515205640182254,0.625825418895985,0.821109183817761,0.445383470027378,0.533550453734659,0.88777813487272,1.37810726395656,0.976386628233996,0.414435026384492,0.533683573328867,0.216404526303068,0.74985544408076,0.292528245388418,0.714987423195994,0.0533705050820636,0.373688257070888,0.544738033337712,1.06938417243205,0.987812311634297,0.217322464499048,0.608343431530869,0.609072568650431,0.193042598637187,0.6822124333763,0.512605585004659,0.740005445997854,0.75008696711134,0.163331995425893,0.511345793006953,0.533326119593641,0.0976813698871263,0.191483673075304
"IS-NLE",0.472660023668883,1.30424484489557,2.83647500773427,1.2962791472682,1.37013715180913,1.64959700522663,0.742829575443752,0.888859445535182,1.46311545321981,2.65920531835002,1.78708249414908,0.717975618144633,0.856566399430183,0.469599403659979,1.37224675334872,0.662387293529819,1.16214547894137,0.22442293519896,0.677527528430807,0.742524735307681,1.92967549958934,2.00346926389371,0.692667124113895,0.99218806152764,0.978035542560405,0.22714788404043,1.14801621700271,0.792768533808163,1.13810738720224,1.06552979267304,0.564723061433663,0.844685691603481,1.22332946255795,0.231725044171668,0.155509979301589
"IS-PNS",1.39897036119405,2.83647500773427,8.93867253926013,3.52527147402085,4.2800994144152,5.22544355399475,2.53561640698937,3.17786616223841,5.00387298182814,7.54373386650008,6.21122643576838,2.53526367832732,3.36609990776773,1.70171902521123,4.98794091707779,1.95974113033686,2.84143484975186,0.658853784192747,2.16233399146232,2.44217023389605,5.71418592612743,5.62537118573359,2.11786512447513,2.78328895254223,3.47802693650646,0.844585101406063,4.22513942704687,2.15644654671625,2.96722749354715,4.00216088673216,2.40009788462086,3.14629700492497,3.87330526984794,0.565670673029749,1.02209734325424
"PM-ZS",0.515205640182254,1.2962791472682,3.52527147402085,2.26303187225822,2.06227950598865,2.17673603801172,1.23515729441509,1.57183806631823,2.30789639341853,3.56215811537815,2.50108007881148,1.30999060102791,1.65729785930025,0.789779599238869,2.20066376109998,0.864992562967627,1.45131611713482,0.281344740001352,1.12141475543791,1.13371166293159,2.36521740950279,2.71111383116372,1.0569832633322,1.34119737630876,1.62461330355166,0.400184525972477,2.03277407933046,1.13457072564576,1.55304835376272,1.94888956848209,0.854681127991286,1.55150383372521,1.78311499919434,0.387771635407658,0.383885167679142
"PM-ZI",0.625825418895985,1.37013715180913,4.2800994144152,2.06227950598865,2.7512289537108,2.78185956130248,1.22048447023681,1.8912173854695,3.04996576825827,4.19206759857562,3.10593199274669,1.64226878751283,1.9723632117986,0.918972953617257,2.69875327744717,0.974938283189678,1.17732227046035,0.395628387337989,1.36095736032039,1.43870065066174,2.19793102460355,2.80082132450107,0.96993958609374,1.70084132381785,1.89105597837565,0.564899550593619,2.33639864491971,1.27678009997046,1.32727364633062,2.23051283926211,1.43623795841499,1.74833603782918,2.11897645286444,0.407048232799707,0.541402251012626
"PM-MT",0.821109183817761,1.64959700522663,5.22544355399475,2.17673603801172,2.78185956130248,3.54927371634901,1.56405489900502,1.92276212069681,3.12893441121566,4.99950602600234,3.6670782074837,1.80011714519949,2.15138420571864,1.08661867766428,3.12293052408031,1.21098181647958,1.80342782331647,0.411873618232177,1.35812715036281,1.99977731695443,3.2766857092952,3.40680365680232,0.835503976601377,1.82076601585685,2.20622965678402,0.66417951952926,2.57480160279727,1.58592145638871,1.94186856513349,2.64091246346822,0.952840111603992,1.89695667362999,2.19696408604621,0.175007922273569,0.687523936599002
"NLE-NON",0.445383470027378,0.742829575443752,2.53561640698937,1.23515729441509,1.22048447023681,1.56405489900502,2.31772319909878,1.38609179909917,1.81365544499745,1.03708493391408,1.4479425399263,1.04662214137539,1.4700584570225,0.705935112238037,1.84092740042172,0.679332952309657,0.774745539413847,0.12419389013171,0.71653193287582,0.856238104449896,1.55325682933103,1.74072505295215,0.583477456099383,0.897115853177104,1.30852370019245,0.389696874549679,1.65384557112283,0.688412797873224,0.867477124804925,1.36303089345786,1.04735825922108,0.901476286417293,1.54667745506893,0.294049125472062,0.406293151879327
"NLE-ZS",0.533550453734659,0.888859445535182,3.17786616223841,1.57183806631823,1.8912173854695,1.92276212069681,1.38609179909917,1.9607832916712,2.51837244396001,3.03207074281145,2.49785493536715,1.22874686040892,1.52483538553128,0.623310220659691,2.16973849458229,0.702270166308911,0.927462477839676,0.157093200538028,0.762937986192344,0.837240055156014,1.83662858795526,1.99567873148602,0.816589448675792,1.18177664261473,1.71816789360777,0.384177434411004,2.03246227513995,0.779826572618904,1.01002467084867,1.73633135152772,1.13574134613475,1.25595504057817,1.65324304872388,0.424566854346659,0.432548922766475
"NLE-ZI",0.88777813487272,1.46311545321981,5.00387298182814,2.30789639341853,3.04996576825827,3.12893441121566,1.81365544499745,2.51837244396001,3.91217783428182,4.78677482571291,3.80227684714452,1.93089253612583,2.3838273638787,1.09524172161038,3.27628017931595,1.17165781409993,1.57265650964896,0.371147262538803,1.65110800352333,1.67157261254702,2.6664777412714,3.14426270632531,1.12373719997236,1.94603205643975,2.3791262739546,0.706917463411172,2.85773955364565,1.46766850932632,1.72013166328525,2.71962117890522,1.6368442887579,2.05142072672486,2.55293649039947,0.549954461400127,0.685875584494471
"NON-BR",1.37810726395656,2.65920531835002,7.54373386650008,3.56215811537815,4.19206759857562,4.99950602600234,1.03708493391408,3.03207074281145,4.78677482571291,12.0708063328992,6.15626013615544,2.91843393274038,2.45750137179841,0.696839931885737,4.12188962402855,1.39641464159059,3.82726221652198,0.433428259847288,1.79663930275045,3.23548991207851,5.70314345939147,5.83352338020812,1.17497427667574,2.92459312875081,3.7999701337003,0.524320862294869,3.97989659189108,2.68110054204104,4.12500444384603,3.53118179076088,-0.96211617437932,2.56029275120301,2.83105721053482,0.601927346608604,1.09469881081209
"NON-PNS",0.976386628233996,1.78708249414908,6.21122643576838,2.50108007881148,3.10593199274669,3.6670782074837,1.4479425399263,2.49785493536715,3.80227684714452,6.15626013615544,4.90915116488963,1.89334358157303,2.40942777814619,1.15364133685707,3.64063710204167,1.34015447360893,2.09615180301989,0.48033716657872,1.49673261687771,1.78272212979041,4.00592991352874,3.86431678079445,1.47631490028281,1.88945415986083,2.67182924988012,0.551840999283264,3.1271755219142,1.58819213945856,2.22919779180274,2.95686213926478,1.38917648439554,2.32180731708678,2.63648572270002,0.459790504874907,0.813823292101398
"BR-PT",0.414435026384492,0.717975618144633,2.53526367832732,1.30999060102791,1.64226878751283,1.80011714519949,1.04662214137539,1.22874686040892,1.93089253612583,2.91843393274038,1.89334358157303,1.68324481788528,1.80960315977456,0.701250535012375,1.81338053304481,0.541920493284728,0.806225887471624,0.200883240841154,0.857613454201572,1.34189042163862,1.23188662326327,1.82192523273438,0.381365152957816,1.10090817745302,1.26638524468092,0.418399615412887,1.55599516154655,1.20765811263918,1.11183618684939,1.60377631667207,0.380634434019798,1.26391623455289,1.33714658671894,0.286734688088258,0.515199794603201
"BR-APET",0.533683573328867,0.856566399430183,3.36609990776773,1.65729785930025,1.9723632117986,2.15138420571864,1.4700584570225,1.52483538553128,2.3838273638787,2.45750137179841,2.40942777814619,1.80960315977456,2.68482987162946,1.37509073324801,2.66619471440555,0.790670010498927,0.926641282158783,0.299026253534849,1.18400326153752,1.40277527812435,1.90607303774188,2.41389592674602,0.778242106919741,1.64279426896703,1.50095099860556,0.706011635786997,2.18854925461406,1.44643384835035,1.24909035850403,2.37935806075079,1.62311867204747,2.07043180329852,1.79860657648696,0.280978341683956,0.618183695751785
"PT-APET",0.216404526303068,0.469599403659979,1.70171902521123,0.789779599238869,0.918972953617257,1.08661867766428,0.705935112238037,0.623310220659691,1.09524172161038,0.696839931885737,1.15364133685707,0.701250535012375,1.37509073324801,1.55609607117832,2.03834383578252,0.888769791884725,0.259142058366125,0.406048192366202,0.696197420392143,0.452075227630481,1.13758954195973,0.962606801411483,0.52722837553292,1.05174003704805,0.597549409293624,0.574255635476032,1.19747740675011,0.602675334741995,0.326855453616721,1.22707158792911,1.48850490031956,1.24073158483776,1.46666388398894,0.163199270367959,0.149839935848976
"PT-BA",0.74985544408076,1.37224675334872,4.98794091707779,2.20066376109998,2.69875327744717,3.12293052408031,1.84092740042172,2.16973849458229,3.27628017931595,4.12188962402855,3.64063710204167,1.81338053304481,2.66619471440555,2.03834383578252,4.53141317989673,1.73065668047911,1.51777282316335,0.620525580489614,1.43364202119221,1.59597445634452,3.34902661111939,3.36813702107842,1.31655823097029,2.12457856158211,2.82604787850288,0.860486398234115,3.38584954629748,1.82741785558804,1.73447519446196,2.84469516290799,2.13551837857311,2.47815824715258,3.03054102424861,0.415658782707334,0.575338350359897
"PT-EAM",0.292528245388418,0.662387293529819,1.95974113033686,0.864992562967627,0.974938283189678,1.21098181647958,0.679332952309657,0.702270166308911,1.17165781409993,1.39641464159059,1.34015447360893,0.541920493284728,0.790670010498927,0.888769791884725,1.73065668047911,1.09077506182898,0.640022814515085,0.341753276206477,0.557210949517484,0.579403773927366,1.32804167396932,1.16060329893506,0.560200140535848,0.709847676397339,0.937304614593847,0.318679496815758,0.97034875447012,0.756552626485799,0.588091001254565,1.00583922973056,0.712987761519481,0.881893287126896,1.37094886030502,0.153653560541157,0.0958508352824162
