"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.100318581663174,0.0343750375147158,0.192652443806445,0.0440518393816759,0.0884504725925722,0.0972254941572455,-0.0296862052107546,0.162572343168599,0.197610523798107,0.417317036246451,0.176528762699333,0.0509713891884422,0.0407989140551194,0.015493976299502,0.101398010130485,0.0361584161193614,0.186120736185393,-0.00349228892243155,0.028821431098879,0.048667279484622,0.084334371109217,0.0795863583783393,0.026986469992806,0.102862407649293,0.0719203765649332,0.0643148460213648,0.082925936506008,0.103878842134578,0.154865866313557,0.0783983689262943,-0.0470232220501108,0.0631632565401872,0.0615640642819317,0.0321202593432481,0.0200216119869286
"IS-NLE",0.0343750375147158,0.321165218769518,0.320486639714341,0.215723472615995,0.195378542861627,0.276654868314725,-0.118399969483678,0.0935309319764334,0.174415633717932,0.56556999047003,0.262652456105377,0.0082536941345908,0.124772345746848,0.145686147861176,0.256441596900564,0.0334329756321763,0.273879900421789,0.0627895536143742,0.0817638804011086,0.0839275690748114,0.290456759559092,0.24344297896155,0.0286811083989954,0.0986194853132147,0.179689380769359,0.0236462353753682,0.232557624082255,0.0949460546303764,0.256730743581173,0.0613529657442606,-0.0115737620850279,0.00189847635599919,0.125772580461327,0.0766293612490303,0.0206386890664492
"IS-PNS",0.192652443806445,0.320486639714341,1.84236004937153,0.663899681556271,0.929625961621522,1.07332667059112,-0.324203345450091,0.54761642676848,0.90972055875288,2.27104188477941,1.52810979307594,0.213714951224,0.412658241728554,0.126620118748931,0.4800750245369,-0.0360360650038932,0.852980298625419,-0.146776375040238,0.380402826464505,0.102674305046598,0.892406347132613,0.631587002493274,0.5823102741743,-0.0382579843144561,0.492144649917411,0.209967125074507,0.53621385678267,0.24808523615884,0.691179921103284,0.303424289016667,-0.249189510027249,0.308498511150862,0.352533026743303,0.132308541899352,0.119319182012711
"PM-ZS",0.0440518393816759,0.215723472615995,0.663899681556271,0.552052814056772,0.426148902899151,0.512808184374026,0.00766497377420559,0.384175178911816,0.460479052168589,1.04905130787318,0.533460134198465,-0.0209216256257993,0.101419272052115,0.0930777335730701,0.210186495630214,-0.0999458680939841,0.370462384164088,0.0343064021260984,0.217621295631151,0.058493547441341,0.431843088200055,0.504939841910844,0.170235982351428,0.133770017278946,0.218554064908048,0.0707501332580704,0.260274027807824,0.231205950396441,0.3708186773827,0.062187980196975,-0.122188616616854,0.0788577658195101,0.0626165413041408,0.108090105761725,0.0612050180776955
"PM-ZI",0.0884504725925722,0.195378542861627,0.929625961621522,0.426148902899151,0.739208354032196,0.734557987013088,-0.2303068105315,0.341397416372827,0.68399998626557,1.41045738671608,0.857617711691498,0.17983484890758,0.328496791856461,0.0676281906782981,0.341785885931647,0.0525062290818695,0.629845602276307,-0.110115871128387,0.315820985835027,0.226723669200838,0.455230713399736,0.370661196906359,0.202132033297014,0.120938616209312,0.349660574583395,0.0895533654419748,0.361658790159575,0.343588336079003,0.556596639279765,0.209506484702745,0.161730965671249,0.208959709269546,0.276984982586024,0.0940530557549362,0.117634028889977
"PM-MT",0.0972254941572455,0.276654868314725,1.07332667059112,0.512808184374026,0.734557987013088,0.919604567737143,-0.344679973139681,0.366410090373126,0.674329582057167,1.76928052963115,0.978700590273574,0.153472996254734,0.252174154087844,0.0240021799457166,0.311464533151862,-0.0340950530408432,0.783466255989414,-0.0776967680992464,0.312067060762567,0.264985517132734,0.637509842243961,0.528576093173475,0.141322593787432,0.132320198301043,0.385191207951956,0.118726729011946,0.394094494013643,0.294636186633964,0.658242191778653,0.18284933967077,-0.0497682480697505,0.12611277937002,0.219898149872495,0.060753636148232,0.162086319516159
"NLE-NON",-0.0296862052107546,-0.118399969483678,-0.324203345450091,0.00766497377420559,-0.2303068105315,-0.344679973139681,0.808020294645799,0.0988073365789378,-0.129269919904144,-1.09974771614134,-0.579830165633448,-0.0463647756322283,-0.0836212484820577,-0.0274575730097748,-0.213734567762887,-0.00315259173692924,-0.340522189908488,0.0536612029281426,-0.0835708035543419,-0.288967050428009,-0.021797834973149,-0.196742409758362,0.0471321735225343,-0.0003118663091116,-0.274063716928926,-0.07362563556677,-0.177904786248818,-0.381869941178948,-0.37347187274464,-0.0985134421304499,0.0269138252035544,-0.00105177522440714,-0.0146674344941884,0.171078608967816,-0.0898511915069661
"NLE-ZS",0.162572343168599,0.0935309319764334,0.54761642676848,0.384175178911816,0.341397416372827,0.366410090373126,0.0988073365789378,0.920144390770791,0.638037771723027,0.958321412520102,0.440839947432991,-0.0525699000450466,-0.0621421530343758,0.262891541141635,0.510329156776007,0.287811404014121,0.565556454837933,0.165682263389546,-0.290795511280703,0.0168861095986474,0.414357851293293,0.338152120466222,0.175866025384468,0.373404177597304,0.222795220355546,0.0574410961147392,0.193010632769682,0.290658820541429,0.392421428552496,0.274795387422128,-0.14709882484329,0.167324969808105,0.386590130201871,0.122724445414373,0.0913169157060994
"NLE-ZI",0.197610523798107,0.174415633717932,0.90972055875288,0.460479052168589,0.68399998626557,0.674329582057167,-0.129269919904144,0.638037771723027,0.926490848141472,1.67694969397899,0.890514144699639,0.165509695186073,0.279000316849563,0.137693094883583,0.455544926003906,0.0965775826414631,0.714920408743255,-0.103689142156194,0.332994027311377,0.200611600946197,0.499671131555186,0.415991729300768,0.191073352152659,0.336994025804961,0.361125823211004,0.171629985577744,0.396076589440342,0.433043103480593,0.642564541008259,0.338142982031504,0.0618405125074723,0.303151565787145,0.256239429160857,0.105269699922847,0.138511886277184
"NON-BR",0.417317036246451,0.56556999047003,2.27104188477941,1.04905130787318,1.41045738671608,1.76928052963115,-1.09974771614134,0.958321412520102,1.67694969397899,6.42560835672033,2.53133375438845,0.930402313915898,0.77112414191961,0.10847334872825,0.780093844625497,-0.169452327410316,2.01396969929035,-0.228606280827152,0.848585267361182,0.696574217276966,1.57923896211901,1.60307584514124,0.314714417681738,0.752566272087697,0.920448519944763,0.490077950043776,0.944797709425835,1.38490776113105,1.90536969761774,0.330131531457812,-1.00014381014998,0.280162352957166,0.180639955357484,0.112414681127298,0.275732106049443
