"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.425464495142948,0.445215768826012,1.34911297688845,0.511045187777956,0.42616723602259,0.650100892236546,0.440424704355571,0.614416684767626,0.764362268962659,1.0150995363293,0.963898603509594,-0.0177196677135819,0.412905660639805,0.495691146109314,0.971446809806554,0.73584770135654,1.3614966364715,0.329914520047223,0.24500456994115,0.383659439625835,1.07880863804566,0.816472380039595,0.291495154717441,0.48917813833936,0.447505206101449,-0.0270040338339294,0.581769752965029,0.91073222235061,1.24598970502509,0.277855334183812,0.304261122636517,0.32236307604282,0.77514135048937,0.126244251544668,0.0935543821290286
"IS-NLE",0.445215768826012,0.948538502848968,2.39118629895594,1.08722285007395,1.11331029738812,1.31659234773676,0.697429788346038,1.00116473749951,1.24786909276007,1.75807091168003,1.73278480645403,0.237186270904688,0.890902606118992,0.552743992574942,1.30802680784018,0.723974090622124,1.9518885594917,0.699332474205363,0.312449731764176,0.590374706242106,1.76501644628585,1.92535311569351,0.765086058303772,0.796557319665977,0.887484647345202,0.364540790415901,1.14652049132206,1.32855207504648,1.83883132462355,0.633474034856342,0.790470566725894,0.562619288766985,0.890946327100294,0.439599754900259,0.153054424134347
"IS-PNS",1.34911297688845,2.39118629895594,9.42079009472266,4.02191758697919,4.6829516502858,4.6935925766834,3.54436161348937,3.6858446835401,5.16012531636291,6.08657547012777,6.73495401902532,1.36274306708339,3.29735438514028,2.0335805445305,4.9392816006724,2.37489014359534,6.02903667466275,1.59915343710887,1.77364300711367,1.77215235499287,6.15363659241388,6.32075108289878,3.82169167289495,2.7208497289183,3.243783023602,0.839813399963906,4.45669592711165,3.83159072640395,5.49401583473658,2.47765408475634,3.49964709756592,2.08027257804537,3.14693064305143,1.23929453989169,0.565751612651045
"PM-ZS",0.511045187777956,1.08722285007395,4.02191758697919,2.16263866887856,2.29063990193677,2.17897645439452,1.45110043111433,1.92231948299196,2.314079482694,3.22987469950858,2.98148039740183,0.629791650609289,1.51075070048398,0.905605435493886,2.20553227529437,0.892910896910862,3.27158190602036,0.844811358819434,0.495434884360323,0.943642189296299,2.67453009808504,3.16369660708485,1.65697502607292,1.43638077433663,1.50865467052259,0.425567225666596,2.21134902237895,2.2026085104763,3.08570385577125,1.16903866880015,1.30662907863888,0.973567856016169,1.2770082058283,0.677201352422669,0.275921757822351
"PM-ZI",0.42616723602259,1.11331029738812,4.6829516502858,2.29063990193677,3.49487739064454,2.4434156459568,1.89974809780981,1.84218795204255,3.25320994136169,3.79099979246199,3.2469075662372,1.32419987040708,1.78604236944297,0.582577714536917,1.91448420948006,0.558852704985403,2.08786216536173,0.349382271429033,1.33786239630991,0.760692680783047,1.80529570771753,2.99907382007973,2.12517979343046,1.83213509251946,1.50551915628392,0.404995921055793,2.37601511593059,1.75197452899865,2.22748036890362,1.28911001916302,1.95328944954144,0.831747830039062,0.970109793481635,0.498390163930094,0.288934379531565
"PM-MT",0.650100892236546,1.31659234773676,4.6935925766834,2.17897645439452,2.4434156459568,2.80078044662142,1.30990187919633,1.93517966504773,2.58400896078371,3.28795434446857,3.45672815735316,0.405406603642543,1.64114792349928,1.23225891164811,2.74993153522435,1.37087033818686,3.36125293053795,1.14624126737746,0.810030009321667,1.05098778397012,3.0828088493537,3.31204709891216,1.57310894901729,1.46081646617401,1.72721347832712,0.563000412800821,2.24807348039935,2.49316013330993,3.21351117516952,1.3108774114125,1.65290528452949,1.12729906336956,1.82199604656597,0.787432429394118,0.323955674670879
"NLE-NON",0.440424704355571,0.697429788346038,3.54436161348937,1.45110043111433,1.89974809780981,1.30990187919633,3.78973541909854,1.44105147425331,2.09013583183258,-0.0816546530886863,1.85947935210128,0.625934254538088,1.46760373045733,0.710204070548514,1.96850397777064,1.17670876797737,1.36015703196532,0.514533643018951,0.70399803688134,0.333107010052781,2.0377585626731,2.23465825608062,1.77088627854686,1.38817112881712,1.205509414304,0.160556124158586,1.79155585136879,0.381299249078367,1.02346228089845,0.958012700238642,2.06746418377383,0.87177365107105,1.63080706797015,0.147320988780196,0.0975909672012471
"NLE-ZS",0.614416684767626,1.00116473749951,3.6858446835401,1.92231948299196,1.84218795204255,1.93517966504773,1.44105147425331,2.03069172033938,2.08321341524725,2.93689802883614,2.72300059767405,0.346770143475175,1.37683759229976,1.09922570391636,2.33847018696333,1.27429840810786,3.55961158132569,0.934655512387957,0.153314943426031,0.970195294030831,2.62217551587924,2.81146441563086,1.38102045315089,1.39687914139408,1.36490360587027,0.234457027538128,1.98054156371352,2.45347335139505,3.32499132128765,0.918755435159439,0.888065787392418,0.867268887218354,1.58259147514457,0.626630118144707,0.26600198816881
"NLE-ZI",0.764362268962659,1.24786909276007,5.16012531636291,2.314079482694,3.25320994136169,2.58400896078371,2.09013583183258,2.08321341524725,3.51566190197793,3.96038288409075,3.60504988198107,1.09851658270552,1.88685617698404,0.917932597323649,2.45687121308414,1.16159506595972,2.99611098069055,0.52568714440049,1.51258576369846,0.928080128920478,2.55383378498263,3.18614302074014,2.07548034164955,1.99571835244569,1.64671703439044,0.310564924556898,2.49698080827078,2.22514107816356,2.96725717083413,1.3279277794021,2.02920864790663,0.994960716260917,1.54628087062554,0.468193672872119,0.298286295547179
"NON-BR",1.0150995363293,1.75807091168003,6.08657547012777,3.22987469950858,3.79099979246199,3.28795434446857,-0.0816546530886863,2.93689802883614,3.96038288409075,12.0676573720902,5.49156428285856,2.76267501153953,2.42512398699352,1.04421081241243,2.84502665653743,0.936133311778658,5.99677006560354,1.10161401716322,0.984281579764849,1.86569766591006,4.43355285977382,5.79061064981288,2.52189118512637,2.97993916154881,2.11839671623733,0.638643288443977,3.82414768396883,3.6070303927494,5.66158591808258,1.76233290718223,-0.577060841905647,0.968013892786581,1.14711541817365,1.02146664993748,0.796824630958039
"NON-PNS",0.963898603509594,1.73278480645403,6.73495401902532,2.98148039740183,3.2469075662372,3.45672815735316,1.85947935210128,2.72300059767405,3.60504988198107,5.49156428285856,5.40454933396933,1.02866993182783,2.36730868502267,1.47869540464014,3.4231161513648,1.46074799450464,4.90600318402246,1.19776234577609,1.13482176991395,1.50352909797897,4.80183696849322,4.89279743493276,2.76257517232076,1.92448006162636,2.33547858908075,0.650372285373047,3.29239994975346,3.06222885238602,4.33966116561694,1.73126529118405,1.91826813230156,1.55592904905359,1.95623093016094,1.0649622042291,0.454929946716696
"BR-PT",-0.0177196677135819,0.237186270904688,1.36274306708339,0.629791650609289,1.32419987040708,0.405406603642543,0.625934254538088,0.346770143475175,1.09851658270552,2.76267501153953,1.02866993182783,1.8461646777384,0.946517090538711,-0.321855234279861,-0.0795234537888062,-0.398116295169639,0.0732174828265808,-0.305349569251004,0.619326774481609,0.0831297335273827,0.481263880846686,1.21986913435741,1.0792705090098,0.743025337575714,0.266397661265976,0.247755679133677,0.87322936259572,-0.19555339776619,0.0829580520002202,0.475599297864218,0.448830937386738,0.0234486112943815,-0.359249735186888,0.0307987114208251,0.172472911617442
"BR-APET",0.412905660639805,0.890902606118992,3.29735438514028,1.51075070048398,1.78604236944297,1.64114792349928,1.46760373045733,1.37683759229976,1.88685617698404,2.42512398699352,2.36730868502267,0.946517090538711,1.7643472775042,0.718334980795457,1.54890277875831,0.683062336531636,1.94358834047909,0.688637810613216,0.587975398857062,0.577324071413135,2.278289459311,2.7481787140624,1.44576993277471,1.35888697442067,1.07383921129305,0.370010336812597,1.64616870191134,1.2656744753978,1.74453455881211,1.06293085335565,1.55101534791902,0.768032050237178,1.00816449343207,0.650757105897589,0.233246611815601
"PT-APET",0.495691146109314,0.552743992574942,2.0335805445305,0.905605435493886,0.582577714536917,1.23225891164811,0.710204070548514,1.09922570391636,0.917932597323649,1.04421081241243,1.47869540464014,-0.321855234279861,0.718334980795457,1.40968757153904,2.2005063463676,1.53469949555495,2.04273696241167,0.821805931213047,-0.00792658294460145,0.566721345143105,1.5576982013126,0.758239853509813,0.401577038814522,0.503945494161654,0.759174140242935,-0.0819870981092014,0.97049120879254,1.48297887841075,1.80670015061988,0.544772288561075,0.314523374385941,0.725838081279965,1.8088658601792,0.385321764631711,0.103359142825801
