"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.210213733640425,0.25924918441783,0.800866134546384,0.392549192128721,0.474412996688567,0.593958183028635,0.278042980235986,0.406160604444181,0.595497747318676,0.636570025179478,0.477797633498001,0.179980769307793,0.341304487380744,0.0959923597025044,0.243306188600179,0.115044098144616,0.395948671939064,0.0811690826116947,0.253253949591035,0.214119841919548,0.543950339698153,0.649850188754032,0.0647443694038561,0.409653519021964,0.20501904029613,0.0680537607788756,0.238611488137842,0.349705746592678,0.394985636808002,0.194362846417951,0.325416751864468,0.155784502556686,0.140285496370907,-0.0221216655620919,0.0546776940398371
"IS-NLE",0.25924918441783,0.718928788387071,1.39773774567801,0.866391147126407,0.943811385013192,1.04713600068625,0.494170347637009,0.574101480366884,0.958328231158437,1.39956987863281,0.784994915614641,0.4281657172504,0.539284139636807,0.116268534347976,0.60247535332091,0.366465477381087,0.957877340969088,0.150032794908763,0.478745255646203,0.39015539154639,1.16375610398299,1.2231654451964,0.218471048192745,0.882519667205459,0.536311373361007,0.0254818550370525,0.511449492589217,0.767748854295109,0.961670580408953,0.351826400466367,0.24105135581459,0.182067695205871,0.378736706606548,-0.0612534318898264,0.0673903536423752
"IS-PNS",0.800866134546384,1.39773774567801,4.99696327303926,2.48639511818791,3.04019093007851,3.47248755058456,1.64631116019559,2.44138524346569,3.44540929311574,3.77991042320179,3.11629640480839,1.2433978134889,1.83335375742398,0.168554975632591,1.40344911983031,0.710869015966971,2.39272940634035,0.454256793635679,1.36272083400487,1.09184855102747,2.9228724698628,3.83519964294837,1.01931978231945,1.77306466147679,1.51870279921011,0.319359023738384,1.35730893731013,2.41805392831533,2.35087284535711,1.1042329512981,1.84312125305811,0.834459080671835,0.991063898474746,0.098009289307096,0.252944463727249
"PM-ZS",0.392549192128721,0.866391147126407,2.48639511818791,1.63088169949539,1.71805973251634,1.8612635102654,0.810642021838087,1.31623740563712,1.82629374147634,2.38646543341375,1.56626456865806,0.796140531255513,1.15024593257334,0.238966737474608,1.01608393978094,0.653750237218758,1.59549866958394,0.370928135985198,0.776270333064117,0.559768600477848,1.77754862792757,2.05432059342824,0.447681030942019,1.33362210429776,0.876929607872383,0.104613739748727,0.827666147447734,1.39994415433757,1.51507216331133,0.604931994502664,0.766724564952127,0.468435073307014,0.839468939643612,0.0815323464765721,0.105749681862113
"PM-ZI",0.474412996688567,0.943811385013192,3.04019093007851,1.71805973251634,2.29446363142412,2.4010006581446,1.23022724658129,1.53426021079812,2.39630852424018,2.44002265010614,1.76804709271702,1.04562784739984,1.417972687038,0.104856271677368,0.995887759349319,0.506611863637638,1.51903814205174,0.398427654778705,1.06775809362045,0.748381569148809,1.77662449093078,2.45971977293671,0.443100861577022,1.47717125027605,1.06447430792121,0.211161051223891,0.963940625782951,1.54614908201277,1.53216908941515,0.789754963798236,1.11673964073184,0.643874250714691,0.801343119944308,0.173994311036329,0.246239860910476
"PM-MT",0.593958183028635,1.04713600068625,3.47248755058456,1.8612635102654,2.4010006581446,2.81861120232421,1.21137170568548,1.68834568317448,2.62395389966956,2.92563670896179,2.07792292723288,1.04463354078553,1.47990728774865,0.150144177182328,1.11019995471355,0.520479131518978,1.63554304809125,0.22677669341844,1.17503740950915,0.871725524289474,2.07926096640339,2.69994345678365,0.379421182884726,1.61761343331703,1.18316444549029,0.267017299311355,1.08376874313962,1.78543329624881,1.69569228412426,0.782380180631524,1.26112426720103,0.615224097595274,0.841465587958621,0.174602672138632,0.261271659605498
"NLE-NON",0.278042980235986,0.494170347637009,1.64631116019559,0.810642021838087,1.23022724658129,1.21137170568548,2.33966380613489,0.895425755842428,1.20187599282001,0.113722852834302,0.280561678224595,0.630770976827242,0.680935616613991,0.178863088042177,0.396021255627693,0.25420669157876,0.409269592251059,0.38665814284272,0.286884105068257,0.376171682809352,0.630045719835213,1.36399558211832,0.406189540549253,0.601867202476191,0.262323914584316,0.0192167559795862,0.367337165115294,0.581770693054684,0.457632855377706,0.154628532678091,0.454362098789156,0.155249949463721,0.335757495246634,0.150525218862126,0.24221053652026
"NLE-ZS",0.406160604444181,0.574101480366884,2.44138524346569,1.31623740563712,1.53426021079812,1.68834568317448,0.895425755842428,1.64651613752576,1.89784723068999,1.9389811617438,1.63897178032129,0.572726208462096,1.00384595695629,0.21790365456872,0.84212748154363,0.586294646726834,1.26984448201082,0.4668222656167,0.451612457885021,0.440849262038225,1.51784917831633,2.0567219702512,0.550926432072819,0.943058927245191,0.779215389361388,0.212662831756543,0.65415782473548,1.31134498736297,1.17778683332726,0.586263221960107,1.13268641863896,0.577925550653307,0.681791154086741,0.162966281787528,0.147908628043034
"NLE-ZI",0.595497747318676,0.958328231158437,3.44540929311574,1.82629374147634,2.39630852424018,2.62395389966956,1.20187599282001,1.89784723068999,2.82366593159988,2.93256153208164,2.22322179203397,1.06784381934005,1.57492618933067,0.181773562245759,1.09060840137179,0.582444649993262,1.60128570649801,0.348210812403474,1.21118572548013,0.785701427485722,2.10682252814406,2.79344146265916,0.508713317633533,1.65250796679548,1.13025158128872,0.297793734137165,1.07574614403684,1.62114362438666,1.58096370695095,0.912904670092888,1.41552777309389,0.751286209945829,0.772838560735411,0.15257706179147,0.263727191461265
"NON-BR",0.636570025179478,1.39956987863281,3.77991042320179,2.38646543341375,2.44002265010614,2.92563670896179,0.113722852834302,1.9389811617438,2.93256153208164,6.72821550142131,3.14367199786845,1.83887732700457,1.28460587188847,0.0653494109718609,1.75063114694907,1.0761623094123,2.8522782812001,-0.151723690195241,1.46738388467511,0.87276782706826,3.39243994193065,2.92780487231568,0.505109686456924,2.40606717406783,1.72693226813581,0.223468983043469,1.45824717662916,2.42099587490022,2.78525277950276,0.758582293490558,-0.214101604240786,0.421234582709745,1.34103608329839,0.0337193430112116,0.0047353152149077
