"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.29742237231646,0.219745654021075,0.221847814150881,0.130141339777221,0.204322182786263,0.130345384486502,0.272380943438703,0.238775957627643,0.292784438903131,0.256353289353942,0.123059449431473,0.153973339638793,0.185706312118388,0.258055716594925,0.378619426829979,0.234623093084756,0.269581563558195,0.166467454985724,-0.0460803386649359,0.360146485939995,0.171653575709881,0.146079304933149,-0.1100058773795,0.393341425576308,0.127594424725577,0.126713562157184,0.17055002098773,0.1452870033605,0.249102590889415,0.121611017770806,-0.0964613403112586,0.066202946698963,0.24728416142181,0.134898361448719,0.144780364604837
"IS-NLE",0.219745654021075,0.78198265855449,1.13755322001829,0.706384534002311,0.546601833678184,0.740230217517143,0.38523619932993,0.301053637185413,0.455183630726879,1.02395151517082,0.575797709681461,0.280231614519487,0.279554122924929,0.235570636257772,0.48440058136471,0.0671418821644684,0.600643402623133,0.0392941251036888,0.333808952056651,0.116066652286327,0.704841383980413,0.76537228300596,0.291576557182999,0.408180138684489,0.272212268748854,0.0807211075521787,0.702442915744589,0.185139800400108,0.596872845367285,0.260803648098189,-0.255088186552789,0.26617398522578,0.458020956898821,0.206571008086432,0.107460636996653
"IS-PNS",0.221847814150881,1.13755322001829,4.51255112591278,1.94508295428291,1.843445854475,2.51193451513383,2.06247675896674,1.906728298617,1.75039501119803,0.755317391371878,2.02049151098809,-0.287925811602147,0.185139867383698,0.537523655394852,1.15968296548704,0.458263996500626,1.33194984945257,-0.160565891408565,0.109890545792876,0.0526227260609932,1.84644869117935,1.88434827323684,1.41372581072913,-0.0325841493061662,0.645106685572684,-0.0413980979356902,1.10465186986373,0.858985846371643,1.28460130664803,0.934200739277003,0.855147034549056,0.779047452261526,1.13933654822741,-0.00447378769786945,0.176001037415818
"PM-ZS",0.130141339777221,0.706384534002311,1.94508295428291,1.94455297780671,1.34428217746136,1.32935653410727,1.31569165493833,1.82897314909314,1.20227084229595,1.17871227132212,1.02657859397067,0.439253920079845,0.746728296278054,0.574973235941323,0.960271400470366,0.155149075116495,0.835796360074043,-0.000312262599927787,-0.131383932231191,0.147647907597406,1.24244798942817,0.926944782034836,0.461983331910518,0.719260456572339,0.428035496490937,0.199458851919156,1.02665525038826,-0.00508990281913123,0.543361532053909,0.709972687820545,0.238372860679198,0.706533940429863,0.992308040843263,0.252617821231487,0.265516631995389
"PM-ZI",0.204322182786263,0.546601833678184,1.843445854475,1.34428217746136,2.2790195105721,1.53278279423758,1.53441256363165,1.96715217560856,2.04801352643723,1.00302563922786,1.09535334191062,0.112446730437828,0.779662461800402,0.872255008460032,1.3973746574275,0.756345941899109,1.25129801767869,0.541727092487676,-0.684303953344748,1.16608761343904,0.753079350844404,0.590055044909683,0.147762350196784,1.21594749033588,0.485505740254817,-0.0113736224724222,0.63624790318917,0.395564141782987,0.741018541805755,0.776305821651171,0.476850225931338,0.725342684023179,1.33090562078552,0.117813257010747,0.413628645799738
"PM-MT",0.130345384486502,0.740230217517143,2.51193451513383,1.32935653410727,1.53278279423758,2.03469435119657,1.36638055413629,1.52654012096359,1.38203533171586,0.863799110554454,1.16941978925553,-0.0254985731968295,0.459506054895361,0.731041539804364,1.10483170566391,0.625834226614957,0.974729258312375,0.133063996701921,-0.242438578064213,0.470719441768225,1.11938456677224,1.12750008972731,0.407790351279089,0.599245638578453,0.367228484286006,-0.0134767727023632,0.662828323466596,0.599434093021737,0.801420337147475,0.670564742981437,0.381041304481936,0.660017534444847,1.03514894481446,0.0971433859873006,0.220048668099807
"NLE-NON",0.272380943438703,0.38523619932993,2.06247675896674,1.31569165493833,1.53441256363165,1.36638055413629,2.99478203645331,2.07688205245771,1.76626612093132,-0.681812557170042,1.171890042329,-0.117130565785272,0.943940057039978,1.09879129966,1.27905246827035,0.804971818091317,1.35252355651712,0.342549893179333,-0.530535424417292,0.842091468248722,1.17094854121726,0.989278093232781,0.352068238883373,1.00625729471351,0.158563928649367,0.0195697037660379,0.586595570454355,0.615649395510266,0.978153736382591,0.840310845479129,0.833369400892675,0.671084711363833,1.00482822894611,-0.0106275878121314,0.550067800026586
"NLE-ZS",0.238775957627643,0.301053637185413,1.906728298617,1.82897314909314,1.96715217560856,1.52654012096359,2.07688205245771,2.93172178025746,2.06565603165528,0.685291027456196,1.16007059127142,0.245032879492097,1.00258716274889,1.08147438793047,1.3849696712126,0.686335602292969,1.06169170067992,0.425369155672354,-1.1788263550996,0.963160470715154,1.12911214879216,0.733412443122382,0.0863863359002672,1.28501986618536,0.271941335624317,0.0669937733611474,0.573362425494067,0.244097675907791,0.507701350483876,0.90902264724083,0.58304213053308,0.926542225905972,1.22446212951324,0.0615688946234878,0.435547829764996
"NLE-ZI",0.292784438903131,0.455183630726879,1.75039501119803,1.20227084229595,2.04801352643723,1.38203533171586,1.76626612093132,2.06565603165528,2.12644880258236,0.666608823594242,1.15374797159896,0.0617676360078826,0.783215389080022,0.963458005177722,1.42250019958617,0.82680408857595,1.32534868091186,0.599688023655329,-0.635595253573352,1.22776028243927,0.886112523596006,0.685845405818667,0.10452421468172,1.26092180202982,0.390569262360765,-0.00424583480961563,0.575214168031096,0.509839982120461,0.83651736481478,0.750353867855485,0.547946174634002,0.71082191814999,1.28919307924493,0.0644641948382413,0.439595937247287
"NON-BR",0.256353289353942,1.02395151517082,0.755317391371878,1.17871227132212,1.00302563922786,0.863799110554454,-0.681812557170042,0.685291027456196,0.666608823594242,5.85625815738462,0.449351004975022,2.26137253448585,1.30682552519627,0.431330894592961,1.19345883094094,0.085189328814245,0.443044220577133,0.357413704911501,0.0922873901182401,0.320162442396095,1.06151221410337,1.33654110992531,0.10628275615059,1.66322808970519,0.715460473074481,0.146517649700232,1.37016397605486,0.00379680081858251,0.394052958558115,0.74452590613362,-2.83571939314407,1.1056290533723,0.955383907244617,0.804631754099581,0.0843732831956297
