"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.281267416604628,0.249214020248999,1.05024804961099,0.405872750730364,0.519024591072718,0.484003946649629,0.459942001028124,0.512635473606424,0.736056144010402,0.725530407418789,0.737990499270445,0.265828154504987,0.323200616007422,0.119540399775271,0.623913953169697,0.273959816683338,0.412725067418084,0.100428885180113,0.318894398857951,0.165947018138596,0.676363194940035,0.573381690943583,0.324855726294014,0.303184909545344,0.509694198156826,0.100900148207519,0.531616341268649,0.208214051582451,0.347722679427272,0.404698946033925,0.203795459818266,0.359539434914104,0.575158793610845,0.1470519947979,0.175196986008595
"IS-NLE",0.249214020248999,0.638382503145417,1.1391320976133,0.556675948674793,0.640427896083239,0.641570735157016,0.349097923892197,0.476926110904914,0.690882405714652,0.955555709666794,0.789018897166712,0.349449899768314,0.324386232655202,0.0165290365156744,0.480011888097518,0.171638716213824,0.625339358652963,0.109256511061327,0.253758463955177,0.184611294518591,0.734263132025039,0.747093985043704,0.327860751762274,0.475639966120216,0.409741952485004,0.048809867998769,0.52041432263048,0.289262533841785,0.528961732469479,0.573547553566463,-0.2573939914119,0.39542547849642,0.348527427816447,0.0639332097000608,0.163491564848924
"IS-PNS",1.05024804961099,1.1391320976133,7.38899450201404,2.85503580117331,3.23403256378297,3.4034887995999,2.35303675657405,2.4362759101717,3.67299732346688,4.32608496315157,4.64327844222222,1.24938599922459,1.60659447931131,0.827313273235923,3.16790362453812,1.61493703270494,2.50819918655618,0.761786676354148,1.99650856426466,0.73962881599289,4.31262649355595,3.63450292746798,2.39631671295608,0.717565010867015,2.27765744472418,0.619806327529532,2.39024436045395,0.929861990791821,1.87093376270031,2.33061162188563,1.10702565371807,1.60315990647399,3.15302920318054,0.231739616934369,0.987205763802072
"PM-ZS",0.405872750730364,0.556675948674793,2.85503580117331,1.55796695747123,1.58454214141994,1.51454724398432,1.20351679815937,1.42082074492566,1.70966288615371,1.79117549221816,1.87202577977653,0.504962278647224,0.691087829845367,0.367041247396253,1.27844059036736,0.540383973782932,0.919837914114919,0.335538156777958,0.642484335677202,0.261350826495976,1.66765628719228,1.53690786954528,0.883306907066864,0.711226260205397,0.876240633016746,0.174800197014705,0.982578581283514,0.331713101271733,0.719496200869489,1.10908722592161,0.277524619227479,0.785128224721108,1.16746196673441,0.0510535455675739,0.369703006792989
"PM-ZI",0.519024591072718,0.640427896083239,3.23403256378297,1.58454214141994,2.04945826193707,1.82718012292685,1.35634500357453,1.50721498462842,2.18123888564341,2.30151154350409,2.08355357308617,0.866026707660971,0.962872433512733,0.44181386612401,1.54068941954806,0.648216455235313,0.926586732040661,0.198152482065208,0.908100220288446,0.379005432651515,1.43541961099403,1.40802959427713,0.949786386895864,0.952690222992402,1.03600952681907,0.280531575744831,1.26410601190368,0.557274109146758,0.802286669516769,1.38959586596347,0.419015188203457,0.957356504665583,1.51802481162578,0.202417169349485,0.481382875039584
"PM-MT",0.484003946649629,0.641570735157016,3.4034887995999,1.51454724398432,1.82718012292685,2.07388394271734,1.28078839129064,1.30780972814643,1.9808797858833,2.44344313256797,2.13475588486652,0.79706174188353,0.867456467877797,0.36972157665791,1.50075296560259,0.747441338665552,1.27801701605504,0.356787153149533,0.977199214908258,0.526045772784708,1.8441302399753,1.63882246450437,0.828330866885,0.648355678502027,1.08250898129487,0.277815917613176,1.1758921072671,0.527825783630232,0.990436898589488,1.1948950847116,0.339400083034613,0.848173385429809,1.51963978767363,0.15582446750986,0.364961196975963
"NLE-NON",0.459942001028124,0.349097923892197,2.35303675657405,1.20351679815937,1.35634500357453,1.28078839129064,3.06330063653894,1.67598633810046,1.98767401290179,0.907347807520618,1.2932773723573,0.979997463293965,0.859637010278471,-0.0747937891636163,0.970894196452254,0.590943331266992,0.892047214252295,0.285362527960337,0.623980292470937,0.404704930977753,1.6418544282605,1.64554864670538,0.689727932541136,0.567326795023852,1.13811949806891,0.158284037372322,0.842952485025818,0.609656493742382,0.895395484175858,1.11080921716491,-0.110626967842318,0.910402613029185,1.03245534615159,0.111530729376345,0.485313584473061
"NLE-ZS",0.512635473606424,0.476926110904914,2.4362759101717,1.42082074492566,1.50721498462842,1.30780972814643,1.67598633810046,2.05472465955458,2.12380184944907,1.90553700551185,1.68681801676411,0.643782555172573,0.755020171479451,0.198034447120522,1.07655814027857,0.461463164706265,0.875707347124342,0.12871320828526,0.288816435346056,0.376657449670643,1.60821768638757,1.44533748471698,0.737991658091285,1.03720024147518,0.841910959137227,0.120547340455778,0.933937747184049,0.515297802716045,0.807262464303874,1.16326475322741,0.0919632153048047,0.821506705884376,1.08931624131823,0.083684128545373,0.441839650441404
"NLE-ZI",0.736056144010402,0.690882405714652,3.67299732346688,1.70966288615371,2.18123888564341,1.9808797858833,1.98767401290179,2.12380184944907,3.09268972407614,3.00020051950418,2.77012110291191,1.22817555430577,1.43675655896946,0.379913433689625,1.84513940302063,0.783453737622438,1.53402035647058,0.204896555755826,1.38885534398813,0.568374408999585,2.32654497986171,1.97224000472033,1.12524385490045,1.36162651220161,1.41332506851721,0.344782345827707,1.71134470397705,0.683238985456429,1.29167980305912,1.84063915178344,0.501036712513874,1.27407450031068,1.96049533479843,0.250210978616581,0.706891692700908
"NON-BR",0.725530407418789,0.955555709666794,4.32608496315157,1.79117549221816,2.30151154350409,2.44344313256797,0.907347807520618,1.90553700551185,3.00020051950418,5.99705537363849,3.09661590819788,1.57649498440786,1.3403104766414,0.656099810809971,2.08916774058255,0.913999198529773,2.48859788907246,0.211366773374589,1.39100411874777,0.800959468928406,2.80922530387897,2.30101800680319,1.27195855540076,1.51966094782169,1.22960912233376,0.158246867226104,2.04733792457355,0.814578690041231,1.95463342722499,1.852995079725,-0.559291521074205,1.07300971402802,1.9971773273877,0.222678958891238,0.433201916016201
