"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.114942417865527,0.0168671342438542,0.169963597939877,0.0779691004545377,0.0727167829855846,0.0462306240577044,-0.0492423252765875,0.162355578338104,0.202179814859303,0.489280142905573,0.117435212424119,0.0513020234142248,0.175526255269226,0.115550976060876,0.111352183902208,0.0640547912945731,0.174130332935271,0.0347948846339492,0.0583400601956812,0.0184186745465617,0.143802594224824,0.224597094714746,0.0602259432839015,0.162188907373342,0.0732310066232622,-0.00127284331020364,0.130884921977373,0.000485889075285313,0.134080451175467,0.0366052241096574,0.133832798646766,0.0309678512449628,0.056658906331764,0.0680324120577424,0.0137576254554424
"IS-NLE",0.0168671342438542,0.360624580586303,0.0874619911198863,0.111555942739134,0.0853179750436845,0.14977272126968,0.035105482509435,0.014175664402687,0.104397360574516,0.062512342029469,0.219712087850298,0.285717281257763,0.11400159341054,-0.0853151015024043,0.237467189154309,0.130874974912701,0.00127350001500449,0.161711823969461,0.120098005039696,0.0713484826182801,0.25819763013965,0.0146749162381827,0.06222175481774,0.20083742605983,0.136292918650134,0.115230663463632,0.185887606125073,0.0171609810983657,-0.054173760707657,0.110716806094045,0.087638354849084,0.0576592258792215,0.427669494430703,0.095952766746222,0.113854461958735
"IS-PNS",0.169963597939877,0.0874619911198863,0.530090497183361,0.1963499141561,0.207471920227777,0.17814482926747,-0.104064683213965,0.292702413674493,0.34162466636918,0.883959822852003,0.355565791059644,0.106271471797399,0.334178267413217,0.142038114219788,0.210467305442498,0.0854970137968657,0.318447619766679,0.0414591172731309,0.0482606823952559,0.104585615428115,0.379505156425358,0.426909811948017,0.0483041121079627,0.2349011128484,0.172577697671798,-0.0375119995222518,0.302021621142664,-0.00293844899528787,0.252381686563515,0.106258758935311,0.247645614666401,0.0633176016026892,0.102067669230701,0.0623353961536372,0.0589958801884493
"PM-ZS",0.0779691004545377,0.111555942739134,0.1963499141561,0.304654007112799,0.172799280463994,0.207367869873169,-0.0689530189302231,0.343355371981721,0.218303042171497,0.765603615243748,0.18812877612402,0.0982974843228596,0.23285018983437,0.099177170002018,0.266122774092733,0.0526818900263887,0.234951144107599,0.0517942035779046,-0.100008067561531,0.0773639385900696,0.37546657360347,0.343596452802516,0.120841091187258,0.382222742508057,0.271543009890503,0.0463528034386152,0.346326555021455,0.0537958858667446,0.172573367607065,0.127988723412852,0.179551447192431,0.0530179644671105,0.193386924703468,0.0771804611089687,0.0286560646266568
"PM-ZI",0.0727167829855846,0.0853179750436845,0.207471920227777,0.172799280463994,0.549730552458735,0.197532494146802,0.0618964114902556,0.123395348547273,0.452124989235483,0.589112446475588,0.181228304253373,0.070090730087777,0.264485348467921,0.302447178679724,0.300614571764105,0.143618120834094,0.285328393752603,-0.10473763369896,0.228178877490361,0.158763994687301,0.0156882790317686,0.062723520638957,0.189799726341722,0.304807194093684,0.190931053801147,-0.0573433034708739,0.292284025517172,0.0392922928115439,0.259751597892022,0.00340810422038713,-0.150175754262419,0.135425606678395,-0.0191868502547375,0.104174018130223,-0.0739060323742267
"PM-MT",0.0462306240577044,0.14977272126968,0.17814482926747,0.207367869873169,0.197532494146802,0.345450925390902,0.00308880332788833,0.274201874194801,0.189704225785663,0.571580226226188,0.130263644467342,0.195606388244945,0.142137113783038,0.0212272931121177,0.292176889043298,0.11633120139107,0.119018661181227,0.0824634260776677,-0.0845125463528865,-0.000494307235157311,0.277297081638211,0.0639650796540526,0.140405459403063,0.336361264971345,0.193515970480728,0.0422048282967549,0.241831942607252,0.0420730936031175,0.046258578865229,0.0807128943880803,0.0189013024633495,0.00858081219673936,0.292879457796652,0.12145549984076,0.100711206980503
"NLE-NON",-0.0492423252765875,0.035105482509435,-0.104064683213965,-0.0689530189302231,0.0618964114902556,0.00308880332788833,1.78043218410674,0.0848339382504765,0.237827667656575,-1.15291649983446,0.0250695257424335,0.0618932300020849,0.0327037962683424,0.170645200062509,-0.0915220525498442,-0.252188137408812,-0.160354683484276,-0.133964475212016,0.189258957244863,0.0458210423648412,-0.111409873112739,0.120006914967897,-0.0500273493374813,-0.0154173639224089,-0.0314292810805672,0.0415884880182746,-0.0894376752647263,0.0741970480091986,-0.0422694737435115,0.0970828218911975,-0.542164406945347,0.0390054845340613,-0.33474278401141,0.134287683613614,-0.0569452728585874
"NLE-ZS",0.162355578338104,0.014175664402687,0.292702413674493,0.343355371981721,0.123395348547273,0.274201874194801,0.0848339382504765,0.830631905580588,0.454087380409874,1.13451786646147,0.216186761668787,0.168445215365916,0.398568342516279,0.170359485009729,0.208367593981484,-0.0484206576780015,0.365715866425879,0.11095871339921,-0.332141174662948,-0.0524772326054209,0.472892474017942,0.780595560234388,0.192901218944027,0.421578212317945,0.376480687673057,0.169737857848302,0.41545870550487,0.0650020221085511,0.295526903412846,0.161718824368279,0.346372935753136,-0.0366452142990693,0.0957918192600601,0.292209770687164,0.104454375521174
"NLE-ZI",0.202179814859303,0.104397360574516,0.34162466636918,0.218303042171497,0.452124989235483,0.189704225785663,0.237827667656575,0.454087380409874,0.760764690399368,1.02640292622702,0.309419152426638,0.130559630845201,0.486712450282802,0.398587175865532,0.360050983581176,0.175447670514241,0.504247849689289,0.0627543785214683,0.309474777683795,0.0883530594794757,0.208501668677616,0.552853486025784,0.218938702321606,0.406224909056463,0.355979751133356,0.0517569864934063,0.409048948687497,0.0436546751549155,0.396118554022514,0.113313303216473,0.00614053913482778,0.133464251898761,0.044101605965987,0.254417531589234,-0.0384997803732848
"NON-BR",0.489280142905573,0.062512342029469,0.883959822852003,0.765603615243748,0.589112446475588,0.571580226226188,-1.15291649983446,1.13451786646147,1.02640292622702,5.06310905833055,0.672900810885492,0.581646798525775,1.07400799645991,0.682280032803199,1.0021207526868,0.714793744585545,1.34166877556901,0.400113335747171,0.048039281551106,0.0485289379874821,0.829371605138913,1.23854757434292,0.465277585250463,1.09010366154988,0.787262270739538,-0.0673605621933302,0.947837674400264,0.29841597805494,0.954766536205588,0.218910980053714,0.232007831985381,-0.0445013171280904,0.712676871885002,0.205424557028084,0.0654838964423236
