"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.234527281801132,0.201866736766775,0.402380476425649,0.161549280873484,0.111424141656188,0.213140098912483,-0.0124776922445055,0.16698465079614,0.250545640866545,0.368810097025198,0.246590275437602,0.207487262444166,0.279993362926952,-0.0225738989913454,0.185018872547328,-0.0642641681697453,0.149406628018121,-0.107765219661086,0.107368950741433,0.182167620345321,0.377116488943942,0.489787803995455,0.0644573973063435,0.22444961428496,0.304534484036319,0.0159543698833275,0.361883268405172,0.0375836264127261,0.268850744613287,0.0948822927729687,0.283534107430766,0.058618406658621,0.0415099552451626,0.149293865779325,0.0721328936295989
"IS-NLE",0.201866736766775,0.547998790314888,0.624495817162139,0.331742324301446,0.25140775233376,0.365546461178957,-0.0117878656288643,0.211514807032737,0.381159361953278,0.621331918433231,0.471040308284404,0.27568399149944,0.408968608016096,0.0295556808971758,0.399755401938031,0.128227420386197,0.292054520350091,-0.0670109512889748,0.222885282142264,0.222969083177504,0.651088880290361,0.832752091932506,0.118646412490045,0.455434436415518,0.412335643634139,0.0779378730261894,0.517606300060591,0.160157442422041,0.384620249318647,0.189704378855729,0.295216478726341,0.217587419390304,0.279831951183981,0.190260015383844,0.0718679317089415
"IS-PNS",0.402380476425649,0.624495817162139,1.47795545503291,0.692293089848949,0.558284581465705,0.872834048194396,0.0830470532642268,0.614157550109995,0.833695391612976,1.54766680499513,0.916121938732571,0.599058748027883,0.787112014336048,0.0263998601915564,0.73496302627063,0.0616441925309535,0.459270115646779,-0.20512265522898,0.329408252002272,0.466696594217233,1.33940742144166,1.62927698539663,0.151221905925092,0.750298217797616,0.784799384817383,0.0795634256871341,1.03223550349608,0.180789158133238,0.727205454038259,0.465412392224647,0.80045678732445,0.421023104849814,0.456194701338021,0.355729623005168,0.173491492126184
"PM-ZS",0.161549280873484,0.331742324301446,0.692293089848949,0.746316812007807,0.491737643774166,0.613834559543872,-0.0507030638529231,0.620889424144019,0.633218731778654,1.37602200002705,0.601170270665397,0.342033043157309,0.483944793981829,0.0201076192644209,0.385362917956635,0.00408402304689938,0.399213339538193,-0.139285603538544,0.137785596416635,0.319920819172493,0.901554041743575,1.17288440514754,0.20320793582318,0.709557332098994,0.477442115441772,0.0171463855528627,0.676634815374137,0.050353108696018,0.531806678942212,0.372970065960989,0.368118681524386,0.416663505288321,0.0501684248916031,0.15896420776136,0.113694987992623
"PM-ZI",0.111424141656188,0.25140775233376,0.558284581465705,0.491737643774166,0.623538412127161,0.526415856975221,0.252431095651647,0.483121553582214,0.712410098218854,0.632540188458079,0.383537675350449,0.13485545231672,0.252852683674357,0.0324949122552747,0.342835038966458,0.0847993490201777,0.193675721533835,-0.000175289903721185,0.25362282508041,0.227077285274722,0.376318504581731,0.622681490638073,0.163216825581749,0.530165805267573,0.347515202354756,0.0676423615061792,0.446796443768223,0.00733319358985699,0.268474761552124,0.281198766063242,0.238395722772873,0.3565514200464,0.281225512184697,0.253584663991123,0.107455946695557
"PM-MT",0.213140098912483,0.365546461178957,0.872834048194396,0.613834559543872,0.526415856975221,0.838114476602443,-0.0588923806212309,0.555343872259891,0.667904752353571,1.42511498570313,0.660307672855019,0.438906915208951,0.578532723304344,0.0878742164449524,0.507696601135485,0.0143012022218937,0.32908721309114,-0.0709291534702502,0.192585368861006,0.478035628062455,0.878050112314511,1.17094584875532,0.140805366890267,0.618631088967948,0.50497952061809,0.0515320887750518,0.727679216294313,0.0457615117673771,0.488222148634146,0.424848545402345,0.227287241882669,0.553238254138629,0.203571115503792,0.30055517543365,0.146797019360358
"NLE-NON",-0.0124776922445055,-0.0117878656288643,0.0830470532642268,-0.0507030638529231,0.252431095651647,-0.0588923806212309,2.69337539453826,0.111349534725033,0.447505999927409,-2.56746205668587,-0.210959804386514,-0.491396906555623,-0.231484116862384,0.280442234144165,-0.231523521047382,0.260209193318008,-0.0991099468734322,0.466669059598633,0.364639989441683,-0.290926629044147,-0.146186927956762,0.269033532164018,0.0825704306483283,0.0582273764102031,-0.459583817494399,0.3662406929586,-0.461432654776869,0.161965129200682,-0.161339476561517,-0.013639918133696,0.212170563689229,-0.0561033358419067,0.208690161883945,0.131027879231477,0.266642107790846
"NLE-ZS",0.16698465079614,0.211514807032737,0.614157550109995,0.620889424144019,0.483121553582214,0.555343872259891,0.111349534725033,0.963119121260441,0.833195934754907,1.36385476603618,0.517694663998777,0.494982657363012,0.515547683199839,0.039061301911735,0.464255802839746,0.0992260858924642,0.336699302889579,-0.224605827317132,-0.0724769000155585,0.382695069331255,0.664450325451094,0.663113510669775,0.1912472805226,0.49704795161008,0.489007043718935,-0.0173584906270272,0.589424061628126,0.0412589882932979,0.384976765326717,0.406610818689558,0.288080784350264,0.343769637376143,0.247957783566127,0.137624090401645,0.149761448561621
"NLE-ZI",0.250545640866545,0.381159361953278,0.833695391612976,0.633218731778654,0.712410098218854,0.667904752353571,0.447505999927409,0.833195934754907,1.13109693078082,1.03402073145494,0.658102598521558,0.4632633570262,0.557350582200464,-0.0423075407408593,0.552827915651163,0.0910323440148709,0.360631103950143,-0.171953222374025,0.367536505643405,0.437580108183107,0.753723747620738,1.00427661497379,0.252743644009727,0.686661683352865,0.690725377718363,0.0319142325979571,0.807391032754943,0.0906987927863417,0.521084233319342,0.482055525873704,0.435290196801899,0.455042094263604,0.43276988089833,0.356876656103541,0.174990311505823
"NON-BR",0.368810097025198,0.621331918433231,1.54766680499513,1.37602200002705,0.632540188458079,1.42511498570313,-2.56746205668587,1.36385476603618,1.03402073145494,7.56216452410992,1.78465834067567,2.05042740261787,1.57225966103552,-0.00380087317008714,1.21897493091081,-0.259257616375453,0.839865096235481,-0.841395840018052,-0.0560785709754885,1.09624765491126,2.07146379966139,2.52367823486311,0.285755514209766,1.16515736049939,1.60457680833185,-0.265640296872817,2.0320763847158,0.0542111056287446,1.3842299911492,1.06128298338721,-0.554907688929359,0.858901125133507,0.113145083608913,0.222739198156052,0.012320025401425
