"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",37.895415348607,117.509080656262,179.054635013472,90.2989437965127,92.0465874370946,102.333393830068,24.353781651065,70.0326381274899,84.6075366826841,72.2455641771377,86.0153675280993,41.0949028747743,66.1504292895947,20.1401255916808,47.0602916319501,51.2870539026253,83.0218323285978,6.24361891847123,30.6398550192668,47.3854112216559,72.8019097587197,109.799992411968,53.5857344262668,34.2460549083008,40.445568641593,3.16451630137031,76.4456940990464,37.0660726706544,82.2297477627101,57.8967943132734,32.7472764360282,38.1264519960095,38.6468708810712,3.40533475825726,14.4078318897352
"IS-NLE",117.509080656262,432.047386758942,621.887507844786,347.265729486807,348.869863810458,363.735875089636,74.5343731763686,258.285951873194,317.049041528157,275.603490475254,293.618329842234,137.572089352729,228.212480977581,79.0628526860295,178.576363842335,198.11383000211,316.287156236571,28.9617666378503,102.810309395823,163.954918513266,263.060723691815,410.261403128309,204.984585173206,142.257873238825,150.276567081238,15.2748703669453,292.363290740428,133.184271302805,308.854800897521,204.995721302636,134.117755462158,137.987165918775,124.954650762717,25.014293972407,50.655197666966
"IS-PNS",179.054635013472,621.887507844786,985.274327117479,502.2667658415,523.534962461686,580.371010570083,119.473849074708,382.585568076906,463.751465455101,407.069689902023,462.28066475934,214.416785628353,346.995190522236,95.0222956348754,251.574728936169,286.784069125916,466.674094455088,26.6959670549511,154.339463803419,271.247714194995,401.169587245835,620.759880471019,304.599689745326,178.327630412997,232.691483770498,28.1908421672917,447.530647882405,197.273067420381,459.857826066578,311.077604812045,180.97175291648,219.558565989651,206.769751704574,16.5323873113843,84.1603667506966
"PM-ZS",90.2989437965127,347.265729486807,502.2667658415,298.793912146322,298.636858710661,305.762802879458,69.1836789380108,211.755131541145,263.813076315782,222.441288946128,237.142340940144,127.64773515566,192.667879499318,50.3766446939913,138.04620056465,153.513124331152,254.983440927281,7.10272006265818,80.6479256582365,141.055322366031,208.129172571056,334.041080615992,168.974674177258,122.229236060957,124.675932121045,11.5103839627811,246.410552536853,109.956424913561,251.950209098109,175.881197688708,114.819187293942,124.011603893924,100.94795884023,22.9394470773319,48.9868645840612
"PM-ZI",92.0465874370946,348.869863810458,523.534962461686,298.636858710661,333.371242965514,330.687101798521,75.5948946090821,222.725804205984,288.914124956139,228.413897189253,242.815005321437,133.75333156666,202.633373436187,44.71102327329,145.361219743706,158.856296478073,261.462942034553,4.03431478062423,96.6931639807243,163.004381372673,211.501761379401,345.948530129924,173.406733821441,131.301671326758,144.57062702802,9.36455330435388,275.212302103089,97.7712132078073,259.73409336036,185.440532376326,89.2684783914457,124.098990720418,106.095791260956,19.9378978617391,65.8265779014714
"PM-MT",102.333393830068,363.735875089636,580.371010570083,305.762802879458,330.687101798521,387.580592395024,72.2175068894292,242.692933059741,286.82567794638,251.328053439382,277.271497534552,139.149025088423,224.361500528482,62.9008098695565,161.76279056021,179.178687149491,280.023307556177,16.3811816199666,93.9221501904457,179.525857219092,250.128861099436,373.54325990471,164.921370663639,129.484133518034,153.918310575283,17.1118101671865,289.969287648553,107.141692570496,272.07826718979,201.493558253919,105.26108564474,135.641688400148,134.655141681724,10.0402936482861,63.7031491250584
"NLE-NON",24.353781651065,74.5343731763686,119.473849074708,69.1836789380108,75.5948946090821,72.2175068894292,65.7500196874361,60.8519443002191,67.691192179258,24.997418572779,54.29524904068,51.2589472942995,56.8433856984583,-7.60220518868668,13.1400192873666,25.7763535548775,56.188049272683,-13.3787073566257,16.4990291153541,43.6604216733197,58.6330480091015,73.0200692795632,39.6173248145019,27.344312135835,21.2309453482258,-2.08180282667384,49.6717021630669,20.9043920948852,54.4211028018694,48.4499724070698,14.4371050397807,31.4014941759581,22.783651135778,-2.64829602123396,24.0604368244677
"NLE-ZS",70.0326381274899,258.285951873194,382.585568076906,211.755131541145,222.725804205984,242.692933059741,60.8519443002191,198.324853412544,212.88761056057,181.520872590281,195.934682402817,90.9673266263358,159.267588799218,67.8443455864938,130.604472294553,137.399459618932,202.700546305333,34.5866808875529,59.0147583698081,120.807545533825,188.373548821142,265.482170876516,121.617262741366,99.2644379822664,103.450355764903,21.8520844230873,194.606845020551,73.9814317744337,188.584257235446,133.792066008201,59.391128646492,87.5434068678844,95.0145294093484,10.7936547913033,38.9947075163109
"NLE-ZI",84.6075366826841,317.049041528157,463.751465455101,263.813076315782,288.914124956139,286.82567794638,67.691192179258,212.88761056057,272.378259165632,217.302558327094,231.780815261007,111.546101293995,183.988305879368,57.9292172196853,147.781911930587,152.758843245162,243.914445967006,18.9200221441601,93.1299602298843,145.899001370318,194.786856774874,317.86657304163,159.261875895901,118.366471136861,132.608288994219,15.1550020622287,241.432856363876,98.5035766572418,237.633148048222,160.433902315805,68.5746636833934,111.622865803558,110.651815691216,14.0192448163571,49.8525242647267
"NON-BR",72.2455641771377,275.603490475254,407.069689902023,222.441288946128,228.413897189253,251.328053439382,24.997418572779,181.520872590281,217.302558327094,241.649076704441,207.431580855304,77.9155517053605,152.031811371524,70.4527388153279,138.426018355311,148.986213636833,224.286505078462,42.4168088213193,69.0169123653794,113.078990190931,197.616205199439,287.467464715457,136.546246790529,104.351566103675,114.317322889441,21.0901277860062,206.093923083299,86.9003019997661,207.304873339694,139.740775441842,58.0713592745441,97.370783397683,97.8389835337918,14.3828824673502,31.2651910541716
