"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.342622981422462,0.420798445495239,0.999707987432808,0.377279123777652,0.375140249253729,0.571004280403213,0.310518299691374,0.449509756462921,0.516733188290121,0.688658247083989,0.557793823072634,0.205249944986487,0.354687690879164,0.241340199892842,0.56807647868539,0.314511268466112,0.265850595609522,0.103377369274158,0.0853593914603682,0.225145452821995,0.471237691949889,0.643916841588453,0.155825628389973,0.362258226980345,0.360409619656075,0.0615599306492005,0.39262064693313,0.362813425910651,0.27941588971947,0.451563394367942,0.204595442831913,0.436167519273098,0.451845264885751,0.047136666573458,0.0879646876545846
"IS-NLE",0.420798445495239,1.12203005765565,1.51311382550469,0.781622235239979,0.823518237504674,1.01538044850711,0.315252254028156,0.554131293756088,0.822455230094276,0.805167691941162,0.855409116336461,0.17775955974671,0.610741487486714,0.451018990262881,0.918788251762405,0.613762040489292,0.625395451685814,0.150245759552055,0.273605167372583,0.493868823716643,0.73792956137395,0.926553140049501,0.209629360968428,0.715370552766204,0.549695001426887,0.135697547743725,0.657408437237176,0.686170341269048,0.586924716224202,0.517519132386129,0.942056289539695,0.376738266965131,0.977615228561602,0.153352024441548,0.0995392301184706
"IS-PNS",0.999707987432808,1.51311382550469,4.8333065087893,2.01412078796951,2.13555331648617,3.05237131413368,1.30163003122391,2.01970151996761,2.33549875208866,2.8127443068155,3.06442112461129,0.715543438808558,1.60986730584043,1.15262486899266,2.19802059459408,1.61016793499832,1.2279878336135,0.409173428735784,0.390879028607284,1.10144344209453,2.05427547818493,2.69455699407493,0.890000311710565,1.15560558739233,1.09450983861947,0.179558815550412,1.31632476073095,1.67088137387243,1.26704248995969,1.57539657049265,1.40334259202239,1.4874844851517,2.04258061430899,0.274980981367381,0.550585390275127
"PM-ZS",0.377279123777652,0.781622235239979,2.01412078796951,1.22548631711308,1.30060754303664,1.53238182440517,0.911198524857131,1.03395402532279,1.2668204525011,0.91749821333982,1.03942120332278,0.252379299210811,0.768779276551018,0.502925132116137,0.849098710121772,0.687441604930851,0.6818169725374,0.173875989393861,0.293132078873578,0.472308373326933,0.829258319824961,1.16801440550207,0.264343346233798,0.740489914216643,0.459492105410983,0.0918505834894747,0.555506254040572,0.846199731373961,0.706656789930796,0.67795762672266,1.00787671052821,0.488747645020743,0.909085099165416,0.190568849754734,0.315045430726979
"PM-ZI",0.375140249253729,0.823518237504674,2.13555331648617,1.30060754303664,2.09848054541092,1.79458255823503,1.15765950329482,1.13516999615863,1.93447147542928,0.744174326520828,0.93908940880578,0.374318295698182,0.956701264018784,0.565671586700369,0.968802586961243,0.760984975894915,0.806153188354434,0.127585502031236,0.793594709767841,0.555356162147469,0.370812509576603,0.545289353658473,0.224551521019747,0.619709177355643,0.579716578443068,0.127899304076078,0.695620653976876,0.653027645675641,0.809626508343984,0.887918768319317,0.985085752090021,0.63541929806138,1.08778893443834,0.245070812737844,0.328332682116612
"PM-MT",0.571004280403213,1.01538044850711,3.05237131413368,1.53238182440517,1.79458255823503,2.51703200461273,1.13102508785631,1.47514882605241,1.83552447151398,1.70381704036482,1.82041132560223,0.499528975599796,1.20559117208432,0.902119554650284,1.4483445404151,1.27900522513546,0.917666786730566,0.270438574402188,0.41914551582692,0.871864250111941,1.26200946562296,1.64614265484193,0.172374882504734,0.946322541710336,0.685456229297167,0.166251003435178,0.754268752646316,1.26221440970446,0.954238801988394,1.01356223850644,1.16530037007307,0.886236128068046,1.57413398966437,0.277972171043042,0.426131313664129
"NLE-NON",0.310518299691374,0.315252254028156,1.30163003122391,0.911198524857131,1.15765950329482,1.13102508785631,2.5303634388917,0.889723563253026,1.16737395894326,-0.704802552990768,-0.341539341976279,0.354035412856463,0.613044903047096,0.430373801172058,0.611314089656495,0.572386082880045,0.553132911774519,0.0948084374392179,0.359474182722332,0.275087926214265,0.477073974514778,0.698037650112762,0.00899573875223079,0.586468209712456,0.295579501706924,0.0394139701085888,0.352345867235778,0.474370318600975,0.554705552309372,0.697896956157214,0.36682944238519,0.284057241741629,0.6030953485896,0.166724053816335,0.513968639912083
"NLE-ZS",0.449509756462921,0.554131293756088,2.01970151996761,1.03395402532279,1.13516999615863,1.47514882605241,0.889723563253026,1.42198041636026,1.430790870581,1.32774324800783,1.19413255112152,0.448012408420442,0.700749297646971,0.389606887865254,0.863024098065769,0.629929319098452,0.452380173566663,0.0914456410573762,0.0556927334729728,0.311378321041567,0.93240042455223,0.956489206135754,0.19108746731529,0.673699051669514,0.476188212159757,0.0596443408473572,0.518252391754468,0.635660922973023,0.499602635859447,0.627963572403097,0.73307529726136,0.694800422416061,0.94316687260584,0.26097576837406,0.294092464364569
"NLE-ZI",0.516733188290121,0.822455230094276,2.33549875208866,1.2668204525011,1.93447147542928,1.83552447151398,1.16737395894326,1.430790870581,2.08399103524922,1.27128209430321,1.20230512038235,0.506809047372448,0.99217711706374,0.575057532307546,1.14705447177316,0.800318632886821,0.813729281351728,0.136882517383026,0.6643227486645,0.535454671674246,0.664483920742138,0.81290155431181,0.232699412657519,0.778103978547528,0.715602177514823,0.12529992325679,0.804450344457952,0.698080451437891,0.811273580082365,0.96199257260483,0.875888556026672,0.825513537967084,1.18263901716609,0.272675887494088,0.291474007599026
"NON-BR",0.688658247083989,0.805167691941162,2.8127443068155,0.91749821333982,0.744174326520828,1.70381704036482,-0.704802552990768,1.32774324800783,1.27128209430321,4.97802596189877,2.70582823071569,0.982807642170931,0.618128133736203,0.411179901844834,1.36327336508268,0.485357480306003,0.544897543153108,0.155152507938802,-0.00717171662966026,0.830256639409248,1.53719432751415,2.11522521395751,0.400272829709492,0.698965908440939,0.980254699366899,0.116175208675528,1.13075534252544,0.818998541725584,0.705390231875967,1.11958257494806,-0.750187878769228,1.181491476109,0.978699260672002,0.0742431310246314,0.227422371628787
