"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0396984883105365,0.063566346221725,0.181051184292073,0.0590373018969284,0.0944817210611035,0.0946432533188776,0.0534141125965127,0.0585784102450587,0.126280411293572,0.171869970650443,0.148613014167935,0.0818338126872831,0.113445945278588,0.028362242591898,0.117584798540952,0.030412676637166,0.0980302274155033,0.00874258101504627,0.072353132270559,0.0638813700683463,0.0768898465258017,0.1201853203659,0.0612416280287195,0.0333960661797532,0.0985233539819054,0.0192604708610898,0.109740469807841,0.0656491779112952,0.101210127790986,0.0814619575616988,0.0272627309288254,0.08392600482614,0.0862534889400629,0.0308070916105557,0.0337642991030392
"IS-NLE",0.063566346221725,0.290352424244634,0.568720720586227,0.306024749277862,0.322120081592078,0.369578060723326,0.0969320357473762,0.269961170627526,0.368979923489685,0.60711368602178,0.482237676770832,0.1350159000109,0.257246438757055,0.0138915659197174,0.277317072035241,0.019597683514179,0.33058356795821,0.0202084731161748,0.121116855753297,0.182888395549826,0.351200353070373,0.51223949983893,0.195161510872823,0.119753515902886,0.340550676396079,0.0823057516115267,0.362498387640593,0.148702977712699,0.325045327931015,0.141029519957724,0.17859769444534,0.045318630132455,0.244758446334128,0.145476577745464,0.10956973120047
"IS-PNS",0.181051184292073,0.568720720586227,1.46302163543035,0.66849395315677,0.794852539450041,0.878155270309353,0.332037769269286,0.637748316929852,0.933190394317886,1.39494104982849,1.23553502898901,0.398276225637886,0.651780005623816,0.0882730989034949,0.72611836087764,0.079058929557149,0.786873861015619,0.00444356554528807,0.331024412093272,0.451261757494531,0.720628300042121,1.10364047388934,0.532432001876113,0.236296110646122,0.791548083752775,0.155793543394528,0.886938621866034,0.421263129325098,0.797910284846657,0.41203919154931,0.350288838420711,0.261202549429058,0.631484211640295,0.334147712019124,0.264354628526947
"PM-ZS",0.0590373018969284,0.306024749277862,0.66849395315677,0.477578369337114,0.428525748020909,0.486695698918642,0.0632877067389945,0.458145222462606,0.438597911741897,0.815667689596211,0.584149424578014,0.0898965522849663,0.18948619084275,-0.0166357091823223,0.374712186234517,0.11611696755512,0.459099488998672,0.020234838107056,0.00470079563526092,0.228999620526499,0.469189691733957,0.562050381647531,0.233604721185356,0.173127744146313,0.430252428721595,0.106049670733914,0.447244123334547,0.153166838948662,0.388225764496037,0.0651616972805281,0.226957133977229,-0.0839427548100331,0.421843604962871,0.188781971231789,0.119608047710807
"PM-ZI",0.0944817210611035,0.322120081592078,0.794852539450041,0.428525748020909,0.540794096527734,0.524040682801305,0.134375596184445,0.401639964599074,0.586373559083483,0.904811379357459,0.702687000201684,0.279871886018817,0.408914674272674,0.00111301617075843,0.408107875002647,0.032734257897566,0.458490570276751,-0.012059215422976,0.194661226064731,0.300310822884957,0.387426027310384,0.602902486531917,0.273704039908538,0.164926311906583,0.483338632395513,0.114821796959748,0.519542709020366,0.258327080007437,0.477417931555099,0.232812284300886,0.238926430294554,0.131939323700876,0.389117947255784,0.21974616810148,0.165039981834606
"PM-MT",0.0946432533188776,0.369578060723326,0.878155270309353,0.486695698918642,0.524040682801305,0.631459230162716,0.164256643773771,0.437785809975221,0.565207051356469,0.962509887355764,0.736620467851484,0.22484619989461,0.358230890451237,0.01803551556779,0.433640525643452,0.0512825090927343,0.529130935206387,0.00324009842373251,0.154781559954767,0.313832535633427,0.504972651128953,0.716570351148891,0.263851689273531,0.194037604129159,0.504258909150129,0.122934415974793,0.54901382317004,0.234976279974424,0.494881540274229,0.199571659069402,0.213319628192742,0.0565608661724246,0.408959312766702,0.229976285655131,0.164821542656206
"NLE-NON",0.0534141125965127,0.0969320357473762,0.332037769269286,0.0632877067389945,0.134375596184445,0.164256643773771,0.530259250030791,0.0569735050610401,0.212237991193827,-0.127255148397194,0.139633674439553,0.0360495759373084,0.203006883325518,0.0910987414037945,0.00829667434948828,-0.0654643813995,0.153642434697056,-0.0659008032268755,0.15495975817487,0.104423129315919,0.132577579628782,0.278563417578886,0.132038855715358,0.0593367958749285,0.0409665829065637,0.0219645400350353,0.0392889682692727,0.157440432294298,0.190353902768861,0.184842298200316,-0.062455345839452,0.23502166650436,-0.130263664302521,0.042304331593028,0.0470237929832903
"NLE-ZS",0.0585784102450587,0.269961170627526,0.637748316929852,0.458145222462606,0.401639964599074,0.437785809975221,0.0569735050610401,0.540487378696888,0.4359439901494,0.790822428072128,0.554100099648313,0.089818305243782,0.15076672535878,-0.0369678570882826,0.398574676061779,0.209841180675201,0.451557054901459,0.0191750880172523,-0.09511754490594,0.201865891592745,0.464173694656266,0.457309863819065,0.237899574293475,0.179965017831122,0.400179769367042,0.0924887727020106,0.397352881067594,0.151547712793624,0.342932589912088,0.0127824995348614,0.234442254029034,-0.117292088820778,0.498499555135241,0.171185758482252,0.126917038872236
"NLE-ZI",0.126280411293572,0.368979923489685,0.933190394317886,0.438597911741897,0.586373559083483,0.565207051356469,0.212237991193827,0.4359439901494,0.701665224372645,1.00206646223668,0.822452149885054,0.340112443317847,0.509664888397748,0.0240430799470544,0.457947826635262,0.023353820020569,0.523912603769785,-0.00826535080987746,0.282864210729638,0.334740081822047,0.422599042544018,0.710535970820197,0.33520541588635,0.172198981602367,0.526908221251436,0.1167223238931,0.579839500408977,0.321616975820156,0.567012213265101,0.302150182255536,0.237000447049708,0.234541005548894,0.40240092394999,0.230632225857586,0.194016941387062
"NON-BR",0.171869970650443,0.60711368602178,1.39494104982849,0.815667689596211,0.904811379357459,0.962509887355764,-0.127255148397194,0.790822428072128,1.00206646223668,2.49877708306976,1.38409695235689,0.684227282865043,0.690793058105946,-0.043080809466136,0.922471823880112,0.242568038979074,0.964276833074589,0.0684893279153172,0.246699959687808,0.564846732546055,0.886289691599645,1.2172770575533,0.457674577082141,0.420437070822963,0.98846860712444,0.206251399319411,1.04144829465834,0.443971011635672,0.88252631028348,0.316563589243468,0.133601920496574,0.115539513816075,0.950930478980078,0.435273677772782,0.271395949421187
