"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0894087772052268,0.102476083481484,0.333282294670626,0.121279924571819,0.12459167985382,0.150176766577429,0.0637042700520805,0.132143807342008,0.18225995723928,0.183404437849124,0.258378150758561,0.0406761977587762,0.0931226196609981,0.0219288413865777,0.104311970841377,0.0452173807565743,0.151676477696947,0.0252231038626875,0.0527424525101963,0.1220235270705,0.213661609195695,0.240954288261574,0.107683218256689,0.0752786708387136,0.0689099728834769,0.0648609799407828,0.117609459480018,0.079051743581008,0.128650205490676,0.0826959253625311,0.149310383102081,0.0400067178214289,0.10105257923772,0.00209924933529266,0.0263849376175848
"IS-NLE",0.102476083481484,0.306723830115344,0.580378359369108,0.299031956986617,0.300390902985924,0.313874161605785,0.0732107067418818,0.290886924091094,0.357722744275922,0.372435247110751,0.525559982786233,0.000767205181795779,0.135703702286402,0.0709324292899032,0.25595529213156,0.150446587793921,0.281588096098992,0.0877349796783933,0.0582445039436913,0.246916884975464,0.404357900354727,0.474115318788325,0.192866654890625,0.22320927550049,0.133444150437738,0.144290992910411,0.216010114976206,0.218261094490258,0.294999320865007,0.119036023275966,0.315483836242305,0.036912029536182,0.234587056609553,0.0317763461855703,0.100249040476933
"IS-PNS",0.333282294670626,0.580378359369108,1.85851875188572,0.783689977759939,0.748862893389936,0.907022844040539,0.133359152602766,0.832486535922329,0.948184431447237,1.16160493645507,1.5648095206531,0.0917254415650476,0.404480570264951,0.155471442199574,0.621961163140054,0.344875468560606,0.779670239383009,0.163704207967185,0.116647874965721,0.636236851308577,1.19360106642128,1.16066129151498,0.648340782192407,0.269757859948318,0.393612806813451,0.323645120950036,0.594325670861674,0.337957890995474,0.588627490256144,0.40035817938905,0.6766529581581,0.118940502944718,0.623776384811471,0.118489040477924,0.200326116778597
"PM-ZS",0.121279924571819,0.299031956986617,0.783689977759939,0.492182160630115,0.417381688916629,0.479089580414706,0.118918611243032,0.515602561229143,0.468510259181348,0.521142085079054,0.666040985069713,0.00210470178077296,0.108444814802025,0.0328648504584891,0.294468044406246,0.166488928489284,0.363808367902258,0.102264852013444,-0.0569065747044431,0.366582144290059,0.569013917055131,0.611553116841806,0.237843084713361,0.255826181003535,0.197622306544804,0.17774153428928,0.246734079672839,0.22122657910142,0.299618957590107,0.148962232208442,0.35993805624468,0.0168443861764686,0.268735508238291,0.0418476855514657,0.0946660383101762
"PM-ZI",0.12459167985382,0.300390902985924,0.748862893389936,0.417381688916629,0.476992233473344,0.406527360971632,0.160719058828362,0.461577372009506,0.502677996961907,0.435542175723969,0.596486854052426,0.0857735248115734,0.213814914601777,0.116455325137623,0.332257712906852,0.182449690183315,0.275798424406529,0.099033507235355,0.012216405144507,0.326964801064501,0.427156928452355,0.486630041414274,0.25092340786907,0.245458879234029,0.169205085167329,0.175688896474879,0.220103517687639,0.220890445608426,0.258658177331707,0.164908052362984,0.414057238087431,0.0614552393937532,0.290401351026165,0.00325747043843788,0.105198352934989
"PM-MT",0.150176766577429,0.313874161605785,0.907022844040539,0.479089580414706,0.406527360971632,0.690151361028211,0.0317410226524723,0.477926708548471,0.546974314125113,0.811134038761096,0.798586796678508,-0.0573996956269584,0.0498235951587821,-0.0334453391498815,0.238958759387055,0.0970712610977854,0.498865882887127,0.121588051292655,0.105529486687657,0.408120377744868,0.649838342413504,0.667638903507173,0.149914072131758,0.161799152301651,0.224277033271082,0.182181293335872,0.315619507787899,0.209760508434993,0.379725508236536,0.138903787378914,0.190806909343601,-0.00134701745992839,0.239586638638224,0.106215300063153,0.0877080833529263
"NLE-NON",0.0637042700520805,0.0732107067418818,0.133359152602766,0.118918611243032,0.160719058828362,0.0317410226524723,0.518171656010995,0.191440570121231,0.17840541166411,-0.327114316973369,-0.031366053441259,0.0743137339577808,0.11858421152991,0.066145041392588,0.122908749246818,0.0634980971308987,0.0571419463383413,0.0526945462619074,-0.0413240028563671,0.118069325437313,0.0217977039926844,0.151678245696713,0.0679924389262525,0.183872303693947,0.0277307271555113,0.0967892939645559,0.0439862073728847,0.145343810354409,0.109955462851266,0.0343515215466168,0.14741831919082,0.00890196535647253,0.107799444953833,-0.0730577521103992,0.0949360758784413
"NLE-ZS",0.132143807342008,0.290886924091094,0.832486535922329,0.515602561229143,0.461577372009506,0.477926708548471,0.191440570121231,0.752377760660824,0.561121730585789,0.511596150061712,0.697467093027901,0.132761538414709,0.221852461537089,0.0860696799802642,0.355035482611367,0.166244774580357,0.278291524210618,0.109746362311399,-0.229025925982551,0.475171599085532,0.642583821858561,0.655152154783567,0.244397087289437,0.31926948582917,0.18694993716438,0.17599202557681,0.232372484381044,0.163260626554593,0.145891632737114,0.119812725484872,0.563618473526357,-0.0448209061346674,0.297069544056707,0.000283377744552216,0.110904902130804
"NLE-ZI",0.18225995723928,0.357722744275922,0.948184431447237,0.468510259181348,0.502677996961907,0.546974314125113,0.17840541166411,0.561121730585789,0.675805062625913,0.676613111900717,0.818867255183555,0.0603903425582615,0.250670554872021,0.105943967791312,0.32190014355788,0.13797233625524,0.450627239085088,0.10248927871649,0.126421173496781,0.451873924857996,0.639341207285415,0.696803997303186,0.267749988444774,0.301879149243247,0.189236333661464,0.211148365880674,0.313581593837622,0.277436534671012,0.353074893824551,0.156618298477329,0.502028656566289,0.0409122635091209,0.291982155598418,0.0670144568278219,0.123263945006234
"NON-BR",0.183404437849124,0.372435247110751,1.16160493645507,0.521142085079054,0.435542175723969,0.811134038761096,-0.327114316973369,0.511596150061712,0.676613111900717,2.13989401119007,1.28864202575905,0.0304291455675759,0.0759011151044159,-0.0484315920779508,0.313959011408055,0.167575015299508,0.736220066887014,0.171576496221527,0.252359414378166,0.525665474648942,1.03296968576009,0.995069440944826,0.268291930508477,0.206801231292952,0.379143365992212,0.105381700467916,0.497043671717763,0.318190968671266,0.518168458874179,0.0927332957132976,0.0221734030980972,-0.134879431940421,0.412410482218659,0.244754771871424,0.0624469056841354
"NON-PNS",0.258378150758561,0.525559982786233,1.5648095206531,0.666040985069713,0.596486854052426,0.798586796678508,-0.031366053441259,0.697467093027901,0.818867255183555,1.28864202575905,1.48952451054744,0.0493670490860038,0.344992235938479,0.141895838114438,0.517078799773237,0.297983855315275,0.74000669639448,0.147381022007882,0.143908925415789,0.617163092372017,1.1513490573445,1.0761161313188,0.54765491144735,0.241964663869803,0.32725716093203,0.269296813615,0.546428920113656,0.270267437167727,0.513713825116996,0.296371359717368,0.573934781828125,0.0554566961600141,0.546932503308099,0.172983776770665,0.190763200914358
"BR-PT",0.0406761977587762,0.000767205181795779,0.0917254415650476,0.00210470178077296,0.0857735248115734,-0.0573996956269584,0.0743137339577808,0.132761538414709,0.0603903425582615,0.0304291455675759,0.0493670490860038,0.452334688417654,0.378407304784059,0.117284887437965,0.165587784193872,0.10376350304697,-0.198267958570637,0.019242734080133,-0.119299502789108,0.110766337308278,0.0783903599251919,0.0284942956052638,0.0924478060531857,0.044199749155594,0.0147658064223308,0.00210406694673137,-0.0158976504996668,-0.0224513655991587,-0.146575302125829,0.0801526684288569,0.324578064030977,0.0235304784220145,0.163778448434968,-0.0768278816746429,0.0484091024833734
