"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.11807506451989,0.149744254720904,0.426635869486537,0.154201630222907,0.189556352043287,0.184155411910099,0.16679959398092,0.170972952616756,0.266381999561279,0.393161777929677,0.301693549147127,0.109989715189173,0.156904936822586,0.0549347135003675,0.197147137940298,0.10822888893945,0.229329008032207,0.0685948135362759,0.0943552998521214,0.129462220601436,0.295626712469696,0.386775899281628,0.183126592224679,0.119547729891597,0.186142830409343,0.0588163013403664,0.206505046364728,0.13935398885588,0.199194185350431,0.151626050430844,0.000602747125979968,0.191508736532201,0.123462087444488,0.104684194212222,0.0457761590925284
"IS-NLE",0.149744254720904,0.421076806153026,0.687880724273743,0.28948171519528,0.36668413685824,0.324281363158746,0.316825856254799,0.0754709027443167,0.436265055955276,0.508711643438033,0.473802164233652,0.240202678526882,0.227853316639887,0.0366341012417228,0.272650705103882,0.0809707832764009,0.379899989050333,-0.0583778308290381,0.38097178883817,0.269002485315357,0.474469113431617,0.563723011217119,0.280251234976158,0.245040138312058,0.282261139978558,0.0766977670572576,0.346603667619498,0.245345457833085,0.352159178351964,0.258558661850396,-0.0858565132537624,0.292051203289745,0.167097768818763,0.0999711344927533,0.0967272322918566
"IS-PNS",0.426635869486537,0.687880724273743,2.72859294544154,0.903740235185383,1.56888564622062,1.48150319917532,1.1295009345747,0.702672340154933,1.79371029800732,2.18223231821348,2.02033832276263,1.09549477771755,1.35105309550001,0.384483324431965,1.16474514450132,0.496516191768614,1.12401142905334,0.169452155299563,1.07918365076838,0.953085317114237,1.58490344187987,2.06359464725207,1.15236346701548,0.523585481014651,1.11221564722117,0.397629921320962,1.25484611108611,0.940002372386762,1.09316259585009,0.837716190391676,0.109495512820089,1.29265015660536,0.68797160099838,0.65934049191553,0.133463219359871
"PM-ZS",0.154201630222907,0.28948171519528,0.903740235185383,0.424542881781746,0.518703921542183,0.543619064925725,0.365649046196998,0.326004861001475,0.610447078707831,0.754255308460468,0.686344109846952,0.35578301909388,0.408245614798794,0.0723028983927436,0.365640633256892,0.137861193025277,0.485178832997086,-0.0170532615226111,0.326489079139416,0.343509264482298,0.596887307249729,0.690762354963738,0.318458118427029,0.259017920128059,0.355376393863686,0.134797926070517,0.440276155072369,0.336855786346231,0.447837782271325,0.32026320308652,0.0368806447500915,0.415142560788908,0.249919799438268,0.16062360066322,0.0694747713100078
"PM-ZI",0.189556352043287,0.36668413685824,1.56888564622062,0.518703921542183,1.47683155304714,1.03147674891779,0.616283011314317,0.274493235510979,1.3766831235783,1.13504072944433,1.18209876372426,0.832386378577012,0.884785277823103,0.219204802657725,0.676379428303006,0.209494718562223,0.447521768185205,-0.0691943608761236,0.963630041219218,0.849020495705714,0.394643192429304,0.902150153928234,0.642760004183868,0.288160903627462,0.659405370115973,0.273486201651746,0.747416941935897,0.54373728770868,0.514800841714558,0.522276965827026,0.0309281674435602,0.829807126841699,0.434339251200923,0.400092285370182,0.125032029689354
"PM-MT",0.184155411910099,0.324281363158746,1.48150319917532,0.543619064925725,1.03147674891779,1.10731025143432,0.561215750803944,0.416131291629063,1.08636568405201,1.17099466409234,1.19014678027368,0.805413218436967,0.856164945250848,0.121125002474608,0.561797183238668,0.179028899106956,0.526002214830768,-0.0898578186283577,0.656398000399688,0.75439863253509,0.804731502907243,0.995760903011358,0.40756081029474,0.264667044251985,0.597490808067269,0.253295910347554,0.678150739347842,0.513564359498129,0.545567837617029,0.463479146648596,0.165579317613566,0.795795175445001,0.357059371076866,0.427991841287084,0.0454545865906832
"NLE-NON",0.16679959398092,0.316825856254799,1.1295009345747,0.365649046196998,0.616283011314317,0.561215750803944,1.21387185685716,0.394639325844725,0.784858070793492,0.400020365165716,0.683663823690123,0.323667178398108,0.575469101768213,0.215608905407385,0.465799837539619,0.153067357980605,0.556409203933329,0.176876819834731,0.382549054603445,0.229659578220474,0.57287731451032,1.01085322409034,0.558240102286844,0.195457753166484,0.523853422572301,0.238855047223811,0.56685981747451,0.498116222074368,0.602906126836522,0.322523610518683,-0.0569679183212949,0.703264713184478,0.193255808522553,0.254843249326398,-0.0224490918660052
"NLE-ZS",0.170972952616756,0.0754709027443167,0.702672340154933,0.326004861001475,0.274493235510979,0.416131291629063,0.394639325844725,1.19268016894928,0.525818287220225,0.682974405333843,0.625796745832677,0.259256684557587,0.456473431038708,0.0995205957504941,0.255753387293854,0.19071040841429,0.456119657203692,0.36350226685063,-0.710533376061096,0.14654240356291,0.513163817556215,0.634356579697201,0.265940199642411,0.150577952782426,0.247183696495408,0.0770720871603079,0.242146465977112,0.363245107775079,0.324713058775782,0.336611402952948,0.11851264857758,0.377710379305289,0.185956456917212,0.138674437050584,0.0121925748301577
"NLE-ZI",0.266381999561279,0.436265055955276,1.79371029800732,0.610447078707831,1.3766831235783,1.08636568405201,0.784858070793492,0.525818287220225,1.51224037636625,1.4615756587796,1.41788115994794,0.842276723235278,1.04081175843861,0.265100235065827,0.81492622065402,0.348336445553619,0.764195837199454,0.0880305458238688,0.909772731955228,0.800305766086598,0.771156192226106,1.27153664255432,0.766821232003327,0.311892714211808,0.848663515595252,0.33985207569457,0.87135924950425,0.719461362239164,0.754876410477106,0.614559009607304,-0.0191829990484146,1.04288146986572,0.484613513421798,0.494756576125107,0.0982312206196942
"NON-BR",0.393161777929677,0.508711643438033,2.18223231821348,0.754255308460468,1.13504072944433,1.17099466409234,0.400020365165716,0.682974405333843,1.4615756587796,3.85528643409566,1.89451280607423,1.21716078134366,1.08384614591931,0.226426178500612,0.879754532850971,0.49722816590621,1.08180898416574,0.332878863014366,0.829007289832732,0.515967325505223,1.35560949280363,1.80023926370616,0.952231869134028,0.491509786576179,0.973599149680596,0.372573877020886,0.907508598820774,0.955228004387706,0.931497489581065,0.613562528779968,-0.675615990805258,1.0014743640113,0.69614075393114,0.688208142495082,0.194473992212824
