"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0490959392067232,0.0470377377089951,0.154475805141127,0.0485119900530417,0.0444911952314864,0.065636236172182,0.0324849560392783,0.0649962565781548,0.0868285540680612,0.145730020499717,0.129457800208311,0.0660439497023078,0.0767514113185019,0.0466162286731747,0.0851173975707733,0.0253186952786746,0.0471666845245805,0.0216100235725664,0.0265100672341476,0.0471706228607052,0.0973496295348328,0.0928253177308599,0.0531011054779651,0.0221906198299939,0.062226922829538,0.0176730738651255,0.070074117947518,0.0303579823275382,0.032903600780131,0.0482091492376011,0.0148850823986714,0.0338402399879337,0.0689542366790377,0.0139177731682678,0.0267995323506527
"IS-NLE",0.0470377377089951,0.11936928059425,0.268050618783145,0.128411669506735,0.142215709841512,0.139395490629688,0.0603279569808883,0.15065441038188,0.18829617207515,0.22936023042703,0.236130185914308,0.0581260661565288,0.136071157549061,0.0638019994177753,0.148574773839179,0.019955092932077,0.147282827472285,0.0483249165537884,0.0368985987297239,0.0953680034425259,0.172105653805522,0.222851283628427,0.108155127680756,0.0915938368625002,0.117250118582654,0.0418738829691422,0.163848603373102,0.0820990484419506,0.140610764516532,0.104981387177396,0.124289838884658,0.0678846064907172,0.125801170055682,0.0396474983868599,0.0270037257317687
"IS-PNS",0.154475805141127,0.268050618783145,0.961701010407654,0.399967134308259,0.464547583489318,0.464058276743497,0.140343903921513,0.413671724768382,0.545470315925406,0.816875709715283,0.798578265298789,0.173356303092393,0.38499268206108,0.159681547817592,0.490611490424558,0.103499572307592,0.410326360727643,0.136585914478235,0.134277270447011,0.297537627333901,0.505355334537606,0.676944863469229,0.387204272649083,0.138910468417217,0.435858659100595,0.0921640038195643,0.49208493121261,0.246751429342723,0.389446159891786,0.313149892049631,0.385366110102338,0.194715274938792,0.431314163257249,0.101455570941313,0.144404236727373
"PM-ZS",0.0485119900530417,0.128411669506735,0.399967134308259,0.229392666623619,0.254573337869961,0.205505599081521,0.103121096632759,0.214186979073243,0.271038220958768,0.379232988915577,0.33493243663656,0.0857659798239158,0.211100343026703,0.0901851144523374,0.229817244268959,0.0460559779434553,0.235107965978897,0.0676052594595901,0.062022800316118,0.147074487937157,0.21095811574925,0.307150541786166,0.169848365474225,0.0963201349477583,0.198101355145712,0.0476885605822813,0.251318515395719,0.117309037037632,0.223125544232175,0.139283989590959,0.140656547127314,0.0997990240248583,0.204294042632925,0.0722245796884269,0.0509584595065701
"PM-ZI",0.0444911952314864,0.142215709841512,0.464547583489318,0.254573337869961,0.326212258241176,0.253554357836369,0.101138988003272,0.234644196367769,0.324383433417318,0.388029042204257,0.375650541875247,0.0322864797816927,0.200986756680591,0.0769902580365918,0.240937331784226,0.0385240052985443,0.290825526700784,0.0792143570586236,0.086082271079015,0.171736088763629,0.231296877694374,0.362443798439407,0.195713006435039,0.124286837507816,0.213882013663042,0.0455985306067647,0.279334533995642,0.137210940791371,0.277252829147005,0.141018575144468,0.238055825461099,0.0887802244010586,0.217962652457807,0.0823142808754984,0.0698447462609243
"PM-MT",0.065636236172182,0.139395490629688,0.464058276743497,0.205505599081521,0.253554357836369,0.265857532168822,0.0772527460722785,0.218872735025428,0.287932612624268,0.410735993495308,0.386469829785788,0.0757966688886751,0.190687184560155,0.0770447317809276,0.230573819681844,0.0387442579941624,0.241244684898935,0.0764572106540725,0.0661703464259586,0.165810329091917,0.266673684935176,0.369789515438765,0.176156555919496,0.10986033799443,0.199303959993502,0.0389193752718142,0.252040972532612,0.140512866524283,0.235070648258454,0.13783783493052,0.229211646598643,0.0809024218813028,0.215130031585566,0.07197291848656,0.0644389358121696
"NLE-NON",0.0324849560392783,0.0603279569808883,0.140343903921513,0.103121096632759,0.101138988003272,0.0772527460722785,0.24704385391512,0.121932435292258,0.135629978590301,0.046342082766345,0.091918204090339,0.101177801228895,0.11034480496829,0.00695151608316329,0.0278671199953332,-0.0411969746401018,0.0488860217813668,-0.0299570160271554,0.0225292630392529,0.0678422157553884,0.0633392944652029,0.0934587029015601,0.0548596908878354,0.015258559301659,0.0799103252411099,0.0227386164056314,0.0842421947883408,0.0267679754277013,0.0532680499998017,0.0289444510936475,-0.090191925121537,0.0400541353539484,0.0271344935978099,0.0726065168115104,0.0234740189544599
"NLE-ZS",0.0649962565781548,0.15065441038188,0.413671724768382,0.214186979073243,0.234644196367769,0.218872735025428,0.121932435292258,0.290326902182577,0.308244008147497,0.414483726511034,0.367372484464398,0.130506302344893,0.215135554521628,0.115216148720036,0.282410071256316,0.074023436301548,0.229793495054845,0.0947198568622096,0.013350515810119,0.167694118455768,0.24769474797192,0.312054930405466,0.159058241512797,0.104366762717207,0.217006165948844,0.0552355636661537,0.278794007385591,0.105172943250283,0.203006709832893,0.152116479116655,0.0996436818588616,0.114619442423023,0.251435928841626,0.0919613543562365,0.0512749202409345
"NLE-ZI",0.0868285540680612,0.18829617207515,0.545470315925406,0.271038220958768,0.324383433417318,0.287932612624268,0.135629978590301,0.308244008147497,0.39952780535593,0.473774525046204,0.465592834819691,0.098096961489765,0.249312326410287,0.11707444870047,0.312111138153057,0.0683379545174745,0.307099729665109,0.0955540687601983,0.0933728525827676,0.199486113719294,0.323634518051399,0.407327723127661,0.214559849444642,0.154673714882341,0.254726907002955,0.0597555573271297,0.324024244736363,0.140869540547069,0.266133678508268,0.180415735066182,0.211109429295425,0.120810000182645,0.281595693085634,0.0955173240007824,0.0794251335880883
"NON-BR",0.145730020499717,0.22936023042703,0.816875709715283,0.379232988915577,0.388029042204257,0.410735993495308,0.046342082766345,0.414483726511034,0.473774525046204,1.31273303374792,0.729785351064717,0.439424474365262,0.523019590682987,0.279022699401492,0.587979225558655,0.184797463671636,0.392384027774177,0.205630491495193,0.0683935649668712,0.269156088610089,0.519569955814878,0.627165583634442,0.330481297126629,0.165674657492775,0.439935282024009,0.109038709605584,0.50709284844548,0.220006774183851,0.34970923432625,0.318315395928613,-0.0327936095533197,0.276858840714382,0.458060021384091,0.11772021937695,0.0752603801457124
"NON-PNS",0.129457800208311,0.236130185914308,0.798578265298789,0.33493243663656,0.375650541875247,0.386469829785788,0.091918204090339,0.367372484464398,0.465592834819691,0.729785351064717,0.711783339036565,0.1623896740537,0.335552175866782,0.139860574261766,0.438788551820887,0.111150222915585,0.351459355327312,0.128705644270019,0.0977649441222553,0.249851176034569,0.451516629467852,0.568197272027432,0.3315144036368,0.112416907864195,0.378315940083207,0.0815403703668223,0.425852549424435,0.202815754221085,0.321585689907257,0.282154402300706,0.297842797799317,0.203400992879194,0.392022324050471,0.0743896577588718,0.0920863808774368
"BR-PT",0.0660439497023078,0.0581260661565288,0.173356303092393,0.0857659798239158,0.0322864797816927,0.0757966688886751,0.101177801228895,0.130506302344893,0.098096961489765,0.439424474365262,0.1623896740537,0.440429986368001,0.401795427638819,0.195984670286201,0.252781381670341,0.0879959830386529,0.0379162610590901,0.0669839953702435,-0.0167552611675203,0.0611175006783319,0.0956515052681037,0.0964875579496803,0.0696863371012156,0.000505707068459869,0.130291681655459,0.0809624892061829,0.181510251055617,0.0679432456040293,0.0460806275810112,0.182505969878506,-0.204235135512555,0.21355268557437,0.18435342084087,0.0826263064018273,0.0109247486146406
"BR-APET",0.0767514113185019,0.136071157549061,0.38499268206108,0.211100343026703,0.200986756680591,0.190687184560155,0.11034480496829,0.215135554521628,0.249312326410287,0.523019590682987,0.335552175866782,0.401795427638819,0.606632124688207,0.278780992919274,0.329936746567111,0.09534030305353,0.252666547760885,0.0977193158378219,0.0453817668986994,0.146153967108719,0.18942157307663,0.322903838589179,0.159734699550278,0.126916874296675,0.180946261875924,0.110762514038206,0.3098142543407,0.189396713350215,0.270741558931516,0.302418922043134,0.0770385220669748,0.300005693428267,0.243029778622838,0.129615707908371,0.0331473784124568
"PT-APET",0.0466162286731747,0.0638019994177753,0.159681547817592,0.0901851144523374,0.0769902580365918,0.0770447317809276,0.00695151608316329,0.115216148720036,0.11707444870047,0.279022699401492,0.139860574261766,0.195984670286201,0.278780992919274,0.232430225856137,0.260239487837641,0.133362138967844,0.138415641437988,0.102556639856785,0.005371237405085,0.0745808892325936,0.0916158583009068,0.124657519715809,0.0508330100583253,0.10119553482103,0.0873132830634781,0.0658200235748269,0.185725988312061,0.0933483697497259,0.125501171425202,0.159886805422376,0.0300205227521465,0.139616284404329,0.195174276011552,0.0885564155308194,0.0328098932783815
"PT-BA",0.0851173975707733,0.148574773839179,0.490611490424558,0.229817244268959,0.240937331784226,0.230573819681844,0.0278671199953332,0.282410071256316,0.312111138153057,0.587979225558655,0.438788551820887,0.252781381670341,0.329936746567111,0.260239487837641,0.567620163776642,0.22683326816933,0.231920643078612,0.183966390125582,0.0342023556759539,0.17204210684277,0.27333346447058,0.305346519321805,0.181647262355583,0.0960131118010801,0.356152453281183,0.123971373942781,0.438300243314132,0.137583530565273,0.198947126620019,0.26129430409961,0.205265197311402,0.182540314518122,0.466022269770302,0.117280802966703,0.0787050226624886
