"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.201878179074176,0.251359112407453,0.621361003762133,0.218388575312966,0.228499583501564,0.213625208676676,0.29436124830936,0.173548369892383,0.378338854065256,0.455654425071784,0.418992190776249,0.101452714596047,0.188473914823504,0.231755493749668,0.453492711029523,0.322621901639203,0.407681744119602,0.0670127473020706,0.239334629710081,0.14009564868994,0.430420060467948,0.404612284625381,0.283660829716566,0.351395252508382,0.191313841893774,0.0408766038197323,0.334053494780683,0.240337109113179,0.347382386426223,0.186472705873897,0.144729265729685,0.219554853947515,0.438328247896752,0.134153230337724,0.0752767177222654
"IS-NLE",0.251359112407453,1.17206858901405,1.09660119126634,0.637166516820693,0.680948471155623,0.528208689501784,0.684412704687664,0.35973092833618,0.796254221142769,0.903372912744359,0.699293786299588,0.12524134723326,0.0930398948326158,0.412326746603898,1.11726434888664,0.739888885322702,0.961116129055139,0.173621818121617,0.472721278783574,0.326072273702134,0.926164295160193,1.07678780853374,0.530358806485625,0.864789328921554,0.631733743052385,0.0511652989105766,0.824403742747193,0.50338185625222,0.789982062241653,0.285715949607412,0.609928973686139,0.314822085228888,1.16314739489804,0.281877518603516,0.222315602546183
"IS-PNS",0.621361003762133,1.09660119126634,2.7830116102995,0.914409883929802,1.45562048069502,1.12030328203076,1.29410195532101,0.759195077842066,1.89660984137408,1.91449490286539,1.94753878115337,0.447806156215025,0.775160525172734,0.898415504285826,1.81180693946086,1.07871023920689,1.5612893795966,0.192024341071484,1.18195316403078,0.711814239384468,1.50316017324314,1.73294166948888,1.31082837910587,1.22022157875343,0.896913971380305,0.211241140119722,1.37532540245335,1.04525214150284,1.37621213823598,0.716787747131355,1.20210928820102,0.816181540627128,1.68680360725012,0.512081899138101,0.42404726300171
"PM-ZS",0.218388575312966,0.637166516820693,0.914409883929802,0.566617783891219,0.572886869215769,0.503956664186273,0.427355456830772,0.430625791879315,0.687010445290031,0.98515923556365,0.634161295628884,0.139286918433165,0.156669604828028,0.279650171287602,0.702836399570569,0.508416722673007,0.767511309694384,0.138161762855841,0.295650219251752,0.301780241039973,0.695286536142837,0.820673723452226,0.3892156708189,0.649797692268892,0.388447895801128,0.0712496923857315,0.562377724202074,0.435868965706722,0.63319540330276,0.229557903767032,0.267244604675201,0.397812076228704,0.688444451959074,0.2437774680999,0.118606712259789
"PM-ZI",0.228499583501564,0.680948471155623,1.45562048069502,0.572886869215769,1.40165589626801,0.788234791904476,0.829236621906664,0.119004262650353,1.38313006548337,0.995773876318257,0.94662583926246,0.2677397186485,0.458389114456179,0.492612873450285,0.994324830267281,0.538208406069977,0.875297254766256,0.135767923336708,1.19684418884289,0.497863568712983,0.269757852932904,0.733229315956236,0.682511951886722,0.729599584117188,0.494889322225385,0.144443782803512,0.778552465516975,0.685443302315452,0.824127469964815,0.405723876790839,0.846546407355655,0.585180336405643,0.919979686317331,0.280004721768122,0.238482811312142
"PM-MT",0.213625208676676,0.528208689501784,1.12030328203076,0.503956664186273,0.788234791904476,0.78195423919169,0.557236966456376,0.468043413566732,0.887073606904161,0.927390062259169,0.766675143060847,0.253153253068261,0.272345210080907,0.35690482992778,0.783467742990658,0.466298193734077,0.676750046796532,0.0841070200261794,0.430349971501989,0.380968076569892,0.592288702694131,0.578045157590598,0.283902504576159,0.588669104169156,0.400709428579823,0.0488587144463757,0.573789565794569,0.426731223863926,0.567939898871552,0.345581284597697,0.343752489407099,0.486717214052617,0.701159757632952,0.105033358761795,0.153806462461127
"NLE-NON",0.29436124830936,0.684412704687664,1.29410195532101,0.427355456830772,0.829236621906664,0.557236966456376,1.25992409593194,0.161323521650977,0.959160098516925,0.506310958406707,0.607633599568566,0.264519486085622,0.211312825018749,0.345519922099933,1.00563128929716,0.525121718377782,0.744544358998296,0.0357438886648871,0.78109922675075,0.272435210716732,0.604337585978337,0.708445744241428,0.578273225562682,0.655028555094818,0.595475473296772,0.0884204362626153,0.792905421427299,0.430867745800292,0.65452845800196,0.392517832395438,0.410287025067845,0.458664818496701,1.02970622172245,0.323243471007277,0.211360557046018
"NLE-ZS",0.173548369892383,0.35973092833618,0.759195077842066,0.430625791879315,0.119004262650353,0.468043413566732,0.161323521650977,1.05492538158028,0.428783758103736,1.13153657726575,0.669175083386625,0.120135338206044,0.0107382641650543,0.194986248314735,0.461988365566099,0.339613320727866,0.460592394254712,0.0408339721088376,-0.536373399241393,0.205392375468629,0.961136656189526,0.7676468877074,0.180140204062357,0.436959193229792,0.288837535399623,0.0889499248284567,0.349942263484726,0.183759380879623,0.295584063993589,0.167455098256888,0.0113029377968595,0.321642731892135,0.346744341696759,0.0830323309258235,-0.0630547436451733
"NLE-ZI",0.378338854065256,0.796254221142769,1.89660984137408,0.687010445290031,1.38313006548337,0.887073606904161,0.959160098516925,0.428783758103736,1.6286318179335,1.37035697335476,1.32416155809618,0.276698695866365,0.558820491644253,0.661826146262186,1.30368859347002,0.760863216393175,1.15737729914508,0.157407558953747,1.18841478903482,0.583633176548634,0.785079327531926,1.09328665810041,0.877491849806926,0.937665811970343,0.625185738651385,0.17381100001715,1.01036807037362,0.752447725692592,1.02728044009092,0.526215891799255,0.982639409844729,0.687048330910423,1.1643100889415,0.390345373795727,0.245309564587948
"NON-BR",0.455654425071784,0.903372912744359,1.91449490286539,0.98515923556365,0.995773876318257,0.927390062259169,0.506310958406707,1.13153657726575,1.37035697335476,3.53139122384954,1.71135667522171,0.836215526375963,0.498838923229449,0.795739397863566,1.56771262186141,1.11940967832934,1.31515004721147,0.368204362116204,0.378865975315524,0.57081324798337,1.56968340309734,1.75005803696513,0.84390904918894,1.1636806049305,0.784500024765155,0.245286409601373,1.06919621612456,0.773242001868635,0.983442808215817,0.471807164671249,-0.00264212945021296,0.952691559598342,1.37278198181523,0.587099308703804,0.0873206510468867
"NON-PNS",0.418992190776249,0.699293786299588,1.94753878115337,0.634161295628884,0.94662583926246,0.766675143060847,0.607633599568566,0.669175083386625,1.32416155809618,1.71135667522171,1.63175245787841,0.394823800065885,0.6733325483403,0.723657163158177,1.25650623732055,0.827594904685741,1.06166681602897,0.190320426443228,0.69696880017084,0.589082343636796,1.10908821185612,1.28284444447041,0.930826417349134,0.801302544956479,0.549681788721361,0.184205122769058,0.893899676439894,0.798892711512965,0.932056805753607,0.502178815562566,0.81176391392191,0.604953094531955,1.10634345988961,0.374963723210262,0.257393154600057
"BR-PT",0.101452714596047,0.12524134723326,0.447806156215025,0.139286918433165,0.2677397186485,0.253153253068261,0.264519486085622,0.120135338206044,0.276698695866365,0.836215526375963,0.394823800065885,0.647735914818393,0.350927265597193,0.285985358062717,0.524263864851473,0.342273284049334,0.0624504100229435,0.084334851480426,0.194116488304055,0.123690181920006,0.220994742142802,0.0725637956220105,0.124021379088069,0.162080335152535,0.228159831241346,0.0294761168624236,0.227182223030256,0.179090465606317,0.029233351574639,0.262964272178931,-0.289229035295302,0.399342139898351,0.474913661523448,0.081328760109142,0.0304981905292996
"BR-APET",0.188473914823504,0.0930398948326158,0.775160525172734,0.156669604828028,0.458389114456179,0.272345210080907,0.211312825018749,0.0107382641650543,0.558820491644253,0.498838923229449,0.6733325483403,0.350927265597193,0.728543044016236,0.491596174358431,0.562030043409352,0.456177539356669,0.314592861917785,0.152559397023523,0.546992800712095,0.241443212008831,0.105994945186954,0.240453618373354,0.387465353842152,0.240422729633125,0.0934864824867224,0.0601433852131693,0.268492594410582,0.480126204394716,0.338301061365659,0.414943049754944,0.340165162500915,0.543476538267819,0.432737805408696,0.160901011391662,0.10975001116487
"PT-APET",0.231755493749668,0.412326746603898,0.898415504285826,0.279650171287602,0.492612873450285,0.35690482992778,0.345519922099933,0.194986248314735,0.661826146262186,0.795739397863566,0.723657163158177,0.285985358062717,0.491596174358431,0.666634838228659,0.968003506506091,0.736243889379387,0.55398807371162,0.244463981619798,0.480760127311861,0.316438777681769,0.451069471124493,0.452891271231261,0.388492763826353,0.463109252861012,0.292338312367592,0.0567796146143887,0.45898942345865,0.449809812269214,0.451417847109457,0.402565842915123,0.371646488674641,0.474429244101634,0.850196886066737,0.120555428065485,0.136704744167589
"PT-BA",0.453492711029523,1.11726434888664,1.81180693946086,0.702836399570569,0.994324830267281,0.783467742990658,1.00563128929716,0.461988365566099,1.30368859347002,1.56771262186141,1.25650623732055,0.524263864851473,0.562030043409352,0.968003506506091,2.0329681802647,1.27121747683489,1.11124991575641,0.288026333764887,0.882968271288488,0.491663232067608,1.15038734141949,1.06087484805921,0.748287366854948,1.04543023334774,0.967518273703434,0.0563187159781509,1.2249822434575,0.677620253316522,0.892303704496783,0.675489882774473,0.931071450162111,0.682945566496693,1.91140574424743,0.28343939879185,0.278370748958391
"PT-EAM",0.322621901639203,0.739888885322702,1.07871023920689,0.508416722673007,0.538208406069977,0.466298193734077,0.525121718377782,0.339613320727866,0.760863216393175,1.11940967832934,0.827594904685741,0.342273284049334,0.456177539356669,0.736243889379387,1.27121747683489,1.12160947105734,0.868654490486991,0.32708420670017,0.473246943457724,0.370563179808646,0.81371129850254,0.71315428472373,0.4206539989749,0.780326186186015,0.443767324899517,0.0201723460456851,0.597432682058124,0.586689042749078,0.678384579412779,0.468594701834523,0.369919350119275,0.638538142165473,1.29184873028599,0.232552433211702,0.128806029882872
"PT-ZYGI",0.407681744119602,0.961116129055139,1.5612893795966,0.767511309694384,0.875297254766256,0.676750046796532,0.744544358998296,0.460592394254712,1.15737729914508,1.31515004721147,1.06166681602897,0.0624504100229435,0.314592861917785,0.55398807371162,1.11124991575641,0.868654490486991,1.47731963579428,0.256882456159877,0.739893926408277,0.49852577199931,1.10023353407667,1.32254242849458,0.773383862068406,1.03414969695326,0.519119031477423,0.160126065512692,0.917256970562424,0.780878699403523,1.23596756203236,0.398193929506405,0.441670308050209,0.513581633228342,1.04579875857404,0.418521442582917,0.226353200427699
"PT-TSP",0.0670127473020706,0.173621818121617,0.192024341071484,0.138161762855841,0.135767923336708,0.0841070200261794,0.0357438886648871,0.0408339721088376,0.157407558953747,0.368204362116204,0.190320426443228,0.084334851480426,0.152559397023523,0.244463981619798,0.288026333764887,0.32708420670017,0.256882456159877,0.222779614703419,0.122882003802452,0.133868305058231,0.179765814802512,0.249811676339167,0.101336418157181,0.187415838473858,0.0596796213279804,0.0452241743648552,0.108192473028066,0.186588115438982,0.179437378121008,0.107401344566706,-0.0745185749291989,0.230538406199358,0.227689335514447,0.0689306110446263,-0.00213451664219371
"ZS-ZI",0.239334629710081,0.472721278783574,1.18195316403078,0.295650219251752,1.19684418884289,0.430349971501989,0.78109922675075,-0.536373399241393,1.18841478903482,0.378865975315524,0.69696880017084,0.194116488304055,0.546992800712095,0.480760127311861,0.882968271288488,0.473246943457724,0.739893926408277,0.122882003802452,1.66870778036282,0.355502206610204,-0.0198515250403621,0.400894783718916,0.705087887021629,0.554979117040358,0.356150568967755,0.0691508895009418,0.676764498679618,0.56862860017277,0.754807214599321,0.366673275972755,0.878817495758938,0.405199353490882,0.85432559819576,0.332533432414249,0.306612649991598
