"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.173504707085344,0.251559941108165,0.617971272436508,0.189302134407363,0.210264522974827,0.265855239396177,0.227965155425297,0.17856301419513,0.351427271318439,0.474854015272872,0.429373867185157,0.15667392127303,0.257878846414128,0.159301968602428,0.404360673887359,0.164196592840786,0.336490374925173,0.0651170297640808,0.205506850403394,0.128144516071007,0.393830305628411,0.44293757647975,0.225071311376898,0.244729836217948,0.248519174035399,0.0677927634934734,0.329309313064659,0.222060778302621,0.32450939966118,0.258847137732051,0.135059929346952,0.274827844016482,0.315577654043283,0.0589229764722517,0.0774746629854148
"IS-NLE",0.251559941108165,0.602194867874759,0.999628131734963,0.414633434820158,0.440065598940696,0.51808902376871,0.40065277557885,0.330792875036307,0.619129417420301,0.735606637830613,0.758316053063641,0.155619125573906,0.356848103311718,0.266930155628032,0.67700045632773,0.226080880582752,0.630028726035561,0.143637848783285,0.33740676833582,0.298783972042407,0.707763806352428,0.816095450070887,0.352685471345686,0.477122796615389,0.409201493932231,0.145961136153694,0.623974893931606,0.316683048934673,0.590414249483901,0.358259972961154,0.306310198777268,0.404573456098169,0.475912453481885,0.0599689287029854,0.105142547482245
"IS-PNS",0.617971272436508,0.999628131734963,2.78133458987788,0.941730602502705,1.12930621198569,1.34322395306836,0.835080222021659,0.801648874402972,1.58276389670782,2.27135942130361,2.01491374691729,0.51617734654586,0.970888481810132,0.619845650474303,1.70981585423758,0.625278478316579,1.40796781576442,0.328849743974924,0.881539032295843,0.680354513434465,1.4960301203537,2.02746763747223,1.02628612515674,0.954717103322259,1.13107299218198,0.232172179121407,1.45344094574533,1.08936102960142,1.40463080537773,0.950245265088366,0.785913650669429,0.934291680591181,1.26318104182467,0.224820685526805,0.329005159005665
"PM-ZS",0.189302134407363,0.414633434820158,0.941730602502705,0.501774055949875,0.507959917944874,0.55193070325137,0.273890037684441,0.515465000458339,0.600108154467255,0.938655688234099,0.695692777702178,0.1592863683636,0.330638784313458,0.283454901934369,0.573263163909934,0.203755580943192,0.5395361702474,0.131948758940489,0.116579100954402,0.316914926255535,0.522684069667597,0.711940185726526,0.30253766605478,0.421762997444348,0.334794892644466,0.0963064409455145,0.514152743369314,0.358462076295036,0.504994830337241,0.304570574853965,0.192599056000142,0.241735613586652,0.363892176076267,0.0444685047376583,0.156062421413842
"PM-ZI",0.210264522974827,0.440065598940696,1.12930621198569,0.507959917944874,0.702596487058002,0.671600747620976,0.376219909808641,0.358800001333062,0.794133025445044,1.01328854443297,0.856857341869604,0.249431615315159,0.463952573733337,0.219885757335816,0.692602073273289,0.2181951644943,0.578025088612132,0.0904001970312386,0.454939490965658,0.422726142484932,0.57116810165538,0.808386934253869,0.363420124272082,0.491678279006648,0.470769473084416,0.0944562577800874,0.618472664685326,0.426692146470114,0.582746156874604,0.428495641305521,0.459462209025853,0.300100249958682,0.45988989323297,0.0357651899763404,0.178441076444138
"PM-MT",0.265855239396177,0.51808902376871,1.34322395306836,0.55193070325137,0.671600747620976,0.863433545899668,0.475070535957078,0.425438161385276,0.82865146850331,1.20071897548061,0.953675973389351,0.233814073517445,0.421677044499912,0.290156669151093,0.910466790628531,0.338400508339129,0.710527559116748,0.195083233550429,0.449780492660433,0.464321738207956,0.793239678295972,1.00371611723899,0.343005013221345,0.550267934386552,0.605023567332033,0.123670719396868,0.761089028392275,0.469939355411568,0.647951248072519,0.408929303224983,0.461099097839516,0.39939815805451,0.64770119570537,0.0646933298927242,0.143123544558932
"NLE-NON",0.227965155425297,0.40065277557885,0.835080222021659,0.273890037684441,0.376219909808641,0.475070535957078,1.06838799466601,0.046024124833656,0.604370666189872,-0.168248972031492,0.324188235674853,0.131229964869656,0.49044508366654,0.190708583496575,0.550574465918864,0.0620133054128395,0.535692585945391,-0.00427569695456534,0.61848207093756,0.204469369444423,0.833072343647428,0.947053718192063,0.312019824057776,0.53202813302003,0.462794388530227,0.177455512000664,0.57845236773567,0.239635569854796,0.519332991464958,0.408090816996466,0.593875117885668,0.563928802971403,0.326724861053868,0.0498142782552485,0.0373309444228481
"NLE-ZS",0.17856301419513,0.330792875036307,0.801648874402972,0.515465000458339,0.358800001333062,0.425438161385276,0.046024124833656,1.13778935745788,0.538753577152461,1.16926983075049,0.629104259080604,0.214558977548335,0.279689020392394,0.334484956576078,0.432702699965145,0.16742420504041,0.435332689997828,0.154331614487439,-0.587518815796043,0.20894133621384,0.264460197617711,0.431118427991434,0.274381264958838,0.218241285907138,0.218166805746302,0.0156023127983493,0.412527519166631,0.329380878362336,0.400891261557938,0.214125896161123,-0.392187034001441,0.244475858394331,0.215420157309555,0.069894023591985,0.171032128257889
"NLE-ZI",0.351427271318439,0.619129417420301,1.58276389670782,0.600108154467255,0.794133025445044,0.82865146850331,0.604370666189872,0.538753577152461,1.12454076532574,1.32200451391684,1.21245475348109,0.350030736438657,0.699147437807953,0.414303455178115,1.03657703542399,0.371571680006256,0.89360039258941,0.178640043883596,0.627811530867185,0.495527340539005,0.967530131566904,1.20977793659175,0.585178738009351,0.713561925855488,0.638039877656005,0.147768683831089,0.873811386671434,0.566911591683152,0.843646484711534,0.608858168762703,0.561241768175789,0.584619788280643,0.69271858350377,0.0718866251966191,0.187763419257933
"NON-BR",0.474854015272872,0.735606637830613,2.27135942130361,0.938655688234099,1.01328854443297,1.20071897548061,-0.168248972031492,1.16926983075049,1.32200451391684,3.85907594781341,2.00230435911087,0.894436349454037,0.832094833103511,0.692876485659321,1.803138858036,0.889485635332928,1.29799388075764,0.4384253392498,0.211397314410432,0.724846396854331,0.914367923859484,1.24358714557018,0.667123346686862,0.758646127990466,0.95435926836924,0.177946330507924,1.34863322426312,1.04954831477597,1.25946351744859,0.842164537987943,-0.258300527677855,0.537492679214021,1.38415828466556,0.167207807646327,0.548328201193779
"NON-PNS",0.429373867185157,0.758316053063641,2.01491374691729,0.695692777702178,0.856857341869604,0.953675973389351,0.324188235674853,0.629104259080604,1.21245475348109,2.00230435911087,1.70727413421812,0.36825556674637,0.702292298557202,0.512811833152511,1.32258437254326,0.540540553432744,1.08713372040914,0.29358916307814,0.634257643430946,0.563188450166753,1.09213471870905,1.40025624075106,0.780176535195314,0.717700280682898,0.774722744456208,0.17271344549738,1.0607319038985,0.759763381025449,1.02847236627212,0.653642397239135,0.563804835787746,0.577432833290892,0.982523016186917,0.132697817901834,0.284525624925918
"BR-PT",0.15667392127303,0.155619125573906,0.51617734654586,0.1592863683636,0.249431615315159,0.233814073517445,0.131229964869656,0.214558977548335,0.350030736438657,0.894436349454037,0.36825556674637,0.730274223923372,0.727296329994537,0.216300887679734,0.589848718410227,0.241190052515705,0.22884028310569,0.02660533545334,0.154107532032383,0.185357569069538,0.274690225835902,0.275169716602808,0.171294909141854,0.224721715165731,0.327466549455058,0.0496059386367429,0.418032918727306,0.264475829857411,0.316814311166779,0.540975514801838,-0.0948347996478407,0.477676680183013,0.518962937658374,0.091036094310994,0.203895239326199
