"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.173277290166424,0.300516719668341,0.684798823106197,0.333772611758496,0.359313960046639,0.317483427560933,0.287420183210893,0.326126515584216,0.432037283018269,0.783116394359356,0.415852906025551,0.262475878511613,0.269580200781695,0.172920499973371,0.440306521766459,0.162907600623796,0.288087102756316,0.140435410155805,0.107336430920199,0.254643776043284,0.459529563854332,0.6572043940779,0.255487058055404,0.335398070620743,0.330947342507468,0.114144118850547,0.360444139764211,0.349746338944372,0.361248344288752,0.179690644688409,0.0947002619134983,0.0588607305420004,0.295585883572558,0.144326134189365,0.132030753977031
"IS-NLE",0.300516719668341,0.859114766772632,1.63175401104073,0.81922050947536,0.974023226290467,0.835325376960837,0.628413848345582,0.696698138152786,1.08821040014404,2.03413698265696,1.14046414466977,0.816398271372237,0.787133633584874,0.344658492687513,1.14903032354969,0.344670282862936,0.688257311589634,0.29089707648486,0.397710679818779,0.574028605671289,1.0910899697802,1.61078127166704,0.610297214952784,0.858114523115261,0.902944466181695,0.233910390975979,0.961252304722874,0.93674634259554,0.985492838650642,0.485650875505629,0.285712121341169,0.308275824555671,0.827268240773147,0.459619658285535,0.358228019954598
"IS-PNS",0.684798823106197,1.63175401104073,4.03779890824973,1.83397118863633,2.34812163954401,2.0326414707606,1.35008108621288,1.64250206218277,2.5759860910979,4.62070523209457,2.85102285642753,1.82824168927947,1.79143551679538,0.725570510575711,2.44923894455083,0.692850949417318,1.63824044439269,0.491048593212964,0.935588794074215,1.40383536460264,2.46813694614706,3.64261643360799,1.55185200215743,1.74565165865907,1.99634726914855,0.582199451554107,2.16086073054498,2.14939405384087,2.26499596866398,1.22752355600312,0.763100148699167,0.808449807372746,1.62804418367307,0.843576784389557,0.760892318527165
"PM-ZS",0.333772611758496,0.81922050947536,1.83397118863633,1.02448551340638,1.12780394354697,0.965713896235872,0.662435515936157,0.899073333805982,1.22334784972205,2.40916324524521,1.24782193955526,0.871648836201967,0.801252097904531,0.322234190091158,1.16080656513625,0.35151916136284,0.827493124853413,0.314022061181411,0.335123847481017,0.647364061766781,1.17353957593204,1.74479297762001,0.679564073477079,0.871493218965922,0.978442063496434,0.237002531996337,1.01685831759315,1.04464354284287,1.12255895599193,0.532209037095765,0.183803975298215,0.268165305181235,0.853250319170664,0.446626828516518,0.366978368045183
"PM-ZI",0.359313960046639,0.974023226290467,2.34812163954401,1.12780394354697,1.61593845918687,1.28547171918886,0.798122568923186,0.963609990517697,1.66714575862128,2.6686677274895,1.68771971813319,1.04685021938453,1.08479511248219,0.425215505970046,1.45576837178623,0.427981821062399,1.00665375190932,0.291685891804676,0.697730703321962,0.826611447742045,1.27457630549698,2.02353647475616,0.863793783290226,1.12475505706474,1.19695855705326,0.302902129169907,1.29825704152426,1.31156757477257,1.37277013032466,0.761386499013242,0.66076223038808,0.574957934534026,0.991832833151895,0.50171294376512,0.443611000158958
"PM-MT",0.317483427560933,0.835325376960837,2.0326414707606,0.965713896235872,1.28547171918886,1.17589137719851,0.695049455316818,0.794868402011276,1.34970612935257,2.35762490251091,1.39849013056637,0.906401631905677,0.865755575602839,0.36089938351956,1.22000093471279,0.363763861864558,0.798564857278594,0.244110508892919,0.564165741169333,0.700928788776076,1.23954743322524,1.76996558553826,0.684013471691774,0.936936600394682,0.978962968253951,0.252934838405861,1.06614138175777,1.05948976056103,1.09643188693376,0.658207764819284,0.475002692521046,0.403718499729222,0.848869286792859,0.440926858723944,0.407510217063118
"NLE-NON",0.287420183210893,0.628413848345582,1.35008108621288,0.662435515936157,0.798122568923186,0.695049455316818,1.11151893964371,0.628345979459244,0.936898491367493,1.10786472434494,0.669387334489262,0.598197913916047,0.55762163598824,0.115756327497105,0.797085959278158,0.169804833923932,0.644008638304434,0.128523071585859,0.289570091636812,0.486216744811481,0.968165630020277,1.39427619967401,0.474814694177706,0.753386086092617,0.777392848556113,0.168707824751937,0.742403479382661,0.621586061061196,0.727712979846153,0.342080977286628,0.36835183068232,0.153910504081516,0.538206115882278,0.312564617438135,0.212442883419414
"NLE-ZS",0.326126515584216,0.696698138152786,1.64250206218277,0.899073333805982,0.963609990517697,0.794868402011276,0.628345979459244,1.02863242340971,1.13318846004732,2.16538265514594,1.13231554941183,0.807539167211944,0.728059289190238,0.31823744275919,1.14830617105909,0.322070442755166,0.712548420361093,0.278961005801404,0.0911767774251684,0.579348977513801,0.976366308662022,1.54243147690894,0.653068523154885,0.748573256026853,0.959326301589934,0.275135095793839,0.95318978389295,0.992928745714598,1.00340359375561,0.437758620999051,0.25060073849429,0.255168329017073,0.838424924973132,0.381780679731467,0.264436778489788
"NLE-ZI",0.432037283018269,1.08821040014404,2.5759860910979,1.22334784972205,1.66714575862128,1.34970612935257,0.936898491367493,1.13318846004732,1.82502089501682,2.92472247392062,1.84512623492121,1.12163716896799,1.15108181590045,0.486132380385726,1.66168908720142,0.472028651045221,1.10899456377128,0.310479943087691,0.688819055494733,0.907453657865505,1.5458580067977,2.31344360641576,0.983218035850027,1.24303296312569,1.37114524676342,0.346312536580717,1.45971447661321,1.41518704001777,1.47351653124423,0.798395138125598,0.723415586541138,0.590620883636599,1.09927814566422,0.559429373261184,0.484424631434803
"NON-BR",0.783116394359356,2.03413698265696,4.62070523209457,2.40916324524521,2.6686677274895,2.35762490251091,1.10786472434494,2.16538265514594,2.92472247392062,7.42180020838164,3.39631669971958,2.97071982114131,2.28144683241531,0.953704168545125,3.2540633595123,1.13431707263699,1.57868125288607,0.848719233577824,0.837752962516555,1.5126926711459,3.07295121799378,4.31358555681404,1.71959722895297,2.28483838085951,2.29239396522744,0.686892831259684,2.56366722280006,2.68243672327346,2.59409483029885,1.3520567910242,-0.207123727565348,1.03204343977074,2.59771118453396,1.20938832050177,0.980814877934271
"NON-PNS",0.415852906025551,1.14046414466977,2.85102285642753,1.24782193955526,1.68771971813319,1.39849013056637,0.669387334489262,1.13231554941183,1.84512623492121,3.39631669971958,2.31090021171339,1.30976734473591,1.39560224394868,0.546482545921521,1.7932453783149,0.430424566790578,1.20232572490354,0.277168247266065,0.714559638853099,1.00055446442621,1.64472108623825,2.54557657855581,1.18003822285366,1.16661269710933,1.49436361312348,0.432423226719685,1.64855867608092,1.64376982880412,1.72293289188138,0.922881533818547,0.631650455571701,0.793288937954726,1.1115652054027,0.578777765239534,0.51636116713728
"BR-PT",0.262475878511613,0.816398271372237,1.82824168927947,0.871648836201967,1.04685021938453,0.906401631905677,0.598197913916047,0.807539167211944,1.12163716896799,2.97071982114131,1.30976734473591,1.8599362102913,1.30040156642629,0.323464038263983,1.51176113674021,0.528375334700224,0.269896041335083,0.289108286531058,0.34806594914577,0.494285927980682,1.06655452120683,1.53177588399463,0.674493201840514,0.982253328118641,0.885569928490012,0.27032864812985,0.970829790914656,1.13598853538059,0.921728121743864,0.627430072659835,-0.230679157814449,0.656934709459968,1.42294419949378,0.589672829660711,0.421141982690531
"BR-APET",0.269580200781695,0.787133633584874,1.79143551679538,0.801252097904531,1.08479511248219,0.865755575602839,0.55762163598824,0.728059289190238,1.15108181590045,2.28144683241531,1.39560224394868,1.30040156642629,1.35227627146992,0.429108761399572,1.27750629762707,0.314207252747842,0.57492857268593,0.269394550607389,0.445961056401322,0.558540513021901,0.959527151677423,1.53498358742552,0.711860699738483,0.869750055257267,0.905754628967123,0.273466707625052,1.04532759682615,1.01811902923615,1.01933206715345,0.646044753634153,0.318142856949823,0.748814699547887,0.92707020009246,0.476637424997219,0.305846602295216
