"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.420396908358975,0.456460803556464,1.26829527425532,0.528392563883909,0.695491764205246,0.740070602352673,0.431126557586367,0.603777231934878,0.930824639455608,1.02138303273805,0.711197616920761,0.163463617961057,0.446867048126388,0.357119166638465,0.786444399419189,0.426652704381144,0.636924577485171,0.0278146329310888,0.377005062359651,0.0965678112591599,0.854669333066789,0.776024612174533,0.310737227130822,0.753284643924434,0.513877855869871,0.161519484025499,0.5013021476105,0.504072479220265,0.592991154170059,0.369469155137484,0.42519588194855,0.350700959006843,0.489907688831772,0.115808575068992,0.139199612041057
"IS-NLE",0.456460803556464,1.30195257741717,2.11599650976075,1.15943466204523,1.54456492605278,1.43236478830323,0.434648860562951,0.652548990159237,1.45571682804426,1.95532977056028,1.31047256791157,0.132855410913402,0.785103446112262,0.644716932584599,1.51256116138026,0.757950550465357,1.1755329181081,0.0553420668610815,0.83602037532001,0.385844362772573,1.28708541956267,1.68496273939673,0.544722601552007,1.5767527896583,1.10917332755443,0.427865584345795,1.00128225679488,1.2348615483957,1.26858850507631,0.934989945849415,1.278174667602,0.592131560158981,0.981058976600338,0.438480711395948,0.087675362639108
"IS-PNS",1.26829527425532,2.11599650976075,6.18291735079252,2.95812195702556,3.60902240430886,3.90811256319994,2.49920501486822,2.59828382169965,4.06258407312872,4.8773225671801,3.23933843103462,0.403639541923141,1.62312314232445,1.56577820153245,3.54280225184466,1.90916992643577,2.65966479263459,0.197120569078888,1.66311303778615,0.469238042501108,3.14596051009436,3.71518871034649,1.42260969813362,2.58946121649327,2.44178862185235,0.710465260532087,2.33427485850599,2.34118589831137,2.69784078866469,1.80734361610014,2.12508904482064,1.33565061424403,2.45068647751445,1.0172323663673,0.35364261030182
"PM-ZS",0.528392563883909,1.15943466204523,2.95812195702556,2.05850539625088,2.22686805011616,2.29183902562933,1.43332703104708,1.67788288634184,2.25139289941671,2.80829382313696,1.41533278727263,0.250215277562521,0.831953535437951,0.799259455302124,1.93609980132883,1.00801116518223,1.46469315389929,0.129338808765403,0.697495723851149,0.272640947086518,1.61891822462086,2.14753899200677,0.784135324813653,1.812981452296,1.38478818997118,0.351479289825947,1.27812405631601,1.28961316158994,1.49612774627713,1.0629108664507,1.61361514690593,0.672896007566859,1.62301216424769,0.686715788492422,0.172560869807251
"PM-ZI",0.695491764205246,1.54456492605278,3.60902240430886,2.22686805011616,3.65157278278476,2.88148575771282,1.67462108792019,1.77220912205594,3.56752304351459,3.65873620462642,1.83272771272368,0.160119397359666,1.0780368981851,0.953118951594196,2.72804284055632,1.24998456174602,1.73612857224542,0.277115578659709,1.72191388782408,0.818913810737843,1.10996736732069,2.21249386634618,0.978835407423829,2.3791595660523,2.36481404268897,0.397709699082585,1.87045409048337,1.88872453422306,1.77936970690741,1.53911618497506,2.09023698741716,0.780734068336154,1.79161291616846,0.76885639031636,0.24720992122185
"PM-MT",0.740070602352673,1.43236478830323,3.90811256319994,2.29183902562933,2.88148575771282,3.11812484570454,1.80321320342046,1.84535524880342,2.95417920329826,3.52611723426056,1.92088263791031,0.210974428403073,1.08982686163074,1.10566470448739,2.5790209237888,1.34273132919289,1.86212332421003,0.32339164952662,1.20752181353056,0.400437844200761,2.22591627950419,2.77739497371461,1.02053854610542,2.32310990413838,1.88050703988075,0.451274220858683,1.7198573207531,1.46302938716624,1.77913726686026,1.29393808334667,1.83237381786744,0.809125879009915,1.99794142091134,0.700688187235044,0.330393189891948
"NLE-NON",0.431126557586367,0.434648860562951,2.49920501486822,1.43332703104708,1.67462108792019,1.80321320342046,4.00236922991681,1.56235724345688,2.0533291178557,0.07558401329994,0.340200959907358,-0.0506761688878409,0.863729361246682,1.12204005757873,1.48947187440579,1.02997970990629,1.03651299934604,0.386749500285652,0.609276482192249,0.157850223751005,0.996708621029443,1.83763127186257,0.335560819272188,1.42505809582927,0.708758221885321,0.168965765533274,0.879933924006018,1.02243168430103,1.01853998760913,0.735051347447559,1.0784102645805,0.138775960918946,0.981181863694025,0.627455335553904,0.202536202285121
"NLE-ZS",0.603777231934878,0.652548990159237,2.59828382169965,1.67788288634184,1.77220912205594,1.84535524880342,1.56235724345688,2.15294340317327,2.29972663274467,2.24966748917626,1.2292982304359,0.213300945131118,0.569802718101151,0.656957658209729,1.6110817553083,1.00744141213833,1.3050029136646,0.0809602165421839,0.226162510424003,0.13484655616824,1.23593406904446,1.31557147287522,0.596175189074248,1.13802626534338,1.05726194900147,0.112634898722968,0.950468923397991,0.881072127300454,1.18452943254794,0.570481353068745,1.31413580418176,0.385144558021219,1.48544926183358,0.565008068904803,0.189460696912371
"NLE-ZI",0.930824639455608,1.45571682804426,4.06258407312872,2.25139289941671,3.56752304351459,2.95417920329826,2.0533291178557,2.29972663274467,4.04677859083644,4.0060295688836,2.18403713116406,0.223353260406223,1.19878979553732,1.0927763056673,2.80959055026685,1.45352883042533,2.1012130950759,0.314491454828636,1.73913395559998,0.846489322134244,1.43707840629525,2.37982163687809,0.98931697201212,2.31908254732677,2.31652379579565,0.350053807178861,1.82753994780336,2.06287184860546,2.07297675586282,1.44398065313802,2.10416839376031,0.703264659547773,1.87247286361492,0.736912697151745,0.346259706063584
"NON-BR",1.02138303273805,1.95532977056028,4.8773225671801,2.80829382313696,3.65873620462642,3.52611723426056,0.07558401329994,2.24966748917626,4.0060295688836,8.23914343826799,3.38989007923497,0.477189360332502,0.784546643607127,0.644055366484278,3.31812862159105,1.18303698371971,2.54435302512801,-0.0906797661984861,1.88273654079811,1.01486423211618,3.03803773906919,3.75665932561174,1.44608429630764,2.93388611967169,3.15348852565868,0.6256678457102,2.56239699747527,2.48273476867491,2.74797845652638,1.66009086936733,2.12387915440319,1.10634617205628,2.41239926903163,0.67083675326335,0.185154474098393
