"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.685752319418808,0.236421535603465,1.47664841696225,0.7004211285219,0.50475932932661,0.445219640076205,0.369080109010618,0.932678872681394,0.894425562273671,1.42150590790388,0.917533751167805,-0.0892415455734971,0.101233867332543,0.219011770230511,0.0606452432153404,0.00211517177228961,0.457518928435303,0.105204775443508,0.255874909739748,0.164507115554561,0.401243723380545,0.78402277733044,0.310527139162271,0.401048625816254,-0.0311863095493746,-0.0003331853696261,0.22622998752565,0.420489391769147,0.490098087913627,0.544299428596904,-0.867641293498519,0.649333454750508,-0.117696986363454,-0.104683263553803,-0.0721817981051632
"IS-NLE",0.236421535603465,1.90175852322494,2.77224982314154,2.0677758126008,1.83610759263824,1.79233973306196,1.30338165659717,0.642538592252498,1.1611577333123,2.60205645088691,1.70913431912543,1.13252793029931,0.862190675415738,0.496359969475036,1.5236341596903,0.933948276794896,2.73063219036227,0.0807658031631106,0.777596566808025,0.622998519913836,2.16402669781361,1.57682768965152,1.00361056209022,0.911410286280429,1.1353600924172,0.270232967826145,1.33800854145076,2.14341285808621,3.02496142981432,1.39842327856486,-0.652630896410057,1.07072485447121,0.910961843977037,-0.353672124959581,-0.00183346105137333
"IS-PNS",1.47664841696225,2.77224982314154,10.4966948030435,6.41690001325219,6.11718994684452,5.92828061851682,5.75509924849968,5.54343331128188,6.32608166524321,6.99089401731484,5.92163897741017,0.834084944661994,1.65466171483344,2.00874860648763,3.91592022829531,2.96464718839679,6.25435532614365,1.14075111191277,2.24347921422465,1.26761407820061,5.64315204190841,5.18762806626683,3.55570011855453,2.57195416141571,2.11581665939421,0.563786734552994,2.97968916723538,4.67343113026979,6.31537371981291,3.32363712452553,-0.245781958548254,3.11302030217609,2.63764308808578,-0.267128245937118,-0.130495060564879
"PM-ZS",0.7004211285219,2.0677758126008,6.41690001325219,6.57989137087439,4.24574677878052,3.86264236511705,4.3700764777244,5.2540348103838,4.37975579139084,5.68521799703829,4.49511174129932,1.39654527342629,1.49699727416602,1.32122958352762,2.93896933696988,1.91048598616178,5.21820168449472,0.4110549271607,2.17701357932641,0.671524594755073,4.46578750993091,3.11747527016196,2.22898552161001,1.94989781650218,1.79863985323717,0.404908100621639,2.22590263081467,3.80136993872652,5.34830572841072,2.71806414698842,-0.936857045247279,2.37445359986552,1.50848664729881,-0.546096729771461,-0.240998293233152
"PM-ZI",0.50475932932661,1.83610759263824,6.11718994684452,4.24574677878052,5.55358988279091,5.08662995440878,4.40165527642653,3.8808743237369,5.33280518953037,3.03353357855864,3.1664624442478,0.446123172249794,0.978079165554621,1.29370932447833,2.80638733202185,2.35242444727771,3.42171114996027,0.476456412251708,1.09878830786762,0.931535583842458,2.64406580871675,1.62927789090852,1.03482725283003,2.01300107298369,1.50630291203367,0.444146053909387,1.85610895797365,2.33160089275056,3.23043327550863,2.09049365050004,0.975070481697767,1.53069525074316,1.98541044315269,-0.253564958698419,-0.0615545186220042
"PM-MT",0.445219640076205,1.79233973306196,5.92828061851682,3.86264236511705,5.08662995440878,5.40909372253654,4.54187393768342,3.35052907984241,4.87281460989589,2.44449444945276,3.01472634428989,0.542847600030609,0.882379224172054,1.1581402404492,2.80858371391079,2.45862029092978,3.44304693167332,0.648981554337936,1.27509427307376,0.934823296700273,2.79477366948333,1.85696651149529,0.697060747567206,1.87688260837531,1.52214968641044,0.352189710354132,1.68482709932159,2.54491303026199,3.29287485796982,1.86761145271059,1.53470102059419,1.46780464140143,2.20748227308279,-0.051334119686437,0.0140840517570287
"NLE-NON",0.369080109010618,1.30338165659717,5.75509924849968,4.3700764777244,4.40165527642653,4.54187393768342,9.66756179554991,4.08579044058461,5.13748244557164,-0.0262726962992812,1.87179196520143,0.967601565006475,1.20311438861972,1.79490890341477,3.39007054896615,3.24520736831095,4.81482025753288,1.84550980814812,2.17906244690608,0.156530584705181,3.64972494143374,2.63583021183872,1.47232377979845,2.55862393867053,0.991188756681794,0.61495761945464,2.02487134322328,2.96281620238758,4.36388422128812,1.89771554352955,1.63219931257843,1.33083443322856,3.14226106974025,-0.353369941831367,0.230969303026692
"NLE-ZS",0.932678872681394,0.642538592252498,5.54343331128188,5.2540348103838,3.8808743237369,3.35052907984241,4.08579044058461,6.12523622733168,5.17604490538389,4.28973381096886,3.75713947180417,-0.0463510646517607,0.631944931511555,1.2668756738269,2.13457650744448,1.5881527358383,2.88468496774941,0.443102870580887,1.20398090209894,0.353611797053674,2.67488664625244,1.95595521313353,1.37661831405185,1.54036431430777,1.011113502161,0.252242597480735,1.34351278462634,1.87420511117325,2.65061822623246,1.69380503344297,-0.0911338681250483,1.80118597255237,1.23678154492328,-0.264851025835072,-0.411141083668167
"NLE-ZI",0.894425562273671,1.1611577333123,6.32608166524321,4.37975579139084,5.33280518953037,4.87281460989589,5.13748244557164,5.17604490538389,6.30478946426044,3.09665189950585,3.6099216025037,-0.134645858631285,0.737441076069625,1.46250104378683,2.62157950947222,2.34499241150726,3.24691979050843,0.77247419111202,1.29155709077778,0.738868724815112,2.41238275654513,1.86941867012493,0.954494105055733,2.04636967311716,1.17122578474247,0.479333613093696,1.64837948064748,2.16906776659266,2.92116672817349,1.98329811179402,1.04929143247102,1.53982315369272,1.94043221515901,-0.164914134318723,0.0110653021100072
"NON-BR",1.42150590790388,2.60205645088691,6.99089401731484,5.68521799703829,3.03353357855864,2.44449444945276,-0.0262726962992812,4.28973381096886,3.09665189950585,15.2715655061868,7.0151578101329,2.89760941064002,2.06637783383586,1.11682814248607,3.2455007805398,1.42458331958113,5.81591188254125,0.406815427005873,1.24449351977167,1.56634978114577,5.73105501790325,5.3369797954385,3.65331722355706,1.72612270641218,2.8679514571855,0.232185533415802,3.06859449039486,4.35443302932257,6.05686628306936,3.05139806844961,-6.25842498777167,3.97959003978204,1.21188204588114,-0.325384873777916,-0.905164498979508
"NON-PNS",0.917533751167805,1.70913431912543,5.92163897741017,4.49511174129932,3.1664624442478,3.01472634428989,1.87179196520143,3.75713947180417,3.6099216025037,7.0151578101329,5.58095907643861,0.970170996247798,1.35976151654364,0.906740559125712,2.32443412479301,1.34105535209272,4.56917904554874,0.487405556305663,1.60279801926224,1.03188291649485,4.04856065155419,3.81638060420258,2.27778251336795,1.45073003489753,1.84716026764411,0.238853473146697,2.08438776463134,3.73537517447432,4.89484832785721,2.52034656814991,-1.29042081904247,2.43262677493434,0.954841279369989,-0.195701266296795,-0.0258147955344451
