"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.663994263197321,0.183826452771566,0.570901285174055,0.0440919288526251,-0.0190762865100442,-0.0279234653496563,0.654418133515924,0.665535507286804,0.58280846667832,0.023084645724322,0.0223847527884641,0.412799096816953,0.317627724280001,0.00483363288077739,0.203300893344066,0.0343124878310061,-0.240137075677492,-0.148907552658252,-0.199766456305316,-0.112096647437635,-0.12225084768498,-0.0903721042973069,-0.020594256161193,0.123219987926428,0.174608122270235,0.16808055668939,0.239016841459787,0.265625045027532,-0.11240867164356,-0.0489024740931143,0.258730081842331,0.0755890438434336,0.271212907267317,0.020570894694622,0.113142714285309
"IS-NLE",0.183826452771566,1.17615291546773,1.45850175999668,1.46650205137038,0.766252122454306,0.765429224695717,0.261148987723137,0.740360300765496,0.510643363096199,0.883397506044008,1.12490554272016,0.288936486795625,0.61278399104504,0.423526731827443,0.543929095478866,0.110544154123291,1.43113247133754,-0.135627144629537,0.184871696261739,0.472802938172002,1.07324697118288,1.03923885144035,0.659105331229608,0.0651234100905851,0.385383463724634,0.327147119372424,0.552145094927847,0.736063100660827,1.5063630833321,0.574989640162206,0.554000886368025,0.376540503504067,0.280486360797465,-0.114030986644923,0.0596926522834782
"IS-PNS",0.570901285174055,1.45850175999668,7.05101100855329,4.74599019079091,3.37397646281268,4.00557996177804,2.86190059880747,4.44712825412547,3.91244134132986,4.24432032165004,5.11558189434133,0.727732417585928,2.1559858144614,1.57458986473762,2.88930831687763,2.10191185758664,4.22825581920772,0.19569374109718,0.996835781368754,1.14322743924708,3.93195957400117,4.25234417125555,2.57640120534471,0.938357925641463,1.66637639994883,0.791128175972227,2.00696570943837,3.23426958523427,4.27968308415751,2.38780839314868,2.22595580339815,2.3494854296649,2.02725301165382,0.149792693966323,0.275841980903668
"PM-ZS",0.0440919288526251,1.46650205137038,4.74599019079091,6.09152823080158,2.85509802242329,3.31258020891606,2.48599166177789,4.75196292193945,2.68394474695424,3.09245201347444,3.65892384653047,-0.0725533208527712,1.86319956005554,1.39047152123833,2.17986514420783,1.25203001688403,4.31241676372635,0.143025498420301,0.863198027486769,1.12391773737716,4.07163996186584,4.62000545582382,1.74693557420805,1.5733687999056,1.39810067901692,0.397691729449123,1.65420933780676,2.1497371519442,4.31648316234841,2.65201508341905,1.95514247870741,2.34042136165606,0.783886527109169,-0.0292056069943255,0.150001605485168
"PM-ZI",-0.0190762865100442,0.766252122454306,3.37397646281268,2.85509802242329,3.63219198376308,2.4511468456637,1.49022288903197,2.58757551052777,3.52753661039489,2.17158845431519,2.73087211528628,0.144520155739194,1.2425596483927,0.904082360067042,1.61221761085443,1.50816929797618,2.03502393770176,0.312439673683967,0.966327159913543,1.4015399777391,0.813141819732353,0.936407070069152,1.11580901474597,0.858408378975413,0.98155263527171,0.603068662583719,0.954288199943641,1.45970111838077,1.85419786464157,1.56036392463824,2.1010984249783,1.51629481861182,1.34797575879655,0.111329048208193,0.157664964840887
"PM-MT",-0.0279234653496563,0.765429224695717,4.00557996177804,3.31258020891606,2.4511468456637,3.3323285333996,1.83218524752077,2.912046414802,2.51779324812294,2.4903376486779,2.91515050491132,0.128977017008776,1.27393158423704,1.15823153989439,1.81508266499272,1.52276482679848,2.42930604158048,0.188583395826946,0.788510097363264,0.479821434236405,2.5629350485907,2.94564428757921,0.934649099212301,1.2494910388918,0.919344344533901,0.417648233642601,1.22664146775914,1.91572554328008,2.34110609548438,1.58037951097256,1.70882099480808,1.51283713872254,1.37737259750299,0.116224290267047,0.323685338452153
"NLE-NON",0.654418133515924,0.261148987723137,2.86190059880747,2.48599166177789,1.49022288903197,1.83218524752077,4.48931728193831,3.25911632570696,2.51766459824986,-0.877425674546228,1.16056152838964,-0.0620164146648589,0.872273644949006,0.215686063573826,0.976986517429814,0.506593386035378,1.41299685015492,-0.27295566156163,0.181209166635418,0.382987168567577,1.70673636997578,2.38457073402087,0.578796309446358,1.06201448399618,0.937275964111836,0.411204411895008,1.24338375312647,1.43342153140899,1.80900758624766,0.60520448079141,2.35347171354026,1.03646061895046,0.761216019657616,0.110852270252329,0.336350862482001
"NLE-ZS",0.665535507286804,0.740360300765496,4.44712825412547,4.75196292193945,2.58757551052777,2.912046414802,3.25911632570696,5.37897100968408,3.70794736529111,2.62986360186235,3.10575051915215,0.44887822020843,2.07989188788954,0.974919676638812,2.00632492791544,1.3069135544022,2.53463427989072,0.123726005150218,0.254243418606345,0.599072516494322,2.87197897827535,3.59341670636786,1.12779377992196,1.7869131317926,1.32453475660352,0.392358392815535,1.59832062342925,1.94412180051777,2.67711081103933,2.16187367352917,2.43635841695149,2.12949883726816,1.23766051545761,0.223315468370872,0.445243349101448
"NLE-ZI",0.58280846667832,0.510643363096199,3.91244134132986,2.68394474695424,3.52753661039489,2.51779324812294,2.51766459824986,3.70794736529111,4.61719602751766,2.4614637066598,3.09452371891135,0.735821829777383,1.80480425378247,0.831633937076367,1.91665443320396,1.71099215242628,1.63214098590924,0.236760106876073,0.871004737734314,1.22990389223028,0.773290338933148,1.06442103380896,1.0013393349419,1.15986158482559,1.17477132283897,0.606037862476822,1.31085650031219,1.74211464527266,1.59546902228151,1.68639600759444,2.70517588736368,1.76953719831877,1.82587012690048,0.340928040397726,0.404755335637869
"NON-BR",0.023084645724322,0.883397506044008,4.24432032165004,3.09245201347444,2.17158845431519,2.4903376486779,-0.877425674546228,2.62986360186235,2.4614637066598,9.1235354979678,4.55003666456707,2.16574212503735,2.36776308706451,1.55675573169714,2.37550866919709,1.3980512733029,3.29554888105887,0.433272490778171,1.14560082488472,0.741432849437805,3.37629940195146,3.31512473307852,1.93664140374069,1.02551513995668,1.15675947702261,0.294403001242781,1.41478786256384,1.91782532511609,2.90632488728262,2.636951108404,-1.12462274561952,2.42767879664014,1.30514782808837,0.145828847391923,0.073656705835862
