"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.88268470728985,4.5042017676069,6.61559152876492,3.70791216051348,4.36228429826293,3.79988055847668,3.28908436034509,2.93664120925662,5.19881119975447,4.48750178738783,3.59531398472735,1.42575322540322,2.69823258837146,1.20885806067658,3.38563526172481,1.84609200302388,4.02557367382639,0.391457009955908,2.6492955562837,1.41406334811712,3.87202060406501,4.18021005467875,1.08770383684237,5.47258641048773,1.63840618773315,0.465665067187343,1.98584019613098,3.96196954268106,4.05469995412861,1.37631639805989,2.98665861625093,2.06850748027229,3.84023556981178,1.93821225716867,0.170054664170032
"IS-NLE",4.5042017676069,11.2951421313558,16.012018607219,9.50973984097406,10.9585228239793,9.89631003483501,8.11919232358163,6.89680214489783,11.9311536273671,11.4895299471138,10.5044922743226,2.55850195906593,5.37091870681029,3.39119748051641,8.42150365990441,4.09896329295819,9.86859681166852,0.957160192995146,5.47072211676271,3.94217770343697,10.7461393714173,12.3431314083419,3.48360023504313,9.33980449422233,6.20777688167509,2.04586464698996,5.62979424952844,8.36074185193412,9.74607603085281,3.01881383627467,4.40765422443201,4.94340002837145,8.52318715729668,4.94431031973659,0.383536885074382
"IS-PNS",6.61559152876492,16.012018607219,29.688370261175,16.6222530416107,19.115226123651,17.637275667145,15.7770553835474,12.0612417396299,20.5977352799108,18.6302612046602,19.5453267636189,4.19748888876948,10.4368778181185,6.39119168057225,15.6491315620203,7.17096626416132,17.1707024076493,2.57517278179326,9.50241104428992,6.4190319264799,19.7301932827785,23.5008078663246,6.96218950017277,12.971280594889,12.5198195206068,3.55218706812974,10.6492269203377,12.5661897116092,16.5302462334679,3.8787950388412,10.2861792506624,7.46450487712881,13.8097547406952,7.24019987019688,0.0611402817350201
"PM-ZS",3.70791216051348,9.50973984097406,16.6222530416107,11.1607951348355,11.5884909104257,10.554720329671,9.18538672853504,7.42117752871685,11.8975745647505,11.9576079995219,11.1018854743613,2.96939213714977,5.97132130824708,2.94285013820004,8.80468889353892,4.05814536293288,9.88800406641779,1.45037318177106,5.40499578647172,3.6019415261833,11.316451825114,12.8438859437885,3.6529070997534,8.67785453962372,7.28093478384099,1.88138390520215,6.13582111649829,7.85290262381082,9.48705596647158,3.4553707002339,5.62028194863541,5.26789548787204,8.61590127453065,4.73354846151963,0.735573690233481
"PM-ZI",4.36228429826293,10.9585228239793,19.115226123651,11.5884909104257,15.2181816987227,12.6952089806455,10.9495810506377,9.0772610872555,15.600088621187,13.263718400477,13.0767394008652,3.22611114685817,7.08593540913053,4.20853171837049,10.6117952463517,4.86775378603781,11.5297493838253,1.56991460831513,6.95648860468108,5.17156059474386,11.2416224085992,14.0070928953823,4.03781093748746,10.0841746881113,8.50055780688963,2.40293472742183,7.3427001776445,8.50609915215476,11.2230131697067,4.71442810238949,4.75430077694257,7.74598189272489,10.1415173668585,5.60275698365921,0.175237596509559
"PM-MT",3.79988055847668,9.89631003483501,17.637275667145,10.554720329671,12.6952089806455,12.5713854389406,9.16689363230061,8.43107225473475,13.3642273299755,12.7936039604796,11.647646280426,3.40318814376228,6.55559379427887,3.39050572358548,9.43677536827914,4.07247552596373,10.0932666092511,1.37069833205181,5.43665780032349,3.58812108786236,11.6053702704882,13.0644982460136,3.63041737543545,9.02900663614731,7.69298326627862,2.10347430800974,6.61184304808227,7.59593272988883,9.67032680583792,3.26193581222691,5.85491579961524,5.4272041230184,8.95962784866966,4.58570958538743,0.181444825693691
"NLE-NON",3.28908436034509,8.11919232358163,15.7770553835474,9.18538672853504,10.9495810506377,9.16689363230061,10.8590763985569,7.09136673341944,12.2860166923347,9.28059671870592,11.47434051719,2.21169995392232,6.11598942377831,3.62991180851055,8.888048689905,3.95007571917057,9.9620652132728,1.42396043012395,5.52060391200612,4.18506140807584,10.9416530641702,13.24215484912,4.0914732328558,7.0260017479199,7.42441699240487,2.09724556481268,6.38436454155571,6.6978489087406,9.54132483275929,3.52156779708546,4.46679402708566,6.01585491674907,7.87749684142516,4.15236808519486,0.0599831021024315
"NLE-ZS",2.93664120925662,6.89680214489783,12.0612417396299,7.42117752871685,9.0772610872555,8.43107225473475,7.09136673341944,8.33920672077786,11.0816692461283,9.59742859436031,7.23166557722634,2.68420094184827,4.67580975187425,2.61169248083655,6.16059176782194,2.97978264756327,6.99967192561118,0.834801270461906,3.0372019308003,2.47277965451489,7.21739804806947,7.46758422359365,2.43636695298649,7.23426463701426,3.85572905519155,1.1466163712097,4.23034653901774,5.81607565677162,6.75783904724002,3.0495896651712,4.77161219948761,3.32226293421244,5.90085275758469,2.06592415938143,0.578843481881163
"NLE-ZI",5.19881119975447,11.9311536273671,20.5977352799108,11.8975745647505,15.600088621187,13.3642273299755,12.2860166923347,11.0816692461283,17.9334762491375,14.4009578734248,13.8845633577568,3.50402386236404,7.7402871025545,4.71929006790387,11.2246533920951,5.31207518388621,12.6338306038109,1.39644302188838,7.28346221487021,5.23982579682072,12.3024272503944,14.6344051685348,4.55473807015685,11.2231778523639,8.27685724742863,2.50303884149838,7.72866587259733,9.49152811292617,12.3073997753949,4.87485507286557,5.90305518583277,7.6587616518437,10.680812525557,5.53104494630557,0.253965111614381
"NON-BR",4.48750178738783,11.4895299471138,18.6302612046602,11.9576079995219,13.263718400477,12.7936039604796,9.28059671870592,9.59742859436031,14.4009578734248,18.7227948176427,13.3449377497313,3.63468204046743,6.57172102429863,3.84105141291351,9.9255108742574,4.84734656081175,11.8738242686222,1.43049177119224,5.83016596737512,3.41068124897844,12.9911957475988,15.1108683271992,4.08644562315602,11.5053911451228,7.49233556376971,2.25566315998851,7.09244407632887,9.50585928512466,11.5560170418791,2.71449258307315,6.79296565797242,4.28058328664838,10.6889540708912,5.9000871842973,1.10371823788436
