"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.93267944102456,3.40839353599264,5.56256564193538,3.5468446368112,5.06054222987507,3.0293214159829,1.63275866732888,3.33331422811483,4.67204783063272,6.27308353891826,3.32620872433428,0.0381012542278836,1.50075282461483,1.47700114364791,3.72049367189698,2.40159610341707,4.06326082774382,0.480568916909969,1.19550056465544,2.26893185271301,3.31755656024592,4.09256128674451,1.46711534312608,4.96164833608962,3.2547918846054,-0.245626056704019,2.9650802223268,2.38625253303146,3.51716899479491,1.95026515143589,0.247871609329275,2.12320175965713,2.02183090581061,-0.375125088010525,0.184556011231423
"IS-NLE",3.40839353599264,10.1707671304406,11.9308277811058,10.924637928019,14.0842727765099,9.87380233799018,3.51142056881128,7.28645280362157,11.0046953983581,16.911198199348,7.51772538950015,2.198465329889,6.28544566083643,3.75473321239864,9.85971299327306,5.57454813961804,10.1949353449161,1.13567169431991,3.23271390191189,5.5342473208941,11.6117336524379,12.759002101716,4.4514168119644,13.8836665832021,8.48840841430502,-0.543486887102139,9.1289286921707,4.43810712141298,9.80400114596996,6.44433980329804,-1.99007272449646,5.31042409140353,5.35707035643548,0.135893984520747,1.92816653018229
"IS-PNS",5.56256564193538,11.9308277811058,31.5956106997124,15.2423403332795,19.1518895776629,14.7076609191768,8.61964557874469,13.2774325383965,17.4498582380779,22.8186561870169,18.3000561431342,4.27719489668646,8.90309591437622,5.81863808253486,13.5728085877791,7.23753559865342,12.8517582943623,1.73472005290452,3.95143982991106,7.02540333957344,15.0110884832904,17.1796524407921,9.32116657089211,7.42791460420302,9.31250428883853,-0.60256732410995,11.6363870260812,5.81640741263211,13.6931665470329,7.29868318327923,-0.392815243025793,6.63958680381328,6.46626895779079,0.277275583199152,1.71905707101775
"PM-ZS",3.5468446368112,10.924637928019,15.2423403332795,15.5262063994676,18.9003699778247,12.6107764549417,7.06889615997586,11.3817414406803,14.8355912048545,20.9477919559476,11.4338301125263,4.65738801495342,7.96767307161679,4.19231976290267,11.5400111200858,7.02193177668615,12.2023198513207,0.28860387465635,2.87928673822559,7.01973788269071,13.6779363491564,14.8450955148444,6.32551103414541,16.679436049855,9.29266134286418,-0.502618289795468,10.7246299371485,5.4369586148786,11.7118181360247,7.93733972287587,-4.65030846277765,7.60849237425236,7.13919769928877,0.438481989337411,1.18005366943552
"PM-ZI",5.06054222987507,14.0842727765099,19.1518895776629,18.9003699778247,28.7907876668054,16.513673025829,6.10925975097325,14.300790610032,23.3063892625032,24.9642119685048,10.2415465916514,4.81400872202506,10.0078141740352,5.79920004450774,15.5885486213309,9.38691430069575,14.759100184814,0.16336219029215,7.98988690638164,11.0074713728885,13.6610220775708,16.682744492079,7.23776960346746,23.7785786151655,12.1950595510461,-0.523219905805057,14.1874057150495,7.11203038466851,14.3289537981979,10.3616509380069,-2.277646245179,8.93761384880992,10.3206298627898,0.723736700302784,1.88343218043313
"PM-MT",3.0293214159829,9.87380233799018,14.7076609191768,12.6107764549417,16.513673025829,14.2326889034865,4.80447749028728,8.32811030657677,13.0215637048294,18.2304358294278,8.27893707326599,3.76967763310994,7.65539619396184,3.4848561926043,10.4781242924862,5.96355486327568,10.4248150677308,0.223099098501601,4.33784066060802,6.46873081697491,13.2271334398148,13.9809985576684,4.03396376358748,14.3289141685533,9.2595762917778,-1.04830370209325,9.67316975083715,4.67483001786739,10.2178320047697,7.73984822118069,-3.29899641225461,6.37122350063244,5.60869445055041,-0.158883031386434,2.00958373214455
"NLE-NON",1.63275866732888,3.51142056881128,8.61964557874469,7.06889615997586,6.10925975097325,4.80447749028728,19.1685452286528,5.89484313366472,6.54462231259167,1.48817774649946,12.551226480621,3.60459659176443,3.97723647254787,2.7257256148463,6.11831148510259,3.77954658147701,4.75491173251184,2.33009675516045,0.782320829195849,1.68568009973247,8.40173562226457,5.3223826670074,4.84329897225732,2.707142531748,5.35372713781711,-0.327810287583738,5.49096329741957,0.295015970450023,4.25508944332104,3.28375623598375,-5.23220889848862,1.47657329231026,3.90799413136841,0.165820495797514,0.384734830961863
"NLE-ZS",3.33331422811483,7.28645280362157,13.2774325383965,11.3817414406803,14.300790610032,8.32811030657677,5.89484313366472,14.1491857138859,14.144137537345,19.0453672276565,11.2627170266663,5.21997408556925,5.32559522885556,3.1817357659226,7.02762428091653,6.53946570385953,9.5478655007708,-0.535750734946548,-0.590196478488804,5.89238305894804,9.31552323817491,9.47480619895296,6.1154385383622,10.470583629059,4.0080010246205,0.0677284182818226,6.19141541450598,3.59643839507363,8.67251446891517,5.38700412411161,-5.35065919164986,5.56183742200548,6.14380042680038,-0.592131854325709,-0.861732674843376
"NLE-ZI",4.67204783063272,11.0046953983581,17.4498582380779,14.8355912048545,23.3063892625032,13.0215637048294,6.54462231259167,14.144137537345,21.9569089747585,22.5281130299621,10.9835547628579,5.01268787510493,7.76239307229628,4.54051211393169,12.2667569687138,8.57988596616354,12.7139288942484,-0.285124931407147,7.03795242222053,9.70517544034812,11.4368846745842,13.0366317672524,6.78098068358503,17.4987501293806,9.0943885044831,-0.531519480938166,11.208956436566,5.42650851676159,12.053641863853,8.62306956623919,-1.62243526311054,6.56444607186664,9.68106597327287,0.0620140010571955,0.351109743842608
"NON-BR",6.27308353891826,16.911198199348,22.8186561870169,20.9477919559476,24.9642119685048,18.2304358294278,1.48817774649946,19.0453672276565,22.5281130299621,51.5389962035315,17.0494437393373,9.72497672010362,10.6223743744732,4.78945973887882,15.7508313787823,11.5656477739957,20.8994416904558,-3.33367071434078,2.80336133895711,11.2101906814531,23.6364578710328,25.6751601104357,8.40636937280399,26.1238080675154,11.857064913964,-1.19612281146921,13.8290225413,8.99042521756738,19.1203611846461,12.348952733555,-13.0016812652244,14.2243537572951,10.6330690654771,-2.17464909397686,-0.772959235102357
"NON-PNS",3.32620872433428,7.51772538950015,18.3000561431342,11.4338301125263,10.2415465916514,8.27893707326599,12.551226480621,11.2627170266663,10.9835547628579,17.0494437393373,21.4224737572688,5.9757183867806,6.44257323484374,3.14699871280746,8.68576404857265,5.55345664665907,12.5696886781512,0.777471746958321,-0.545349113815352,5.31325972317783,13.1373909982912,13.1488355851114,7.75977965208358,3.56586764394863,6.84884541579803,-0.297664020311573,8.69024356129247,4.22873203691367,12.7189022928407,5.67381293356526,-6.42250728890091,5.88260515859624,4.6716961097351,-0.037578476564501,-0.0625490406030646
"BR-PT",0.0381012542278836,2.198465329889,4.27719489668646,4.65738801495342,4.81400872202506,3.76967763310994,3.60459659176443,5.21997408556925,5.01268787510493,9.72497672010362,5.9757183867806,7.62245567515211,4.15831550909803,-0.3594676852622,2.67120936799097,2.39747161666953,3.05691952185674,-3.17078753154681,-0.313152031534406,3.36187026654534,5.5666189805773,4.69002879424128,2.68790117567457,2.6849424041896,1.26512166712321,0.0284872324722286,2.55912205443448,0.561092211040378,3.46236224136439,3.50701651984412,-4.87189013303685,2.16339144242022,3.26724411078955,-0.975416370686376,0.459875776398796
"BR-APET",1.50075282461483,6.28544566083643,8.90309591437622,7.96767307161679,10.0078141740352,7.65539619396184,3.97723647254787,5.32559522885556,7.76239307229628,10.6223743744732,6.44257323484374,4.15831550909803,8.33757248790377,4.04614278149013,7.10983491507499,4.42679314394913,7.0622288147582,-0.0373108012096649,2.23738002434551,4.26657740228306,8.21746782136598,9.49383643082713,3.48532997748473,9.75523678866205,4.63302482057124,0.576788939387239,6.85340052741931,3.62028789544121,6.87593215987477,4.99300863946911,0.864999393635994,2.60324956255122,5.08911159683934,0.330679129132135,2.02816371175912
"PT-APET",1.47700114364791,3.75473321239864,5.81863808253486,4.19231976290267,5.79920004450774,3.4848561926043,2.7257256148463,3.1817357659226,4.54051211393169,4.78945973887882,3.14699871280746,-0.3594676852622,4.04614278149013,4.98481055648302,4.08448092951066,2.54224494527187,4.28822048029437,2.05509271337491,1.23147415345796,1.95139645922043,3.18350005502646,4.44102721896642,1.87141727005582,7.05150661153244,0.823102472903059,0.912094107297251,3.19031884848604,2.94273624557652,3.85181722171616,2.0648906088211,1.21945763977609,0.776422263158369,2.58586591502276,0.453111158702188,1.81879726445485
"PT-BA",3.72049367189698,9.85971299327306,13.5728085877791,11.5400111200858,15.5885486213309,10.4781242924862,6.11831148510259,7.02762428091653,12.2667569687138,15.7508313787823,8.68576404857265,2.67120936799097,7.10983491507499,4.08448092951066,14.6077751597835,6.80279083504921,10.6288242987638,0.636436550873763,5.07514183996893,5.26787741695607,14.3496054689066,14.3551217618287,5.01606694573328,16.988237846274,13.0439476015067,-0.0766122726783468,12.91705557369,5.3605825511424,10.1629286494704,7.4355321209644,-0.255401506245121,6.92689656223508,7.52835296158777,-0.346520511136977,1.63031288208339
"PT-EAM",2.40159610341707,5.57454813961804,7.23753559865342,7.02193177668615,9.38691430069575,5.96355486327568,3.77954658147701,6.53946570385953,8.57988596616354,11.5656477739957,5.55345664665907,2.39747161666953,4.42679314394913,2.54224494527187,6.80279083504921,6.23097458904364,6.76318408923282,-0.780671388553429,1.9553339551539,2.58865360724676,7.6942489935091,7.38256637220011,3.35634611970965,10.7777712520773,4.9839911824156,0.108485228454075,5.57252485173738,2.76812097050597,5.99264781607705,4.24772274954059,-1.24292997948159,4.16183409040727,6.59985031509553,-0.176125417338039,-0.569596530123612
"PT-ZYGI",4.06326082774382,10.1949353449161,12.8517582943623,12.2023198513207,14.759100184814,10.4248150677308,4.75491173251184,9.5478655007708,12.7139288942484,20.8994416904558,12.5696886781512,3.05691952185674,7.0622288147582,4.28822048029437,10.6288242987638,6.76318408923282,15.1542667804868,0.767221870867606,2.53658970360514,7.47549071647444,13.3935316119217,15.182139182066,4.87878265137054,15.2041859389237,9.22676613558884,-0.140588861655888,10.6261499098104,7.00425614900727,14.4416091054134,7.02851041726436,-3.27178552338969,6.65697435170814,5.89831816648346,-0.306290738465328,1.42933184315667
