"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.634919157760175,0.355919707300934,1.21263465959102,0.610287561520891,0.939850396634408,0.712165316023319,0.794790190206151,1.06132327618315,1.54238432848205,1.08791339624301,0.657779356189657,0.0572969521003621,0.293833388709178,0.296779063257131,0.677360949544617,0.367267303871067,0.449290685258819,-0.0383148071410127,0.495127834735779,0.220130008359449,-0.078376181754975,0.554850787133454,0.179386505522449,0.628430601170607,0.486064663381254,-0.0135050910018691,0.420056615555386,0.733511343100396,0.55413992112456,0.983838321841589,-0.18958881977056,1.16942292891605,0.455054595205191,0.258330570431116,0.176813444845611
"IS-NLE",0.355919707300934,1.33693751608961,1.4107647289496,1.52670587796671,0.973471777065491,1.21690342488057,0.978519285882775,1.09506684581913,1.11782345268742,0.711615390595049,0.565474790808714,0.613871161884697,0.593869048812456,0.0462939419308283,0.165742022445294,0.00830773988415559,0.515190323024442,-0.208720635302179,0.489109248988025,0.323028771499726,0.945557019150243,1.07055693580553,0.2427346203112,0.837365052769407,0.00655542694429222,0.102018089401128,0.530423329267772,0.284516106166373,0.706618483856395,0.366592506042312,0.530170099657485,0.330968087543152,0.250784322344708,0.407361735259516,0.346998818808201
"IS-PNS",1.21263465959102,1.4107647289496,5.66427619508332,2.66583202736556,3.58596690265743,3.29624422241012,3.07740356828873,3.10672493670408,4.42363035496831,1.75316361528435,2.81255173887805,0.202487307075682,1.45489689157406,1.34558078839561,2.55880454047365,1.76867564273835,1.57594845969258,0.447906842568231,1.33582360944567,0.857406589458614,1.5518760779614,2.41460667959662,0.638106415950208,1.2931836720711,1.47723485276101,-0.168195811476543,1.24571926651795,1.59393598267155,1.46483707053698,1.94896497772345,1.76495760959424,2.57813133403327,2.33756713585278,0.882003548329393,0.0871238432531671
"PM-ZS",0.610287561520891,1.52670587796671,2.66583202736556,3.07145657770006,2.51776982252581,2.10998713953121,2.90363363284189,2.5841912888933,2.78124674121989,0.788962874430584,1.33750709136426,0.613608951897277,0.713394838118564,0.179629520828133,0.873618935751193,0.581484108872533,0.908173161959046,-0.378176135326352,1.06862723182582,0.524644662022695,1.17056396056361,1.45472041246348,0.358737557345252,1.68469122026933,0.487210799901829,-0.0246392680930739,0.595789617546668,1.09875059347143,1.24574965743945,0.789235512527768,0.902347898750703,1.13561166017611,1.22306873201511,0.794191833215441,0.291702535751976
"PM-ZI",0.939850396634408,0.973471777065491,3.58596690265743,2.51776982252581,5.11360824223961,2.62153206277522,3.44549849951861,3.06016150383662,5.47742786752136,1.51480523756478,2.35917424186459,-0.11239569858435,0.50416652706565,0.61253573022807,1.99396743561134,1.45692203013676,1.30971339940901,-0.322399461598445,1.55277556294917,0.897001482340439,-0.55819088671218,0.325029314646459,0.475211162392779,2.28170277334627,1.76313864473175,-0.0691930463865435,0.877743239660072,2.05392414251105,1.64909149652195,1.82242771640573,0.708498305211875,2.37636366840002,2.10292360695965,0.829928664255752,0.0318595166310765
"PM-MT",0.712165316023319,1.21690342488057,3.29624422241012,2.10998713953121,2.62153206277522,2.85882183972627,2.01928809081744,2.2676951739251,3.15003151956868,1.58159783613587,1.94009978734915,0.265869422371681,0.888269142445007,0.763719710763556,1.52469404519032,1.0625243296028,1.06063564963258,0.40716748906413,1.0388307517495,0.618164707974271,1.06803749876475,1.48350608434857,0.34626516914354,1.36950142789737,0.92791821748336,-0.079579570770626,0.734645424729874,1.13523007636342,0.926718662661228,0.993022258263281,0.9916576797379,1.49151338498458,1.3838612295727,0.560154539542841,0.0988416790977735
"NLE-NON",0.794790190206151,0.978519285882775,3.07740356828873,2.90363363284189,3.44549849951861,2.01928809081744,7.12055898814934,2.91834107603372,3.90313174998729,-1.88731370907607,2.08309221833016,0.531961526252629,1.20457794284893,0.467221560024706,1.52784625621376,1.26260416700604,1.60389081708559,0.0768369910415299,1.41595258058813,0.604584844078832,1.2318760382503,1.60426700211928,0.236716675937652,2.25594610944413,1.0082660303118,0.100256101429725,0.690126957805952,1.67648677560681,1.68492199266929,1.32553529352856,1.55923421295733,1.51542541051053,2.13274389996319,0.677552369984732,0.116302449798273
"NLE-ZS",1.06132327618315,1.09506684581913,3.10672493670408,2.5841912888933,3.06016150383662,2.2676951739251,2.91834107603372,3.48200740391961,4.23839202883169,2.38621282688621,1.79141447557252,0.278865422673198,0.492755696668351,0.1572291693683,1.19855362826397,0.647530339559214,0.913099793985278,-0.332103145400596,0.960925891564734,0.608309752794475,0.427355028785743,1.55259765030299,0.333194898714444,1.93140000664677,1.10375354886628,-0.060530064698841,0.776761224949556,1.68643274374939,1.35092930153453,1.99912930968444,-0.323511199802807,2.5412185116566,1.02753753474274,0.573364158195945,0.264530764997019
"NLE-ZI",1.54238432848205,1.11782345268742,4.42363035496831,2.78124674121989,5.47742786752136,3.15003151956868,3.90313174998729,4.23839202883169,6.96227857050278,2.8777360189704,3.10458011549782,0.0130752481379403,0.799212787302035,0.79115609555305,2.55585968508846,1.63897990306737,1.65494673372508,-0.186493328053759,1.94787819176789,1.07747223229566,-0.511312205690876,1.01331272290791,0.601121747877555,2.64894800962579,2.24555159581171,-0.0543993279350888,1.31912389791847,2.63745057017284,2.03624485024343,2.90963666223309,0.10431587350334,3.74664068992415,2.26609842234804,1.01423776856682,0.220546376026306
"NON-BR",1.08791339624301,0.711615390595049,1.75316361528435,0.788962874430584,1.51480523756478,1.58159783613587,-1.88731370907607,2.38621282688621,2.8777360189704,8.27191303579781,0.668885397661322,0.555923835967714,-0.22678989567526,-0.162326192685711,-0.0636511958906478,-0.617137838183523,-0.176924150808116,-1.25969362098162,-0.0263245946774782,0.623177995787619,-0.846451788643334,1.0176253472665,0.131618982096951,1.63636022679927,0.438342501461111,0.0228628590634139,0.746428710784857,1.39824948298467,0.746511411500361,1.7953893058114,-3.30280898798748,2.47904084202517,-0.277811166359209,0.927691121014665,0.390395080940202
