"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",74.8186287054272,82.719719490663,164.155625151689,81.8663542675776,76.5747342063532,81.6580447835005,63.4783849769551,110.474955034,133.937016981729,68.7075622623202,132.091421270633,56.6183292128337,67.4145010646672,16.8628996617678,41.7633141841328,22.4857910236998,69.7384223891281,11.2904385255176,47.2536109029841,28.7295994066955,23.2945409720778,64.357760533673,38.0066031942282,24.4458065092075,33.0697860091186,11.3643639595034,81.7566823848884,24.5842169591207,69.1219323223019,62.6573825259582,0.185239539608965,50.5825731230987,40.104291741077,44.5247642736926,11.3959306713047
"IS-NLE",82.719719490663,192.951012754009,224.273001167428,142.662674633462,139.811580175735,118.227099486903,79.2358622154109,158.837798187652,212.271339037051,93.7090632108435,180.97048312813,80.4085449619383,91.6155556609531,13.1594857333691,43.6172134695036,39.1611137211929,104.014083251103,25.4610109487423,68.3824508882781,29.4988710629235,14.3705468462473,85.4925840719281,65.6878085636812,33.0223317834212,35.2419528425128,4.83494216647324,101.201098311565,25.1749967171136,102.16640762999,88.501887350672,7.49638880132679,46.7730168583685,68.0628456206409,63.1495927698216,28.9446056960713
"IS-PNS",164.155625151689,224.273001167428,457.80946181956,237.017311480291,222.442609932235,251.323225561407,170.759352050738,307.187705585138,355.774097575863,191.172743334024,360.742008964348,156.174437702953,183.864898991456,51.0902625579244,129.370990124776,65.9973174629781,178.882988278013,34.3384696738329,120.083092076085,92.3705602167762,75.3541976001408,176.766009790614,103.16190442257,53.9426023728535,100.942817645869,28.9031304776581,237.811488302127,59.2304348530831,174.297309559801,164.544414173699,-10.2734957047076,131.233165013354,123.208221273117,123.718719311321,36.6798704772806
"PM-ZS",81.8663542675776,142.662674633462,237.017311480291,163.855259488296,140.242571439211,139.592722303345,94.410166728141,188.494715114439,203.134634459767,109.16387184379,185.640597227315,87.3093646115353,92.7645124191169,15.5222757948213,55.9348091653595,37.7514697550246,96.1373994201534,16.947954569088,64.3294377530976,42.4946610394805,26.8159171964508,87.8737493363137,58.3529361819247,29.2218119100788,46.6451179936466,11.1974480289079,112.299244464915,28.2138311936917,102.001422007865,91.2241563700363,6.87322069998591,51.6134443125684,73.1630123658268,60.7704213923945,30.7143684146674
"PM-ZI",76.5747342063532,139.811580175735,222.442609932235,140.242571439211,146.078187608234,131.914982016435,88.9945574456956,159.146025331467,196.935718106516,93.5590573017825,174.136766216915,75.7616909505212,89.9875693572278,18.7339883184935,51.1542993390692,33.1412929549168,93.4834420461758,22.0172775653021,57.6933111026539,28.5447874987577,17.3211982407114,78.063871194912,57.1140289379423,29.4674901145019,42.2779906091109,6.49089246566988,106.662589717391,23.1190112381749,94.2494523847591,83.5202708019254,6.25718770636056,51.2297542668657,60.8245811781302,54.5066877296479,23.5109847199222
"PM-MT",81.6580447835005,118.227099486903,251.323225561407,139.592722303345,131.914982016435,162.662988753787,100.596094192228,171.146991505077,194.559795772725,107.3238032581,190.441738652746,88.1465055158601,98.794320541977,26.3272433420045,73.8424742674935,42.9200388826569,98.6619559526072,23.0007341999615,64.6306530308768,64.4500722769262,48.0415364597484,99.0263622525746,45.2689349091854,29.8630444550613,58.9709049451234,17.1763252382767,129.921011493986,31.7869967303997,94.3436192139283,90.3019631221851,-5.41054395426839,70.2788276958473,71.3464588684564,70.0547967305819,18.7569509238474
"NLE-NON",63.4783849769551,79.2358622154109,170.759352050738,94.410166728141,88.9945574456956,100.596094192228,115.879265149537,114.296333508739,133.139449146195,27.3853734493479,109.023204065133,46.8150249404118,61.6150453284134,13.8520957304372,33.2102573779727,25.9811358852673,67.3296608486338,21.7106759948967,45.2363751502828,29.0304367681151,25.4455943701447,67.763080565212,38.5374816998341,20.9501667861368,27.4257868083271,8.0015407549291,68.4287591720251,23.6406385595414,68.3488421428914,58.2278814358655,0.730612677980764,43.7846483332646,39.0119265807927,46.7681398884467,16.2840448304865
"NLE-ZS",110.474955034,158.837798187652,307.187705585138,188.494715114439,159.146025331467,171.146991505077,114.296333508739,254.450835178983,265.937709921197,149.456818719444,260.55247313205,118.311780296702,128.753807826562,30.4750151116564,91.0068510979587,54.9615701301001,129.81006561125,17.727936961509,81.7256956828848,67.2551495360541,44.9105038523168,121.382385578929,74.3953722704162,35.1103025109105,70.3134664479957,17.5513240755471,161.036446274678,40.7609785483164,132.2427670972,121.220912884686,2.99192494394682,81.7857660385658,103.42664058622,91.8610227378115,36.4631353529952
"NLE-ZI",133.937016981729,212.271339037051,355.774097575863,203.134634459767,196.935718106516,194.559795772725,133.139449146195,265.937709921197,323.36448882868,164.608049870379,303.772550804158,134.573020042656,152.536265885902,35.0021464109334,95.776196165347,61.7285944470865,157.099697825631,30.4625074275326,102.792238241042,66.08962773575,41.861013455346,139.820395177802,92.8269232127926,46.1870073688952,73.6253261939489,17.5016347342226,181.791050169749,47.2022998354739,152.938759459489,138.575859111886,5.22499584027807,96.5726345544106,110.007308623854,108.998683849799,36.241145586324
"NON-BR",68.7075622623202,93.7090632108435,191.172743334024,109.16387184379,93.5590573017825,107.3238032581,27.3853734493479,149.456818719444,164.608049870379,202.846136682957,203.776580066893,116.158897496939,93.6833652002617,16.3436062713701,60.9817687751038,27.3297707988848,76.0992944790776,-3.19945069920167,58.7302437139687,46.4308881630882,33.4152138351683,73.9482567059047,40.4113835550736,25.1777889414818,48.1270963125228,22.5249400655478,121.95976421043,31.6756936806943,72.246045771653,78.5323959400214,-21.1697350641711,55.6565863336682,64.9746126616887,58.9188696755643,13.4718937332611
"NON-PNS",132.091421270633,180.97048312813,360.742008964348,185.640597227315,174.136766216915,190.441738652746,109.023204065133,260.55247313205,303.772550804158,203.776580066893,344.191781536929,144.929673109632,164.279239433197,42.2076261589712,106.072141651758,52.3076675040148,148.613964832458,19.3559416256005,101.313092835907,77.4152081095527,58.9742495493749,145.19641329877,88.0469222743124,43.5459413755616,81.5406555831622,25.1749791654897,201.411124104842,50.1100343048325,140.833636578348,143.981779225607,-3.94625639209484,111.772587045449,100.655565949477,111.639044075577,31.4404629687025
"BR-PT",56.6183292128337,80.4085449619383,156.174437702953,87.3093646115353,75.7616909505212,88.1465055158601,46.8150249404118,118.311780296702,134.573020042656,116.158897496939,144.929673109632,99.9715518890938,76.1634633967744,9.82926643962712,46.6938726149524,19.7460464430686,53.0779227502412,1.31201012316175,44.6039560226237,37.7570481279608,25.1302644642556,54.8958884872504,38.2677873254455,19.4701873723059,35.7569749393424,14.9839778595512,88.3621078696427,26.2543605644669,56.3228061254639,65.5835763451732,-9.53872826548406,42.4353826630834,60.6014420272579,47.6035113772127,14.8653623271944
"BR-APET",67.4145010646672,91.6155556609531,183.864898991456,92.7645124191169,89.9875693572278,98.794320541977,61.6150453284134,128.753807826562,152.536265885902,93.6833652002617,164.279239433197,76.1634633967744,95.1360520997298,27.9167837116532,58.2806222446981,26.3955683275552,77.7533597050001,11.6079801658814,50.4239573301094,40.164459907859,30.1268535602129,75.246931107171,43.7615327087906,25.0821787160124,43.9829728093369,11.2593327927382,106.118855387053,27.9284469167154,73.6902669094061,74.2286171977434,-4.15072980536379,58.7902128832415,50.0113355863469,58.0903943147238,16.8191540962454
