"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",15.5357903276695,12.4588797104678,16.5427749063373,7.04875157872155,1.90543489849526,5.33097170836549,-1.68604271347778,12.3633321457936,11.5584197760522,13.6735384150858,9.27932902172563,9.42646071167899,13.5786054052892,3.2404492038742,3.97981806218543,8.76838274503197,7.95993114515291,-0.0192467293895077,1.58793686946489,7.77684723894006,4.14608801053379,8.62952151360406,-2.29097657855342,5.42755043838008,2.2993367771286,-0.331926469815672,4.83581555265373,4.51975135353656,7.80200817255886,2.18950269549062,1.30722542460398,-2.02976891027604,-0.132880763937481,1.43317923363394,-2.8295197991049
"IS-NLE",12.4588797104678,25.0921863631536,26.6835907788335,14.7481553501335,9.0471078007219,21.4299015428945,-6.0304872940035,16.2527404936022,16.8809794506957,20.6265044723004,17.4229300965638,17.8727375210469,21.7127747035842,3.96424355383539,7.94608578996785,9.93706484269091,11.7177771367425,1.50998321091224,7.77429662276436,17.8138443663286,11.4805998480891,17.0320599370106,-2.8825841983877,9.89644320466775,3.80936253585106,-0.00554754548684609,10.4732863396306,8.71868080802777,13.0648841035459,5.08950136744526,12.661210390634,1.60422600901317,5.37351886209598,3.15541315806993,0.0181925193004236
"IS-PNS",16.5427749063373,26.6835907788335,117.475434323821,21.8129123964561,25.1453788688015,77.0478323736329,3.61822346064944,7.04723577860152,14.2046956143427,38.1672279222179,69.362794523327,13.8010239320064,32.4619548065939,13.2239651514214,19.236444215102,17.5397727979827,43.3808912139085,-1.71700562503824,15.8790971850102,46.3617877234014,54.0400910901046,59.6200295839452,26.8905967658047,-2.39334925226407,5.79867076928514,3.01115450324679,37.496765283796,13.3984059287749,42.6994780987215,49.9721314232688,46.8282913287294,56.7277160086498,12.213300770525,3.77257170370816,-2.06417770001415
"PM-ZS",7.04875157872155,14.7481553501335,21.8129123964561,23.0438491843131,14.5167052180982,27.2813184803485,-0.124914964189547,16.3389819259126,11.3372438797874,21.7831624939607,11.9605356747935,9.91517984980193,13.7222286252198,3.18219628928106,5.32118413591862,7.35946986029058,10.8666456777017,1.2692440730631,4.6126091437795,17.9033224217766,10.8381416630486,18.4945179725233,-6.36132217637698,8.05148764632445,3.57598058432085,0.359711138332351,8.224480295599,6.26631540218213,10.8378943061575,8.44148625193029,10.4762423370478,3.21025718871455,0.147382004876157,-2.65187290261515,-0.223592849209481
"PM-ZI",1.90543489849526,9.0471078007219,25.1453788688015,14.5167052180982,17.9713613890846,26.8231900756119,1.81215713996216,5.64308805174399,9.87585842451488,16.026324481469,12.9237673662448,8.47788787111194,10.0080739437947,-0.990652261372252,3.46108361890313,7.48709124159436,14.1737751807529,0.425067275148314,4.82690458593154,13.2937911195231,16.3246207667874,18.2310787728867,1.81279991515813,6.11092678276661,3.85634681762627,1.09993801435256,8.86547128768623,4.66916158963362,13.9749000272493,10.9248021828896,14.7937805291857,11.9242021060353,-1.0290381379153,-1.34500450289093,-0.341088218520351
"PM-MT",5.33097170836549,21.4299015428945,77.0478323736329,27.2813184803485,26.8231900756119,84.2338017606565,2.40433056696417,5.18784571464277,8.45043919927869,19.121692567452,40.4340725680822,12.9823521156934,25.0962772332404,7.61653324857895,12.1796926099096,10.4704129665654,25.9443262051152,1.53042524288252,14.7385204472522,54.4559616598959,37.1222388097005,41.9770371781968,-4.54787092194875,3.87487664910926,3.19346710654216,0.576979610428633,20.6469990889997,11.9308813015938,25.4178353824662,29.5257313889847,34.7599342570066,35.5928903541236,10.6896472657105,-1.99454612885615,-1.50006306617821
"NLE-NON",-1.68604271347778,-6.0304872940035,3.61822346064944,-0.124914964189547,1.81215713996216,2.40433056696417,13.5844861703086,-5.53864506857406,-5.22307834635162,-9.96339383646349,-4.18593709224741,-1.56395088195948,-2.18831593524108,-0.803094376428281,2.2288539228033,0.653165067066697,-2.08985343505563,-1.00678810517475,-2.01285863858431,-1.12799912712949,2.54536997016632,-1.50170861583409,2.03421581650533,-2.68337988226271,2.26836735122267,1.0161026638306,-0.528465217311818,-2.17004840190959,-3.68194272984894,-2.29904255073356,4.33366632724809,-3.20493635275223,-3.14719266739071,-1.0676758026365,-0.628846263817221
"NLE-ZS",12.3633321457936,16.2527404936022,7.04723577860152,16.3389819259126,5.64308805174399,5.18784571464277,-5.53864506857406,28.9673286516608,18.0155035872659,21.5564235122204,7.80003771683932,12.055638421968,14.0212513897819,2.82947368284802,1.89660239695334,7.35059108042701,5.76444309887931,0.482717933210898,-2.52589731785004,7.77976422680745,2.37843042620968,10.7490894685436,-4.81784850102962,9.87650398862061,0.917423789877843,0.125762665256249,5.67531842091861,5.25945481601346,6.66594931477758,-0.193498083183542,6.94636647665545,-8.47167512330663,-1.12529550899978,2.02232606882614,-1.07636908324957
"NLE-ZI",11.5584197760522,16.8809794506957,14.2046956143427,11.3372438797874,9.87585842451488,8.45043919927869,-5.22307834635162,18.0155035872659,24.0719374424947,22.584321706225,16.4351978873763,16.9758219641739,19.6013847902108,0.389487958051826,2.76191793122939,11.1665255356613,14.7341814899854,-0.230652495027888,6.40202464333575,10.1866676966496,7.7634277806237,14.9925703967383,1.03451257811869,9.74482195662532,3.57155083275202,0.0999180483775847,9.67421627524918,7.3077208154276,15.1927201347277,5.55947659977965,8.50207552070283,1.21532153216261,-0.0192377827878354,0.396912706170707,-1.98729438416086
"NON-BR",13.6735384150858,20.6265044723004,38.1672279222179,21.7831624939607,16.026324481469,19.121692567452,-9.96339383646349,21.5564235122204,22.584321706225,98.0784035745893,27.0039458236101,11.5486366202066,-1.72494691929613,-4.14984444167262,3.7724714334375,7.19244947924501,23.3523145838717,0.64252088979095,4.44956591120742,9.15843182238225,17.4824395720005,34.4090419112236,5.37153849437226,4.53117173581079,6.86649284566244,-2.18585513678092,18.882620302838,8.58660795208207,25.2716382074728,13.2240630144504,-12.9661155634329,9.38811446270582,10.7210049748315,-4.45711949139787,0.486748578945259
