"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.290026013215487,0.302555430913115,0.803362855928148,0.675676726053359,0.617054704594303,0.614213368657198,0.957921227507911,0.729393464294057,0.732609279105417,0.138607074886682,0.215027801524383,0.0221303581337043,-0.00360083540992842,0.0205451198430628,0.124977760403963,-0.0501185432128312,0.283786158078394,-0.149275590500042,0.12833968375632,-0.00379523658922025,0.376850417114523,0.38493103894098,0.0849127739974896,0.423758689725195,0.200607645664931,0.0279577719018596,0.246418298978445,0.0511072121911618,0.354464826012439,0.0321450537145311,0.209526061349159,0.0119848395420925,0.0402467791458015,0.100859309263424,0.0628778577886991
"IS-NLE",0.302555430913115,0.99288520341001,1.57009099513751,1.36112031650016,1.25268794591769,1.3820055186277,1.01378208251458,0.854810341896643,0.932799320428049,0.387840247176202,0.426920924882465,-0.0760103704321425,-0.174669869329815,-0.0157879269649577,0.436496142333069,0.0129376177314845,0.219726988348107,-0.370965579383214,0.244564005995249,0.0609439450147306,0.507213938628927,0.759821270824334,0.0943848810686062,0.4402020956894,0.583066615565736,0.131286308582877,0.486678638969817,0.157248645522205,0.597474868044565,0.110500797536171,0.667502896921769,0.285073098566388,0.42671613609007,0.194329621217054,0.0277004826310137
"IS-PNS",0.803362855928148,1.57009099513751,5.89061920098246,3.933752168994,3.85487466639258,4.33818564554039,4.36808474429533,3.47271360364586,3.54130813547211,0.999699047050435,1.50094627618626,0.229429535622821,0.329666313295377,0.372416122206403,1.25301005550272,-0.0421792236943192,0.82781632228328,-1.21998730923394,0.553760720536436,0.0187386996742519,2.03951507414624,2.01471592291319,0.645694934399735,0.388979810010664,1.84771899086349,-0.0814224511064494,1.39121083899175,0.516558172859241,1.46155779010727,0.362885860826319,1.08942073736046,0.943060457996486,0.432907901497564,0.935087893292674,0.21409052246741
"PM-ZS",0.675676726053359,1.36112031650016,3.933752168994,4.38834835221514,3.69477226796563,3.70519754911904,4.36951206066709,3.75396715012389,3.42689351542573,1.00956309072136,0.840708333947749,0.236927871474646,0.10049637684944,0.197557599435936,0.809202195874217,-0.153712164896579,0.650501958166627,-1.1203426704888,0.676321885181821,0.0972142342735017,1.45944122478769,1.57352407305829,0.19478395142768,1.643846571215,1.17411912594644,0.094725805008948,1.08192821196903,0.277572626698324,1.32747332245875,0.267649031853995,0.384289467206663,0.888206350327003,0.427293595054175,0.739494862119995,0.177090163694539
"PM-ZI",0.617054704594303,1.25268794591769,3.85487466639258,3.69477226796563,4.48876361780688,3.74947218782412,3.90165138915458,3.1445507426681,4.12568727439454,0.739458276891801,1.12053742067509,0.095452989336497,0.31045385958228,0.299671285888125,0.980980926387276,0.0297927382287733,1.04265575352794,-0.735788217240331,1.14361780044897,0.235924740370091,0.544742487497371,0.967592585085495,0.414074787407144,1.2955468050921,1.36485345836921,0.215785634341853,1.16866280630606,0.507625425902221,1.48169541799318,0.371127290748195,0.623145963010961,1.30963321635238,0.545067233832805,0.85719155212806,0.069791437614363
"PM-MT",0.614213368657198,1.3820055186277,4.33818564554039,3.70519754911904,3.74947218782412,4.62644146492014,4.00457277301843,3.26299332070856,3.58899858482792,0.941272619865473,1.22162429528856,0.350748589039644,0.450032898719448,0.244102126892865,1.07936168567648,-0.010326695386279,0.913177255184293,-1.08791887620793,0.813013212434983,0.111581704291993,1.3188376120132,1.71529679393784,0.327631112766012,1.10720222826758,1.48021846530784,-0.0231659441041524,1.27279990885881,0.556123168345367,1.58416873805721,0.0535847608157906,1.15306160417653,0.791378707516622,0.520659337268732,1.00172339755658,0.223444717119193
"NLE-NON",0.957921227507911,1.01378208251458,4.36808474429533,4.36951206066709,3.90165138915458,4.00457277301843,7.87173832880019,4.75208614780044,4.5430070215541,-0.591868450857582,1.54652307071676,0.580099924113984,0.777072948975973,0.662416619553615,1.08795358279805,0.16925404219908,1.27852334187224,-0.90537843657983,0.760336875268898,0.264805541356385,1.83027306130988,1.97776548321627,0.143191864581904,2.01035865568394,1.13760632013122,0.00276235093488922,1.27833460494326,0.450652440046034,1.61460588192713,0.576761010617691,0.671335053525011,1.22670533176097,0.802351593977544,1.29582578121128,0.474077679334397
"NLE-ZS",0.729393464294057,0.854810341896643,3.47271360364586,3.75396715012389,3.1445507426681,3.26299332070856,4.75208614780044,4.07320237901074,3.68490471730198,0.743520204192415,0.799901046544395,0.186970223008337,0.10375069985959,0.15467027656351,0.492462433200145,-0.104167916060008,0.849852670052428,-0.893257637215192,0.478668055919273,-0.0405536024520106,1.46652635943219,1.46050745463812,0.156382154555765,1.49418592821414,0.773293416098798,-0.0580996157963143,0.846226717375488,0.0697706452128496,1.27742752379463,0.0947006428341054,0.41847450109526,0.55175028367089,0.178134161156925,0.806904907048459,0.168602096226945
"NLE-ZI",0.732609279105417,0.932799320428049,3.54130813547211,3.42689351542573,4.12568727439454,3.58899858482792,4.5430070215541,3.68490471730198,4.63266709550968,0.592626128063766,1.21649447652698,0.065199538975035,0.319653824228874,0.265088371078632,0.78441266125644,0.146190196946794,1.36699049367771,-0.55301145613762,1.2177409970232,0.174312647192618,0.713667100976395,0.931435848286793,0.391211074976096,1.28429566054662,1.04272982294405,0.107919765186971,1.0676383114479,0.284028929487673,1.54820893056981,0.268579629769361,0.638333822369002,1.11437950156922,0.440853429855178,0.98988814856011,0.101871079061731
"NON-BR",0.138607074886682,0.387840247176202,0.999699047050435,1.00956309072136,0.739458276891801,0.941272619865473,-0.591868450857582,0.743520204192415,0.592626128063766,3.31934161296564,-0.321701718481829,0.226421475369549,-0.360990831082402,-0.54066754933484,-0.049394174680886,-0.132575815677086,0.143491883470853,-0.543539523333343,0.144772905543647,-0.198334097888982,0.471907308326267,0.607472866710189,0.112061545906066,0.307157662713485,0.395397396683636,0.0299872076508227,0.154992374354522,0.339161521344534,0.590184558630496,-0.699044331086167,-0.102823241375006,-0.35038205432849,0.147416494350773,0.0345723614570451,-0.138521696013729
