"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",3.00492970084235,5.23072332639148,7.49188219800587,1.54975803960203,3.13052421112648,3.24746111182893,3.45650328086293,1.52114077749948,4.75005138330139,2.66734210232876,4.02987732665408,2.49036764833553,2.66383551618851,0.633149905598354,2.17544374391427,0.843186814630499,2.39002981781338,-0.172809709285497,3.28947523358339,1.28122289202054,2.26601108693083,3.15702317759204,2.01161726036211,0.536063236176847,2.16608769966075,-0.500101058163006,1.74007384385986,1.64157962719854,2.60626707009659,1.78842329168677,0.719207997162771,3.422697967222,1.80229339751084,1.23041240017947,-0.124812242315254
"IS-NLE",5.23072332639148,26.0099655640664,26.9360793807657,13.2111975051423,18.4469696982998,18.3013642111369,3.36400860995042,7.75347977557478,15.7556854124607,14.4295069765254,16.7690480754495,7.33892947719962,8.40880611605627,2.24621261455197,9.97297604939399,2.29941347086585,10.6889973977729,0.260131905340556,10.89375054917,5.70411776547613,6.58502024105475,12.3776352096492,7.62794690966983,8.26322221814327,8.08106202697475,-1.32566024078254,10.0479539241338,8.72184888056093,11.1493152590231,7.18197938205398,-1.15913364585625,13.8088463026224,5.96800867485802,-1.38385138746757,-2.0550559064239
"IS-PNS",7.49188219800587,26.9360793807657,46.6350169439836,17.9865504680526,24.8799948054017,27.6944837706644,8.5998034924228,8.56002274977197,21.6489470232069,18.1881172393125,23.8422582469758,6.37611614301436,10.2680471964601,3.89010710431421,13.6374166308665,5.47114891235922,15.4311754091368,3.41307053858588,16.1765579466147,5.79631621729851,10.4150931887813,19.6267862922172,13.3019730703892,4.91013444153721,11.464489429156,-1.17891174750001,13.579415439203,12.0427114415178,15.6458354978966,8.34261368783293,-0.891185194522747,16.2197067662108,7.13530858649862,2.47294358776171,-1.41709826362761
"PM-ZS",1.54975803960203,13.2111975051423,17.9865504680526,15.7673434010489,15.6801984497118,15.4479472594912,5.06517310338516,9.89083987361299,10.3958999640289,8.8607251456864,8.8331695918898,3.76279889843206,4.93029368688008,0.945520340287722,5.20752202229505,2.12723862819772,7.50092193500802,2.14544708311264,2.90362265901768,2.44639250114367,3.07740655739711,7.31795764694866,4.79597774956602,6.16398736749717,3.56533696101705,-0.29490609345672,6.36472332899007,5.73065091350073,7.8354450757853,5.10506883395152,-2.14474595537633,9.76251864332247,2.34780543856612,0.167788937699131,-1.74796775933198
"PM-ZI",3.13052421112648,18.4469696982998,24.8799948054017,15.6801984497118,23.3836795369561,20.6424608792218,6.26069412203013,8.80903261820658,17.0480408371758,11.6341234729993,13.6316878939451,4.21674695511251,6.71738582349669,2.32068597914643,7.74327680805665,3.64898672339416,10.312281652642,2.55945182833426,10.8959751787562,5.21598606525156,1.48517333684618,8.7087207324279,6.63120811803228,8.39675178713363,5.26319464072035,-0.188613583990783,8.84840685116336,7.53396019624396,10.6090061754422,5.43743039926677,-2.36543594265197,12.4281116022072,3.99791383251379,2.46814653219282,-0.43286167807216
"PM-MT",3.24746111182893,18.3013642111369,27.6944837706644,15.4479472594912,20.6424608792218,22.8372249883597,4.6076819510988,7.44698453372307,15.2134586085565,12.8308637594568,14.8683059785411,2.78044196178449,6.28785075912322,2.41960426434094,7.93638561429602,4.77087687239025,11.2205081242957,3.9225292561206,11.018737505125,3.13367063823557,5.14800656821427,11.5426953632299,6.66496452060418,7.39138115167121,5.82781572173941,-0.465411833965112,8.92627443132334,7.53243705333466,10.4297150871903,5.24536555653011,-2.13547611115647,12.3753847941335,5.0780643103433,3.25338867341005,-1.11024921723971
"NLE-NON",3.45650328086293,3.36400860995042,8.5998034924228,5.06517310338516,6.26069412203013,4.6076819510988,26.1222512686724,7.63530988412209,10.4234780987129,-12.1146666690719,-1.3419891060998,2.75377500137982,4.09721746854895,0.934657690830885,1.47712754867548,1.70479878632294,4.64729362256106,1.36388230317887,2.24752963814426,2.14907191867583,2.66202122190753,5.22420187245485,1.77680870375947,1.63664852700957,1.4354155569353,0.513164393336094,-0.013017277499374,3.78281799330209,4.92059722960402,3.02083236125819,1.81616939700992,2.0526159398406,0.120993038249748,3.74325889368517,-0.679844284582717
"NLE-ZS",1.52114077749948,7.75347977557478,8.56002274977197,9.89083987361299,8.80903261820658,7.44698453372307,7.63530988412209,11.551242487992,8.36370507300182,2.22034610443859,3.37088403178438,3.1741687234487,4.02596225962968,0.731759060458283,2.95172643789703,1.61624194516172,4.57511257742073,1.43591384842006,-1.61116759092386,1.47806769995871,0.668014996235534,2.85038647561223,2.21248088245743,2.96586063821609,2.36300015890012,0.0468184584263238,3.52946761624641,2.68029812181383,5.09683116080126,4.37870872550553,-0.773533727267358,5.94850860057371,1.32453310839857,-0.732326004146018,-1.09141570646441
"NLE-ZI",4.75005138330139,15.7556854124607,21.6489470232069,10.3958999640289,17.0480408371758,15.2134586085565,10.4234780987129,8.36370507300182,17.9652000162234,8.48449774562786,12.8651854854409,4.54682942459253,6.78765095238289,2.02752734024819,6.80291979535088,3.9084599509049,10.5199536246986,1.49868730536906,11.2082282456829,4.34597447714859,3.51896822920386,8.36554696267897,6.16293966258752,5.29681683159154,5.35417585118356,-1.02623626965744,6.6308287513237,6.59821940467483,10.0835567267177,5.69075918301057,-1.36303843883196,10.9852225287709,4.09587193118532,2.38969663861637,-0.226643125766194
"NON-BR",2.66734210232876,14.4295069765254,18.1881172393125,8.8607251456864,11.6341234729993,12.8308637594568,-12.1146666690719,2.22034610443859,8.48449774562786,29.7072391713318,16.5657057361947,5.1986403897265,4.65329522159562,0.527087146129346,4.41745929259264,2.36605020491655,8.5365227085135,0.215973962782666,8.78542979584807,2.21664718483112,5.24087745766769,8.49212142603422,6.00599887641641,4.47641441942331,3.9972537551045,-3.16870568843159,6.48235583179543,5.46805908577176,7.8818518444599,3.91311972112291,-6.95113022745787,10.9050473499154,5.64584013569729,-0.0712219225626169,-0.0124190072364875
