"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.212692623585794,0.0854445451367956,0.323561329622907,0.0789762716107283,-0.118498875473324,0.0755059205203292,0.32698634541464,0.232124971671955,0.214640175247231,-0.0539801430136999,0.269252933699068,0.0620926296193956,0.0866693975077354,0.102650270978297,0.195524811502381,0.264343556189721,0.212902337702937,0.223982903876386,0.0833078701030174,0.0867490824833923,0.328404507269488,0.314128345143197,0.0905406823956897,0.153932322758319,-0.0435649218332662,-0.0168614093326262,-0.029783917101904,0.3450280090885,0.162066233594098,-0.109188010981387,0.234475249626884,0.143383498625128,0.365515127672753,0.0479424004020901,0.187684939032831
"IS-NLE",0.0854445451367956,1.48919313573163,1.57378399752235,0.994710832827286,1.33560114038048,1.10468330683965,0.231099369623155,0.453084934959435,1.03937498406605,0.902329511263213,1.27196125362571,-0.0772019900585311,0.0599661141707132,0.351488418715136,1.18527980344322,0.756427479910215,1.2503798799278,0.788540561937241,0.487050510765245,0.767230922532908,1.26125509479888,1.51727314351154,0.670151627808353,0.589725592867636,0.600359551402637,0.0767429897378388,0.580152585339333,0.602303720301397,0.864502596555783,-0.172792792966522,0.527496327000696,0.0391144668817404,0.9357193364524,0.441651439480471,0.390541132955872
"IS-PNS",0.323561329622907,1.57378399752235,5.38747073807239,2.91671196653396,3.21641421490448,3.38339706059973,1.84134160836736,1.9908498381618,3.23669276768061,2.76405547916132,3.2690341681386,-0.428114433118048,-0.23167585786324,0.104610494570362,1.5352880255959,0.668065018501457,1.53565512647392,0.017721314693743,1.38601965738354,0.690848416839858,2.97040011716248,2.85164464587695,1.8072931139534,0.85143073051684,1.25503579660391,0.364913263947484,1.16083550526334,1.25283851192418,1.50996594236657,1.29190337947996,1.08931236667432,0.258840514272336,0.33063408645006,0.888683638740393,0.598326606005137
"PM-ZS",0.0789762716107283,0.994710832827286,2.91671196653396,2.54363198921257,2.59357828335413,2.37290352999106,1.59736841020059,1.96862925851886,2.48384288657752,1.26713179131096,1.93273360882275,-0.462820349672219,0.0975066628451283,0.211165594383012,1.21891111261339,0.485679622638296,1.10977840601814,-0.205781403439252,0.603834421531343,0.620333006136702,1.78521840223257,1.56035986958245,1.05717524027274,1.29255010138251,1.04049494882564,0.376256597279214,0.959039489234052,0.893878222348902,1.15802926393504,1.49820479828616,1.29891727303399,0.156079238929422,0.00339016740661451,0.714789248298146,0.446262523162599
"PM-ZI",-0.118498875473324,1.33560114038048,3.21641421490448,2.59357828335413,4.68345804791231,2.75383440543683,0.888947871004793,1.57571362557392,3.58546816521676,1.83903692990001,2.29584383109076,-0.163794792292654,0.358128729112293,-0.251606634885523,1.0659746835558,-0.0178993176872181,1.19261885682552,-0.893954113742359,1.6600352749988,1.31136323145505,0.605619302644137,0.411603481324925,1.52824402550789,1.16985912698762,1.57839365182208,0.558217724942371,1.29391163627241,0.338284155918383,1.32640458209853,2.71951953760959,0.629931521699671,0.678700000591421,-0.601934561522831,0.949157064713343,0.20326370456185
"PM-MT",0.0755059205203292,1.10468330683965,3.38339706059973,2.37290352999106,2.75383440543683,2.81702375250126,1.33659651640231,1.73712460094806,2.56654578321421,1.7830595607925,2.05674834872534,-0.645803885106572,-0.178767842534168,0.204410153835252,1.17736443661293,0.382062081121839,1.06264203158929,-0.252668059157716,0.861395086939898,0.606328303709646,1.84897069427431,1.80405979809207,1.10903267708901,1.05328325752921,1.04340167901277,0.307227454965442,0.960411064824496,0.715627042544159,1.17449370693003,1.29530706511633,0.99535635928602,0.170141935585183,-0.0635516100137161,0.680120268539809,0.378836053083559
"NLE-NON",0.32698634541464,0.231099369623155,1.84134160836736,1.59736841020059,0.888947871004793,1.33659651640231,3.28486814628637,1.82734752836403,1.89505379192231,-0.653375316736511,1.06306293809326,-0.659161445466291,0.391660776964138,1.14258828322844,1.61718790963573,1.38593866391417,1.49772203409327,0.462205351674097,0.409496451744182,0.0580923090151745,2.11861986349688,1.32532512366233,0.691809867878508,1.59208327955779,0.282121846847995,0.327706631253535,0.637319202833177,0.923141157431145,1.16422122862653,1.03186955611179,1.88872721277238,0.603576575852376,1.64972644563258,0.2651463964719,0.527405459273508
"NLE-ZS",0.232124971671955,0.453084934959435,1.9908498381618,1.96862925851886,1.57571362557392,1.73712460094806,1.82734752836403,2.41962505613843,2.31568000709201,0.240299105957154,1.31602080961199,-0.447247893834239,0.12093111341282,0.193422413646014,0.928389513530206,0.453561078154447,0.793133346361749,-0.190427010642941,0.0919259861487637,0.514716996498832,1.44195940716855,1.06706156397581,0.697806129648106,1.29389451734421,0.629962280981974,0.184541844865954,0.590422218654839,1.03056099558383,0.896135251357308,1.03406825633266,1.95382269549448,0.0859879071242825,0.144093817489621,0.411462434196586,0.4103786341474
"NLE-ZI",0.214640175247231,1.03937498406605,3.23669276768061,2.48384288657752,3.58546816521676,2.56654578321421,1.89505379192231,2.31568000709201,3.96487657495157,1.16096356127894,2.44279255408442,-0.324712255603491,0.443339641254615,0.267769102909612,1.46018025399104,0.721736683348184,1.52731075428749,-0.275848276212022,1.69479728223361,0.978984728388488,1.45134256801983,1.09904507920767,1.46756833577406,1.54288249980757,1.15822303623161,0.388865187692484,0.964642962414824,1.06068399359518,1.41808361210398,1.9500731352454,1.85063246430809,0.576443327623507,0.341258561683669,0.822143235730381,0.454984931052127
"NON-BR",-0.0539801430136999,0.902329511263213,2.76405547916132,1.26713179131096,1.83903692990001,1.7830595607925,-0.653375316736511,0.240299105957154,1.16096356127894,5.72032057265197,2.02035972846295,-0.211636873416796,-0.598907108747644,-0.252723330191419,0.444696384781807,-0.37187131872949,0.249239176175757,0.0551767782592324,0.786193708010549,0.104754454764088,1.75785524855819,2.36973263446815,0.948353880513571,0.339560575949087,0.779686292634717,-0.00783490430954165,0.80605455725157,-0.312375572143554,0.115708953671668,1.00361724304795,-1.81336676056149,0.4244087152957,-0.678401001734009,0.562837964862256,0.0240122079847132
