"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",10.8804514991687,19.4428050894019,30.8154102336764,20.7859114267657,21.9366062121843,15.4366176892486,18.4685481625713,15.3970243139453,23.0774819563193,17.1121066605393,14.9208759976178,4.35530838823294,13.5919928465127,6.92984767562715,16.2558267084264,12.6887992458783,23.7498166784599,2.7913264316086,10.52809511105,8.96014275425376,16.6835298500613,27.163412964559,8.0613178345992,20.1587707099844,12.7359987803232,3.25503307764928,10.7156129058935,17.6467599609655,23.8818197686683,6.95833034271793,16.3607899196805,7.87164269104257,14.7505476123956,7.43403794315949,2.46873686367627
"IS-NLE",19.4428050894019,58.2646488608133,69.0525745391743,53.9219261582833,57.3813347928269,44.1254328157674,32.3316445999035,33.1741141920733,55.1161291455898,47.3510506942993,39.4745360723941,10.7114753609597,29.2250406462654,16.9004444744309,36.660066905818,27.1771033096177,53.3481029971754,4.79896798054729,26.9657973198328,19.0918618223635,36.0731550363563,62.1236139090712,16.1631734538886,51.5254050310677,26.3510347123411,5.08635756384572,23.4420211952006,37.8540217723203,54.4690068408381,14.503337391882,35.4795883635279,17.1232998146893,31.6333353079937,13.7236767377688,5.0205230604181
"IS-PNS",30.8154102336764,69.0525745391743,109.432023821399,73.0932086547222,79.7430714391909,59.7245507948056,57.1428242668874,52.6889595389531,81.6582727394323,64.0531779800273,57.8774619409779,13.6392000267941,45.6090038578951,25.1773988317022,53.8192451761818,42.1909165397998,80.1892350638248,8.25459914700765,37.1293584847003,29.5320954763656,52.961679390012,91.9678133901259,26.5430541948013,62.5793549014779,42.1993237445741,10.0429655616849,35.2118541887814,57.6863203049904,81.2147934182879,22.5014603420344,50.7546518959927,23.9987069564824,47.6486029344156,24.1878351506493,8.64037084754934
"PM-ZS",20.7859114267657,53.9219261582833,73.0932086547222,60.5429420655919,59.589348049595,47.210153830357,41.0661590242288,40.6509929462279,60.7201461886208,51.632674687884,44.509678954963,10.2114676041239,33.9036226493629,19.9263685939043,38.7506343636195,31.7210828980178,61.2029416914243,6.87425759453673,29.0783577109474,19.2115584240934,41.4677503977035,70.0649458605261,17.2079311055333,55.9933848472627,26.607569422261,6.50220379294281,23.9982001214763,43.0381477469996,61.6280869477086,13.7297337659189,40.7652512543293,16.599799341667,38.454058985875,17.5875052699181,4.65873977991645
"PM-ZI",21.9366062121843,57.3813347928269,79.7430714391909,59.589348049595,70.2426340849439,49.8459380861729,41.3069572440705,41.380556750521,69.1485738862287,49.5394694711852,41.4850206365931,13.457328638651,39.0231539463484,21.1726368392882,41.6274023933813,33.6356149165883,64.3529551684952,6.26317491115313,32.256770230136,24.9425651012734,37.6280022225777,67.736253454465,19.993411234508,53.5067969182751,30.7104090448695,7.56321770076638,27.9031195403819,45.5530514704264,65.458124246561,18.0218589688559,43.5241528655455,20.3268459556315,40.0306593211697,21.4659659399988,4.93772436582122
"PM-MT",15.4366176892486,44.1254328157674,59.7245507948056,47.210153830357,49.8459380861729,42.8282269489446,30.0982207473099,32.0756760013023,49.8355944579301,43.1172121840258,35.6175131191778,7.9382726771256,27.1585142503438,16.9670100991375,32.0790791864275,26.0712393075078,48.7911092087504,5.91331194815829,23.45848417351,14.0342107891818,32.6360957227795,55.9543207874849,12.6330614830256,44.6739365936144,21.8627848421721,4.55868010821907,19.6498869221015,33.6108176788496,48.9695409313885,10.9620878200077,32.4321545682766,11.9461415401591,30.1587687777155,14.7693029260427,5.19246207458047
"NLE-NON",18.4685481625713,32.3316445999035,57.1428242668874,41.0661590242288,41.3069572440705,30.0982207473099,48.5881724496538,33.4742755838291,47.3381480531257,28.8390431704691,31.0849790663044,9.17618819946987,28.8239322313282,14.7554301520992,30.5947343754015,25.187030533975,45.1601058419551,6.3374988274606,20.7862263101428,15.4184045121861,29.4391127144286,53.5519243911418,12.2804976101211,40.9704438097899,21.2938759667761,4.29389404483932,19.0416915309069,34.5668236760283,45.8791914836436,9.16320796466447,41.7267509966606,8.64301538465448,34.2494885234101,17.8097070440421,2.46325736016512
"NLE-ZS",15.3970243139453,33.1741141920733,52.6889595389531,40.6509929462279,41.380556750521,32.0756760013023,33.4742755838291,33.3100864918503,46.4861105367313,33.051657145589,29.2685368758546,7.00327698332976,27.7881279691101,16.0650424241698,28.5064603873945,24.8358550775475,44.9573551567728,4.68288701365586,18.4031457409967,14.3971831993223,29.5587529326921,51.6651327375053,12.2467299032974,37.5615217694773,19.9212438052514,5.54891497731455,17.772005286969,31.2602156022919,45.5778242138812,11.7936825790106,33.9371353879179,12.1009648961312,29.3720065288816,14.0350214201393,2.23163390652619
"NLE-ZI",23.0774819563193,55.1161291455898,81.6582727394323,60.7201461886208,69.1485738862287,49.8355944579301,47.3381480531257,46.4861105367313,75.3051743203921,48.8410630652156,42.11659223858,13.0417412592623,42.1133763864294,23.226100400914,43.5463167823806,35.9865545827793,68.8255679226199,7.44136091768397,33.8157891646387,25.2556715277832,41.3793878723789,73.5977042175304,20.7599472268385,53.7332739572498,31.5962750428745,8.55439086910683,28.8696601665861,48.5511851777026,69.5693477131168,17.8150569808485,51.3621002120087,17.1143796878847,44.8981087474971,23.3000559469193,6.17555526983683
"NON-BR",17.1121066605393,47.3510506942993,64.0531779800273,51.632674687884,49.5394694711852,43.1172121840258,28.8390431704691,33.051657145589,48.8410630652156,72.406810712712,40.3696209493626,7.50676220346517,23.2078508871223,16.6054937442299,32.8884936059972,27.5587285046498,56.2387954016662,5.09028110623646,26.12087737441,12.5398087388037,44.085979591337,71.9401681943643,14.9305486551346,53.8853158472624,22.8919484149196,6.26105076990369,20.8351346702688,36.6436118742597,56.80551615002,12.3270224295358,20.7870965194081,15.3655084474538,31.1671892474635,13.3347356540458,2.68926689646376
