"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",6.83608156950902,11.7595130734171,18.5496711882902,11.4748382950823,9.92925166333487,9.82114277344986,9.99974761863819,8.62124691831779,12.3754004807368,10.0020487912733,10.055685610231,4.43503378142746,8.6234818667331,3.31136817622917,9.31009580580192,4.96037631159939,11.1253570246439,0.64554522241798,6.30588563935815,3.66491826437519,13.1883922858644,15.0895243001775,4.73358570438279,9.58349752181668,7.88103286180972,2.3306384261692,6.85739765605642,9.61083366542605,11.3079926740501,2.73285926224825,11.5340216547078,3.06588968205768,9.10633430922756,5.73365469937146,1.79147969628615
"IS-NLE",11.7595130734171,29.0919988546809,34.344479594213,23.1139174837958,20.7607571704683,19.1756986832436,15.850374814709,15.4465319112914,24.2657089463107,24.1224263310322,21.0113567975683,9.43460709721704,18.3840108574151,7.28857116121305,20.2016931678224,11.2368212994855,25.6332250728876,1.6502271284095,12.5428898791832,7.79509516519897,24.6616482550567,29.4190769856484,6.20779916352997,18.9635246417644,17.8079535225295,6.5795388891966,13.7673658355158,20.9649327933024,25.7681731774699,4.09716876427222,28.8654862266014,3.38261626223944,20.1617492014398,11.6687816758355,1.4550649884954
"IS-PNS",18.5496711882902,34.344479594213,87.6250531389484,43.7411963079119,40.3014056660173,41.4837239250296,44.0279590889702,36.1604438707893,45.5133737906624,38.0392790781288,46.603015886753,14.6421322812899,26.8452836498836,11.4400589916176,36.3933100433827,20.9417074767549,40.5943590488975,2.57001167147405,18.6043040609148,10.3469420640636,51.466128803588,55.6009436570189,25.412029135178,15.3577924450664,33.1621906450092,4.4182348487712,22.6053996601414,34.5792148764412,39.7601427749764,5.49986008711078,37.1357045376958,10.4843239150391,37.0518258602654,25.7831962111774,6.76767702610862
"PM-ZS",11.4748382950823,23.1139174837958,43.7411963079119,29.6369115163297,23.9263496228577,23.9447050156064,27.1582250498954,22.7809490885329,27.990873114036,28.5140214401929,25.8223256023205,8.56249722661948,16.3949040175703,6.57755456971681,23.2270176187282,13.2139013911595,28.1423788396915,1.03892988822921,12.5371361539391,7.47100759022781,31.6309563754852,34.7463208986944,10.1671415276201,17.312299134802,21.7579850525055,5.61723800731569,15.429899381601,22.784526485129,28.1920538996006,2.05958408583299,29.7741397646105,1.85409006980747,24.949807596968,14.5165960175959,2.72762780183295
"PM-ZI",9.92925166333487,20.7607571704683,40.3014056660173,23.9263496228577,31.0669260646794,22.9466683678444,21.9044819168453,20.0771434891002,32.1387311688067,21.871705285381,23.4971504976652,10.1932491092848,19.841309815297,7.98454670437891,21.4849525041657,14.021795294525,22.8522353550662,2.65495851900213,14.2873996027331,10.9550474836551,17.8333220071639,22.2573847681352,9.78666150454175,12.9277634839602,17.1235411532246,2.46650875572547,11.5374104955185,16.3570655173324,21.0096577526741,5.229072982502,28.3280632978877,6.06956240700719,25.5705595582334,18.9439472355331,3.30406699120828
"PM-MT",9.82114277344986,19.1756986832436,41.4837239250296,23.9447050156064,22.9466683678444,22.8922750042954,22.9106140436383,19.3906430123794,25.0732718563818,23.8524656002584,23.4274268259036,7.76244505407276,14.5677955253581,6.03437541459131,18.6721610539918,10.8152100111184,23.3374402587437,1.16712353862007,10.4329980639502,6.54121861362056,26.4767377715702,30.1490046590348,10.8882823955467,13.3872946549204,17.3432175867032,3.56570223964517,12.2453064458717,19.3458231369722,23.2847460833115,3.58558686671499,19.9873542617167,4.38316470744106,19.5849278914134,13.5614466277911,3.12117843957315
"NLE-NON",9.99974761863819,15.850374814709,44.0279590889702,27.1582250498954,21.9044819168453,22.9106140436383,37.7837594050044,24.8135336666705,28.4853580126284,19.6386621083625,26.7247254477823,8.24362649960505,15.2768995735921,6.06656778892688,23.0369483146466,13.8132739599955,25.7176689925932,0.559460339171271,11.1901796505714,5.81383921145516,28.5479574295676,30.2910006464692,10.4856984948886,9.95039998902176,22.0801893621293,4.10622051403041,13.5778727975484,20.2099650832422,24.8952370558417,0.652719071681501,25.4907633135897,1.51171708053077,25.2711595220247,14.4977828350891,3.06715180177994
"NLE-ZS",8.62124691831779,15.4465319112914,36.1604438707893,22.7809490885329,20.0771434891002,19.3906430123794,24.8135336666705,22.5827594432396,25.5583595434369,22.5667071095803,20.5558769427784,5.50184927256972,9.84907638484141,4.12977295001498,17.8103939240985,10.0997085964738,20.6695076243172,0.354255331241275,7.91881934360869,6.28373267410176,23.3589428990075,25.0730601003601,9.3179614551307,9.47230777721429,17.7839972333069,2.70573768077393,11.5137486121901,16.3832016727264,20.2256475625841,1.90371006672113,19.6000376811288,2.65280596166715,19.2457776692415,11.5190540744991,2.57812999984518
"NLE-ZI",12.3754004807368,24.2657089463107,45.5133737906624,27.990873114036,32.1387311688067,25.0732718563818,28.4853580126284,25.5583595434369,38.286855720594,26.0551998864701,27.3433508403094,10.3886653750695,19.8683614246649,8.28961191758904,25.2236712900203,15.9374191310907,27.0281016594183,1.91471027052328,16.8338242138324,11.5566758725866,23.0623928311209,26.3493788725475,10.1797730461083,14.1883180446105,21.1394579337486,3.2712699165706,13.9439627437886,19.0525395855962,24.9014883989602,4.65972758617958,31.6518492134696,6.15041778015939,29.6463250782949,20.6977172747189,3.28391745458823
"NON-BR",10.0020487912733,24.1224263310322,38.0392790781288,28.5140214401929,21.871705285381,23.8524656002584,19.6386621083625,22.5667071095803,26.0551998864701,58.7668934148384,23.5430822540698,5.05600925405165,0.367149676232704,-0.625520004816288,15.3143650011529,5.54268916690393,25.2479885272937,0.0762789758689161,10.0694219571128,5.39287397428103,31.6557467795251,35.53785720481,7.31266889103479,19.4735872053574,21.2227487707201,4.83803757454007,15.1911779616236,19.0933867682922,26.5978080481508,6.16032682538723,-2.26194501852821,5.43108054970611,18.1398564261488,11.3997705806979,0.503241697672137
"NON-PNS",10.055685610231,21.0113567975683,46.603015886753,25.8223256023205,23.4971504976652,23.4274268259036,26.7247254477823,20.5558769427784,27.3433508403094,23.5430822540698,32.2953168174662,9.65966092552729,19.4399337149619,7.79549735561902,22.3805670667081,13.6272396066636,27.403582509087,1.51775948461058,12.2141795589219,6.74701734900297,28.1360291343339,32.0929044299899,11.7894838085994,9.02852280753723,21.410979243478,4.32020765788496,13.4048636345163,22.6761697297361,26.754649541237,1.06431358304939,26.6166147800925,1.97014055599065,22.5342095313104,16.7819508052016,3.5903770087122
"BR-PT",4.43503378142746,9.43460709721704,14.6421322812899,8.56249722661948,10.1932491092848,7.76244505407276,8.24362649960505,5.50184927256972,10.3886653750695,5.05600925405165,9.65966092552729,8.74549675390801,12.2685275136491,2.06390547385389,7.38184002587851,3.74140740246612,8.83136003959839,0.763612159041472,5.82479485329703,2.95706600135349,6.95663437914603,9.88089307361422,4.14540515374971,7.14302967723785,6.50288736101629,2.19753713843046,4.79664081903187,8.68875950056643,9.34898603443872,0.635186519499936,17.1074741979155,0.76723777128337,8.50465578940267,6.4891251667806,1.35870555329936
"BR-APET",8.6234818667331,18.3840108574151,26.8452836498836,16.3949040175703,19.841309815297,14.5677955253581,15.2768995735921,9.84907638484141,19.8683614246649,0.367149676232704,19.4399337149619,12.2685275136491,31.1059556682944,12.2337896053614,19.5954520066288,13.3490928898045,21.1202361422593,2.46106865845518,11.5805755085591,8.16623100007647,14.2787703247396,20.5702255727382,6.63764473681885,14.8523293059802,11.4586300690931,3.40014081472738,10.2888909520844,17.0198850159286,20.0689479162797,2.67082255563379,39.7898717424321,1.9286444505496,19.1405752191393,13.9405499266321,3.10016781018109
"PT-APET",3.31136817622917,7.28857116121305,11.4400589916176,6.57755456971681,7.98454670437891,6.03437541459131,6.06656778892688,4.12977295001498,8.28961191758904,-0.625520004816288,7.79549735561902,2.06390547385389,12.2337896053614,9.12872417877178,10.5358422022559,8.68617401390992,10.5420337673918,2.02920862200004,4.56218631418858,4.29396644580829,6.1762732036893,8.3472515394437,2.99079742427485,5.08608055323599,3.28451707759138,1.16756630933487,4.15636843680879,6.41875454386675,8.70441703516449,1.61981656181142,12.792837358344,2.15062812401673,10.2169408271396,7.76918174509504,1.38850835867578
