"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.45171281019556,3.77320003923225,7.68105738572598,3.53982623443194,4.21263303488388,3.66974603662658,3.66597940658599,3.51783267237175,4.99364138116514,2.09141207021389,3.78551776297052,1.65893518811494,2.31069047713438,-0.314727951838652,1.87333888921693,0.226755819098163,2.88091689051779,0.541892075241953,1.7013903535584,1.44156646418885,3.75316393930404,5.46502100506944,2.44350229620831,3.27370102397844,2.44814761968537,1.01876870549895,2.42574815591257,3.41573795792604,3.34900541502436,2.11820770748828,1.47242081779556,2.57832621370161,1.76472477902693,0.83012627499099,0.343574729631229
"IS-NLE",3.77320003923225,12.2357381380376,17.4062871524842,10.015021007907,11.5871001885153,10.2679680927741,8.46075160380474,7.49711969103441,10.494975980198,6.50445418771673,9.37594291140017,4.29505888954787,6.00881825297852,0.106187610847452,5.30259986586998,2.18931117428505,7.34354539044809,1.31323451219339,2.69514664472161,3.67021594049861,8.89699581052738,12.9835386517558,4.60773063817216,10.1396371614496,5.14439026119405,2.25448503260162,5.04043940780215,9.08258025448452,8.17517936603661,5.35142310753469,3.59356640274599,6.92103044211688,6.71396864239158,2.36931226671479,1.24039347009058
"IS-PNS",7.68105738572598,17.4062871524842,41.3901611704481,21.3009583388118,26.0988880169527,22.7247912851654,21.0168086187906,18.1455450297055,25.7020883907261,10.8134385711076,21.1904815233318,9.09154046374643,12.754488646608,-1.09046132633542,10.2413964131141,2.75171055042818,15.697631084123,2.89611602100136,8.80404589402907,7.91278913388518,17.6823591553506,25.3904255636939,12.6423708168685,14.1113785983006,11.9952796843146,5.788390882633,10.9396400424308,18.5678049394206,17.3616947486176,11.0607753393126,7.65798576110291,13.8296592808831,10.2897962004934,5.47525962024997,1.19524093802433
"PM-ZS",3.53982623443194,10.015021007907,21.3009583388118,15.0547659173114,16.5832382204517,14.0571034487708,14.0042944874306,11.5341284057136,15.6664725323511,8.82480330839097,11.2370281380094,5.09996705932827,7.05716737554923,-0.929170271966068,5.95301547290784,1.99057669745998,9.23826063031868,1.85814996576764,5.42990212961285,4.82570985565193,11.785021190074,15.1450172904289,5.3881624492296,11.9927868049927,7.11529799481878,3.00981465529741,6.2435463430758,10.2388747341196,10.0206445585339,6.96116841505496,4.49343636651519,8.39941676878672,6.36990152314757,3.55409028593296,1.04283877389063
"PM-ZI",4.21263303488388,11.5871001885153,26.0988880169527,16.5832382204517,23.8295629455084,17.4048177342844,17.9136595604302,12.8049641445387,21.3298020768258,8.27016571624112,12.3305095439237,5.49771041141846,9.27915251670911,0.303231612226725,8.315471835245,2.9977090132476,12.8107940389,2.27805922255019,8.61346564020738,8.47836077165006,11.2838506238404,17.8691703954084,6.90410434266505,14.9371980152971,9.0564818528353,3.97077482906465,7.89803287218237,14.6226987400068,14.0512867881785,8.59343570911359,5.78295004848038,11.7133876792319,8.78306740120792,6.12778153196771,1.31882787553015
"PM-MT",3.66974603662658,10.2679680927741,22.7247912851654,14.0571034487708,17.4048177342844,15.4768221660307,13.8966475704845,11.48122605404,16.3944933715444,6.72174865491962,10.7623211265719,5.19332195836848,7.73021137145346,-0.442450674970044,6.05580837426969,2.11383762269203,9.57738445858122,1.48782714826478,5.58778916493983,4.72044872779047,10.764583293226,14.7852571243437,5.81610001408622,11.4951866863922,6.73910685264641,3.3125553972495,6.22305773884816,11.2751624947315,10.5616007628033,7.10412935627834,4.03947832293689,9.18569253053971,6.64804541387119,4.59663876048466,1.35413486868307
"NLE-NON",3.66597940658599,8.46075160380474,21.0168086187906,14.0042944874306,17.9136595604302,13.8966475704845,21.1590998124637,14.4034461569024,19.4920324489289,5.97443584363806,12.3183163514167,5.13859935694304,7.28296211595234,-0.281047462550278,7.47941749128483,2.73367651315597,10.8896121003605,0.988919952441376,5.86201115791682,5.61450333775505,11.9710057736914,15.1313572948344,5.55453531860949,13.2967912438367,7.89238548090183,2.99231225682963,7.44694482649581,11.3993195075695,12.3136379263249,5.78740896213399,5.86815532143303,8.84271420742485,7.77461084823574,4.87441300104037,0.459113830199558
"NLE-ZS",3.51783267237175,7.49711969103441,18.1455450297055,11.5341284057136,12.8049641445387,11.48122605404,14.4034461569024,14.6405714767758,16.2439726919402,6.64120969184448,11.0276472393021,5.36786654296312,6.62342027919817,-1.86043745959399,4.58282570112913,1.13665731411762,6.93984268437553,0.78014807494629,2.56510588694751,3.45006205495064,11.0999321874227,12.440943289211,4.45185234274463,10.3258398120699,5.77043012346813,2.34601708665163,5.68800954767587,7.43067511005954,8.01484746882034,5.45859149453784,6.60569786735617,6.03112502172597,5.63787285832923,2.28070702392145,1.20843777447009
"NLE-ZI",4.99364138116514,10.494975980198,25.7020883907261,15.6664725323511,21.3298020768258,16.3944933715444,19.4920324489289,16.2439726919402,23.547919787706,8.59635245275659,13.5283581195297,6.34816618207593,9.74661538705458,-0.426967452739384,7.94457678065069,2.58370277069925,12.0401506407223,1.75331818287775,7.71055093762759,7.54215880037032,12.9783645720346,17.7727958883478,6.66860332921265,14.6669987034504,8.916186643009,3.92578333773325,8.31130891081061,13.0817064813362,13.4581638395168,8.25968142620858,6.70496257975467,10.5831325418712,8.46755833298661,5.47029056825479,1.57872567856197
"NON-BR",2.09141207021389,6.50445418771673,10.8134385711076,8.82480330839097,8.27016571624112,6.72174865491962,5.97443584363806,6.64120969184448,8.59635245275659,16.4468634314527,7.86976359938354,2.7267211910655,2.98480533340111,-0.696408525048885,4.32706604509154,1.83175093583564,6.30848738768843,2.54420575582192,2.50035264310261,2.34455800618534,10.7136843059189,12.0529963604324,3.21699143446934,8.88670537843574,5.35931790181717,1.82689420584863,4.29948413092499,5.79308282462105,5.88266287743283,3.39810708422714,-0.238226552412307,4.70391850009147,5.50489331864671,2.02989189078587,2.15271950828546
"NON-PNS",3.78551776297052,9.37594291140017,21.1904815233318,11.2370281380094,12.3305095439237,10.7623211265719,12.3183163514167,11.0276472393021,13.5283581195297,7.86976359938354,19.6502785052909,5.77363924171331,7.2198910595907,-0.678432831692172,7.79559789343924,3.310479777101,9.38552443651234,1.67641973495869,3.66062072053371,3.73863532153348,10.1327198022451,13.1172536935604,7.53989975938678,6.47855592444399,8.26879449454854,1.3902727299987,6.11722546248323,9.62876328802832,10.1079176359284,4.06030075287856,6.91664663266515,5.84231295444844,7.90498155758021,2.90639618816605,0.567065636918023
"BR-PT",1.65893518811494,4.29505888954787,9.09154046374643,5.09996705932827,5.49771041141846,5.19332195836848,5.13859935694304,5.36786654296312,6.34816618207593,2.7267211910655,5.77363924171331,5.09097145831939,4.44516620189501,-1.77348672015631,2.03099630494443,0.129237730213714,2.74862207070105,0.392107763397802,1.35400293328736,2.03279580188078,5.43164106277077,4.96062636326307,2.35654547204658,4.32184837582543,2.8250400149734,1.87154654467678,2.34442109657499,4.78388083562592,3.04546020475805,4.15063227700205,2.85289490154171,3.96771051401762,3.0286202160126,0.677098074710102,0.733223669183571
