"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",9.54486698489635,17.1974960519014,27.396318040933,15.5083934573497,19.9361125638246,14.555287435722,12.3108149342879,10.9393309382165,20.3233269485463,17.1881635236734,14.0623218536639,3.5667942886918,9.00235366318102,8.00865519602835,13.1576922840505,9.09433386473245,21.8657471760591,-0.251202418334836,9.19249476386588,8.57567910129894,12.8881224924684,15.9519901580133,8.38808911492077,10.6895082979918,7.70584913802127,3.21562555921789,9.49599949296191,14.9979114677227,21.6973796278187,4.88508067978171,3.58607598231907,7.84776009665446,14.1448708363711,10.4399313779498,2.54366737509635
"IS-NLE",17.1974960519014,44.3535060948251,54.9251019307438,34.8145076107045,44.5330938310302,32.7118679031829,22.0825853493542,20.7461690516787,40.3227954265718,30.3233991585124,24.7842383750353,3.50904850513619,16.0879747639216,17.8443268690339,28.1567725998721,20.112108413358,48.9610080958951,-0.366421126769901,16.5779921510771,19.7694191676125,26.9244780468504,36.3051903055988,15.5260226561225,26.9869458408628,16.0024358888314,6.02823533238272,19.309684110921,35.3421658204995,49.2851375272743,15.5603914721349,-0.236175005410681,22.4992575664121,27.3844423297,20.3013711858847,4.86567226448423
"IS-PNS",27.396318040933,54.9251019307438,106.337552979955,52.1767926907487,74.0435850052745,53.515510916984,44.4324218924799,36.3548558093069,72.1598666833992,59.4290465816684,52.016567283281,12.1793556097494,29.8392260535092,29.5051495543849,49.7954816781789,35.1093523164194,78.1756090451493,0.313649248309224,32.2754935339131,34.9207957425932,44.9866165362755,58.876118923092,37.6728072304592,28.2890818309135,28.1626058024109,11.155140364845,31.6802721481912,60.407591453149,76.6894867793432,21.2885915291654,11.4441387588968,28.4934148191841,54.6718490671202,38.4836592567942,13.264037386704
"PM-ZS",15.5083934573497,34.8145076107045,52.1767926907487,35.0235710747064,41.3505507855023,30.629028442537,25.2997689124827,21.8391777414515,36.5226915559984,31.887631775163,25.4544453235352,6.63933358867369,17.5248146038497,15.4644456281007,24.415916457459,16.8694333406366,44.7131857658341,-0.477261359533921,14.7356795589764,17.4936413454003,28.2274107070417,37.5708681289563,16.7910953979127,25.0229724298503,14.8919174110186,7.6846538788445,18.342261251486,34.1266228783405,45.7920511118815,13.5480378883949,2.85631940306043,21.6908751501096,23.4488947195427,20.1974264553161,3.9657731438935
"PM-ZI",19.9361125638246,44.5330938310302,74.0435850052745,41.3505507855023,67.7902511623681,40.8585538278268,27.6544527514174,24.6417798105091,57.7429818328138,43.3702715210613,33.6934628963021,6.90290130359303,20.8444681085339,20.4418555980836,34.7353610338715,24.5119194165943,57.9967895576219,-0.943009543380929,25.7979673350791,32.1597509783713,24.0362226583586,44.0385197547845,25.6443862101088,28.9679510751165,22.3235077671916,8.74984571816389,25.3747715928246,45.7822708354027,59.9202208508518,21.2527644560231,5.31655387614006,25.8719476888465,35.0203383381062,28.0418763017729,10.4795670850367
"PM-MT",14.555287435722,32.7118679031829,53.515510916984,30.629028442537,40.8585538278268,32.0718607505017,24.601684091277,19.7335085899006,37.7526004046562,29.7793398969993,25.8765678424716,5.5342818615941,16.5562174102033,15.9031519242466,26.1637121384413,18.9640579954275,42.8797843131565,0.171722134665389,16.1623827738038,17.7054421964409,25.116227253795,36.7458905843709,17.1128069938114,22.0680823540687,15.9444565060577,6.88182200805821,16.9160262243118,33.601684446533,43.3009401493704,13.4992349606303,2.48059405073963,18.1085047582605,25.8404306392156,18.3200667107505,5.47676557862775
"NLE-NON",12.3108149342879,22.0825853493542,44.4324218924799,25.2997689124827,27.6544527514174,24.601684091277,35.6375702798233,20.1186616742139,31.4904820902033,29.1778767080183,25.3420052714976,9.91770571656956,15.6595109955741,13.9595040630436,24.3771271401681,16.8929142352821,35.0050949038569,0.039654420683794,13.9908428455284,11.6245610488204,23.4080442559038,29.9220936330648,14.5820925518556,17.0290922020394,14.2204760638043,7.47354266191046,13.3275544252769,29.3041414045542,34.0568742633692,1.95198475058312,3.43326231349952,10.571250373765,25.9852569199574,19.7363265269566,3.04804532383704
"NLE-ZS",10.9393309382165,20.7461690516787,36.3548558093069,21.8391777414515,24.6417798105091,19.7335085899006,20.1186616742139,19.9428689159522,28.1254425298503,22.401913685016,18.1188824554264,5.53821643893474,12.7648983531617,11.5730234055307,18.1029261082662,13.41485794266,32.145436743867,-0.443834692616769,9.5904229425041,9.71958223558948,20.4988459697695,25.5232080608495,12.5316376809195,14.1655758226831,10.256202385054,5.93004975575932,10.6756628347182,25.6817744436496,31.9541001509234,7.68660696293723,2.55548625753347,13.664850447853,18.0598367513647,15.5115385606909,2.15961548612843
"NLE-ZI",20.3233269485463,40.3227954265718,72.1598666833992,36.5226915559984,57.7429818328138,37.7526004046562,31.4904820902033,28.1254425298503,59.4474855501749,43.2827116993726,36.6734504398757,9.04720264273733,22.2520977950177,20.3608277721387,35.666249050126,24.8609503480951,56.0391304888668,-1.09146945215385,27.0936784721308,27.9672385484642,26.0280480953395,39.3234114237705,24.5726939732656,23.3110725386314,21.9295871262184,8.38147273723382,23.7184325360234,43.2283034920144,55.8243427845304,16.6226892363515,6.92066099270742,21.293462047172,35.4506049908421,25.3551820056985,9.18183458785635
"NON-BR",17.1881635236734,30.3233991585124,59.4290465816684,31.887631775163,43.3702715210613,29.7793398969993,29.1778767080183,22.401913685016,43.2827116993726,55.796692050355,34.709089523585,10.5276749214233,17.1876314524246,16.7626100574426,26.9338925829817,20.4713638922971,39.787308947371,-0.176456907428611,20.7724143291774,18.3926231857794,20.9187076057902,30.4093164757715,18.4623716593287,21.0259596604816,14.9879912018215,5.59124496586875,17.8376098475388,28.9838943957813,37.9849986994167,7.63742411729781,0.613373738685531,13.2828937288597,29.7483850610594,17.6519756800808,5.80587786769746
