"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.43791193173373,2.17856879781821,2.92531985301451,1.41179016039231,0.62270226438524,1.18363740762117,0.512596589113221,1.16756795868732,1.33694158089302,2.45392031393655,1.86324162437516,0.225075204886323,1.2710032141677,0.842289668668721,1.28385075096772,0.829653952001966,1.62534921744834,0.154579494850464,0.246207237218206,-0.0521591997598823,2.18982718899604,2.60858390077238,0.606159813271082,1.3558740859444,0.795070719121565,-0.0106402339985947,0.906397397636718,0.751877993349439,1.67440292433427,1.12369731778469,-0.247449893793514,1.44556367922994,0.842439631717683,0.803521815194477,0.416154442107056
"IS-NLE",2.17856879781821,11.007984902893,7.15849327328462,6.87020849250372,3.60271254959051,5.46830085249666,0.965977219398297,3.40923066107666,3.58747732297403,6.38016645723534,3.11461996156855,0.480919773358281,3.14565971893261,2.05676369222181,1.99371828745441,1.40820096728391,4.25883330019567,0.72360442144848,0.676887521180743,-0.9464287847101,6.65930322022102,7.8092341575733,0.647666232622412,4.55779473947142,1.7398423740764,-0.170045897284823,1.75226860978865,0.11062103202592,3.73686934443241,2.03036488194558,-0.424146463536156,1.67266814303278,0.100406414852229,1.23020487699348,1.34072303733294
"IS-PNS",2.92531985301451,7.15849327328462,9.55087967382643,5.56387939090813,3.90233352921044,5.1204131411536,2.02114022131335,4.07086862520827,4.31066533166133,6.06575553390576,4.36169511767912,0.300217430914693,2.97719994745928,2.15216246256696,3.28959910056097,1.87636982463435,4.50393191498435,0.615875103860311,0.36155064316997,0.0568367974533196,5.99681271027332,7.19085994711845,1.86442456259797,2.93013520916493,2.22796300086831,0.33686469588696,2.50766159249672,1.27612917079455,4.33731569749257,3.57713796489025,-0.319180733646376,3.65015849865338,2.62006086406422,1.94081600218797,1.62287981899114
"PM-ZS",1.41179016039231,6.87020849250372,5.56387939090813,7.56226883632108,4.39012762973468,5.44897502690608,4.22845536804363,4.6403451166664,4.26187411588322,5.7317719920526,3.02395420041695,0.639618922303105,2.53933126467483,1.46245091261548,1.90135151518268,1.2027740213703,3.84351209984519,0.428039778904453,0.428415631868351,-0.65490132601357,5.69275096019353,5.84564747716827,0.417079560787985,5.16718934926763,1.71946900042602,-0.00026911696301365,1.84663667797307,0.277133355824517,3.16808912681916,1.85639605922091,0.028783274013876,1.47517213426444,0.539984355600943,1.01027587381733,1.18805672142757
"PM-ZI",0.62270226438524,3.60271254959051,3.90233352921044,4.39012762973468,8.78912943817478,4.23022763423479,2.29178821568445,4.76028606485342,7.22420319099161,2.12923126669988,-0.428434652117534,-1.04208134722992,0.485154295533513,0.783142309094998,1.90209663966638,0.844807196440654,2.73674866215581,0.407367809162545,1.93902308872456,3.12577269053333,-1.87124804979487,-0.139738570056792,-0.133530393164922,2.02964716536417,2.18584939301825,0.359460103827194,1.6016930696072,-0.786496444449756,2.77154716361366,2.33233890932116,-0.51999733689535,1.99626204177126,2.75487246067829,1.25898416319714,-0.305330536823219
"PM-MT",1.18363740762117,5.46830085249666,5.1204131411536,5.44897502690608,4.23022763423479,5.06702379620721,3.46407003808536,4.11013435623713,4.27722289394546,4.10634728298358,2.27484724266263,0.0995653613747012,1.98574291577126,1.4393752458837,1.87929547161915,1.29746627145885,3.67802665760538,0.665156060540136,0.302034981628647,-0.085752223333771,4.396710609933,4.77492334072715,0.601808629398896,3.98080752310271,1.39675633280805,0.198425557447284,1.64228738018726,0.389106784034613,3.04852472502679,1.76300904794448,-0.00271237242760741,1.61381233592721,1.10903601193706,1.07361870019272,0.904506879612221
"NLE-NON",0.512596589113221,0.965977219398297,2.02114022131335,4.22845536804363,2.29178821568445,3.46407003808536,7.98935646687732,3.40939683729111,2.97901081201025,-0.0329003358321466,2.39902891335683,0.59059590179966,0.833974559786382,-0.132970407329144,0.284169766190346,0.432239167740974,1.69580328427209,0.359942216445072,-0.216353252128169,-0.655170819208045,3.09781201312233,2.00517222632661,0.248151732372994,4.23403050983754,-0.114355108935213,-0.0406342103220866,0.667384929727165,-0.0497390229862892,1.02489499782604,-0.234861218660833,0.413289476858545,0.660604759736726,0.232081513878111,0.660979372312911,0.405371937954102
"NLE-ZS",1.16756795868732,3.40923066107666,4.07086862520827,4.6403451166664,4.76028606485342,4.11013435623713,3.40939683729111,5.80785039461552,5.54787206897257,4.03968721312539,0.611178448095027,0.144927390039118,1.89622628037969,1.21022386115321,1.62473662879489,1.10490578342099,3.35906781565496,0.197470776212093,-0.386034497664598,0.995995744480705,2.35365640100436,3.36093984067601,0.363835010010166,3.58474396506261,1.39279049694284,0.416306499494497,1.80610666949448,0.311851271237351,3.1895995054822,2.49026070420424,0.0326024413761661,1.73717855292747,1.14234265462498,0.854940556751341,0.496158247996427
"NLE-ZI",1.33694158089302,3.58747732297403,4.31066533166133,4.26187411588322,7.22420319099161,4.27722289394546,2.97901081201025,5.54787206897257,8.13504531969946,4.3542726113872,0.499611658853996,-0.747474050959434,1.39196444299402,1.53854522257128,2.69106899596562,1.64363577933859,4.29247030946329,0.220388021425124,1.94034814856137,2.47150733084781,0.165857966027554,2.22337018185116,0.484256932948999,2.97658883445424,2.49849552619613,0.618539343266353,2.27326693508845,0.384029760240714,4.39147284849472,2.74620614169271,-0.87230829567952,2.27645630000611,2.71333321576603,1.48107468284693,-0.164480226899129
"NON-BR",2.45392031393655,6.38016645723534,6.06575553390576,5.7317719920526,2.12923126669988,4.10634728298358,-0.0329003358321466,4.03968721312539,4.3542726113872,17.5882574486819,4.90075144569613,1.59656175217671,4.08895084964276,2.39572341821319,4.80733034715254,3.12978993226668,6.09859991819653,0.0701284832009862,1.30825218326945,-1.3950311460882,8.69867295546111,9.01682572893298,1.7756075204967,6.41158443770899,4.29518750608838,-0.0146029838972546,4.09570394545588,2.69308861997838,5.81340215919807,3.88173646766227,-4.76825213748115,2.32400544280848,2.92695290562503,1.39152102287984,1.50507621410678
