"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.380117534512892,0.42103432404413,1.45128678337031,0.605321255649698,1.10783163629985,0.976062374000953,0.468396397394832,0.703370127388222,1.29312902097136,1.45525928417565,0.875111015549965,0.214554073281015,0.391046453543561,0.237485829469072,0.84449893021239,0.37230073930256,0.704160556140317,0.0965748590572988,0.593513747446662,0.314246765918639,0.998170075291498,1.04662350677041,0.4588993627013,1.06741733442469,0.63717590187777,0.101243600446739,0.597816646036958,0.530015910699457,0.649164093726483,0.555924803066592,0.485314959935235,0.490119003037697,0.647983801307657,0.0948637907495131,0.0845677639328253
"IS-NLE",0.42103432404413,1.08454758343426,1.98277657964554,1.20520168493286,1.71176965660755,1.46666247959433,0.390886844673313,0.928471306945034,1.63279473073438,1.95047541883709,1.19735205979888,0.107092718803138,0.455825677591887,0.0934052113254827,0.866745634142029,0.185618755438459,0.796081774596184,-0.0600986276199432,0.725943088691338,0.533215955547836,1.46402431792966,1.68322186251822,0.434292788814612,1.45869714510771,0.908421595627729,0.20329317006955,0.724844256642237,0.719667310666259,0.871051841675484,0.529139037251144,0.651869540917448,0.604116984126293,0.371253514855004,0.146429391411931,0.134308238870137
"IS-PNS",1.45128678337031,1.98277657964554,8.37338938972167,3.68597698258429,6.70315927620191,5.53926786949686,2.76962089237739,3.49074945547606,7.28054042176176,7.86094511093814,5.16910031494932,0.993067919462943,1.77391487203298,0.982808726178884,4.11905929782179,1.77271863809201,3.19722051974028,0.373935967054469,4.00174396316583,1.69545925732067,4.22205947407065,5.09393116170973,2.07362030057816,4.52195716205491,3.39054537141967,0.671654911131461,2.97800380738404,2.99686596174852,3.1324758311622,3.01230588949991,2.52320205940517,2.33385451716162,3.13499395074597,0.627544497584765,0.59961877008942
"PM-ZS",0.605321255649698,1.20520168493286,3.68597698258429,3.16250886978119,3.78389114827845,3.53407975136775,1.07537084337863,2.91809569030512,3.85102615931424,4.28837294337458,2.30624033533504,0.643498921446996,1.29947861546871,0.911993899305502,2.47890637999329,1.17638961274367,1.74340948198572,0.136414450212631,1.18631452099591,1.18458773556741,2.66168949806577,2.63037919621108,0.376114301895847,3.37029248335882,1.60660078277409,0.297604122851564,1.53313290525769,1.11109582279282,1.5676543031072,1.48498009856723,1.52819539523476,1.26207184181298,1.55223201632855,0.387458277969849,0.491614274313675
"PM-ZI",1.10783163629985,1.71176965660755,6.70315927620191,3.78389114827845,7.69015210403344,5.26060260880935,2.48564426027132,3.68461611941588,7.82906786949329,7.21467464526288,4.25952977787542,1.19408126418524,1.79305009427621,0.905249451879073,3.58979750464146,1.60222902881688,2.81198447075772,0.101982646746218,4.10868746731828,2.03459206628498,2.95784008859685,3.23013073256013,1.52628039561928,5.170975494841,2.79812982867642,0.594961808520187,2.53834630935142,2.35859994655641,2.79852159566257,2.95821271223224,2.29220695830836,2.23664578916244,2.62287522556225,0.573557271595526,0.56650502854372
"PM-MT",0.976062374000953,1.46666247959433,5.53926786949686,3.53407975136775,5.26060260880935,5.0644012356747,1.48967613450701,3.30296545825388,5.42639946503642,6.28756247086424,3.41610118447587,0.969000692741999,1.83749660629348,1.18157074294991,3.39676319714441,1.60083837004501,2.26179784082112,0.158126547050723,2.33351325706336,1.54545327772699,3.49774164978242,3.64431195927337,0.897487772645294,4.5689807935332,2.34332491677074,0.453132236521886,2.24226503210386,1.77464445749269,2.16575295348798,2.47048440465049,1.8268796238497,2.04575423241489,2.21158213128738,0.409443539491708,0.61855046371448
"NLE-NON",0.468396397394832,0.390886844673313,2.76962089237739,1.07537084337863,2.48564426027132,1.48967613450701,3.4870105092339,1.35392601360637,3.08954911696235,1.50831675999902,1.1210255525493,0.222076593897196,0.318784478039223,0.542178791070239,1.55270676310651,0.852548940711669,1.49086443601389,0.348664410449029,1.87450157444932,0.622382304664426,1.83772661534901,1.91612809678987,0.981487583133249,1.46501119243784,1.16273345158101,0.185259505992086,0.986073625882014,1.04658630495811,1.22485362563338,0.694965084291981,1.26459769056421,0.362503287405223,1.67334382442147,0.278068430394792,0.0573655869340648
"NLE-ZS",0.703370127388222,0.928471306945034,3.49074945547606,2.91809569030512,3.68461611941588,3.30296545825388,1.35392601360637,3.38726640667141,4.21633861207798,4.56132999776819,2.34804823122702,0.817011743724254,1.26181720254564,1.10472708206312,2.81595909104871,1.54184221396818,2.24807806255703,0.425663018096824,1.0182907841667,1.19700629154266,2.91107437000637,2.6216408279242,0.506823634352084,3.5891426838147,1.59132688325373,0.124230731487855,1.60662834246292,1.09287655346499,1.83138053644331,1.57163459263476,1.620025249971,1.1579426003252,2.03087995430015,0.29022506220547,0.48425820089898
"NLE-ZI",1.29312902097136,1.63279473073438,7.28054042176176,3.85102615931424,7.82906786949329,5.42639946503642,3.08954911696235,4.21633861207798,8.70810000962341,8.03934206869706,5.03056749305553,1.42554037536136,2.0570871696884,1.23587814456717,4.41391420386044,2.1750846665243,3.69818842536563,0.396327334264589,4.58362240917888,2.10575503246973,3.98457967531635,4.06087414625755,1.9340318356759,5.61754209737456,3.24920571084021,0.546947674810626,2.9171337318612,2.62428069341842,3.3611385324536,3.36857309628085,2.86992483463078,2.43576286248159,3.64014909566091,0.710325753660471,0.582187451769133
"NON-BR",1.45525928417565,1.95047541883709,7.86094511093814,4.28837294337458,7.21467464526288,6.28756247086424,1.50831675999902,4.56132999776819,8.03934206869706,12.6806470806427,5.6049855877123,1.94423001478083,2.13504533772591,1.17230695574879,4.85047062933499,2.10986594533593,3.61370648611715,0.416199328936035,3.62715753277139,2.0305070698506,5.84617674764713,5.93327168732472,1.4501212290836,6.96436748634772,3.67458001644613,0.608301150790671,3.42306989985878,2.79295429582569,3.35686962844418,3.95783698510222,1.36403820422595,3.17831728158043,3.48973398730294,0.163401351996624,1.00588568427788
