"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.18572239180452,0.977449093541091,2.51561200010193,0.597561300564574,0.280531089084356,0.943141106983712,0.776760941894424,1.24419536890777,0.904354699675276,3.83137243442237,0.991677259376152,0.877180402615422,1.95474296667554,0.852883618745649,0.73463008134535,0.858372834652888,1.65625024369748,0.0193219563615006,-0.404072921605624,0.478646505134145,1.28788154938646,2.1203803517498,0.460646383546053,0.528574142198769,-0.253832238007176,-0.123480485642198,0.310859764841007,0.582222023064403,1.45070027902718,1.21831678952437,-0.641054721125466,2.13567207369054,0.643889777722619,0.897380238633614,-0.0133772253765121
"IS-NLE",0.977449093541091,6.37355348948537,4.91650879141547,3.3243909547855,2.10953325355472,3.61062161133505,-0.818990728509311,-0.131033835627989,0.583580073172825,6.20515616485628,3.19322289712093,2.67293233462539,5.24871165259623,2.18726105591671,2.49104292728896,2.82888229478255,3.73514967071912,1.162357830143,0.881366600996894,0.744858103425878,4.8205863046596,5.42567296151804,0.616192798639764,2.2523185485854,0.94276434524714,0.230226687476482,0.980465775488473,2.05494747676697,3.21598332945294,2.01103003270896,1.17120516564785,4.05406581707897,1.38111377503675,2.2267577644446,0.963725170731576
"IS-PNS",2.51561200010193,4.91650879141547,18.6507076091054,7.12512647135185,8.06440707549824,11.2603002668763,6.10733182088592,5.58041721098253,7.38537215105858,14.0326878623312,8.30893662509137,4.55978963734697,9.74572856794752,3.80115558925294,3.99547118215756,3.29007365083378,7.52448660751706,0.225537978673369,2.34065762351603,2.38395491851944,4.71857638785745,10.9933754225616,1.26344959929961,0.566640927280341,1.99168109405488,0.0230006975894917,2.67755111939556,4.16053657938243,7.27047872668824,5.55274524105799,5.72511643410034,6.01903939936945,2.25160720498648,2.79863328243488,1.00975699257576
"PM-ZS",0.597561300564574,3.3243909547855,7.12512647135185,5.22676821997153,4.27190265416421,6.35018162832952,3.86810513771899,2.43859677739566,2.73565019420436,6.08495082215593,2.85915167811828,1.81823575670507,3.93943428600789,1.78102298292349,1.2913461088255,1.31704538258897,3.49543114847839,0.95290745335959,1.0865829100733,0.140886004555584,3.12978087578289,5.36181806600791,0.378779964413587,2.13559869905235,0.764179946684779,-0.191128288052249,1.25861968103961,1.62376099321416,3.33857395754001,0.892578036254301,1.07834626002888,1.42196480888806,1.03394302148746,1.75664665559376,0.829598943061301
"PM-ZI",0.280531089084356,2.10953325355472,8.06440707549824,4.27190265416421,9.17607103303709,7.43171429838804,2.36400970405648,2.45489306162499,6.883859658342,6.21477447632982,2.85363231165638,0.848902699785038,4.05567152038034,3.28128974512437,3.48726299559432,3.02439430623243,3.90542054218222,1.25311817846891,4.54274316933257,2.21869955798205,-2.32970009175443,2.45847070572394,-0.0747725837998031,2.12251395648819,0.703928708369559,-0.399879475299123,1.60415116387755,1.73518896665894,3.41787065863566,2.38229937533318,5.95587474311013,0.467246827845223,1.17365290844621,0.912375102693972,1.26972553069426
"PM-MT",0.943141106983712,3.61062161133505,11.2603002668763,6.35018162832952,7.43171429838804,11.1476218342387,5.24059387638621,4.19272629570797,5.91516572448263,10.2249736488486,3.40739051704886,3.78869521598072,5.34210232086739,1.78263954862126,2.05738518664826,1.85949011931765,3.51516969735457,1.04897241801814,2.32854462017193,0.591781425316995,3.45618607183025,5.83837570645621,0.521645843244067,3.74377950289562,0.881293304772773,-0.127374518204488,1.78792735381505,1.97654510717603,3.48338698099048,3.57076800660756,3.51073201155361,1.80008448041452,1.56169264782971,1.2014872420649,0.611138713160177
"NLE-NON",0.776760941894424,-0.818990728509311,6.10733182088592,3.86810513771899,2.36400970405648,5.24059387638621,10.6153875337214,5.36816835012047,3.85286799239681,4.81585841343134,0.841456640508458,0.353194661280935,-0.132206221426876,0.114317842105249,-0.524344509918371,-1.01743922584716,1.65469998476275,-0.237397896108398,-0.831950417540566,-0.331390850388055,2.61040671061675,4.20154065622975,-0.503855598093128,2.20640054268724,-0.385968179756905,-0.790940714174443,1.54879583229292,-1.38285312682556,1.70867683572207,-0.640328067462777,-3.35531273324952,-0.739158832915963,1.17202206011169,1.41509665842119,0.561096938446902
"NLE-ZS",1.24419536890777,-0.131033835627989,5.58041721098253,2.43859677739566,2.45489306162499,4.19272629570797,5.36816835012047,5.40770568892106,4.09032475921776,5.77041024227174,1.75931640740876,0.365631748089367,1.18222239650987,1.06590701695815,0.637183699612305,0.455411671471371,1.4400379735135,-0.421406541489536,-1.39234076634766,-0.0313161243745739,1.01382806743179,2.90359777806364,0.10421663055419,1.60474616801302,-0.662837308509863,-0.725331727795935,0.981613323535747,-0.492645132938888,1.37423243563802,1.89705863906918,0.626009618803288,0.682431804583146,1.11186996335171,0.645292354959984,0.401389056644223
"NLE-ZI",0.904354699675276,0.583580073172825,7.38537215105858,2.73565019420436,6.883859658342,5.91516572448263,3.85286799239681,4.09032475921776,7.96746076860165,8.31715587480405,3.18317046738097,0.5892115799981,3.05358620026761,3.07151285735531,3.20949966703392,2.21604588417133,3.48850329825388,0.155539791790638,3.64713838510005,2.15409337177251,-1.52124205069268,2.87428448856383,0.113877899277619,1.98192836310335,0.0513106063284935,-0.552284609496639,2.0444600952313,0.537256972406206,2.86343777926082,2.98149446605337,3.70163987754084,1.33074807804305,1.5731786928728,1.02826255649943,0.863650677067959
"NON-BR",3.83137243442237,6.20515616485628,14.0326878623312,6.08495082215593,6.21477447632982,10.2249736488486,4.81585841343134,5.77041024227174,8.31715587480405,49.9715693869496,6.24755933003323,7.7325835704807,11.135574004376,4.22959543107823,2.16737500213885,3.45836421455412,10.3403483211315,0.373971300734902,2.80702377386463,1.64859475507931,10.9056365606548,15.4990315564218,2.00580496415999,10.8010995156822,-1.60155231398411,-1.63322673893229,-0.754726446893262,8.41881002947011,9.84515006286213,7.36220778357223,-24.5071709029847,12.8643420817864,2.26943286831973,3.75053486857762,-2.31111382888173
