"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",7.82895647841841,14.0797841313458,22.5221182178441,8.70692234445648,8.96650259269322,10.1206427596345,9.69470814311141,7.3344554923853,13.2494028024981,12.8212232067053,12.3501663671848,5.92547774281189,6.7802354268747,4.56509932320654,10.2129203480706,3.93867580339546,11.2845300480283,0.116297346925246,5.6736407637628,7.99948721050669,10.7803251627043,17.9553322534335,3.9625634809988,9.32017666869564,6.26939255155753,0.279441202265979,8.49211544098273,9.31720950968435,12.0267771027794,5.34069907848811,-3.59760044859752,8.840434573395,5.26840783882436,-0.583092675817566,-2.14296895327825
"IS-NLE",14.0797841313458,37.145511403753,50.2106023351145,24.7061029715201,25.6697008650933,26.8497574718593,20.9748902790883,17.0974630354851,31.6363614947052,29.4298540844222,29.2826456534611,12.8845074885067,17.5276347595333,11.9746087815069,27.0302637056107,10.0813232065017,27.8671814215224,-0.192515510315846,13.4097671907436,19.919578981029,26.3001049265882,44.3624557806452,10.0855798400614,28.10370322489,17.5180035804672,-0.491374286152732,22.7423226274048,24.6083471681591,29.3266994600797,15.0838948180978,-7.0524696029147,22.2273062917121,14.0137270592497,0.170820757276454,-3.88892861817675
"IS-PNS",22.5221182178441,50.2106023351145,81.6126374698449,36.9020541911132,39.2472160537397,42.0892131579229,33.7754523386636,26.7735535311914,48.3569383722514,48.0696429467211,45.4520740575617,20.2267041952221,25.6212544719725,16.4663296017887,39.965804461374,15.0799859520439,40.736281389931,0.383657741757112,20.3897912417946,29.1757348391145,39.2664581836963,64.6358928240743,15.7435487394641,36.9810689490754,26.7891046031746,0.549037120294504,33.5056868862401,35.1616636995778,42.5859895993805,21.1476733047108,-10.7275624674287,31.7808673026239,21.1823039849154,-1.06883505895398,-5.03106462483693
"PM-ZS",8.70692234445648,24.7061029715201,36.9020541911132,21.7242445314753,22.5925370368973,22.2418409085852,17.7349438343811,15.7585819815822,25.2807107296459,23.6998889024969,21.846732760115,8.92381630651237,12.4531674724285,7.60733758518992,20.9118945481576,8.16245795482201,20.0276521105868,-0.086104100096862,8.89206691293851,14.57427434763,18.5576933274382,30.3214929427814,7.56373157057162,21.20225304718,15.0644156015896,-0.783824207086031,17.937447496632,17.0627864249834,20.4893677807933,10.6493616589018,-5.16927516907946,15.870172260571,11.4117894965605,0.778451392507259,-1.79679026261785
"PM-ZI",8.96650259269322,25.6697008650933,39.2472160537397,22.5925370368973,26.5412372172648,24.376588052867,19.7103637182264,16.4430624329835,28.4077776807225,24.898030306571,23.9490305267688,9.86340733987753,14.0476342658695,8.77580619522927,23.4508831600722,9.66116159238104,22.1454411581799,0.265708988347286,11.1035216936112,15.8521121780149,18.855116519738,29.9337532320942,8.01469803276628,23.4075181710779,16.522229043211,0.328063110631626,19.8025638908041,18.1084615358759,22.0891842642592,11.3411608599593,-4.28667874879411,16.4597134892091,13.5455558534471,0.452638243593431,-0.889810427022858
"PM-MT",10.1206427596345,26.8497574718593,42.0892131579229,22.2418409085852,24.376588052867,25.7211968850739,18.8131841044672,15.4934448082745,27.1023313069759,25.8576969887424,24.5980712007001,9.89015117007963,14.350983630653,9.33624907524713,23.1834428052452,9.29376177644365,22.452002543473,0.592059975937238,10.761355642963,15.9004997194298,20.8085828378426,33.3531485689081,7.85869180811323,23.1159243363367,15.7050577646787,0.289172250615492,19.2923854774627,19.1304923279413,22.5970662312642,12.0405278228937,-4.33888419105054,17.7036757944898,12.7934165953347,0.00557452617341154,-1.8032684081276
"NLE-NON",9.69470814311141,20.9748902790883,33.7754523386636,17.7349438343811,19.7103637182264,18.8131841044672,32.3112322694699,18.1769302054399,29.4424842042386,16.1251780530591,24.775161449427,8.87992312839893,12.8292574207364,8.1442322523162,21.1314886584655,10.4460202779623,21.3608013635023,0.755554404979121,10.6399533099966,16.2428185146028,19.6043131147602,31.5005318012414,5.36226885192415,20.2823840535502,14.9323845128562,-0.410890037919671,17.789240976106,15.9693465848614,21.9035494106905,11.5731664934898,-5.07590755692945,17.5085884602133,12.8434962005266,1.71252256079041,-2.9474724580969
"NLE-ZS",7.3344554923853,17.0974630354851,26.7735535311914,15.7585819815822,16.4430624329835,15.4934448082745,18.1769302054399,15.3147460511954,21.9043278758158,16.9826710343706,17.560952666637,6.8240515444593,9.35853143323208,5.7714274590104,16.4944986958137,7.27007584332582,15.8856126441862,0.199351121783262,6.21788583228404,12.0559057055487,14.0813422533743,22.7750692600073,5.01308746450393,15.1170413080315,12.2468922644098,-0.66363700457611,14.2407100547826,11.9479493742054,16.1561139814388,7.79489370375602,-4.80556688265533,12.4107643395256,9.03691242011534,1.13889789162948,-1.83322356139753
"NLE-ZI",13.2494028024981,31.6363614947052,48.3569383722514,25.2807107296459,28.4077776807225,27.1023313069759,29.4424842042386,21.9043278758158,37.6945571669064,29.8905677380976,30.8015424307656,13.2128981306639,17.7152142370911,11.5557520983963,28.8564850222131,11.9117374532484,27.8893604774869,0.217469132187399,14.9132722451724,20.3861375702149,25.1329796940063,41.6292196674964,9.41248353495007,27.8911919485183,19.592726071259,0.25598593848438,24.1963079003506,22.5562679413926,28.9318399385788,14.5602534348665,-7.18097223547452,22.4645335494351,16.2970638002399,1.11421534000927,-3.16371960928371
"NON-BR",12.8212232067053,29.4298540844222,48.0696429467211,23.6998889024969,24.898030306571,25.8576969887424,16.1251780530591,16.9826710343706,29.8905677380976,39.9064297082557,26.071397064167,13.3027081564534,14.9683709306681,9.24923834450156,24.2280219546411,8.62728580391292,24.0781570862204,-0.0658703921848391,12.2150672241662,17.3004086272094,22.0353121154228,38.6860402282733,9.5036416622762,23.4587089114579,15.5954485778261,-0.381096276226439,20.1849329938995,21.4132050927054,25.7229497286546,11.8192690320687,-8.6478939310524,18.3033092086297,13.7021435074019,-0.865004081691996,-2.04081290061028
"NON-PNS",12.3501663671848,29.2826456534611,45.4520740575617,21.846732760115,23.9490305267688,24.5980712007001,24.775161449427,17.560952666637,30.8015424307656,26.071397064167,30.8079235577336,12.3501759066551,17.548813413476,10.3234757444004,25.034960247121,11.6886446521825,26.6551142803718,1.0644378944332,12.3739856027363,19.0369744882897,24.4839903664113,38.4732170703214,8.94593638394641,23.6039804193337,16.9175030787033,0.11518701848784,21.0874114467933,21.1159480310678,26.7793545481032,13.959784661026,-5.27289798540584,20.5740707071106,14.9366919579333,0.811360838761966,-2.43102359947082
"BR-PT",5.92547774281189,12.8845074885067,20.2267041952221,8.92381630651237,9.86340733987753,9.89015117007963,8.87992312839893,6.8240515444593,13.2128981306639,13.3027081564534,12.3501759066551,8.11864812082076,8.30190010314314,3.41300762703459,9.78769177181708,3.29146550579869,9.93585546287971,0.162734358701507,6.06273304594458,7.80416995396484,9.55512533475862,15.881106513585,4.50804688709348,8.85589786480911,6.19635177710214,0.193270815746851,8.28905843273139,9.10382391545983,10.6841124624667,5.69082716771831,-2.17086146127493,8.22157542246126,6.18667860019888,0.178174502488587,-1.03592266035471
"BR-APET",6.7802354268747,17.5276347595333,25.6212544719725,12.4531674724285,14.0476342658695,14.350983630653,12.8292574207364,9.35853143323208,17.7152142370911,14.9683709306681,17.548813413476,8.30190010314314,13.5049397358367,6.7864552031097,15.6330474808279,7.37709224171175,16.6374698124129,0.976601143660116,7.69216390328257,11.2194986459556,14.0665833236832,22.9641670056649,5.71223045444566,15.152918062854,10.8185167853967,0.356255027760212,13.4175356284733,13.6562874234834,16.3340322224831,9.78552452556625,-2.05500372388348,13.667644168704,9.42773051219354,-0.265561545611507,-0.70537489559916
"PT-APET",4.56509932320654,11.9746087815069,16.4663296017887,7.60733758518992,8.77580619522927,9.33624907524713,8.1442322523162,5.7714274590104,11.5557520983963,9.24923834450156,10.3234757444004,3.41300762703459,6.7864552031097,6.73857636342791,10.5262948910527,5.07425625514217,10.2389563719617,0.407949391840564,5.30438144836666,7.11872483199597,8.65142590294342,15.4952295722406,2.95583664543755,11.0510477070632,5.25344697030151,0.708963666331086,7.82035315181041,9.1853036490036,10.5540325378151,6.02475795200379,-2.83210448844926,9.12446928089416,5.74937577943178,-0.0885382514077009,-0.956489452811854
"PT-BA",10.2129203480706,27.0302637056107,39.965804461374,20.9118945481576,23.4508831600722,23.1834428052452,21.1314886584655,16.4944986958137,28.8564850222131,24.2280219546411,25.034960247121,9.78769177181708,15.6330474808279,10.5262948910527,25.7901424387612,10.6123861899411,23.7548174156003,0.382151334676017,11.39028014401,17.0428337146706,21.8278636036249,35.1364539972453,7.85833257857605,24.4468949507348,18.0451191545509,0.280604102455336,21.5316535947933,19.7683434881796,24.0603543667477,13.5847211125017,-5.20931379825878,19.7540896628403,14.0505208640052,-0.203563014881417,-1.8815588100864
"PT-EAM",3.93867580339546,10.0813232065017,15.0799859520439,8.16245795482201,9.66116159238104,9.29376177644365,10.4460202779623,7.27007584332582,11.9117374532484,8.62728580391292,11.6886446521825,3.29146550579869,7.37709224171175,5.07425625514217,10.6123861899411,7.18768948128385,11.7327088628093,0.971313342240342,4.32320206282418,7.58187881801604,8.39742702431017,13.430320641309,2.7081786009723,10.2632045100333,7.14727647284358,0.0911434616231517,8.7433835607408,8.32414866255904,10.8570995404899,6.08674054837034,-1.47258709000336,8.13921964407092,7.08757265767132,0.40314367123935,-0.107619223491844
"PT-ZYGI",11.2845300480283,27.8671814215224,40.736281389931,20.0276521105868,22.1454411581799,22.452002543473,21.3608013635023,15.8856126441862,27.8893604774869,24.0781570862204,26.6551142803718,9.93585546287971,16.6374698124129,10.2389563719617,23.7548174156003,11.7327088628093,28.4102386285653,0.982197117742024,11.1525660306813,18.6263529406447,22.3845629932681,37.6404729068984,7.98061005265612,24.2846859500018,16.4594760495456,-0.5291786142058,20.9424752719995,21.7137823513424,28.0649901938877,12.9521706044283,-3.98300346910602,18.4701295196478,13.1666796321955,-0.31683244963182,-1.79693966249243
"PT-TSP",0.116297346925246,-0.192515510315846,0.383657741757112,-0.086104100096862,0.265708988347286,0.592059975937238,0.755554404979121,0.199351121783262,0.217469132187399,-0.0658703921848391,1.0644378944332,0.162734358701507,0.976601143660116,0.407949391840564,0.382151334676017,0.971313342240342,0.982197117742024,1.6419515458115,-0.0730231472839442,0.299888794903446,0.202237513685336,0.237707863991662,0.0132082505199616,0.290748502702853,-0.0547518445799336,0.475949924065547,0.27811005135461,0.449834165744919,0.275303679831363,0.193734650856007,0.719567851668566,0.617445285401627,0.377548464483691,0.0938093186028656,0.0339055997686818
"ZS-ZI",5.6736407637628,13.4097671907436,20.3897912417946,8.89206691293851,11.1035216936112,10.761355642963,10.6399533099966,6.21788583228404,14.9132722451724,12.2150672241662,12.3739856027363,6.06273304594458,7.69216390328257,5.30438144836666,11.39028014401,4.32320206282418,11.1525660306813,-0.0730231472839442,8.40624845676945,7.53910455120125,10.2853040819104,17.6684554604992,4.25196404241019,11.9234500084141,6.66636919187126,0.808112654489869,9.15495251149089,9.79629731190388,11.9488047898615,6.1884427856694,-2.49385808293396,9.4166772682764,6.8150146020618,0.0235887802534973,-1.41388032008627
"ZI-MT",7.99948721050669,19.919578981029,29.1757348391145,14.57427434763,15.8521121780149,15.9004997194298,16.2428185146028,12.0559057055487,20.3861375702149,17.3004086272094,19.0369744882897,7.80416995396484,11.2194986459556,7.11872483199597,17.0428337146706,7.58187881801604,18.6263529406447,0.299888794903446,7.53910455120125,14.8893470416141,16.1214341370634,26.8014797876898,4.69612761257015,16.8514383095626,11.5470977950755,-0.701964720057747,15.1014913751536,14.8268947581439,18.953554057627,9.42531625573102,-3.98528697107793,12.9461406660817,9.62383714607157,0.1078682366172,-1.11724065605872
"ZI-ZYGI",10.7803251627043,26.3001049265882,39.2664581836963,18.5576933274382,18.855116519738,20.8085828378426,19.6043131147602,14.0813422533743,25.1329796940063,22.0353121154228,24.4839903664113,9.55512533475862,14.0665833236832,8.65142590294342,21.8278636036249,8.39742702431017,22.3845629932681,0.202237513685336,10.2853040819104,16.1214341370634,24.4078505600322,37.164055656863,7.75635880607018,22.1217344029379,15.4344034062272,-0.72980290568113,18.4610421439064,18.3057292801096,23.4170997183992,11.7583762369386,-4.36457693709871,17.5862224544587,11.4375406362746,-0.119800540827192,-3.207859517363
