"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.311442330159664,0.355419976086384,0.858865258563881,0.0799801694051709,0.28095154286145,0.381239132333198,0.198416986685466,0.121825607807721,0.551728516528028,1.05594758705158,0.679453926644441,0.45109465083254,0.379775416223388,0.234345213287867,0.560281082392304,0.147187120333677,0.343082059844452,0.083439359679534,0.421020369987238,0.487887131564656,0.654027797897423,0.576727909216303,0.178192909060667,0.325758469889838,0.307974145563284,0.193130339124362,0.484414968183346,0.121528503438094,0.262162125887194,0.202340961692692,0.284259962109154,0.21548940622908,0.598396334078137,0.336030419860307,0.138351696697979
"IS-NLE",0.355419976086384,0.790176706583172,1.65808104656885,0.47757193864003,0.66540513626257,0.762360656632283,0.236756936071124,0.677442566638623,0.988427083752024,1.69360407124397,1.41676284976099,0.605036285358458,0.755379152222743,0.458139434294143,1.08299781845061,0.295975006096366,0.551734431142653,0.111596260574803,0.284412691884876,0.677744417945426,1.03965064685207,1.0815784699282,0.607542122842224,0.595625448259393,0.576144676452387,0.269580203514451,0.964229364711958,0.469431689536126,0.589782858791141,0.752579738790512,0.834497942026719,0.608120270805495,1.07283897792164,0.424217264390726,0.314979842806992
"IS-PNS",0.858865258563881,1.65808104656885,4.61418513184217,1.52963618524363,1.82115898532474,2.07436544376558,1.05522331042468,2.00519895451479,2.52769498715543,3.84109721275686,3.743869075899,1.11859692874414,1.88327781449212,1.25202218631384,2.65270441525148,0.54303644149723,1.42632493479635,0.114888599835133,0.529190511204601,1.55666119106848,2.5477331293019,3.01319664116334,1.8725224245975,1.4814100702152,1.4862087312064,0.726559044946146,2.56657872992321,1.35090307646504,1.61855718576898,2.11712424702144,2.50946418996749,1.4986874641149,2.25265740355114,1.04690130395276,0.772059309020838
"PM-ZS",0.0799801694051709,0.47757193864003,1.52963618524363,1.71677997024911,0.916505634891069,0.694133684167353,0.468319132844569,2.09291608039217,0.762632023650816,0.649459876908149,1.14227585808768,-0.0171050096612074,0.686421876444914,0.458180481856049,0.833914550152809,0.242965030497998,0.264517669241528,-0.110541024179669,-1.17300030550086,0.178891028358623,0.0239340763823484,0.82581930474254,0.834121769742591,0.613638440116629,0.456951220335657,0.134733631130089,0.771611496063924,1.16838011660639,0.779675158358286,0.911733877525709,1.30902058288752,0.615792625659765,0.602288568875609,0.188901074062996,0.315147011537481
"PM-ZI",0.28095154286145,0.66540513626257,1.82115898532474,0.916505634891069,1.03400378196136,0.885619674319272,0.570330450754994,1.07382896126937,1.17167442906157,1.35040407873821,1.45170040707711,0.484001416639818,0.98542721402601,0.693430635548302,1.25832654023975,0.405053640230655,0.584491428234971,0.105942439485395,0.0978514317921378,0.627786598682784,0.603631919362223,1.11504490036837,0.777569057478046,0.68927367792914,0.65956502145967,0.272744656771695,1.09368054623809,0.829648436354873,0.757807148095959,1.04033536575874,1.23991589373035,0.700888763593333,1.16593464550136,0.431241515692214,0.387892430815587
"PM-MT",0.381239132333198,0.762360656632283,2.07436544376558,0.694133684167353,0.885619674319272,1.15713972325122,0.500007482079872,0.761677143054366,1.24295626378087,1.98980131230906,1.70282465273704,0.628293243997607,0.974232698521569,0.648305892389543,1.26537944395161,0.262254692620502,0.686205694639151,0.0640611415273408,0.532750256219596,0.856845212811886,1.20904867953773,1.47450472212464,0.596801658834022,0.797262466441961,0.68422347395071,0.319445508490244,1.17033913917429,0.588474323433435,0.696188361365717,0.933501524288211,1.13703159891037,0.711597271965793,1.10365409412174,0.525722150078059,0.404855634731459
"NLE-NON",0.198416986685466,0.236756936071124,1.05522331042468,0.468319132844569,0.570330450754994,0.500007482079872,0.830490577522553,0.452765569097278,0.637867918810274,0.371079860096703,0.620782171012646,0.386861434462396,0.76971921656094,0.605030283225066,0.829743687456664,0.293365775929011,0.246963774602799,0.0425394379569204,0.255948652452894,0.281281135970887,0.361878108507259,0.609332620926431,0.443285463589935,0.522021933950793,0.358742446040986,0.198531132314515,0.61034073894791,0.59733299787733,0.366609809256763,0.6560662233459,0.810391215444277,0.494025789424018,0.704411892543348,0.255900288844091,0.273252105614818
"NLE-ZS",0.121825607807721,0.677442566638623,2.00519895451479,2.09291608039217,1.07382896126937,0.761677143054366,0.452765569097278,2.85883596281651,0.965034752413746,0.858164836610755,1.61905986966891,-0.14464365343047,0.720720295614565,0.39137866795503,0.946837282854372,0.210251002498751,0.374567969965961,-0.156879878667269,-1.76244831437561,0.213268396267583,0.298757803895439,1.15376380584956,1.24961385910177,0.701627568077464,0.596800368186526,0.210248031244285,1.02314760210315,1.34150611815821,1.02301588623755,1.30029879782571,1.64345414176478,0.841983606289899,0.64783646976484,0.167919737763947,0.342555693250061
"NLE-ZI",0.551728516528028,0.988427083752024,2.52769498715543,0.762632023650816,1.17167442906157,1.24295626378087,0.637867918810274,0.965034752413746,1.68997949539572,2.45383710741891,2.12996654715982,0.879013835802472,1.26600917446435,0.820448765681236,1.65368723355081,0.444215003018134,0.929140824916428,0.194027402660641,0.710677047164113,1.12440463057687,1.47944720180168,1.8036965111805,0.860913259978986,1.01845638954463,0.885180885377754,0.437847044274296,1.50295895390705,0.741523047845799,0.938996662921823,1.22267038879684,1.45032284955356,0.873178657447881,1.60177921635178,0.711207110354928,0.493787199493287
"NON-BR",1.05594758705158,1.69360407124397,3.84109721275686,0.649459876908149,1.35040407873821,1.98980131230906,0.371079860096703,0.858164836610755,2.45383710741891,5.32698913299342,3.37052735780534,1.83726415757149,1.56027343000432,0.747243866237182,2.20724890132174,0.450949761628021,1.50255665489919,0.236681070575223,1.54416131507392,2.1302459110647,2.90254856416268,2.83154228480563,0.825499566122965,1.33182862941949,1.34513168744611,0.655832712052548,2.10725460453714,0.538160854125124,1.21620274719383,0.945293077962335,1.31304180071226,0.856612860614957,2.28421820063239,1.28973448876516,0.615920101983001
"NON-PNS",0.679453926644441,1.41676284976099,3.743869075899,1.14227585808768,1.45170040707711,1.70282465273704,0.620782171012646,1.61905986966891,2.12996654715982,3.37052735780534,3.25770382049466,0.854556896235224,1.4790255025598,0.929172131942776,2.10088409694686,0.416954238553168,1.24563561107089,0.131605741950627,0.477019251219595,1.3579688005112,2.2579585752458,2.59352663716566,1.5227892604319,1.18071670266667,1.19454356633598,0.569351111236698,2.09057110813927,0.952952997076972,1.34116884298303,1.72962277551014,2.06455301635472,1.17507550985539,1.78585783558817,0.84186012741689,0.621893442265404
"BR-PT",0.45109465083254,0.605036285358458,1.11859692874414,-0.0171050096612074,0.484001416639818,0.628293243997607,0.386861434462396,-0.14464365343047,0.879013835802472,1.83726415757149,0.854556896235224,1.32105800079548,0.970788568042156,0.402857514924146,0.972219265545392,0.326544993536452,0.471790478145247,0.167559766076917,1.0300234920962,0.84968379521613,0.938906180152138,0.724634514788287,0.0656366400147156,0.543835325329772,0.507491028267188,0.256715565264971,0.72254215963985,0.136407266900541,0.29756742723849,0.271928172024112,0.233338714770328,0.348371286579014,1.18553134469072,0.501799944774893,0.298042657745013
"BR-APET",0.379775416223388,0.755379152222743,1.88327781449212,0.686421876444914,0.98542721402601,0.974232698521569,0.76971921656094,0.720720295614565,1.26600917446435,1.56027343000432,1.4790255025598,0.970788568042156,1.44376702835934,0.878227395486476,1.52118810378163,0.530415915621995,0.612911675050997,0.192918749953213,0.614282406540207,0.781631742246566,0.934577672157257,1.21012199045482,0.653101994525612,0.86636385250342,0.726568219306933,0.293599005832486,1.19552165755858,0.753333791770137,0.699960470182666,1.06142415879662,1.27819635076293,0.848507694138749,1.41880006649433,0.516674408829499,0.496508856035624
