"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.426666806416859,0.242435085035506,0.557878404019453,0.303250935900597,0.0341722871538504,0.073034350131338,0.109346327369536,0.371406759358611,0.360534428586147,0.401052967045037,0.460776707937061,0.165513946051448,0.401587619445104,0.168518843508036,0.481952603220508,0.0990225758105304,0.475043783462853,-0.0681293843739186,0.0406741420383457,0.163880092283679,0.421952200728134,0.49851806205075,0.150913885133349,0.356028520765585,0.433590899402788,0.0349682107830959,0.473881263673035,0.587202342315989,0.530420691840609,0.151683573867166,0.213348801264671,0.226509374001875,0.284968681908287,0.12506401328727,0.0205270624051369
"IS-NLE",0.242435085035506,0.66834562630412,0.60076447905045,0.486550614780139,0.210071431914603,0.314037890093331,0.0441070858015583,0.192182380727519,0.347561126760522,0.406357080717371,0.469975633794778,0.104930460729518,0.471577445065785,0.313493907910768,0.640777014988174,0.27929952292369,0.416303327502996,0.165938141419211,0.186197301420911,0.273285538429659,0.236906882985123,0.456534718340027,0.0763545045182046,0.381866669640906,0.341887575005388,0.0219473134092874,0.532681226429055,0.406057090251685,0.435324546596978,0.149131677867774,0.117213945113173,0.265408283954141,0.456876999630019,0.104963573400103,0.0676873732020157
"IS-PNS",0.557878404019453,0.60076447905045,2.84039210255819,0.869178444055965,0.513152931859707,0.990033455927263,0.330984528293425,1.0717388727212,0.867384151402782,1.68116482147505,1.92007108178799,0.332432699716592,0.76060343550682,0.408494224316472,1.28794100605403,0.573755464450452,0.92779250615555,-0.0339587145299107,-0.153661765561667,0.393348760488323,1.58030228317758,1.51536301625913,0.881393938334669,0.106431773481201,0.88908800101776,0.143866549909106,0.997880173486208,1.08552548135761,0.933843984893557,0.521953768994065,0.392601452605324,0.51577130116501,0.876673236773043,0.138025938640062,0.0410416517779899
"PM-ZS",0.303250935900597,0.486550614780139,0.869178444055965,1.39802225574922,0.678203245068834,0.687681237443588,0.524925484911116,0.103328638833038,0.838466973645039,1.23314275964794,0.764599635236522,0.340316140200514,0.473889897643722,0.183267066361739,0.718057959934383,0.128536129884176,0.564812005967331,0.158367573266933,1.24890679243579,0.574403301800193,0.211927316579693,0.48161745036389,-0.0518159133609462,0.30890297251037,0.636273477997807,-0.00124848574631095,0.835678670363818,0.351426162323766,0.527245083654878,-0.0680563901995935,-0.156596978004702,0.240497663440279,0.844459118081225,0.259735422141812,0.0744563256414944
"PM-ZI",0.0341722871538504,0.210071431914603,0.513152931859707,0.678203245068834,1.19549577471473,0.72679380799727,0.52558459766466,0.153050396516118,1.15645165514526,0.797934735023501,0.428560004101905,0.387494338678867,0.463375764725602,0.0292818711029048,0.440557821876227,-0.0857637247939742,0.358233744772308,-0.128121438873998,1.01765327547502,0.422427572488556,-0.186838980874137,-0.0061470476853322,-0.0117426594363269,0.375950229898061,0.454390681633722,0.102430396377221,0.52082261333911,0.000892670528431414,0.308695313799241,0.0527311237395042,0.183081042250161,0.33568203025778,0.598942353015417,0.175146352447995,0.129649899275375
"PM-MT",0.073034350131338,0.314037890093331,0.990033455927263,0.687681237443588,0.72679380799727,1.29891759470618,0.540405984477246,0.385918949176754,0.751997325540672,1.68500704331983,0.656083333772969,0.482593747389697,0.243057841526965,0.0103085249544767,0.540645539015461,0.0253613285664102,0.314457292856328,0.0949227589418236,0.38232942412545,0.783002087305188,0.68606919036,0.664332010822503,-0.120074338230963,0.355408783713402,0.60478013444827,0.0265815447007553,0.579350009824801,-0.0359703692002639,0.261757479272812,0.141430204621725,-0.403380430648025,0.372252667130756,0.779790100105845,0.410403609761696,0.0932837722928771
"NLE-NON",0.109346327369536,0.0441070858015583,0.330984528293425,0.524925484911116,0.52558459766466,0.540405984477246,3.05387296904098,-0.1813628799062,0.722316342432051,-1.60838435410975,0.449744953495288,0.350118427983988,0.524984073260848,0.328142862518864,0.646609063390986,-0.0515543197664402,0.323800082851021,-0.0451040520126206,0.980462083981181,0.832206815736643,0.128912712458168,0.299784014910236,-0.231494379511955,0.0850769222004987,0.564795133460367,-0.0244722219874537,0.488200190812719,0.0211003183791959,0.231557645937026,-0.107062746027798,-0.0408971547193817,0.132932586655303,0.770924155005954,0.314126843270046,-0.100211872840696
"NLE-ZS",0.371406759358611,0.192182380727519,1.0717388727212,0.103328638833038,0.153050396516118,0.385918949176754,-0.1813628799062,1.55978131555272,0.530538951136019,0.129462196558261,0.74511814470869,-0.0206147261045068,0.659766689254174,0.128948214236104,0.446896505865373,0.324804965223539,0.779558033635626,-0.3378789021667,-1.1652975392658,-0.0798420942411733,0.854216689308745,0.784457197899263,0.449645665697838,0.632190242076969,0.398558221062386,0.148358200079753,0.314967564889397,1.18928992550785,0.922931826552719,0.729665069914896,1.43853092794861,0.416945688502544,0.0615801780402681,0.0948009210850717,0.0761441997057598
"NLE-ZI",0.360534428586147,0.347561126760522,0.867384151402782,0.838466973645039,1.15645165514526,0.751997325540672,0.722316342432051,0.530538951136019,1.65085818498518,1.28639409677275,0.883597658954832,0.670341842775696,0.825032530535661,0.0479617040212611,0.69159139143912,-0.249667541511043,0.777348414794781,-0.479540318466738,1.20496125471151,0.593006951863576,0.145954674148636,0.57515308140804,0.13293176139066,0.683349841703439,0.884579405815691,0.0881852520274372,0.917193545923238,0.734338749325023,0.931910254209321,0.0540128522974582,0.189774254408133,0.454902754957687,0.736887451462144,0.335900786999798,0.244221538456242
"NON-BR",0.401052967045037,0.406357080717371,1.68116482147505,1.23314275964794,0.797934735023501,1.68500704331983,-1.60838435410975,0.129462196558261,1.28639409677275,13.0133205759851,1.70178500476253,3.10618552938615,0.0619835630181663,-0.870551756934684,0.0714216613639278,-1.04893587681114,0.193336125110367,-0.131333360876338,1.43405356910246,1.42627725692411,2.10566604966916,2.69193946419622,-0.0545024662489095,0.590567692334003,1.36594667269326,-0.467134535848011,1.08760523970935,-0.392650685709137,0.299952550154723,-0.45688061270157,-6.50157380742188,0.182083473022293,0.607034462963081,0.762487927443774,0.406011239658549
