"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.584432939331298,0.774180324095436,1.5109821451659,0.750247486057618,0.852489185491005,0.842155074870794,0.781565440459571,0.732255413755337,1.20180702646868,0.9724740043386,1.22074787161671,0.293604358123911,0.827381541359441,0.527104614009224,1.18420694918948,0.679001688531776,0.891872083259532,0.23301991812308,0.515856430791951,0.334477653023948,1.40722658744958,1.55945578321681,0.524349358398384,1.19681487966265,0.876729899414085,0.283213981864099,0.732653974589006,0.974292886045485,0.786094321041994,0.652601699048743,0.79500086771726,1.00128401055313,0.798542049991963,0.320375705020116,0.0624520503514928
"IS-NLE",0.774180324095436,1.90668078427979,2.62631827474734,1.30885422689477,1.55915068646179,1.51077385300824,1.10693503111778,1.34356094338139,2.22608753937973,2.07777112081567,2.25782728464682,0.608022331628923,1.3252022786273,0.764254211667837,2.11704011201387,1.09571058408515,1.68110150404586,0.433964573933114,0.839513940828058,0.593112886830108,2.49011374914981,2.63258744834966,0.902276684646253,1.95891038768794,1.65730501207372,0.278900510068221,1.3554951695523,1.64874435684553,1.46887258884716,0.961719042678184,1.34022444407926,1.24496488494233,1.38748157414688,0.547671362224368,0.200474793944392
"IS-PNS",1.5109821451659,2.62631827474734,6.28294669634518,2.70823746339665,3.08703713371535,3.38415703349647,2.21223093566879,2.28391678277744,3.71762478538629,3.64532883973145,4.64605578154529,0.803059105852456,2.54418716021792,1.55132072416678,4.14881576954244,2.32751381515497,3.04467391371638,0.87611567973884,1.49556711799905,0.677780593372241,4.85689000445962,5.11028001604496,2.08733886381451,2.72506703356049,3.35334724613931,0.872018640110261,2.50406817193998,3.08524374080579,2.55158471797285,2.04239713145067,2.88991420611428,2.93393013197659,2.7321863906263,1.17062005393586,0.221888269016581
"PM-ZS",0.750247486057618,1.30885422689477,2.70823746339665,1.80612156783809,1.88746640357271,1.75816480996543,1.57790570900863,1.14444558700294,2.09122460846371,1.83947353895207,2.06231850447541,0.572279685530405,1.44516948303112,0.964184086685055,2.10221500401666,1.20993634684913,1.58354588163714,0.362710933997574,1.01622337096155,0.497546666056832,2.62886125332851,2.73029026966248,1.01939077774442,2.0733543602214,1.48755827581734,0.513443673610655,1.22285293519641,1.57884811048609,1.36358850074758,1.02743559186827,1.71938246232542,1.30335754948835,1.42325428719123,0.627928322714072,0.268349242521164
"PM-ZI",0.852489185491005,1.55915068646179,3.08703713371535,1.88746640357271,2.94617087864898,2.12209170994011,1.77000867835366,1.60844978255033,3.18453384132034,2.39660141131699,2.42158549246097,0.800066368546344,1.82558160464553,1.28408316788887,2.446422332898,1.61842245467494,1.89372658516946,0.522444626178142,1.57775511126875,1.09078577625902,2.23925871349454,2.76682619534434,1.17443270334996,2.39603890459399,1.63108416007712,0.55794629480036,1.22204373723911,2.0917437800009,1.61798592805508,1.24769774283316,2.06438695545593,1.43184786090196,1.970960312684,0.993977158912515,0.499058315909248
"PM-MT",0.842155074870794,1.51077385300824,3.38415703349647,1.75816480996543,2.12209170994011,2.50232848801109,1.49544844802177,1.50404359646607,2.39454423100094,2.64239935793986,2.66141322743915,0.746885338185108,1.69179629924079,1.0079867974203,2.51942560961006,1.46141706463767,1.75351656707145,0.443258944777357,0.955007983691488,0.403492171193194,2.92940906633828,2.94964189123088,1.14817072784807,2.16873611419908,1.85382819313182,0.439465710503193,1.51076033210888,1.7959856770045,1.47728130052476,1.47457356631562,1.60988501342861,1.90516957979494,1.7481605449559,0.763996151560443,0.305339782168369
"NLE-NON",0.781565440459571,1.10693503111778,2.21223093566879,1.57790570900863,1.77000867835366,1.49544844802177,2.89459619740416,1.21220901179355,2.30254712879314,1.12641615745071,1.58960616947833,0.581883027421933,1.37000391161507,1.02069241965811,1.9002640654279,1.18599260399932,1.20156024798864,0.281518967142036,1.22084466548778,0.301422748716273,2.32002527934967,2.63983441309053,0.865686517017447,2.24380860565012,1.43656305781049,0.645897386137145,1.0284933342247,1.55251763907478,1.15164799040113,0.967678739969516,1.54064315680139,1.52200349678899,1.43942218361721,0.693141622869243,0.210647509719109
"NLE-ZS",0.732255413755337,1.34356094338139,2.28391678277744,1.14444558700294,1.60844978255033,1.50404359646607,1.21220901179355,1.86954861262469,2.23220893433066,2.01753570475594,2.03388522932039,0.545640586139547,1.29621523532137,0.796357349242422,1.7160475531927,1.03742081577625,1.30468903072008,0.391098594875803,0.374726335723274,0.593173696397642,2.25148968853425,2.43161176572452,0.807642549398081,2.05858475786129,1.16101140038285,0.244486743493839,1.11003477992616,1.50415830612089,1.07691945823846,0.82557388146409,1.15855373595923,1.33622653027886,1.18485911392134,0.658142387861939,0.294778459567578
"NLE-ZI",1.20180702646868,2.22608753937973,3.71762478538629,2.09122460846371,3.18453384132034,2.39454423100094,2.30254712879314,2.23220893433066,4.17626318846617,2.89131392477853,3.20550325518093,1.02327138036633,2.27005224392325,1.51509183227766,2.92816666383902,1.8266800019557,2.21372650858408,0.666940601796151,1.92146491139745,1.3097429594935,2.88813196296756,3.50502589758337,1.33546877905144,3.05542391025212,2.01057993348605,0.611405343092095,1.60303718595155,2.59233257444449,1.92988668730716,1.39287953013078,2.29360513604464,1.94630708886974,2.32095908237653,1.1950760335007,0.566963788428376
"NON-BR",0.9724740043386,2.07777112081567,3.64532883973145,1.83947353895207,2.39660141131699,2.64239935793986,1.12641615745071,2.01753570475594,2.89131392477853,4.23307070571995,3.30996121713661,1.10240535860363,2.22126225478022,1.35324279206828,3.3376479821673,1.92035404706683,2.31926631620813,0.543514893546517,0.882343113763746,0.871315642761119,3.53044242525823,3.54056956451722,1.12602598219355,2.94392049537721,2.22783499823396,0.343903601498755,1.9481914676976,2.36004948817157,1.96605614162273,1.80616718947017,1.37840913483552,2.29985493847408,2.26766190442289,0.906589691073754,0.360237822980857
"NON-PNS",1.22074787161671,2.25782728464682,4.64605578154529,2.06231850447541,2.42158549246097,2.66141322743915,1.58960616947833,2.03388522932039,3.20550325518093,3.30996121713661,4.39696112174335,1.02672408326109,2.38796435839102,1.25571404352229,3.40785838666371,1.86714626706112,2.24976288307625,0.669274159059719,1.18914039107025,0.742062588396041,3.81126615902944,3.77439328082083,1.44582070660116,2.89273005664004,2.43915404630277,0.613104061854772,2.11701888979702,2.66633493028685,1.89583182248587,1.77534420462412,2.53280065393629,2.42103967610727,2.61166343786715,1.03809826452895,0.400823092407898
