"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.785691205267411,0.654385836286119,2.81560794138034,1.01259640455803,1.15916360274432,1.30467212611885,1.28145753824881,1.12935905643827,1.71829096356395,1.28466073622661,1.64846902455053,0.849240480952305,0.913216332865285,0.554646905397817,1.10209442502644,0.868567869508301,1.21190748501765,0.372697411532796,0.823505890707082,0.533823046135598,1.21381980885996,1.36912894763879,0.751956734667704,0.444969735340036,0.561234681097581,0.329324593540209,1.23183807201377,0.266209056850298,0.95860696381517,0.950230549116135,0.14628626668463,0.73931318993073,0.951889776701272,0.242825080994449,0.243033504920874
"IS-NLE",0.654385836286119,2.06544147257762,3.57601415148932,1.43252628476705,1.58068780235861,1.94865503214196,0.335530653668605,0.527701187802218,1.83946967821079,1.02025594547626,2.39649562207208,0.0050695359313321,1.33763689195769,0.678345726027811,1.1498425216486,0.458446817908815,1.65939653100497,0.336177963510458,1.40465931194253,0.677913186802494,2.69730690527705,3.29276798778649,1.31615008662426,1.01850821681478,0.714356679719137,0.142955073630971,1.65956884707984,0.641088190186656,1.24806496547189,0.424917871583617,0.51870949165407,1.50294400826821,1.22593133044454,0.866270713048222,0.306382795111113
"IS-PNS",2.81560794138034,3.57601415148932,14.9643861503859,4.89924859368922,6.23798818634768,7.46283623382413,5.49819214062104,4.44513517245562,7.14749389599429,6.79540369793211,7.65146039242864,2.76340215828142,2.79656762172351,1.52342183642815,3.9454523080482,3.27479484357333,4.90598892592222,1.11016473454614,3.06380069428765,2.67229709602616,6.49614752349884,7.50274411995912,4.50832355848899,1.41900684500479,2.32807149511198,0.816908939305764,4.85345804466909,1.55561461878352,3.63833411731761,3.39787156754215,-1.28726084576699,4.80511103733226,4.61233338515848,1.76640767245511,1.1953573737002
"PM-ZS",1.01259640455803,1.43252628476705,4.89924859368922,3.78801730052737,2.2179663702956,2.82283892116592,2.33786297609358,2.32481384663714,2.47926037623295,1.79836404112457,2.73746379679568,1.03029770034196,1.88479474012569,1.06198727061639,1.61388877821509,1.51531445251886,2.30647241809279,0.608920247775605,1.52289016066014,0.918844947583938,3.11382560130024,3.22546920065025,1.53583690607607,1.33844911919478,0.477621362598405,0.507122828616558,2.00008105584869,0.765334677898233,1.54916340641089,0.973475480172686,0.39681141604857,1.81139738700631,2.0995518115113,0.771287857222981,0.272214848808374
"PM-ZI",1.15916360274432,1.58068780235861,6.23798818634768,2.2179663702956,4.74106678581259,4.07208985475561,2.05632806348131,2.07796407360695,4.67425749663798,3.32030818442204,2.96960572508634,1.73742222681836,1.17196237576265,0.605371049532665,1.96224492419984,1.55466942611143,2.0360146004829,0.554222767110241,2.40594658406379,1.09890849014953,1.3220570724985,1.50564631061817,1.3257960916765,1.28237249744474,1.21311917991675,0.133800805819097,2.3243321717916,-0.0798796491613089,1.02639636459012,0.734756668986056,-0.790653842077854,2.14085642913849,2.50648184319856,0.968334805527764,0.413470072984989
"PM-MT",1.30467212611885,1.94865503214196,7.46283623382413,2.82283892116592,4.07208985475561,4.86161617487349,3.11576309693484,2.35977684662786,4.21232576665026,2.80466765250805,3.51573607842117,1.18822850455102,1.56432783920074,0.943281712758535,2.3192522016076,1.82639714716521,2.60148115699658,0.715730457004631,1.96353542788234,1.5497454151031,3.32053451105912,3.99799578141272,1.6026799356109,1.79290413348149,1.21977072575888,0.345329689119858,2.56421857823896,0.846779939428139,1.53870434052053,1.624918768613,-0.135721780594463,2.79520479225561,2.70476883251947,1.10494873680212,0.673865076370269
"NLE-NON",1.28145753824881,0.335530653668605,5.49819214062104,2.33786297609358,2.05632806348131,3.11576309693484,6.7943837052039,2.74504516201245,2.7330725931532,0.275390368377275,1.25842553677633,1.81019056005675,1.16393138490625,0.764337126675868,1.66183378651236,1.53288086420905,0.806987923664454,0.316570854205536,0.68898857064325,0.597266452695516,1.41337767009995,2.67992858924803,1.10484347998786,0.921282873917881,0.718055851662216,0.613366358112256,1.60165725948521,0.896085919012664,0.480868918646265,2.62766760229521,-0.851050159857565,2.60650068296122,1.68437624176843,0.168063961232169,0.36360928389338
"NLE-ZS",1.12935905643827,0.527701187802218,4.44513517245562,2.32481384663714,2.07796407360695,2.35977684662786,2.74504516201245,2.96600330837929,3.00101280752457,1.84561747994364,2.50610287911452,1.82153232805316,1.53363118005159,0.819052131571399,1.82415601278789,1.87266479224523,2.1595280822899,0.799589192851722,0.765037160554052,0.794902522279983,1.55795160685903,1.34420529483033,1.02293847404905,0.403144689262335,0.783174586264667,0.597260938363962,2.05554311272352,0.246090177959639,1.41283978668957,1.52144953325041,0.724785241498562,0.78219099752053,1.71511111235968,-0.0159967039186016,0.170177241941073
"NLE-ZI",1.71829096356395,1.83946967821079,7.14749389599429,2.47926037623295,4.67425749663798,4.21232576665026,2.7330725931532,3.00101280752457,6.11513653795747,4.21149052288308,4.45490228789778,2.73547106790002,2.46845661026385,1.44796039285362,3.31644792579,2.52286373698845,3.44692457790454,1.0483879150969,3.33500559506507,1.16807828413099,2.38727324100315,2.38963525340102,1.73397878290083,1.46287227145924,1.83259363432898,0.482082435711124,3.42061357245938,0.12523023259461,2.21075544351289,2.07449973673009,-0.155693553290826,2.44347827495439,3.31322685766287,1.15269134705489,0.602866343385484
"NON-BR",1.28466073622661,1.02025594547626,6.79540369793211,1.79836404112457,3.32030818442204,2.80466765250805,0.275390368377275,1.84561747994364,4.21149052288308,15.4928391442549,4.97112798328552,4.18360779144382,0.463153594143827,-0.444982709466545,0.911916608404476,0.199082486888995,2.3611624861004,-0.746852998748318,2.72377218878731,1.8142527199068,2.481870652782,2.52047527098754,2.21469041357221,0.733555332190536,1.3971945197659,0.0573660780907862,2.13066733734908,0.0740302795277792,2.76935466921975,2.55187451921104,-8.34561085285285,2.31791914978704,2.40482207184991,1.5431602934196,1.04379224160513
