"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.615947674131636,0.661626442509151,1.23658980751392,0.371738814312769,0.360826614032888,0.268964633409322,0.293226300904681,-0.00726801939822542,0.737333319163529,0.365754376536811,0.922739535556006,-0.129078451212961,0.504621519779337,0.466782632134704,0.663697981057292,0.36753912238644,0.875159091061865,0.282303023529702,0.975572623132475,0.5072652940431,0.949995283262716,1.06060289051531,0.489443649559604,0.331252985264236,0.396562830922893,0.0339750795574281,0.657424667017836,0.503034997437357,0.805474941534378,0.316406609333364,0.761368572609807,-0.0388023120719453,-0.0568000092878838,-0.252659746345889,0.0462709107353559
"IS-NLE",0.661626442509151,1.65336935701789,2.20515927949691,1.4249465676493,1.01477503190319,0.675467384732646,0.375664695962877,0.164111067328454,1.27436825256828,1.01302604147676,1.76211256433651,-0.189190210679706,0.728700817321192,0.617772617971885,1.09664133242188,0.443116861846556,1.61436089987936,0.320181804192637,1.68659083329826,0.761868588560969,1.26520732924089,1.60637172540732,1.07710739433001,0.445768878467119,0.74321634931612,0.043086027665609,1.25978331709648,0.974943598725297,1.64007640310789,0.513560488274306,1.35386677646241,-0.167326404910349,-0.12679557036278,-0.352157360739477,0.218538729792715
"IS-PNS",1.23658980751392,2.20515927949691,6.0591548996933,2.42641757555248,2.25817363091175,1.96696157800428,1.34086546573997,1.65912417053723,2.96527218971912,2.91090255802292,4.03183853550509,-0.0268719881031539,1.07580286905845,1.34118199996391,3.20280359442314,1.84480669619919,2.46710641894897,0.847799915517801,2.0733552670712,1.33659438742849,3.07807696331516,3.67520405330089,2.97351964375412,0.818537975800666,2.06374967025245,0.806036082642292,2.63700191734955,1.70966177599892,2.26925768673462,0.976280314810328,1.61085627545351,0.373676782662939,1.57440816250642,-0.185288080098067,0.184818661851064
"PM-ZS",0.371738814312769,1.4249465676493,2.42641757555248,3.60328273727125,1.11197358528997,0.976666412884276,1.76998928517155,1.18535455035313,1.22840029994504,1.73582882083651,1.5742261103337,0.190917436906806,0.604041268853117,0.39699603323287,1.14081928198486,0.43285799468713,1.58204974422499,0.316039074087886,2.53821829349229,0.400033429533826,1.37946774431506,1.71947097963205,1.33701139493795,0.397390931282731,0.954624058786724,0.213759771259002,1.30882211429707,1.32299890816929,1.83102941172764,0.446061741801281,0.829349098712823,-0.574230263462505,0.0567537325987891,-0.242233503005355,0.460250946938396
"PM-ZI",0.360826614032888,1.01477503190319,2.25817363091175,1.11197358528997,2.19986100797101,0.824531253620704,0.0328206951706438,0.890259926217893,2.0289370347294,1.47667814791881,1.71498318951824,0.284227406521913,0.457091551067366,0.747503092779879,2.1226399848772,1.25245148203738,1.0132419524771,0.515992777516394,0.960453864139577,0.699107048673012,-0.188834017796003,-0.0770299467960538,1.16350615298296,0.138449076929058,1.33310558694856,0.159658730975155,1.39730898469373,0.315201993756901,0.684180786101155,0.78879905810207,0.234103753107006,0.373035897417916,1.38221029580308,0.00315397052839481,0.246262328832696
"PM-MT",0.268964633409322,0.675467384732646,1.96696157800428,0.976666412884276,0.824531253620704,1.33961710105272,0.667765118901673,0.641436992408966,1.0231718981836,0.706102608388433,1.2893937752933,-0.169123552467858,0.243737644201071,0.480886768212667,1.07258256637984,0.450781369283246,0.774523402004141,0.296848764054927,0.780290420654202,0.558211274278959,1.3872035154831,1.59226361088886,0.539944688733452,0.528966134893181,0.700858150343518,0.414849893947805,0.916238763056599,0.796627996642291,0.83491025083564,0.414738518842602,-0.0428323217496507,0.687052663627477,0.671237722754733,0.0286484754962114,-0.0578095325608792
"NLE-NON",0.293226300904681,0.375664695962877,1.34086546573997,1.76998928517155,0.0328206951706438,0.667765118901673,2.74436822684498,1.119583178875,0.690262608964145,0.411277028293064,0.323638192929864,0.0044818332484717,0.319723801510972,0.737140499600622,0.843888433882196,0.801793578013872,0.711671614857107,0.727742390399098,1.13606212088641,0.10611511060853,1.39974476493282,1.92907307757906,0.351805752730081,0.780300873723121,0.104594778989168,0.544003960613436,0.634235413448101,0.786092980672244,0.634220445656972,0.15172107955749,0.224874323890659,-0.145722149844448,0.672155468743694,0.0484889469783976,0.178310650082084
"NLE-ZS",-0.00726801939822542,0.164111067328454,1.65912417053723,1.18535455035313,0.890259926217893,0.641436992408966,1.119583178875,1.75640519031734,1.0530630347523,1.41638129651963,0.702439381266974,0.441395930830629,-0.111488214504034,0.420576103551578,1.34625048456963,1.22346076950071,0.122938183902627,0.465799851924419,-0.249651936233484,-0.104951745612997,-0.0513008630834712,0.161941308457788,0.768155944785851,0.214242469721769,0.566294689140085,0.484044601943243,0.507621513568671,0.236891681622534,-0.112368339913706,0.284277582590411,-0.74565425763613,0.378898998675314,1.90695309530502,0.426548912442535,0.260405303951609
"NLE-ZI",0.737333319163529,1.27436825256828,2.96527218971912,1.22840029994504,2.0289370347294,1.0231718981836,0.690262608964145,1.0530630347523,2.65466607046531,1.9034703574185,2.17436430320451,0.0320660039366917,0.706907485245965,1.25827688650543,2.5441999811823,1.54974374745886,1.6972219612463,0.947387349683497,1.76037351509773,1.1816936926751,1.00897545046185,1.44134298036588,1.32630118328653,0.655394052734721,1.39513212175715,0.327901520283365,1.73293860688035,0.999284494569771,1.37388214955397,0.852584997311652,0.495623804098769,0.602863185929939,1.52708043442549,0.0745425717734949,0.151868069874215
"NON-BR",0.365754376536811,1.01302604147676,2.91090255802292,1.73582882083651,1.47667814791881,0.706102608388433,0.411277028293064,1.41638129651963,1.9034703574185,5.913674505801,2.46714308510374,0.764758329852296,0.00868960687056733,0.536392114178376,1.97248626982677,1.47422971376063,1.34140665650701,0.381280256635233,1.21843076925346,0.800804047728946,1.23636209303557,2.20831925843439,1.79782431014482,0.789075485388313,1.35053263485199,0.386480856321643,1.40321369741167,1.19296069150769,1.18227821692011,0.72213091619954,-0.63623009461473,0.722835562928244,1.8109415002249,0.767389008118109,-0.0328343888705827
"NON-PNS",0.922739535556006,1.76211256433651,4.03183853550509,1.5742261103337,1.71498318951824,1.2893937752933,0.323638192929864,0.702439381266974,2.17436430320451,2.46714308510374,3.40896553082465,-0.372658196581899,0.777611416517234,1.01154901484293,2.23337235700681,1.13742965398284,2.22459810863697,0.610613164175562,1.9146817671999,1.21131104302108,2.33650679805895,2.81365607693528,2.03201194151167,0.553702457475619,1.61874889236772,0.344702455904516,1.90252751065808,1.41957602491214,2.115418487114,0.56111286050811,1.44367268123639,0.106758868911932,0.523075680573773,-0.264930179760452,0.061255065468905
"BR-PT",-0.129078451212961,-0.189190210679706,-0.0268719881031539,0.190917436906806,0.284227406521913,-0.169123552467858,0.0044818332484717,0.441395930830629,0.0320660039366917,0.764758329852296,-0.372658196581899,1.44019268891846,0.188860098179887,-0.300750451386945,0.122849309228494,0.437595009679921,-0.561347671021264,-0.0461092028076102,-0.343723554044928,-0.1046160588794,-0.894795981155933,-1.01184741128716,0.229676734454285,-0.194726374523141,-0.0496688186214054,0.0814491720589109,-0.0213918923275697,-0.295285337449963,-0.681439862013637,0.538482403993845,-0.910887922690739,0.462664413804999,1.17351520996603,0.389145966405209,0.341370560452715
"BR-APET",0.504621519779337,0.728700817321192,1.07580286905845,0.604041268853117,0.457091551067366,0.243737644201071,0.319723801510972,-0.111488214504034,0.706907485245965,0.00868960687056733,0.777611416517234,0.188860098179887,1.18134500600683,0.707172750593619,0.799599400299431,0.280838997075003,1.02554484593642,0.35238005875547,1.14811678110678,0.552114493779372,0.812120850542037,0.830299317304666,0.570630024864645,0.270867765226439,0.367981123989283,-0.000771679388762405,0.880326582682259,0.623224374638913,1.06649908834927,0.533797588717433,1.52006462868179,-0.232245213435818,-0.166106437773723,-0.271543059646079,0.280149082690681
"PT-APET",0.466782632134704,0.617772617971885,1.34118199996391,0.39699603323287,0.747503092779879,0.480886768212667,0.737140499600622,0.420576103551578,1.25827688650543,0.536392114178376,1.01154901484293,-0.300750451386945,0.707172750593619,1.84210182333031,2.20337908258567,1.44762828521324,1.00328797181384,0.944200204075704,0.878623611910433,0.43071287955697,0.686290195921866,0.767890236183791,0.501718119036581,0.544037976377061,0.64013013132924,0.421891064286283,1.06512272963338,0.478009128918825,0.632075307844629,0.647371106085656,0.488066220078501,0.341176817991018,1.24111183865713,0.0161190986948001,0.0610837806829075
"PT-BA",0.663697981057292,1.09664133242188,3.20280359442314,1.14081928198486,2.1226399848772,1.07258256637984,0.843888433882196,1.34625048456963,2.5441999811823,1.97248626982677,2.23337235700681,0.122849309228494,0.799599400299431,2.20337908258567,4.00448951709256,2.52702441066543,1.59467628453266,1.20126203505522,1.16178188574959,0.810210391510749,0.930168417692697,0.908877454116901,1.57820330937552,0.666073823091553,1.92148277013967,0.746486015842486,2.13488754446351,0.614219723542002,0.922672218703045,1.20560442475965,0.43992219592115,0.780621058046142,2.80786606231209,0.241957572867987,0.171083347524993
"PT-EAM",0.36753912238644,0.443116861846556,1.84480669619919,0.43285799468713,1.25245148203738,0.450781369283246,0.801793578013872,1.22346076950071,1.54974374745886,1.47422971376063,1.13742965398284,0.437595009679921,0.280838997075003,1.44762828521324,2.52702441066543,2.61844225274048,0.741184951366338,1.06241936693753,0.035579302107797,0.290077153843792,-0.0947213311420985,-0.12545998967084,0.866426987285779,0.466411483533909,0.718765966130842,0.665837573173011,0.775466162612727,0.0943698122402634,-0.0498283853574863,0.712149567176041,-0.687277696398239,0.766964111642491,2.96196788586737,0.516953904789238,0.272787006570793
"PT-ZYGI",0.875159091061865,1.61436089987936,2.46710641894897,1.58204974422499,1.0132419524771,0.774523402004141,0.711671614857107,0.122938183902627,1.6972219612463,1.34140665650701,2.22459810863697,-0.561347671021264,1.02554484593642,1.00328797181384,1.59467628453266,0.741184951366338,3.12413828087724,0.677660307565869,2.50395958447614,1.53273656758754,2.53522236088339,2.74483266296843,1.23078171779163,0.877891181868607,1.03409629611447,-0.0233435652412564,1.711261453198,1.85562879323289,3.14649074609105,0.407434963916721,2.20076763584147,-0.649174157751136,-0.224124615874043,-0.506127135836276,0.23650170096869
