"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.46365495583653,0.89669537749632,3.41735808792294,0.519259837268981,0.98621410029882,1.13674691777958,0.892232786844774,1.41516183186517,2.0514366587974,1.420441174086,2.11196448349849,0.202833012766956,0.790092311608428,0.6252031284351,1.01507599175942,0.875625198821694,1.39085377333755,0.285008017859382,0.409960928739406,0.660329740193345,1.09879782197055,1.51679233323022,1.17569245546439,0.424888857519132,0.230771935243627,0.199229102909731,0.236597499561412,1.32580892259851,1.01202242816182,0.207727311944875,1.26962295531258,-0.143348189743966,0.510961433193831,0.38653423391371,0.332010450196958
"IS-NLE",0.89669537749632,2.02059576189596,3.06510276093368,0.854499141466514,0.911630049516899,1.45741735288652,0.869495212323197,0.832382751652548,1.08623450661631,0.528365108293371,1.65568443526943,0.291142001030142,0.908848452394775,0.792345840810147,1.38649862680467,1.13505072079262,1.1948801039442,-0.0889008085701975,-0.110107919964339,0.533241356284592,1.62084505729605,1.19788707258647,0.735273964160729,0.629094021164186,0.247176109635814,0.291756356347324,0.515822704440664,0.802008786563984,0.98714844528009,0.830799894108495,0.894143881693227,0.747084245632044,0.999137401265508,0.348680336093028,0.298573260519437
"IS-PNS",3.41735808792294,3.06510276093368,12.7408762561853,2.75326948807317,4.07558613392426,4.63707087823823,3.20921500589155,4.68203145286286,6.26401374644337,4.86681226676989,7.42244007032145,1.22402610481539,2.88879511479484,2.1881929953484,3.38838557460156,2.85724637245425,3.80334647093911,0.507462439890836,0.840508492919818,1.93422358226525,4.15903944234484,4.60153545090331,4.35647692735768,0.519254188702397,0.0160267460360359,1.30434065956214,1.58065609794446,3.09670614701358,2.9907962937053,1.079815536989,4.36481891958167,0.58662776698751,3.33062505078959,1.50281992245772,1.00434823363547
"PM-ZS",0.519259837268981,0.854499141466514,2.75326948807317,2.39750289896369,2.5413950078935,1.82421149234759,0.74643270552922,1.57643146925765,2.58713654310526,2.10941339119409,1.83830002850594,0.366669591235116,1.02971487095701,0.368126345224073,1.00387776070164,0.865378373659174,1.12378301148275,0.301760918844054,1.45157204650341,0.718586676605087,0.644027692472716,1.17292439218837,0.939868507891279,1.18006715216759,0.319547869984146,0.299268890726397,0.997608345024073,0.465025312712953,0.922143392643969,0.511604538190088,2.28210596903609,-0.170173978570837,1.44189744264965,0.318205667232108,0.326222318126859
"PM-ZI",0.98621410029882,0.911630049516899,4.07558613392426,2.5413950078935,4.77386175349103,2.67180459205271,0.93333457619135,2.88195817508551,5.85829772636702,3.64068153615568,3.17365470366325,0.773263307843695,1.60012124976647,0.61831271936428,1.40227200184379,1.8134984349074,2.04913088944489,0.129565381925877,3.08136177024863,1.63770776690437,-0.615962336404657,0.279021304409346,1.35930513171394,1.32917157422967,0.159256731321449,0.723258173121015,0.421885499575102,2.24143805458248,1.70139213302356,1.10401622264272,3.02646211445383,-0.0152333613283156,2.29883512539097,0.532722724503997,0.448480161394603
"PM-MT",1.13674691777958,1.45741735288652,4.63707087823823,1.82421149234759,2.67180459205271,3.76345765668076,1.70305319737535,2.1767931107918,3.42280931408623,2.03115625868329,2.66086161929068,0.646829398781768,1.83963360728041,1.00859184975361,1.89594112637588,1.64218425041201,2.08572650519514,0.58103577293491,0.951802000841295,1.25778685047548,1.75550975235627,2.38344829754324,0.875103531393822,1.35335564238992,0.311301398444236,0.476478891881009,1.37264462055643,1.22599087934513,1.73042615153411,0.836465295994644,3.40656829402457,0.582621391358181,2.27786814114707,0.954516554042054,0.468933806212769
"NLE-NON",0.892232786844774,0.869495212323197,3.20921500589155,0.74643270552922,0.93333457619135,1.70305319737535,8.21209216857702,1.72541946139073,1.63795698016898,-5.00960970581157,0.219303433217143,-0.236239245685284,1.24276045058069,1.12816268271662,1.74540484339703,1.23665674970051,1.91946748148969,0.672671746691236,-0.427008941469792,0.370102712756161,1.14487715364368,3.06390590257472,1.07347153954022,0.783373428176205,0.531614315245809,0.638294985097121,0.503178683448946,2.25040403925705,1.81118701283777,0.399608220228915,2.74518355507765,0.516160292974801,1.92470476321891,0.0312619522043994,0.0535415528705237
"NLE-ZS",1.41516183186517,0.832382751652548,4.68203145286286,1.57643146925765,2.88195817508551,2.1767931107918,1.72541946139073,3.52445048672956,4.57119327464038,2.98109500350249,2.99331387904536,0.796086228674624,1.37850149776862,0.64164482819223,1.05777938731948,1.15343846411938,1.69922186978509,0.142339034530833,0.645212053703993,0.978701959903739,0.988418001164329,1.3069058008572,1.62201357337846,0.91876141924016,-0.227594336285731,0.61897547533439,0.35809472221492,1.30649449152165,1.3100593169283,0.960644508857165,2.69939575215179,-0.143228436298431,2.45628725457614,0.528572567312237,0.703455245957844
"NLE-ZI",2.0514366587974,1.08623450661631,6.26401374644337,2.58713654310526,5.85829772636702,3.42280931408623,1.63795698016898,4.57119327464038,8.91019689512796,5.6494861726222,5.1269655138787,1.38146377275939,2.14762004103764,0.792700403453086,2.16423948404709,2.50864229194609,3.33811125857776,0.213515504547041,4.33964615722085,2.53039347344656,-0.357216181759843,0.452552849936314,2.07987864015586,1.37164726950327,0.139744146453777,0.963382392125384,0.0658760629096444,3.85147833010234,2.60995030833186,1.564478822971,3.04398805772688,0.132939789371286,3.41291240511604,0.92740076146277,1.01173430644254
"NON-BR",1.420441174086,0.528365108293371,4.86681226676989,2.10941339119409,3.64068153615568,2.03115625868329,-5.00960970581157,2.98109500350249,5.6494861726222,15.1179663239472,5.51559840554669,1.22833901909381,0.50257562681644,-0.0701472047620975,0.802504785133113,0.734560187982044,1.26470549991066,0.277384989603707,2.65830562992608,1.88313358037437,1.35741181157318,0.479031859453989,1.52759728040769,1.00543276839943,-0.108763133053651,0.438211114098523,0.433234397583304,0.369468288664611,0.288988486249837,0.270807009253379,-3.26776727358582,-0.442255800284501,1.81354750897677,0.61324731577929,0.93875890490238
