"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.07349906990944,1.3142491328752,2.38132614029609,0.694270887632697,0.66141411583286,0.49817185857017,-0.476873565083616,0.271673764980329,1.20377919755141,1.87672067985209,1.84470777793544,0.127415804362421,0.0943557363632801,0.236120074258667,1.37312548931927,0.161798647701807,0.868954451843503,0.103428576651057,0.975886646520014,1.46248162046193,0.760266710306905,1.67622413069765,0.666570048349434,0.0179555518653213,1.31934991267058,0.454114027965675,0.996028599939991,0.711430274833249,0.839672262613302,0.887700705619129,-0.676499508712378,1.19964553415345,0.884479537961547,0.951443201051029,0.406812858817593
"IS-NLE",1.3142491328752,3.71045403091359,4.3856142440054,1.99080393760657,1.97243860379477,1.92952632826141,-0.00620937098196066,1.15972135673636,2.51798354488986,3.98100076163877,3.36936982190602,0.662981797772296,1.3476655790496,0.738648569526179,2.96933799144365,0.634688339830015,2.46614594582661,0.507156244038311,1.462804488924,2.51984910798405,3.40401780023823,4.00154466389567,1.03237794532198,1.06116203374683,2.78754442651689,0.859459028796083,2.42119817016024,0.581530935584114,2.0823063752644,1.51218798345264,0.75331123929525,1.95487656082667,2.44785073074385,2.0793858275587,0.264796489206454
"IS-PNS",2.38132614029609,4.3856142440054,10.7745500316783,2.80760721321783,4.24739851062393,4.22726046538401,-0.0602181122705998,1.60959917587771,5.51964150793824,10.4010940361594,9.56566306795106,0.9283262077892,1.44328287149281,1.74175430823178,6.91847086818953,1.32356828178912,4.06614273479478,0.998629735795503,4.12142674114628,5.22907364691739,6.12266270097399,8.36493055800339,3.98304755901132,0.775961279446611,6.03628399961902,1.48559126262431,5.44893416178771,2.38727682315599,3.78074724433715,4.01578551169864,0.530337541951394,4.61253012788066,3.83146516570654,3.50047327434063,0.955858154093083
"PM-ZS",0.694270887632697,1.99080393760657,2.80760721321783,2.67437051244522,1.2790964657639,1.22059080768876,0.458545016662267,0.650949416029187,1.85224347659291,3.46214228718402,2.57877547176475,0.734719554038404,0.712658628118668,1.03504311691044,3.56965502437002,1.04516493038748,2.23164393824849,0.706295854031064,1.24711485416064,1.71976406269773,2.16108471018345,1.78834311298615,0.783891658795255,0.309408878930379,2.58442458346705,0.207541773604698,2.46133635093246,-0.29051594697252,1.67120974110464,-0.234739421647906,1.53414374579065,0.537351619050915,3.31020616645781,1.33723778822703,-0.283049975081059
"PM-ZI",0.66141411583286,1.97243860379477,4.24739851062393,1.2790964657639,5.20429804031654,1.98235228475391,0.652985333895752,0.481532348678366,4.43579413186147,4.11540984827895,3.3013425905403,0.362770578896297,1.57654855371794,0.705867252522983,2.34002731426616,0.519680400017906,1.63116874110293,0.0478917506375795,3.98589673412576,2.74404595630844,2.41703989649092,3.3037006694118,1.82236795642977,2.25841517192916,2.17757259389961,0.273010610533397,1.98311356860095,0.749642287409263,1.33908981366783,2.2286844412325,1.08101190318854,3.25586630953994,1.30801553417544,1.54766090734805,-0.0817938361937905
"PM-MT",0.49817185857017,1.92952632826141,4.22726046538401,1.22059080768876,1.98235228475391,4.11355464988256,-0.329656656106087,0.931720961576192,2.39274869956582,6.28789615437185,4.27251617633497,0.156064729487778,1.32597064299628,1.89598156722734,3.83568793183339,1.98915337168202,3.05842451757705,0.813488121143886,1.53007506956722,2.88136394331415,4.80724188891583,4.42126588971406,-0.238812164024351,1.86170847432261,2.49093069299495,0.187325976416578,2.70442258145786,0.919261320972749,2.45006839699232,2.67871358727203,1.16631892842816,1.67843754593166,2.34502198734106,1.13786058444323,-0.0324260295071304
"NLE-NON",-0.476873565083616,-0.00620937098196066,-0.0602181122705998,0.458545016662267,0.652985333895752,-0.329656656106087,4.83741405086473,0.371845544468805,0.909177439041122,-0.287614126487499,-0.322973088080061,1.07895475136962,-0.290484103567915,-0.0878045051568539,1.1099849858663,1.41840244247961,0.193661599675579,0.628471975353089,0.388933411890314,-0.414362213632644,-0.196525005204713,-0.904012741585869,0.723230441246518,0.434677498148495,0.0366194380557229,-0.584913930130429,-0.0940102926675625,0.487758902701855,0.277133591661749,-2.00077442873359,2.45149466524854,-1.94676531944943,2.70281453725811,0.418828222716757,0.299648721713931
"NLE-ZS",0.271673764980329,1.15972135673636,1.60959917587771,0.650949416029187,0.481532348678366,0.931720961576192,0.371845544468805,1.28369983086565,0.906091582220761,2.82343350978433,1.50286067241212,0.861662491902861,0.542994369410832,0.383223546899885,1.77557724359944,1.02455743728427,1.58056771238847,0.749916629878731,-0.282993242655226,0.698351423548769,1.98090715821966,1.4688626040315,0.470132766129153,0.35229823260688,1.25262499387168,0.105198627410474,1.10279606502132,0.0344652652843465,1.22036627579075,0.544527317911149,1.35555102597653,-0.0713262175183807,1.85287663416973,0.283384543814196,-0.0274806062987777
"NLE-ZI",1.20377919755141,2.51798354488986,5.51964150793824,1.85224347659291,4.43579413186147,2.39274869956582,0.909177439041122,0.906091582220761,5.54435629017138,7.57287549266507,5.54598469584461,1.31996691485137,0.924601692983099,1.13057525667882,4.82037398717581,1.63176326621204,2.94216532088343,0.580357372923776,4.5590326360355,3.67510852575132,3.73464552198393,3.75748407718296,1.85496668517927,1.84291113536053,3.79441307381701,0.482082718932087,3.52575928937696,0.635809157241439,2.30454343946208,1.96103961973442,-0.0191017169283553,2.95395378906517,3.12994199270724,1.53712417404365,-0.0460739347150143
"NON-BR",1.87672067985209,3.98100076163877,10.4010940361594,3.46214228718402,4.11540984827895,6.28789615437185,-0.287614126487499,2.82343350978433,7.57287549266507,27.7917110155461,13.7145123732422,4.76156355044373,1.56435562125153,4.58119152584842,11.7048892210671,5.09815023273383,7.9339613801384,3.30706618770694,4.82378541803036,6.23484165643273,9.79201196191551,8.90117624224161,2.19891973509085,4.13920514809147,6.43183035692228,1.02103620366462,9.04417518081486,1.65378409152668,6.46884834770062,4.53548556160941,-0.758046112686898,1.27973766442695,7.49493720412386,1.33713838455497,0.383013992044877
