"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",3.93203148227374,3.32476840492523,6.07273132681678,2.35005966891066,0.217264657605667,2.54004942966057,1.70161852319329,1.91932700415736,2.37128427180214,6.93074251385979,3.77616720462996,1.37260353654111,2.17785246558789,0.976543436759625,3.52915998525042,1.79865933417843,3.45552795985364,0.515860349065481,1.21959816862696,-1.16456978658413,6.15260077580856,6.81291791072799,1.8287590687852,3.21937220049934,2.91556680297695,0.635147457651073,2.40048100598536,1.83839721408414,3.60485395974797,0.438154654171058,2.53019386253856,0.500338872736776,5.03149649179212,2.83411279983763,2.30833690831664
"IS-NLE",3.32476840492523,11.5212115925752,10.0487094283787,6.4766526571044,5.07241529487663,6.62462217935306,3.59569515005146,3.58544049350121,6.12180269667824,9.53223186384644,7.36432853617475,4.58417189320116,4.8539240120011,1.19874076647993,4.44641246072936,2.28933626440772,4.22850296472921,-0.899956915366966,2.74002768656706,-0.430023882317933,6.30902962372359,6.30275685791409,2.99140945918846,4.34324357502785,2.59610278147254,0.920134087957091,3.72102444949999,2.87486184221841,5.19566293559447,0.85546594680345,4.53261242862235,1.72966070561074,8.65689724305355,6.69029660284642,1.87984152105301
"IS-PNS",6.07273132681678,10.0487094283787,21.04579784265,11.3863158479112,10.3715348392633,12.7050834461223,9.1067906987225,8.27290947505678,11.2524666003734,19.1765127312356,12.6991944267806,6.63874540079588,6.75941919016307,0.592695595662494,7.43412346989924,2.58328493310544,9.53709235486333,0.218096749589574,4.55060503773123,-0.832247891873384,13.2942623073191,15.0418087245132,7.40281334702994,7.59805505063897,6.77969488397151,1.67828651473651,7.77922549811445,6.04282782232193,10.4656451624982,0.238937447243624,8.36889572807014,0.763328210896672,12.0020838303229,7.28182818877418,4.45493416165468
"PM-ZS",2.35005966891066,6.4766526571044,11.3863158479112,9.20943221175445,9.11963705257316,7.97612348456324,7.03767014900551,5.46877044869168,7.7000487276482,10.327966144257,7.35110107853544,3.69943396522102,5.21885017800517,1.91715910495733,4.36519335416925,2.87384657032706,6.17904784630636,0.438684971475216,3.47982892633379,1.53504778636506,6.22048211929952,7.97221342570555,4.2896042884282,5.00159011639611,3.00325164836885,1.01611120418796,4.04601267000575,3.18690535510546,6.38075296522959,-0.443370477652566,6.25951834250202,0.0192600279648541,7.76511419870033,5.43110258806294,2.49166840998789
"PM-ZI",0.217264657605667,5.07241529487663,10.3715348392633,9.11963705257316,16.4116856402904,8.68162093593426,6.1916517886213,5.43841813177508,11.4689739009574,6.3010128032045,4.24559932428881,4.19962018653592,4.6613338649255,0.721327445046061,2.32226348140943,1.41753669050311,3.90558666260542,0.176513900585067,5.88927911291443,5.63368783713843,-1.77159128700464,0.511719830428078,4.77106043470826,4.39454616442346,0.552151455787789,0.528595638180049,2.12806209369245,3.36460937139964,4.06070826089007,-0.528984390312526,7.55437239795057,0.34885232734694,6.13062372995597,3.42927486241674,2.08802613689094
"PM-MT",2.54004942966057,6.62462217935306,12.7050834461223,7.97612348456324,8.68162093593426,10.8162575949769,6.08333365832693,5.92560589221569,7.91680561360293,13.3827223835591,9.01105404770545,5.47569432603778,5.6968703809644,0.670169408839209,4.59273674215185,1.92384650186082,6.00364014546327,0.0826727608247566,2.80012341741052,-0.958747795169945,8.072201692839,8.21096974969877,4.63572142837108,6.08415428714884,3.47826724775633,1.27380169267286,4.97024091412931,4.23495543812744,6.4738802665834,0.0146998813211748,5.69279067527386,1.14986896158368,7.94002553772842,5.8302448122796,2.25848398224968
"NLE-NON",1.70161852319329,3.59569515005146,9.1067906987225,7.03767014900551,6.1916517886213,6.08333365832693,14.8827647367091,7.09845196097074,7.70778429974099,9.21541435628832,8.02986706618381,3.6601043413456,5.89411773091675,2.04585947723403,3.88339754042026,2.56489006740673,6.36206276506229,0.592013065718647,2.17531430752679,1.30425488073218,7.7560041601767,10.2224514163645,2.56715607853269,5.92900037558039,2.95187956845276,0.807126964825777,5.41329229992288,1.37034628647289,6.42073340358709,-1.26725177467402,5.34700521976375,-1.98513252730842,5.91473585455001,5.62368533736072,1.75663876330589
"NLE-ZS",1.91932700415736,3.58544049350121,8.27290947505678,5.46877044869168,5.43841813177508,5.92560589221569,7.09845196097074,9.70207044594617,8.74863792550623,5.80041122723516,7.31485267402241,3.02365325642296,5.48345265940965,2.18246650578851,3.72287985023721,2.83711207438211,6.47344087701863,0.715075560157429,0.0887257676952274,1.6272380050933,6.38997592656445,7.17853803935613,3.04576935936152,3.10222589847606,2.38062976844817,1.40732263611899,4.8038427505493,1.1285037230151,6.13212389067982,1.9540416334011,4.19995412475058,2.45035850852629,5.25246234400313,6.09687029817606,1.35108880959927
"NLE-ZI",2.37128427180214,6.12180269667824,11.2524666003734,7.7000487276482,11.4689739009574,7.91680561360293,7.70778429974099,8.74863792550623,13.7750591417275,7.64679565170422,7.55297160512337,5.67598089193119,6.1975285323461,1.1644897787528,4.65791016059255,2.41383575911611,6.0146404094313,0.42541723935306,5.36840849370015,3.80428664701415,3.006030235486,3.96394464750402,4.32852362589058,4.56976944482719,2.10723310673374,1.09205677736486,4.31530300712256,2.85996141645893,6.15179043115867,1.32260189764339,7.25930904140461,2.73715710554982,7.96776817801707,6.76153329173566,2.13232536392684
"NON-BR",6.93074251385979,9.53223186384644,19.1765127312356,10.327966144257,6.3010128032045,13.3827223835591,9.21541435628832,5.80041122723516,7.64679565170422,39.4671921514509,16.53774009444,8.84227901613983,4.8264264047292,-0.0639128054133036,8.82263913087152,3.74194296937429,9.40243726826959,-0.45375343461398,3.96351034401466,-4.12937357609467,19.734174229391,18.9047460134909,5.16787176306857,14.0358875186074,7.84929678594107,1.69064310335268,7.08757395344278,10.2486753682405,10.7013400350916,-1.64926760002454,1.70124358908534,-1.92561011634623,14.8982219846948,7.88304603323502,5.27183945888738
