"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.656146902260091,0.818850455188786,1.25027490081774,0.820974527123843,0.74077661670042,0.657116665926314,1.0316723218786,0.702422984546065,1.14886312504428,0.683087928452535,0.980245583629826,0.24846818703066,0.493001543650433,0.347979829068585,1.24299382476468,0.545814679320578,0.979506426330206,-0.00968382709462196,0.485686256778805,0.308502755308676,0.941958967675484,0.889195891017624,0.354930183662483,0.830141853226492,1.02167036594512,0.0174785771543444,0.971337046897802,0.468605093401214,0.903660653245747,0.224282589245779,0.762452239407186,0.706205740404357,1.11763388605012,1.05226787906509,0.0678501412630231
"IS-NLE",0.818850455188786,2.15401957623922,2.30495566442487,1.61496213258386,1.60041401387698,1.4318301773366,1.50324695499874,1.30171352641234,2.2429349027158,1.34732827404522,2.25409265910455,0.371055397918275,1.15724165892879,0.877014154115565,2.17507215140124,0.994222634502213,1.8597125946023,0.144082482697874,0.993200041078396,0.623912733020117,1.95686231764596,2.21591658204152,0.711311304231005,1.6314481350907,1.74143977333188,0.238168383345526,1.70632296561011,1.04507606046498,1.7258324623717,0.898366358929103,1.23326903173309,1.75125299428789,1.09597737551311,1.27216040241824,0.0785961270348291
"IS-PNS",1.25027490081774,2.30495566442487,3.80947991807226,2.30050993350813,2.43772869280149,2.08031888236182,2.25638507028432,1.88608911531008,3.3150200257573,2.03271556560174,2.90543216101305,0.491315796222696,1.33176356811027,1.09590582807657,3.21162232268425,1.39748682844277,2.43467130579142,0.268349185202086,1.5013519592275,0.851784927271584,2.82457181374688,2.73097657629987,1.1364370915916,2.15776038539661,2.46919308283616,0.0249109210699067,2.36445833053678,1.38830798489514,2.04610236252895,1.50302250685291,1.88131386109391,2.3027279089169,2.10802794989535,1.46982106444276,0.0413963579159137
"PM-ZS",0.820974527123843,1.61496213258386,2.30050993350813,2.15100002350695,1.88242462216588,1.7253031319155,1.79108903248503,1.23958639871562,2.32757449526159,1.13496590879864,1.95175632187512,0.317881903130623,1.05937529187612,0.803051744531467,2.48395233779386,1.1544867128989,2.03573457978309,0.223716757708295,1.22589915570272,0.481673254185546,2.03029339187066,2.09200587583704,0.673217203432004,1.74647765057274,2.14432508372511,0.517392329889602,1.84616447857591,1.08923606176136,1.77186776273471,1.14527472845575,1.30972055205936,1.92782780116691,1.45712450665679,1.31627924225257,0.0471394765593498
"PM-ZI",0.74077661670042,1.60041401387698,2.43772869280149,1.88242462216588,2.44713384295242,1.94566664801405,1.51094569171758,1.23888052164445,2.56502669058889,1.36144644099576,1.73868838347732,0.132210237948719,0.794055737693574,0.66527464437886,2.36868108324966,1.10867910035287,1.7328893120926,0.360441537924348,1.45088747917938,0.745874153668496,1.58285534791367,1.51194621882753,0.56510371393338,1.83823060674542,1.87040351405155,0.200658191069486,1.67706655267349,0.860616332308768,1.35677792871882,1.04561769001199,1.33574228472871,1.65720734404244,1.4341567579346,0.863402920143897,0.0122413343568736
"PM-MT",0.657116665926314,1.4318301773366,2.08031888236182,1.7253031319155,1.94566664801405,2.10739034981595,1.51000138083878,1.15161050513351,2.17393121395966,1.0210194898006,1.61483096592413,0.139016528248854,0.662989245451845,0.452527204361882,1.93442442942113,0.861187358349766,1.47761743398511,0.199769424543572,1.12254987420051,0.260362094375957,1.538588785111,1.11039879940557,0.490192064047586,1.55757690260519,1.55670012919272,0.440897400292431,1.39572109137405,0.769119940301583,1.20437879358147,1.00110723549114,0.749787084442982,1.65153424131614,1.20844772271571,0.634201722371594,-0.112872379405307
"NLE-NON",1.0316723218786,1.50324695499874,2.25638507028432,1.79108903248503,1.51094569171758,1.51000138083878,3.73028173494421,1.86939589900853,2.55727443449604,0.0165336826501779,2.03564336998487,0.48530039494835,1.28096824936948,0.996347297684697,2.13541792419723,1.12006197579161,2.19415998525175,0.076484294416519,0.780873718909818,0.539796668249386,2.1223092735941,2.48529093504959,0.538175130524209,2.19455929002188,1.46607933055872,-0.0123826708418429,1.5142923414419,1.10574071394094,2.2080984619911,0.695863672394855,1.18919663934184,1.92181557095407,1.51758741755496,1.39229179669346,-0.144740819135096
"NLE-ZS",0.702422984546065,1.30171352641234,1.88608911531008,1.23958639871562,1.23888052164445,1.15161050513351,1.86939589900853,2.18653527074136,2.38921468718987,1.08458793880628,1.71210506302829,0.323439127726883,0.777800961062932,0.505073839124341,1.66234505990513,0.629689826097088,1.44663398991489,0.225256032952828,0.285740312126714,0.425192949959145,1.615753562024,1.8422499227644,0.339375853939835,1.56707247607833,1.26736096857734,-0.187908901409054,1.38895370063031,0.656932511663987,1.34229826131284,0.496174744292268,1.1933567767291,1.30172857696625,0.748599097804933,0.77185521982259,-0.239741353390145
"NLE-ZI",1.14886312504428,2.2429349027158,3.3150200257573,2.32757449526159,2.56502669058889,2.17393121395966,2.55727443449604,2.38921468718987,3.86345919462434,1.86771330928124,2.72292230975436,0.539134921552948,1.3749964437821,0.892709232269793,3.15386885972209,1.24706435130058,2.4783447287104,0.373036916023754,1.59068664212096,0.859788747597281,2.49040329198487,2.58115965757677,0.786641963312372,2.29154186855711,2.57304025187478,0.0242883807488021,2.50043758312427,1.10294309868325,2.13203194757335,0.87474093287328,2.45588227491542,1.78040575921408,1.8208052467456,1.59911096922319,-0.0704142161633403
"NON-BR",0.683087928452535,1.34732827404522,2.03271556560174,1.13496590879864,1.36144644099576,1.0210194898006,0.0165336826501779,1.08458793880628,1.86771330928124,5.64140788539766,1.97693653738178,0.505047434475517,0.771564557932863,0.742375978980578,2.10113115332743,0.878868045263438,1.41363139873569,0.0857962953327221,0.829128761100028,0.451586277900766,1.55061879468164,1.81255694542817,0.481045710807291,1.17084671978163,1.77753028888581,-0.123049094193019,1.50501453003691,0.499613558829668,1.16198359893144,0.729293750355034,0.284070668547141,0.861971436444077,1.55921214209029,0.637343573818468,0.390021426183962
"NON-PNS",0.980245583629826,2.25409265910455,2.90543216101305,1.95175632187512,1.73868838347732,1.61483096592413,2.03564336998487,1.71210506302829,2.72292230975436,1.97693653738178,3.36750433118684,0.695831666391958,1.45783781886603,0.922101183948648,2.67658091688381,1.13565720190912,2.24643962926669,0.0645043121186529,1.06032295316697,0.593674354581109,2.61813219083417,2.74869429061069,0.935612298220996,1.98879315392576,2.21210949319653,0.102160824629862,2.13784640250595,1.22803315064396,2.05341819257205,0.851128784008956,1.55648051678767,1.93271611600486,1.61029583305483,1.68230685785908,-0.0264350314905551
