"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",2.26346171292786,3.84107412403359,6.81048546533742,3.51581853021511,3.32650491651248,3.62419103716067,2.66167363780092,3.64080130787858,4.05184143290193,2.7254846901119,4.09366245844066,1.12641635655581,2.09179161687148,1.381363155301,3.92252063142243,1.49238318585812,3.36968724717295,0.774307299628947,0.512314103389309,2.31203623781118,2.47112747450017,4.30291258124531,1.4742058419535,2.48588577199299,2.92821264213673,1.88191366013867,3.70717584708562,2.71775996564809,3.2505660284877,1.65354889643656,1.75082957577121,2.21767555687783,2.11413055648773,0.55478327328626,-0.161936156188785
"IS-NLE",3.84107412403359,23.3160653131492,26.6938383090147,18.2074683833305,17.6061932611993,17.9760266699445,9.08404948067694,16.2703696516407,19.0598155215923,11.0918283083729,16.8295481243053,4.30093501518425,6.76272420011851,4.83357909795039,15.2264700363554,4.01914670204158,11.7894593950442,2.19721837400097,3.79605776134599,6.95982461965353,10.7777112424784,18.6010938117672,7.29365148269244,11.0167522023434,11.5242617131888,1.96106208016406,14.4762676609169,10.0296620787593,11.7953491365041,5.27139054165013,4.51898497958144,7.24937898902273,8.67639166152108,-1.68646430313081,-1.87061631094108
"IS-PNS",6.81048546533742,26.6938383090147,50.7339885306592,27.212387769785,28.2231009551641,30.3522690523901,21.3488919715223,22.8183836410777,28.0343761111024,15.9521645580952,27.080711881971,8.35446790654898,12.9197730690663,7.90134221218666,24.2141698538848,8.51511974564849,18.1499351414507,3.15917323749161,7.18219361346193,10.8411972995946,15.4746960404821,24.5619559887877,13.2565404899118,9.33965578103748,17.3688371744324,4.77111095565038,23.7223805387292,14.3874670091283,18.2346772022071,9.61140309866996,9.3129318109595,11.2797495568126,14.5846205211199,-2.35000418311105,-2.29956568408208
"PM-ZS",3.51581853021511,18.2074683833305,27.212387769785,20.209608192949,18.9125321978461,19.3263503037396,12.5772772788886,18.1747913882682,19.0573986815219,12.9825903337123,15.8569786313594,6.51252915296387,8.11138850113291,4.29002786697323,16.8615437273041,4.29094950963331,11.3292235408536,1.49691667085568,2.11805516790677,7.14973456595236,8.67312892754166,15.5129295377601,7.67821182702141,9.31382511223929,13.7253452287634,1.8924207286091,16.392003986413,10.5085455160977,11.6020300071181,5.99978366262077,3.13370454735135,8.73948984078637,8.94250167020627,-1.64364496258331,-1.50859479413196
"PM-ZI",3.32650491651248,17.6061932611993,28.2231009551641,18.9125321978461,21.7386377146621,21.10576286705,12.6145315682297,16.1505726218372,20.3890121602797,13.4912077285562,14.9011285652466,6.39950553385285,9.06514023527108,4.86872766589358,17.4888881347247,5.07698794794933,12.0147136722999,1.5317938389943,4.62510773866556,8.21368536432678,7.7623409140292,14.7207199561613,7.02044394764658,9.52796698451462,14.6592023182173,1.70485804763321,16.9394249896943,9.81539834616588,12.3219848035718,6.26689268782876,4.03195418920629,8.64823191408279,9.21081875204115,-1.64192614873329,-1.75432240714005
"PM-MT",3.62419103716067,17.9760266699445,30.3522690523901,19.3263503037396,21.10576286705,23.5411658787847,14.1310367705173,16.3335413837954,19.8781833806013,12.7288591196399,16.2303210346442,6.99463432616669,9.22659474870232,4.84558116026798,18.0075036377328,4.89314311835002,11.3311804724757,1.75074335079049,4.1331031244109,8.45422358252286,9.03630157535618,15.5834884346707,6.54799067220934,8.5258554947084,14.7095386352774,2.14735489207579,17.3430558464659,9.79406654193207,11.6537417043796,6.71926397118263,5.33631793554593,9.42804718503172,9.36915280848278,-1.93163614113404,-1.64344119899135
"NLE-NON",2.66167363780092,9.08404948067694,21.3488919715223,12.5772772788886,12.6145315682297,14.1310367705173,23.0332655584837,10.6215914809554,14.6565296664664,1.81681500720826,11.119439421567,4.98775351488181,6.78701487560639,3.3709648598328,14.1464535265548,5.25985715961233,9.04134068840719,1.65543285227196,4.45761132924319,6.00434497936782,6.4465432931158,10.9671871085574,4.43156880538584,4.27023754658485,11.8690533175336,1.04775592037163,11.783202920953,8.27951651630106,8.62461755652443,5.75529577705669,1.24335432360909,9.52142771237474,8.05250717766307,0.087946470461229,-1.9212162561336
"NLE-ZS",3.64080130787858,16.2703696516407,22.8183836410777,18.1747913882682,16.1505726218372,16.3335413837954,10.6215914809554,18.9618682165963,18.5590693133598,14.0762423726253,15.6180614395453,5.96426229421981,7.48600624809387,3.82683799702249,15.6875764041241,4.20277998827593,11.3758645317668,1.60407327398269,0.894447556743256,6.81933990531773,8.44377356429926,14.8028134724823,6.6464678726839,10.1514552694276,12.8624104192641,2.6482929934447,15.4932955648791,10.4228368458931,11.2213596857234,5.65128125651634,2.93737348569116,8.22361956225821,8.88499857321009,-1.48869812980667,-1.76354149287768
"NLE-ZI",4.05184143290193,19.0598155215923,28.0343761111024,19.0573986815219,20.3890121602797,19.8781833806013,14.6565296664664,18.5590693133598,23.0630918619637,14.1058564571203,17.5408912714706,5.53403248230855,8.74168256270047,5.19377736780799,18.1753917030751,5.77613784518516,13.7962477663309,2.0382605988212,5.29960310772786,8.55383695722214,10.1023893480655,18.0944117573309,7.002225591893,11.66994293826,14.9349764145816,2.03632125727965,17.0304417874141,11.0377617620095,13.5360579208128,6.31706023265076,4.04460159915601,9.27541065885301,10.7931094059309,-0.341740369678795,-2.47712227684839
"NON-BR",2.7254846901119,11.0918283083729,15.9521645580952,12.9825903337123,13.4912077285562,12.7288591196399,1.81681500720826,14.0762423726253,14.1058564571203,22.2752604940376,11.121022074062,7.29615530936346,7.04311842543389,2.5921986440135,11.3489769301424,3.15781354986512,7.8828051340503,1.10164496986027,0.298928224285075,4.38690215849621,6.43371475789482,9.92777058499856,5.42645668632474,8.20936169618254,9.80233002280737,3.17587988189729,12.2236955353152,6.71636808918094,7.61872326708889,4.41981712274609,-0.0925744926786868,5.80499608993292,7.96830824738949,-0.130224193636498,-2.14968510253492
"NON-PNS",4.09366245844066,16.8295481243053,27.080711881971,15.8569786313594,14.9011285652466,16.2303210346442,11.119439421567,15.6180614395453,17.5408912714706,11.121022074062,19.373777585544,5.93069895201183,8.85750773325195,4.5476264998002,14.8972113670578,5.62239521336876,12.2974941354627,2.12016938705547,2.90610966650777,7.17768643663913,9.99112617991719,15.5388614463697,7.63094889182995,7.33529983650831,10.7494537559956,3.37447948972423,15.0460944214689,9.64627385426893,11.8722947403479,6.03114437816529,7.96783488449679,5.73678412370544,9.81980924446564,-1.71354837896765,-0.772111899604841
"BR-PT",1.12641635655581,4.30093501518425,8.35446790654898,6.51252915296387,6.39950553385285,6.99463432616669,4.98775351488181,5.96426229421981,5.53403248230855,7.29615530936346,5.93069895201183,8.96685931389264,8.03110111638127,1.30138264240732,7.97161508176994,2.32617297207088,2.47389350644508,0.149880337035746,-0.999257556687446,3.07433390634297,2.28154351698472,1.60536839990723,2.90329162856571,2.92892176407202,6.19982852853951,2.2046727393446,8.10140191927467,3.76645502031456,2.77193726795927,4.67727177115327,4.28848253448328,3.10256075952444,5.80538176615918,-1.47055835732448,0.847305782703298
"BR-APET",2.09179161687148,6.76272420011851,12.9197730690663,8.11138850113291,9.06514023527108,9.22659474870232,6.78701487560639,7.48600624809387,8.74168256270047,7.04311842543389,8.85750773325195,8.03110111638127,9.94722464823899,2.53532946822488,9.89796941950823,3.4572718268792,5.65009934033796,0.771826167193844,0.522338639801404,4.55728688240591,3.7696420540366,5.12772438025736,3.99079574944846,4.44442254764808,8.34738833885945,1.95986045912382,10.0279856835089,5.12497472795212,5.71263023368143,4.93239124054868,6.98141842895283,2.95786945736365,6.53833027725552,-1.57141332014234,0.678409355614316
"PT-APET",1.381363155301,4.83357909795039,7.90134221218666,4.29002786697323,4.86872766589358,4.84558116026798,3.3709648598328,3.82683799702249,5.19377736780799,2.5921986440135,4.5476264998002,1.30138264240732,2.53532946822488,3.82939695134209,5.43196060484818,1.03764288251259,2.84985296686944,-0.0267292561873696,1.56012837291035,1.84171960762339,1.96651345580149,4.4257723454341,1.98253856131206,2.71718181196217,2.79142197585916,1.05017734354142,4.55288634943646,2.65156901345766,3.18141369626239,1.66178660784317,2.01071022767702,0.638720819326635,2.0779443022341,0.804412638193316,0.427742041491065
"PT-BA",3.92252063142243,15.2264700363554,24.2141698538848,16.8615437273041,17.4888881347247,18.0075036377328,14.1464535265548,15.6875764041241,18.1753917030751,11.3489769301424,14.8972113670578,7.97161508176994,9.89796941950823,5.43196060484818,21.7206954770827,6.25063803969305,10.8737605819632,1.38300034666872,2.39513362151306,8.52572790821119,8.08751051310398,13.3286516011196,5.99650378872268,9.69557656546185,18.1549994946099,2.35264309037974,18.865744160145,10.9922221921114,11.2748165304345,7.18675454831766,6.20494311077974,8.57480393061618,11.028633740539,-0.866724517454553,-0.408840122847135
"PT-EAM",1.49238318585812,4.01914670204158,8.51511974564849,4.29094950963331,5.07698794794933,4.89314311835002,5.25985715961233,4.20277998827593,5.77613784518516,3.15781354986512,5.62239521336876,2.32617297207088,3.4572718268792,1.03764288251259,6.25063803969305,4.42574069057273,4.35532054310156,1.09085023222955,1.36869455684409,2.74222415449838,2.7130892504677,3.00874885439516,2.3627742179248,2.30568532744635,4.76599223020512,1.01747633812636,5.17179461048026,3.33248305202868,3.859336932748,2.25628123664248,3.04702435829106,1.87659473212265,5.25455504507295,0.0725553446801092,-0.165185097599158
"PT-ZYGI",3.36968724717295,11.7894593950442,18.1499351414507,11.3292235408536,12.0147136722999,11.3311804724757,9.04134068840719,11.3758645317668,13.7962477663309,7.8828051340503,12.2974941354627,2.47389350644508,5.65009934033796,2.84985296686944,10.8737605819632,4.35532054310156,12.2673365525982,2.31661003845844,2.6168986650693,6.21031899283957,6.25033263258033,12.5103206151094,4.94805877255731,6.76602071824165,9.87192096787268,2.87058100050674,11.2719340583123,8.5983525491853,11.4052731089576,4.12028515330515,4.26437277587148,5.60677733823337,5.93816840080616,-0.166063011052415,-1.52093442530127
"PT-TSP",0.774307299628947,2.19721837400097,3.15917323749161,1.49691667085568,1.5317938389943,1.75074335079049,1.65543285227196,1.60407327398269,2.0382605988212,1.10164496986027,2.12016938705547,0.149880337035746,0.771826167193844,-0.0267292561873696,1.38300034666872,1.09085023222955,2.31661003845844,1.25604438947108,0.405735531155583,0.882320559893841,1.64589204314404,2.69806658399104,0.827050445051521,1.00686009292405,1.53822864374049,0.775906171513704,1.51120343760183,1.09881125211886,1.77323188524486,0.304451478652916,0.436368578128814,0.870406288850481,1.03819031701194,0.120929110406154,-0.516250577006886
"ZS-ZI",0.512314103389309,3.79605776134599,7.18219361346193,2.11805516790677,4.62510773866556,4.1331031244109,4.45761132924319,0.894447556743256,5.29960310772786,0.298928224285075,2.90610966650777,-0.999257556687446,0.522338639801404,1.56012837291035,2.39513362151306,1.36869455684409,2.6168986650693,0.405735531155583,4.92599413414974,1.13310361623725,2.55226368646356,4.66187294157391,0.958043187798077,1.39588603964166,1.54606958530075,-0.724683523816543,1.37535311248151,0.900499578152869,2.60664190582322,0.808860252005099,-0.126694086053975,1.58796656454603,1.84676119486694,1.06230296295717,-0.982812120909996
"ZI-MT",2.31203623781118,6.95982461965353,10.8411972995946,7.14973456595236,8.21368536432678,8.45422358252286,6.00434497936782,6.81933990531773,8.55383695722214,4.38690215849621,7.17768643663913,3.07433390634297,4.55728688240591,1.84171960762339,8.52572790821119,2.74222415449838,6.21031899283957,0.882320559893841,1.13310361623725,6.25655055291981,2.94652020268525,6.26238216442941,1.25535386998512,4.71189451647585,7.47672048977058,2.14580813682102,8.49322455004865,5.11990571552109,6.1658389828445,3.12067286057488,4.43216425756788,4.15649763816073,4.41330929797577,-0.318442296208186,-0.0360232327300694
"ZI-ZYGI",2.47112747450017,10.7777112424784,15.4746960404821,8.67312892754166,7.7623409140292,9.03630157535618,6.4465432931158,8.44377356429926,10.1023893480655,6.43371475789482,9.99112617991719,2.28154351698472,3.7696420540366,1.96651345580149,8.08751051310398,2.7130892504677,6.25033263258033,1.64589204314404,2.55226368646356,2.94652020268525,9.85806193705513,12.0992329000714,4.43452710956536,5.31974740131322,6.53943893662862,1.42620659029402,6.88107658410469,4.55898594519646,5.81270484997989,2.75532914653984,3.51748948489591,4.47203064078754,5.68571335025588,-0.871957812883573,-1.67485397700818
"ZI-TSP",4.30291258124531,18.6010938117672,24.5619559887877,15.5129295377601,14.7207199561613,15.5834884346707,10.9671871085574,14.8028134724823,18.0944117573309,9.92777058499856,15.5388614463697,1.60536839990723,5.12772438025736,4.4257723454341,13.3286516011196,3.00874885439516,12.5103206151094,2.69806658399104,4.66187294157391,6.26238216442941,12.0992329000714,22.3049740859027,6.37168829369093,10.1408411160797,11.9736411499065,1.65387481650942,12.0886789187753,9.9565798453099,12.4581497656565,4.1609703910475,3.77831584286768,7.68507797825145,6.62269065117296,-0.432497119425942,-2.88218443470857
