"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",1.0797685276084,1.40714719158267,1.84664835972696,0.773969448851423,1.03920935424776,1.00578016294772,0.520329071392114,0.619009142008384,1.45117901985643,0.983386496817602,1.34871162648463,0.597061962371815,0.863126035449918,0.386320888522803,0.868436799921547,0.417452034762978,0.688936112279892,-0.331738722502717,0.93040205354738,0.652924202121313,1.05306526676297,1.0224593684056,0.0180731242199886,0.875013429652426,0.943403788100028,0.223416747520072,0.734534828903809,0.6042643615791,0.865409833906422,1.02514060367803,0.125406885348805,1.47928592406127,0.521215774857957,0.562371571087478,0.298361139228379
"IS-NLE",1.40714719158267,3.96365136787968,3.24940571518656,1.97834997305902,2.03921999011368,2.11881422370766,-0.237987162168416,0.865511910017373,2.13318595118186,2.02805349027519,2.36335523955884,1.03141584084471,1.88907623242418,0.934479582403229,1.84886623494603,1.20357977455402,2.18874776561384,-0.0667887998473568,1.30204871459574,1.08620922863391,2.40850105583904,2.12086586055585,0.203512869346675,1.75299267513667,1.50781015429373,0.422265066928607,1.28801422952162,1.33996108173891,2.2047252044375,1.64768076451236,0.284926287652365,2.71999236842307,1.45668962053063,1.24876857093631,0.241704747525087
"IS-PNS",1.84664835972696,3.24940571518656,9.86409591621054,4.85590057865139,5.2099095896328,7.14585367866787,4.36028803927841,4.85152846858,5.36318727417891,3.56610078056731,5.62455962887742,1.81845024904978,1.75651787002434,0.612817195850468,4.11278174383665,2.43370107860189,1.8846170842165,0.571068694905543,0.924734035138555,1.28035062010164,4.72766104051763,2.43797039042239,0.670228696009904,0.713640579779266,3.79484299101326,0.86972120550771,2.2774984572105,1.37874335112153,1.28602031614084,2.28800037947542,-0.438832530543828,4.94488440713814,3.72507598172474,2.09051131991413,0.659385306644742
"PM-ZS",0.773969448851423,1.97834997305902,4.85590057865139,3.76367735758775,3.68427845077599,4.47761175347071,2.94998068072994,4.12120140482381,3.74730167815764,1.83828642275606,3.05168397934492,0.71481414029315,1.34938189752137,0.748505221139553,3.06348807451355,2.08155667921354,1.5122704829025,0.400144823021591,-0.183619301182118,0.123592017019337,2.47191720655389,1.3096827774085,0.352087333963747,1.36148067498024,2.6205241470157,0.390767704526259,1.52975617726386,0.829272202168285,1.19095465359814,1.78319972024542,-0.29258681373088,3.29363706071175,2.8110975529237,1.29837137836496,0.430665588114068
"PM-ZI",1.03920935424776,2.03921999011368,5.2099095896328,3.68427845077599,4.6859768039395,4.55100260794314,2.70987368533175,3.93539742145555,4.80304794046105,2.95741834727793,3.72025121091619,1.1456813992762,1.77092727356269,0.934425111819919,3.35740086398343,2.32261258066344,1.54677220291922,-0.0230725005173242,0.862673116163387,0.0122680218831131,2.17793040865256,0.912275731104995,0.431123076720758,1.98383375779923,2.74668305315703,0.616805642479889,1.65227158200145,1.05046461283749,1.37730869577888,1.77943339230941,0.186679850788107,3.68655156459293,3.27095556913555,2.12241126161982,0.617820097510647
"PM-MT",1.00578016294772,2.11881422370766,7.14585367866787,4.47761175347071,4.55100260794314,7.07801876803409,4.34184380569814,4.81323711143502,4.57214730197874,2.644359201571,4.23813372864299,1.02468446612653,1.61794209891981,0.960094745448333,3.68391419301307,2.70161231945149,1.67220004666182,0.991648971600212,0.046141401365043,1.19325034306288,3.80321308204349,2.17486447577079,0.0374439507850783,1.71305097986565,2.81493051591136,0.619147147865492,1.48647162795013,1.31580244035146,0.838620070919139,1.35752842733989,-1.00168290532887,4.08012520203005,3.26674082128636,2.3609953715954,0.664298641311853
"NLE-NON",0.520329071392114,-0.237987162168416,4.36028803927841,2.94998068072994,2.70987368533175,4.34184380569814,9.21763805372079,4.37582033276654,3.50128448744494,-1.1962002396824,1.80167821603763,0.654735515675403,0.235097968443754,0.179831083359661,2.08988578270437,1.5070500044218,0.552893128451918,1.72317999398404,-0.107062320070652,-0.383269653336884,2.47030135571476,1.1222556841043,0.490376115996614,0.307883314127223,1.93249415612452,0.259343298944772,0.917809154394517,0.117669424815428,-0.766649561574317,0.371010999872357,-0.20333586724159,1.54785477813086,2.81048813803946,1.60054195033886,0.750672133612675
"NLE-ZS",0.619009142008384,0.865511910017373,4.85152846858,4.12120140482381,3.93539742145555,4.81323711143502,4.37582033276654,6.3293276571678,4.62959529950024,1.09280337176319,2.88483829732431,0.601036721701949,1.20236318707511,0.43357736044494,3.15560029377306,1.67162641721784,0.740786081778215,0.360381785961226,-1.59816178204532,-0.511727770829726,2.41166463969576,0.741467834795815,0.420561166731282,1.67674614459706,2.81522992755209,-0.00909118104075725,2.02304357805705,0.428089132086178,0.599946379728813,1.85710199455816,-0.549028626149628,3.47529168747712,3.13340542847504,1.27126893416483,0.667124814374132
"NLE-ZI",1.45117901985643,2.13318595118186,5.36318727417891,3.74730167815764,4.80304794046105,4.57214730197874,3.50128448744494,4.62959529950024,5.84257837299969,3.35236325840755,4.30059219705794,1.57442502038838,2.45951069790242,1.36109733831661,3.97627737232673,2.48103298909526,1.96229766353659,-0.166949091961053,1.35999776885366,0.205142116966041,2.54351959206014,1.37532220766731,0.615193462985506,2.67613029119889,3.04320897504332,0.556450718896932,2.37619184191294,1.31651733232237,1.91930649785039,2.57492070910387,0.0767633153463918,4.55936217769261,3.87173689980147,2.44128952171024,1.01981676498521
"NON-BR",0.983386496817602,2.02805349027519,3.56610078056731,1.83828642275606,2.95741834727793,2.644359201571,-1.1962002396824,1.09280337176319,3.35236325840755,9.25064479650096,3.9925241390694,2.31024257970226,1.9398614329478,1.54384498702578,3.12381834138536,1.69076441915099,1.95593022498843,-0.127229157778701,2.28353612637699,1.31811487217276,1.28257966990939,2.65957658011648,0.615760372752207,1.6934189565891,2.29990387063586,0.810120993318231,2.40922390282102,1.86625539147137,2.36731686100944,0.550514618574002,-0.245548656798296,1.95641814858814,2.24949450458038,2.03761040849636,0.489179558615112
"NON-PNS",1.34871162648463,2.36335523955884,5.62455962887742,3.05168397934492,3.72025121091619,4.23813372864299,1.80167821603763,2.88483829732431,4.30059219705794,3.9925241390694,5.06518646503825,1.71159484355286,2.45278383043084,1.38182474813459,3.59744459394547,2.27805262255804,2.10828441113123,-0.290284433484245,1.61184943607258,1.07961376698829,2.34580394601953,1.74749342624802,0.58004851477125,1.06607978475324,2.79530884214613,0.739574015901652,2.22028242710447,1.22254885935519,2.18343433387416,2.46905131080135,-0.452275481486956,4.12887865684316,3.1348633878913,1.85136358584982,0.839416983230946
"BR-PT",0.597061962371815,1.03141584084471,1.81845024904978,0.71481414029315,1.1456813992762,1.02468446612653,0.654735515675403,0.601036721701949,1.57442502038838,2.31024257970226,1.71159484355286,2.03631512998625,1.39663549570477,0.215370129905594,0.843282998397067,0.227905111422069,0.355422702273472,-0.0303129301335315,1.10342620762444,0.623580211892385,0.430244234308911,0.659712675946553,0.569805977089364,0.22465960698138,0.818293893232784,0.27941078835581,0.964646102726431,0.79272236067947,0.617350846266108,-0.0648648359989273,0.558507114436254,0.349391477391301,1.22880328833219,1.15758749846739,0.586635573216267
"BR-APET",0.863126035449918,1.88907623242418,1.75651787002434,1.34938189752137,1.77092727356269,1.61794209891981,0.235097968443754,1.20236318707511,2.45951069790242,1.9398614329478,2.45278383043084,1.39663549570477,3.30836254671058,2.11408257727799,2.53681028141764,2.08090518992192,2.18696846438593,0.252614430503403,1.25328398105361,0.812862681035405,1.18377712816378,1.47756727886367,0.366554261725645,2.29118189745735,0.716615419348482,0.193996173812157,1.1633944098481,1.55027000784902,2.19806978075413,1.34834528169348,0.918595096487457,2.32237533343075,2.33135619057757,2.11367751525022,0.904589448336222
"PT-APET",0.386320888522803,0.934479582403229,0.612817195850468,0.748505221139553,0.934425111819919,0.960094745448333,0.179831083359661,0.43357736044494,1.36109733831661,1.54384498702578,1.38182474813459,0.215370129905594,2.11408257727799,2.55331403698128,2.66352189114682,2.55710283323481,2.33971576355544,1.03297850477751,0.93476520514477,0.336859524517651,0.722247597162101,1.21244915769127,0.0514267932574997,1.70874116373271,0.237037837694333,0.148640973757148,0.609637022166483,0.887634177761922,1.71805397077753,1.00680036850996,0.180765810244165,1.64343468674869,2.10882442010822,1.25417071114255,0.475873130478872
