"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.154219750717165,0.101094453148094,0.254817764073634,0.0773268833909814,0.0824773470790953,0.119834485477854,0.056455943819597,0.135644583071321,0.190052236372252,0.399051497373821,0.151304180101424,0.160128477635033,0.158703238007353,0.0387596000230583,0.186146103558432,0.00116592263290476,0.131640462801363,0.0435520311808289,0.0525225719308619,0.076714545794473,0.248197365550486,0.272266062773562,0.0708640174344412,0.248259669581545,0.13900418466662,0.0117270608859856,0.253188599327117,0.0556000217468985,0.120148354747798,0.0798381171086998,-0.0606414598879423,0.11055839898573,0.159273023042694,0.118531576417812,0.0873130141606274
"IS-NLE",0.101094453148094,0.389289464415936,0.35818465984585,0.161290233878909,0.216970633948616,0.213451729896914,0.128521295990733,0.188006348195416,0.33070259090359,0.600291702931406,0.308120802629419,0.269239197803403,0.371708199032446,0.126745170541889,0.357423995207245,0.0342695809112461,0.200233658465023,0.045502538875661,0.0798694964403579,0.150008994599859,0.40138548600357,0.448640924988035,0.144374958074906,0.445464571714662,0.203175715470048,-0.0267368107290131,0.384975159596537,0.112304113505588,0.194170811302483,0.206897018261145,-0.0610592667018259,0.228288764112699,0.217052846097654,0.129698235462119,0.0347030753879189
"IS-PNS",0.254817764073634,0.35818465984585,0.846134895768696,0.303635904557242,0.443753649568943,0.446323106167504,0.299913329647801,0.382938266365904,0.585764675196447,1.00032140075106,0.49762726495529,0.319529137811432,0.411485723915016,0.26003857872876,0.567582313461936,0.0294802478408608,0.326139541492944,0.0456701591361545,0.163001422139867,0.161876148704627,0.590767902743285,0.789947657950187,0.209480457178091,0.599836623852847,0.380663050177056,0.0337428913037913,0.638886985059524,0.215288973292864,0.355345933064896,0.294391152602705,0.0790865306743713,0.326670091585362,0.432341669685619,0.261974266013175,0.161337319523865
"PM-ZS",0.0773268833909814,0.161290233878909,0.303635904557242,0.328643266972262,0.231943382950637,0.284898911784552,0.0266167999178911,0.316178770185583,0.232151806222981,0.751061896014759,0.223691299805894,0.186521796567124,0.260582010306275,0.121649168186419,0.300754194776176,-0.0642288242059141,0.163199562535487,0.013873295083963,-0.0551200503497405,0.0976809892037477,0.297505021012721,0.496634735206749,0.0812954030610399,0.399296027792846,0.26097680209612,-0.0189705307739335,0.364726558671289,0.145742043050295,0.203695610795025,0.131526794231172,0.185613188758132,0.138422052920699,0.219668012613756,0.185350756649755,0.0465560625266694
"PM-ZI",0.0824773470790953,0.216970633948616,0.443753649568943,0.231943382950637,0.535875825196063,0.346817518647154,0.288225353145591,0.199926857247968,0.506820178887118,0.381776243876528,0.31373154698354,0.034525383303599,0.22712195013476,0.273661376659159,0.349795023846312,0.0745142845224621,0.153008151596853,-0.0558584714039598,0.221672712844335,0.149906190493363,0.0838685320787131,0.280263830640335,0.134993218977422,0.372167686279015,0.214371625118011,-0.00478379531686753,0.293761361368154,0.140749209654634,0.190085473994348,0.206262102057814,0.275598294404599,0.255506440943525,0.275641871649505,0.102524226551408,0.0353403023149372
"PM-MT",0.119834485477854,0.213451729896914,0.446323106167504,0.284898911784552,0.346817518647154,0.449771719876122,0.124670213925448,0.307917550493496,0.408891760333787,0.814172027005787,0.325795268116077,0.226945067093753,0.298567648079014,0.189342820591139,0.401875227600384,-0.00405492342095238,0.197970468965908,0.016796081076994,0.0860616939566755,0.182383983823581,0.358880298858524,0.53488994977853,0.147776587501571,0.484260747889927,0.279688048129418,-0.00380232170380143,0.431713070128477,0.166229598495183,0.220642189854076,0.166482395808408,0.176329984080288,0.253741688266671,0.318836321148032,0.234503666331058,0.0574364709019205
"NLE-NON",0.056455943819597,0.128521295990733,0.299913329647801,0.0266167999178911,0.288225353145591,0.124670213925448,0.571715875623514,0.0134014701152884,0.359778055028584,-0.0451397797099309,0.158069574736791,-0.0555038736475478,0.0625672411185803,0.222519005730533,0.1621408874295,0.10302756511507,0.125617840875594,-0.0348478099444126,0.298735469121249,0.0487244696611277,0.0134869129275068,0.166846123756259,0.081010352249384,0.273106252687745,0.00162556393284173,-0.0340962092081689,0.125655055903116,0.123154875372444,0.158442845015933,0.0868813168387908,0.149361001315134,-0.00821838796785918,0.186940453402246,-0.0180074262577009,0.049695208019027
"NLE-ZS",0.135644583071321,0.188006348195416,0.382938266365904,0.316178770185583,0.199926857247968,0.307917550493496,0.0134014701152884,0.526312108398149,0.338673851665357,0.897283287496142,0.319553011556889,0.282507168834075,0.379112255083171,0.104280849818153,0.409549551415633,-0.030543353337582,0.257951044873197,0.0396836063463408,-0.186613852867857,0.103256112606105,0.481050063891402,0.591253335688027,0.13097449239197,0.431512502583579,0.425187093621357,0.0337682959291968,0.489155355274793,0.17192076383411,0.262584281229593,0.181858023922699,0.204844141151083,0.211183856125427,0.274636242877231,0.250801630655581,0.0406181849245026
"NLE-ZI",0.190052236372252,0.33070259090359,0.585764675196447,0.232151806222981,0.506820178887118,0.408891760333787,0.359778055028584,0.338673851665357,0.726602435022772,0.80232723795621,0.525898473029713,0.232698554512511,0.433067413232879,0.240789697763063,0.547457868992428,0.135463579582127,0.343716702453477,0.019606443102721,0.309041900835928,0.229311671665992,0.410860293165495,0.546063916400536,0.217057180517463,0.597082818241874,0.389151674795462,-0.00122428009546823,0.554169647381795,0.187806985469702,0.327705595960266,0.274430028706605,0.188920829679417,0.309010115549135,0.471896121220714,0.227989791399436,0.0610505403404304
"NON-BR",0.399051497373821,0.600291702931406,1.00032140075106,0.751061896014759,0.381776243876528,0.814172027005787,-0.0451397797099309,0.897283287496142,0.80232723795621,3.19839610849447,0.885087653971356,1.0418993649688,0.984293343852502,0.0385492205661942,1.01350323540902,-0.0889651278912125,0.735976205733322,0.245189856059041,-0.00271830196915094,0.385153344220256,1.47197357123118,1.76927797901039,0.300385405616511,1.39381096632949,0.912641416156096,0.0234735714589741,1.37021747520725,0.366208473395426,0.713243822738748,0.474702084958329,-0.475006404499203,0.545818368626978,0.889379762597001,0.687915161905335,0.213665360754636
"NON-PNS",0.151304180101424,0.308120802629419,0.49762726495529,0.223691299805894,0.31373154698354,0.325795268116077,0.158069574736791,0.319553011556889,0.525898473029713,0.885087653971356,0.58005391683801,0.299333720069914,0.434918593627343,0.129661200314485,0.47780847914611,0.124057457395632,0.327266726718343,0.0360596253913031,0.161663236526712,0.225545078900148,0.472856879029033,0.495754156560907,0.160738870159274,0.429557137912388,0.355944256854268,0.0144823921978612,0.505209864340428,0.12253081506778,0.273555609511438,0.186870003787774,0.0156385423200482,0.2415708321463,0.41036479021615,0.23552229440635,0.0305068260837396
"BR-PT",0.160128477635033,0.269239197803403,0.319529137811432,0.186521796567124,0.034525383303599,0.226945067093753,-0.0555038736475478,0.282507168834075,0.232698554512511,1.0418993649688,0.299333720069914,0.63736919470576,0.53351809760141,-0.0263600732535436,0.32106550506148,-0.154282249404117,0.174907065134364,0.156346246650557,-0.00757843191692753,0.112554433269776,0.576688831217651,0.693867995095824,0.125775594432026,0.52852446292126,0.247885213447607,0.0527530049507321,0.523061421943304,0.148932505805735,0.23793749319281,0.241129473840596,-0.234526043266308,0.332774998024708,0.239435881682646,0.306963189069803,0.121367148699839
