"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.131069984387823,0.157366519769473,0.238877438560162,0.125892428450028,0.122841153918205,0.156954205840066,0.115459652219476,0.140961660034554,0.208209247450943,0.381173673794451,0.170723672325701,0.0275201095395149,0.117134747716717,0.0663559090331866,0.118396031260317,0.0583843744594651,0.232183747870847,0.0574629969986785,0.0758621072027008,0.121599818834106,0.205505042567744,0.351660796940937,0.036637591458686,0.171825508200454,0.170124948308423,0.0438374555111975,0.215193863307976,0.0436587205319516,0.198361977184341,0.0407173068004129,0.0761773691549875,0.0266077650931417,0.0458744146837318,0.0297367141476827,0.0102398329712133
"IS-NLE",0.157366519769473,0.410354496582753,0.421421452506013,0.282327594463515,0.293721968831918,0.293156592269462,0.259043858054628,0.247603981704224,0.387077205073839,0.471830943951715,0.303443129431215,0.124356029799077,0.225135905980611,0.132331642575094,0.240756731211728,0.109174195393838,0.329058463611203,0.0318057593962563,0.160379747899388,0.172697582304044,0.3561073503428,0.562047306840899,0.0867553961516238,0.304932938169546,0.286404666801864,0.0807948615734211,0.331139461503096,0.154335565236444,0.32711807275083,0.123898337705236,0.182369437314343,0.0106762652338702,0.143608872074431,0.0761640274935925,0.0865312345546673
"IS-PNS",0.238877438560162,0.421421452506013,0.876390796651362,0.482123412734408,0.457576675643058,0.562166061049096,0.396629301896777,0.48453879496364,0.648589445175943,0.965497080940232,0.531191313808067,0.242981133557018,0.271259005491369,0.124306109529487,0.475081534627385,0.187716906732727,0.445797224683217,0.129205931764897,0.215448962501281,0.231845589144984,0.644660705407513,0.811742310301097,0.119403533760124,0.422513759875724,0.44807691338239,0.150017187217948,0.513731616951094,0.284229197297412,0.401067166794312,0.191813753676719,0.306989466963819,0.0921888810446465,0.481767409399749,0.103377998600256,0.168612325537095
"PM-ZS",0.125892428450028,0.282327594463515,0.482123412734408,0.479448080544944,0.407531804760637,0.422867263754597,0.290585329422974,0.394931861673836,0.424835293155,0.6869500661062,0.290594943534931,0.21510198853401,0.199663902207749,0.0418744054324827,0.197639895581517,0.0254775968078772,0.252139226340358,0.06037582335408,0.0609923720611198,0.194683681590229,0.402157025573217,0.571239216728343,0.0905580611219791,0.288110125135995,0.271292812561189,0.0616246029323418,0.299669345966898,0.107097624906176,0.269344842301509,0.0177074221766382,0.0518518672139084,-0.0205282177666817,0.150652736718966,0.0902515253992925,0.0325579782831055
"PM-ZI",0.122841153918205,0.293721968831918,0.457576675643058,0.407531804760637,0.529908029310806,0.422661375565384,0.212277554639357,0.371936579398651,0.526416399314212,0.62017058542104,0.297198813186907,0.203755712341456,0.246269211346837,0.125603932611817,0.254887754938237,0.183553180201948,0.251345902540497,0.0908837096215815,0.132493171229753,0.20568273177292,0.285386269056673,0.304677193777244,0.117503704369312,0.291277489634944,0.214418405369782,0.069822141494091,0.224264409676051,0.161708896362326,0.187784232781909,0.0856816562969324,0.0582275598836498,0.0547469622995636,0.258100489398435,0.0774642350778655,0.054574004355233
"PM-MT",0.156954205840066,0.293156592269462,0.562166061049096,0.422867263754597,0.422661375565384,0.546232407617507,0.359892661748767,0.384718044623714,0.486566418878115,0.654819974183829,0.295622295439346,0.123100376837712,0.196255323981597,0.0906853042388406,0.290828698846013,0.0957473682952857,0.312208442434659,0.0511791979051802,0.119496702796824,0.234212307491859,0.451187109164896,0.568265980681138,0.0963844492187496,0.277692121271074,0.334090046586833,0.0620552293988241,0.316719887502468,0.116777129440011,0.270870880265341,0.0672046467106315,0.0913990396135133,0.0960360434892694,0.261151130310985,0.116354139362276,0.0610541649958915
"NLE-NON",0.115459652219476,0.259043858054628,0.396629301896777,0.290585329422974,0.212277554639357,0.359892661748767,1.71283192890627,0.293550281393625,0.393973361267352,-0.629975503873715,0.00866857185136776,0.302626702294917,0.193743618456629,0.0536553809764748,0.162296994220634,-0.0124159996392653,0.13429627370013,0.126105509958762,0.178189474569088,0.119000655238991,0.260619917650692,0.672907212313075,0.0767266181363666,0.344265461816114,0.0045052201110438,0.124645434519234,0.267267013903467,0.26211143411171,0.326195095856612,0.125891762288722,-0.0807823318505259,0.157415380323478,0.14377694026156,0.263549403983928,0.105567639461673
"NLE-ZS",0.140961660034554,0.247603981704224,0.48453879496364,0.394931861673836,0.371936579398651,0.384718044623714,0.293550281393625,0.564982608511781,0.499119980645314,0.580945704358802,0.288898373136581,0.132261383598707,0.210628287453207,0.0615904918084707,0.0915417189686211,0.0240664398666584,0.278371940160721,0.0310639636750022,-0.0698211691707286,0.206168595381557,0.298371240085078,0.578652728981749,0.0869818679206703,0.246807176824334,0.216389834589808,0.0917551176637943,0.22333829703104,0.258507952783191,0.316898765969786,0.079431637405459,-0.0140286683071379,0.0918646369551754,0.0138474335104995,0.0750607447840392,0.0432247589024648
"NLE-ZI",0.208209247450943,0.387077205073839,0.648589445175943,0.424835293155,0.526416399314212,0.486566418878115,0.393973361267352,0.499119980645314,0.702872225594628,0.69509378074725,0.450195905593428,0.231402779081231,0.325675948141627,0.175319058794696,0.362386416659794,0.24169268831628,0.39623952093722,0.128019625512091,0.211259514592721,0.272118456145963,0.420636431498051,0.599749192832223,0.154493485423099,0.402307704919534,0.293061406593875,0.130145176946535,0.370309123115284,0.306026579696187,0.366254593708044,0.184279485033452,0.228442875619998,0.126158791998065,0.371733716878177,0.108115758454842,0.110488885598058
"NON-BR",0.381173673794451,0.471830943951715,0.965497080940232,0.6869500661062,0.62017058542104,0.654819974183829,-0.629975503873715,0.580945704358802,0.69509378074725,4.48732675095779,0.746862188798243,0.921099222016124,0.52088274824544,0.15274701040536,0.624537235165136,0.146037727780166,0.568777168069049,0.0310546013518201,0.16644611533047,0.346879885585586,1.06472574852888,1.23341912365925,0.0622665623393054,0.723222149359125,0.990986188010704,0.0613565144197727,0.830930018047579,-0.0357184704102273,0.422625450837024,-0.141829245933129,-0.89935572218532,-0.0402942431218344,0.185333693227062,-0.124518107706414,-0.249101023772994
