"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.0960702030714066,0.137624107768781,0.246616781981855,0.125901745110318,0.116711510910165,0.150607245949969,0.0632207258811358,0.0967399500311554,0.186559609326829,0.293182185736772,0.183088031909688,0.0801339143624173,0.102624125420968,0.0489549326700308,0.198120603239838,0.033457214572074,0.113129958740323,0.023798903631498,0.114387960121161,0.0841758786979248,0.196603680301451,0.262597160681935,0.0356045716526189,0.180828460191185,0.192773998771304,0.0408631077908884,0.211396675148946,0.13429214795451,0.128469150814573,0.0850025891209927,0.113027369823636,0.0395844594956551,0.120784228414631,0.031116203189333,0.0145825374217397
"IS-NLE",0.137624107768781,0.437269363244515,0.556449922893436,0.338570217932976,0.2635685697792,0.371704303347795,0.10661239615714,0.163103632921706,0.355655974245019,0.592534046777691,0.378044932539004,0.146567048427428,0.16699384988073,0.0710980230089527,0.446939865399342,0.125890220302897,0.243112414034427,0.0749007162833247,0.277505215113732,0.115498148889344,0.541233005115355,0.666529809406218,0.0920948309813056,0.342844189520548,0.524295654136154,0.123590032248994,0.456422783408107,0.252617903503138,0.282992036679202,0.171440052833312,0.286572129353488,0.00373924264048396,0.347557838834363,0.127655955245192,0.0207651330408099
"IS-PNS",0.246616781981855,0.556449922893436,1.06283082303349,0.539835120100633,0.478393495341817,0.749760219004875,0.231850826452903,0.290123919783758,0.658999218859694,1.09544949262564,0.700231358450761,0.234500013909112,0.294459499229515,0.194132203163793,0.823702716455326,0.290393501420573,0.521173744639592,0.16154841844648,0.518040389127241,0.285157531074697,0.933192711184982,1.01492845710049,0.124430804236083,0.617261307440151,0.736991984799092,0.165899551928311,0.769827014040367,0.440951373089159,0.484510803566875,0.315848169857079,0.524273165763066,0.053266373145555,0.80765558186596,0.250956661986135,0.14353643763757
"PM-ZS",0.125901745110318,0.338570217932976,0.539835120100633,0.409822968722145,0.282825629737684,0.421675434743074,0.102214078526757,0.276307575287111,0.356436777871496,0.754876275538567,0.350617948077735,0.233593799354807,0.175742822647096,0.0438710891878253,0.402629447672369,0.0991333589213586,0.203203074939243,0.0227943461040326,0.185418621119056,0.105884296365676,0.588172988165737,0.527711010128104,0.0758596133319637,0.396459845009371,0.409546582265134,0.0660139367148122,0.432183293016658,0.114201718977456,0.197738040762709,0.154105393602151,0.201655781662325,0.0365426455615166,0.480352410606402,0.200489877953102,0.0723850200026877
"PM-ZI",0.116711510910165,0.2635685697792,0.478393495341817,0.282825629737684,0.362210369245999,0.364062142463167,0.0754559307690718,0.119977954725747,0.37594808948007,0.644802728212271,0.313135274461312,0.173966657005882,0.160875187356911,0.0820727170096289,0.313692187596885,0.0727333192092297,0.197361091354824,0.0151881713157061,0.294763806994525,0.128749288553672,0.402774014452375,0.473045359580284,0.0785036039966976,0.403576588054645,0.328754150184105,0.066525501368045,0.362328674684403,0.148781179389935,0.19915805667176,0.185054313928246,0.118498773462848,0.0330018639115957,0.327172496745066,0.132540369756054,0.07587782215226
"PM-MT",0.150607245949969,0.371704303347795,0.749760219004875,0.421675434743074,0.364062142463167,0.670581072381889,0.15632221637901,0.220469665035264,0.466576991341188,0.874744908380097,0.457817044311334,0.233974397105374,0.212213131360043,0.152354870881838,0.661568772934386,0.2857546131337,0.40147464262645,0.145172177014799,0.368933843496071,0.255485478741325,0.744740618198204,0.674762155224439,0.0687077597960038,0.48769656430658,0.529882264272709,0.0861000510281066,0.576655011230109,0.219257085353318,0.312029816161065,0.239603663135175,0.324749236690697,0.0189933932438881,0.762953999700111,0.246985835776964,0.116636448137709
"NLE-NON",0.0632207258811358,0.10661239615714,0.231850826452903,0.102214078526757,0.0754559307690718,0.15632221637901,0.714186059303171,0.155904464558905,0.264262992684991,-0.0542538731231472,0.128340669100542,0.0668491299657401,0.146192747820536,0.243099686095953,0.467176692024057,0.183337454577793,0.220539300982467,0.0645916264747686,0.134129513252583,0.076986465116344,0.372303115023479,0.369201327288786,0.0798476259734387,0.365830970800814,0.222641067703747,-0.0101472972602231,0.262595877592665,0.147057139905385,0.153268304011654,0.246448131188762,0.130031190325078,0.131631744938778,0.365557214092757,0.090508036801804,0.0754569375569622
"NLE-ZS",0.0967399500311554,0.163103632921706,0.290123919783758,0.276307575287111,0.119977954725747,0.220469665035264,0.155904464558905,0.609747713646173,0.291642366403721,0.531714366990512,0.201463037721426,0.133765629538947,0.154476561688137,0.107911512403862,0.324801661916023,0.00717334384630029,0.128145389876842,0.0235655241400897,-0.283952441323472,0.0155526104256123,0.346127351421131,0.359676089437927,0.0581039698783535,0.263536170931736,0.326679081871776,0.0304790918877232,0.312122196344874,0.0272756513087111,0.125680479713014,0.160216373563638,0.21780996061357,0.109953553767197,0.306604414962427,0.105661883222427,0.0495566433701329
"NLE-ZI",0.186559609326829,0.355655974245019,0.658999218859694,0.356436777871496,0.37594808948007,0.466576991341188,0.264262992684991,0.291642366403721,0.587275942972635,0.902819195655157,0.504152994656633,0.189338693258761,0.267639297668425,0.176606818642095,0.587497468151712,0.144476936041124,0.3634060858966,0.0687544078335709,0.373462201979766,0.196580591693295,0.590084039111431,0.808674615591327,0.101556250304432,0.548355549618718,0.579261847844764,0.0965902175232193,0.592409171600872,0.302367415674145,0.389680187900748,0.246644820895906,0.273172481603748,0.0631536152379804,0.446439136527989,0.124053709340874,0.0682343070642879
"NON-BR",0.293182185736772,0.592534046777691,1.09544949262564,0.754876275538567,0.644802728212271,0.874744908380097,-0.0542538731231472,0.531714366990512,0.902819195655157,2.6966739665723,0.930001980010686,0.613644399120797,0.468624547900276,0.101209986672291,0.798374860402008,0.00451517101120473,0.513024244062647,0.0550126089155868,0.538125354110729,0.416660621863796,1.05405344405587,1.44299114761915,0.120641428076393,0.959787772004652,0.950429100115165,0.192781869799679,1.05858510828203,0.420032120640772,0.660120038766296,0.276608718495957,-0.0263677546147346,-0.0198238422006226,0.760449659809228,0.341180491042528,0.0834170145691108
"NON-PNS",0.183088031909688,0.378044932539004,0.700231358450761,0.350617948077735,0.313135274461312,0.457817044311334,0.128340669100542,0.201463037721426,0.504152994656633,0.930001980010686,0.595998654345515,0.16855226456039,0.233722120074522,0.0807467229166536,0.54721080491955,0.144123622395283,0.348841911601301,0.0684289757602282,0.383916241780797,0.241518946293522,0.595464485524656,0.785712339457222,0.0794656000113856,0.381942179134933,0.600068950988965,0.103808622718125,0.583437386997683,0.324926123742973,0.41023864157108,0.184004925036609,0.325224577836162,0.00400865363347306,0.461097117523231,0.126828533554143,0.0462894892173096
"BR-PT",0.0801339143624173,0.146567048427428,0.234500013909112,0.233593799354807,0.173966657005882,0.233974397105374,0.0668491299657401,0.133765629538947,0.189338693258761,0.613644399120797,0.16855226456039,0.541450176917599,0.192041808729233,-0.126122337965737,0.193718138399186,-0.145397947874889,-0.0886930168329782,0.00482870112888883,0.133760128446743,0.0460280633494444,0.236533390047424,0.0848301748497463,0.0309568550190607,0.186098154053274,0.195527945995592,-0.0319889416808538,0.337240708158901,-0.0497584505139671,-0.0381301432555798,0.0769467487519195,-0.0859782517446044,0.120445636692693,0.282504932804678,0.112482570469978,0.0292717586395068
