"","IS-PM","IS-NLE","IS-PNS","PM-ZS","PM-ZI","PM-MT","NLE-NON","NLE-ZS","NLE-ZI","NON-BR","NON-PNS","BR-PT","BR-APET","PT-APET","PT-BA","PT-EAM","PT-ZYGI","PT-TSP","ZS-ZI","ZI-MT","ZI-ZYGI","ZI-TSP","MT-PNS","PNS-APET","APET-BA","APET-TS","BA-EAM","EAM-ZYGI","ZYGI-TSP","LD-AS","BR-LD","OPI-LD","PT-AS","JP-AS","BA-OPI"
"IS-PM",0.142357227651377,0.121100688451953,0.396802975335262,0.147511476262761,0.341835375665306,0.174488847474535,0.38376335761379,0.216754571917479,0.392447551100862,-0.0579912716647412,0.18793451443672,0.0291019994688187,0.138479971853211,0.174752602430932,0.161726962613296,0.0389228406104655,0.118395785568031,-0.0505291185110574,0.140661964203936,0.212802886573505,-0.164359915393063,0.0618983269132903,0.031480529328266,0.122278338544417,0.0255902207583272,0.0963632968529871,0.173349478153446,0.16435699763385,0.152885269118754,0.222521346048396,0.0961526191105658,0.0999177270713965,-0.0870586398848195,0.0308714331915286,0.113538382265119
"IS-NLE",0.121100688451953,0.359886234159862,0.633906447297137,0.325774278483749,0.603137197029374,0.311397559402759,0.517527528427825,0.297884878029753,0.598073712140949,-0.0605587419504188,0.358669411647912,0.250971364686023,0.328335691312638,0.174849885232709,0.15345998210115,0.0433467189711793,0.169798787485096,-0.0807941864172888,0.226189403101961,0.297708750458433,-0.198050197075644,0.000991630956195346,0.121270553743112,0.0465651015058747,0.0606900817252608,0.276142596464313,0.242245893262,0.20909002130672,0.187331924222177,0.369268011685976,0.193392211200192,0.20632873195086,-0.136368184183208,0.130148449990546,0.0932646532556232
"IS-PNS",0.396802975335262,0.633906447297137,2.56386949675433,1.10820261034684,2.03363601699701,1.48838672462596,1.63279765366701,1.19858752652862,2.05412237187658,0.980504862715715,1.56822833206828,0.458563778230616,0.902435745293309,0.851502963303451,0.950242671529009,0.387289294523696,0.684599474306869,-0.048937555868584,0.690106684404504,1.19205203729208,-0.362408156530709,0.407553961420302,0.206949667649365,0.199280714070827,0.372299604281216,0.689826403447577,0.92490696127994,0.956982444255338,0.758039133510463,1.37944750486486,-0.154605224227928,1.01216208352507,-0.0966782150930356,0.201470232977455,0.313424762522307
"PM-ZS",0.147511476262761,0.325774278483749,1.10820261034684,0.669696109242088,0.993492275780486,0.668488222549067,0.781594158205805,0.659188134402101,0.941875112824525,0.631400782064931,0.617787513144944,0.310726444236831,0.389485008203065,0.273586784869595,0.363500171483976,0.0822525715382415,0.321447441528952,-0.0407129986855525,0.213876281156396,0.441562284772064,-0.256740638775365,0.27201611995513,0.174786372886948,0.180946179057778,0.201037781059304,0.27664983204385,0.449645370620282,0.551842602467474,0.433987780042096,0.706721112291947,-0.134854086104528,0.471168908257967,-0.0230600346033442,0.118084608121576,0.19633593784811
"PM-ZI",0.341835375665306,0.603137197029374,2.03363601699701,0.993492275780486,3.02405378735724,1.31413544810241,1.5188394673968,1.07527310951418,2.77368668385464,0.0405737075899788,1.16255077712783,0.32854787435367,0.824417516341495,0.686568566634731,0.724237942301879,0.0580359271551106,0.527457539869936,-0.0345451739759511,1.29207034698149,1.34110037029653,-1.24155533182813,-0.511344225903176,0.212672678402464,0.525950613279542,0.261133811507237,0.676505727218493,0.991813653971149,0.650813638866524,0.576457829400994,1.66843660379308,0.719160998393238,0.476491354105949,-0.461822938201995,0.0732617022842412,0.548762293560925
"PM-MT",0.174488847474535,0.311397559402759,1.48838672462596,0.668488222549067,1.31413544810241,1.3701230850764,0.620294426251343,0.748526693483657,1.28483264760564,0.989580584605589,0.872633750168348,0.16800044383134,0.347053294046501,0.351019778175537,0.45541321091107,0.251014402557486,0.547539923015518,-0.0879082797558516,0.442882783683062,0.879811963679185,0.122750308936395,0.27224321166832,-0.263232339479163,0.498297724194025,0.203636360191354,0.404550195027442,0.500073475174533,0.916300124377662,0.598147735927167,0.666374949705481,-0.222445096417257,0.504843826096811,0.0488367528612305,0.0656335482397595,0.232413339264222
"NLE-NON",0.38376335761379,0.517527528427825,1.63279765366701,0.781594158205805,1.5188394673968,0.620294426251343,2.46459993440618,0.895447657061621,1.67316742673737,-0.694825349826137,0.721261744524186,0.373298428394825,0.8111354945367,0.530866534982037,0.585516753584975,0.0230534903847133,0.492477728919159,-0.11526959318195,0.670987311016482,0.673096755836128,-1.04998634753206,0.205214519261756,0.470233550918213,0.0245713683166154,0.321081542718766,0.345461824511809,0.819347220878191,0.560910393570395,0.729700376416022,0.826525901159035,0.153602089914049,0.60348115489772,-0.232320585648281,0.36284681893143,0.306990035957231
"NLE-ZS",0.216754571917479,0.297884878029753,1.19858752652862,0.659188134402101,1.07527310951418,0.748526693483657,0.895447657061621,0.940800987406888,1.18894576912522,0.687049816012629,0.673286287088011,0.24040078008364,0.300229753889825,0.305810579117424,0.391733107204388,0.117076503139279,0.438342827146852,-0.0944921839063649,0.126318195182233,0.623201036013098,-0.249767054597616,0.394943244074358,0.125040987631395,0.344480537422832,0.223889889418658,0.258600855923249,0.52433221530115,0.749167945664162,0.586806648675009,0.696896552799834,-0.113540020247997,0.56975383373205,-0.0593369492685439,0.124791978652573,0.145513750936685
"NLE-ZI",0.392447551100862,0.598073712140949,2.05412237187658,0.941875112824525,2.77368668385464,1.28483264760564,1.67316742673737,1.18894576912522,2.8419581235399,0.0447630352237434,1.28903619902238,0.349914935390052,0.869101067781838,0.690599482953534,0.747700720621702,0.126178250814979,0.739696245224283,-0.0761255090740363,1.3104290732964,1.4444905319576,-0.98207487206694,-0.189901683967468,0.243359578435682,0.494839850571919,0.314792375579969,0.644321069685578,1.0508633424997,0.708985962003063,0.77933051280197,1.59780494525034,0.794626394444781,0.607779624567989,-0.423269584083514,0.199394301327475,0.502416222820304
"NON-BR",-0.0579912716647412,-0.0605587419504188,0.980504862715715,0.631400782064931,0.0405737075899788,0.989580584605589,-0.694825349826137,0.687049816012629,0.0447630352237434,4.95117015526474,0.861949055492995,0.686378092822204,-0.278934790383541,-0.0525046822326825,0.345694540479879,0.282101352009914,0.290809987671859,0.104334600370186,-0.488538662931299,0.22016194750371,0.952022813163465,1.18205091716203,-0.258869859531766,0.271540673749362,0.546667073139164,-0.0660542766757766,-0.000390869177941903,1.26722983559641,0.419817071821793,0.27814036067704,-2.52805928508218,0.612754948691521,0.609381730151216,-0.388293447447166,-0.316135435061168
"NON-PNS",0.18793451443672,0.358669411647912,1.56822833206828,0.617787513144944,1.16255077712783,0.872633750168348,0.721261744524186,0.673286287088011,1.28903619902238,0.861949055492995,1.54113233756324,0.451614724416486,0.790161491780323,0.579161711464104,0.51176408570596,0.190895502597686,0.481612095442182,-0.0643943003511082,0.535221299419088,0.756964922355325,0.15441738202273,0.20423514868919,0.202922163184786,-0.109347952280422,0.190202392702669,0.616321508246887,0.518556801862266,0.495845396714629,0.44494818725081,1.05561674097398,0.222819793620776,0.669970645866546,-0.0609143565934062,0.228071959254714,0.200361435528003
"BR-PT",0.0291019994688187,0.250971364686023,0.458563778230616,0.310726444236831,0.32854787435367,0.16800044383134,0.373298428394825,0.24040078008364,0.349914935390052,0.686378092822204,0.451614724416486,0.693691134498913,0.452281395499423,-0.045303327154015,-0.114014776325941,-0.151723544309587,-0.0292429006449543,-0.110968239394597,0.0996694946330148,0.1805181107918,-0.117994618221409,0.130332502135889,0.191386489259028,-0.224946314577445,0.102877388636495,0.17988324717318,0.0911949440921927,0.23365818044666,0.061720323961819,0.277392042867816,-0.334689741221758,0.196079672941538,-0.0463079783562381,0.106725012894163,0.0868104997309091
